,time,Discharge,T_a,RH,v_a
225,2021-11-24 20:30:00,,,,
226,2021-11-24 20:45:00,,,,
227,2021-11-24 21:00:00,,,,
228,2021-11-24 21:15:00,,,,
229,2021-11-24 21:30:00,,,,
230,2021-11-24 21:45:00,,,,
231,2021-11-24 22:00:00,,,,
232,2021-11-24 22:15:00,,,,
233,2021-11-24 22:30:00,,,,
234,2021-11-24 22:45:00,,,,
235,2021-11-24 23:00:00,,,,
236,2021-11-24 23:15:00,,,,
237,2021-11-24 23:30:00,,,,
238,2021-11-24 23:45:00,,,,
239,2021-11-25 00:00:00,,,,
240,2021-11-25 00:15:00,,,,
241,2021-11-25 00:30:00,,,,
242,2021-11-25 00:45:00,,,,
243,2021-11-25 01:00:00,,,,
244,2021-11-25 01:15:00,,,,
245,2021-11-25 01:30:00,,,,
246,2021-11-25 01:45:00,,,,
247,2021-11-25 02:00:00,,,,
248,2021-11-25 02:15:00,,,,
249,2021-11-25 02:30:00,,,,
250,2021-11-25 02:45:00,,,,
251,2021-11-25 03:00:00,,,,
252,2021-11-25 03:15:00,,,,
253,2021-11-25 03:30:00,,,,
254,2021-11-25 03:45:00,,,,
255,2021-11-25 04:00:00,,,,
256,2021-11-25 04:15:00,,,,
257,2021-11-25 04:30:00,,,,
258,2021-11-25 04:45:00,,,,
259,2021-11-25 05:00:00,,,,
260,2021-11-25 05:15:00,,,,
261,2021-11-25 05:30:00,,,,
262,2021-11-25 05:45:00,,,,
263,2021-11-25 06:00:00,,,,
264,2021-11-25 06:15:00,,,,
265,2021-11-25 06:30:00,,,,
266,2021-11-25 06:45:00,,,,
267,2021-11-25 07:00:00,,,,
268,2021-11-25 07:15:00,,,,
269,2021-11-25 07:30:00,,,,
270,2021-11-25 07:45:00,,,,
271,2021-11-25 08:00:00,,,,
272,2021-11-25 08:15:00,,,,
273,2021-11-25 08:30:00,,,,
274,2021-11-25 08:45:00,,,,
275,2021-11-25 09:00:00,,,,
276,2021-11-25 09:15:00,,,,
277,2021-11-25 09:30:00,,,,
278,2021-11-25 09:45:00,,,,
279,2021-11-25 10:00:00,,,,
280,2021-11-25 10:15:00,,,,
281,2021-11-25 10:30:00,,,,
282,2021-11-25 10:45:00,,,,
283,2021-11-25 11:00:00,,,,
284,2021-11-25 11:15:00,,,,
285,2021-11-25 11:30:00,,,,
286,2021-11-25 11:45:00,,,,
287,2021-11-25 12:00:00,,,,
288,2021-11-25 12:15:00,,,,
289,2021-11-25 12:30:00,,,,
290,2021-11-25 12:45:00,,,,
291,2021-11-25 13:00:00,,,,
292,2021-11-25 13:15:00,,,,
293,2021-11-25 13:30:00,,,,
294,2021-11-25 13:45:00,,,,
295,2021-11-25 14:00:00,,,,
296,2021-11-25 14:15:00,,,,
297,2021-11-25 14:30:00,,,,
298,2021-11-25 14:45:00,,,,
299,2021-11-25 15:00:00,,,,
300,2021-11-25 15:15:00,,,,
301,2021-11-25 15:30:00,,,,
302,2021-11-25 15:45:00,,,,
303,2021-11-25 16:00:00,,,,
304,2021-11-25 16:15:00,,,,
305,2021-11-25 16:30:00,,,,
306,2021-11-25 16:45:00,,,,
307,2021-11-25 17:00:00,,,,
308,2021-11-25 17:15:00,,,,
309,2021-11-25 17:30:00,,,,
310,2021-11-25 17:45:00,,,,
311,2021-11-25 18:00:00,,,,
312,2021-11-25 18:15:00,,,,
313,2021-11-25 18:30:00,,,,
314,2021-11-25 18:45:00,,,,
315,2021-11-25 19:00:00,,,,
316,2021-11-25 19:15:00,,,,
317,2021-11-25 19:30:00,,,,
318,2021-11-25 19:45:00,,,,
319,2021-11-25 20:00:00,,,,
320,2021-11-25 20:15:00,,,,
321,2021-11-25 20:30:00,,,,
322,2021-11-25 20:45:00,,,,
323,2021-11-25 21:00:00,,,,
324,2021-11-25 21:15:00,,,,
325,2021-11-25 21:30:00,,,,
326,2021-11-25 21:45:00,,,,
327,2021-11-25 22:00:00,,,,
328,2021-11-25 22:15:00,,,,
329,2021-11-25 22:30:00,,,,
330,2021-11-25 22:45:00,,,,
331,2021-11-25 23:00:00,,,,
332,2021-11-25 23:15:00,,,,
333,2021-11-25 23:30:00,,,,
334,2021-11-25 23:45:00,,,,
335,2021-11-26 00:00:00,,,,
336,2021-11-26 00:15:00,,,,
337,2021-11-26 00:30:00,,,,
338,2021-11-26 00:45:00,,,,
339,2021-11-26 01:00:00,,,,
340,2021-11-26 01:15:00,,,,
341,2021-11-26 01:30:00,,,,
342,2021-11-26 01:45:00,,,,
343,2021-11-26 02:00:00,,,,
344,2021-11-26 02:15:00,,,,
345,2021-11-26 02:30:00,,,,
346,2021-11-26 02:45:00,,,,
347,2021-11-26 03:00:00,,,,
348,2021-11-26 03:15:00,,,,
349,2021-11-26 03:30:00,,,,
350,2021-11-26 03:45:00,,,,
351,2021-11-26 04:00:00,,,,
352,2021-11-26 04:15:00,,,,
353,2021-11-26 04:30:00,,,,
354,2021-11-26 04:45:00,,,,
355,2021-11-26 05:00:00,,,,
356,2021-11-26 05:15:00,,,,
357,2021-11-26 05:30:00,,,,
358,2021-11-26 05:45:00,,,,
359,2021-11-26 06:00:00,,,,
360,2021-11-26 06:15:00,,,,
361,2021-11-26 06:30:00,,,,
362,2021-11-26 06:45:00,,,,
363,2021-11-26 07:00:00,,,,
