,When,T_a,RH,v_a,p_a,SW_direct,SW_diffuse
22,2020-12-14 05:30:00,-11.29,19.78,4.575,616.989,-2.228,-0.743
23,2020-12-14 05:45:00,-11.3,20.41,4.2989999999999995,617.062,-2.356,-0.7859999999999999
24,2020-12-14 06:00:00,-11.11,18.69,4.691,617.134,-2.332,-0.778
25,2020-12-14 06:15:00,-11.28,19.24,4.348,617.207,-2.125,-0.708
26,2020-12-14 06:30:00,-11.42,19.99,5.167000000000001,617.279,-2.165,-0.722
27,2020-12-14 06:45:00,-11.3,19.29,4.71,617.352,-2.126,-0.7090000000000001
28,2020-12-14 07:00:00,-11.45,18.78,5.022,617.425,-2.326,-0.7759999999999999
29,2020-12-14 07:15:00,-11.46,20.14,5.6,617.488,-1.015,-0.33799999999999997
30,2020-12-14 07:30:00,-11.48,18.17,5.038,617.55,2.492,0.831
31,2020-12-14 07:45:00,-11.32,19.32,5.517,617.613,8.07,2.69
32,2020-12-14 08:00:00,-11.41,18.75,5.518,617.6759999999999,39.93,13.31
33,2020-12-14 08:15:00,-11.26,17.83,4.995,617.766,94.5,31.5
34,2020-12-14 08:30:00,-10.97,18.36,4.54,617.856,125.025,41.675
35,2020-12-14 08:45:00,-10.86,18.94,4.2219999999999995,617.946,156.975,52.325
36,2020-12-14 09:00:00,-10.52,18.16,3.92,618.035,189.75,63.25
37,2020-12-14 09:15:00,-9.92,20.66,2.826,618.148,222.975,74.325
38,2020-12-14 09:30:00,-10.12,22.04,1.271,618.26,255.75,85.25
39,2020-12-14 09:45:00,-9.37,21.17,0.988,618.373,288.45,96.15
40,2020-12-14 10:00:00,-8.85,21.36,1.331,618.485,318.825,106.275
41,2020-12-14 10:15:00,-8.48,21.12,1.4680000000000002,618.467,348.525,116.175
42,2020-12-14 10:30:00,-7.921,18.87,1.29,618.448,374.175,124.725
43,2020-12-14 10:45:00,-7.415,19.87,1.162,618.43,398.025,132.675
44,2020-12-14 11:00:00,-7.745,21.32,1.473,618.4119999999999,422.775,140.925
45,2020-12-14 11:15:00,-7.632000000000001,23.42,1.419,618.2919999999999,366.3,122.1
46,2020-12-14 11:30:00,-7.1979999999999995,21.27,1.9469999999999998,618.172,366.0,122.0
47,2020-12-14 11:45:00,-7.212999999999999,21.49,1.4909999999999999,618.053,410.175,136.725
48,2020-12-14 12:00:00,-7.023,25.96,2.05,617.933,504.525,168.175
49,2020-12-14 12:15:00,-6.635,23.45,1.3559999999999999,617.849,465.6,155.2
50,2020-12-14 12:30:00,-6.691,22.51,1.146,617.764,464.925,154.975
51,2020-12-14 12:45:00,-6.079,19.97,1.2919999999999998,617.68,524.475,174.825
52,2020-12-14 13:00:00,-5.59,17.49,2.1630000000000003,617.595,487.5,162.5
53,2020-12-14 13:15:00,-5.752999999999999,18.54,2.031,617.5219999999999,456.75,152.25
54,2020-12-14 13:30:00,-5.731,18.78,2.77,617.4490000000001,385.05,128.35
55,2020-12-14 13:45:00,-5.734,17.32,1.86,617.376,328.5,109.5
56,2020-12-14 14:00:00,-5.772,15.3,2.028,617.303,278.625,92.875
57,2020-12-14 14:15:00,-5.51,15.49,1.8119999999999998,617.2919999999999,250.65,83.55
58,2020-12-14 14:30:00,-5.309,15.38,3.0869999999999997,617.28,266.475,88.825
59,2020-12-14 14:45:00,-5.683,13.57,3.391,617.269,237.75,79.25
60,2020-12-14 15:00:00,-5.506,13.11,3.661,617.258,211.5,70.5
61,2020-12-14 15:15:00,-5.312,12.38,2.865,617.266,189.675,63.225
62,2020-12-14 15:30:00,-5.254,11.83,3.0589999999999997,617.274,207.375,69.125
63,2020-12-14 15:45:00,-5.391,11.18,2.2840000000000003,617.283,139.875,46.625
64,2020-12-14 16:00:00,-5.3629999999999995,12.23,1.94,617.2909999999999,120.9,40.3
65,2020-12-14 16:15:00,-5.581,12.13,2.97,617.274,70.5,23.5
66,2020-12-14 16:30:00,-5.768,14.18,2.458,617.258,27.315,9.105
67,2020-12-14 16:45:00,-5.797000000000001,13.92,3.333,617.241,17.22,5.74
68,2020-12-14 17:00:00,-5.862,14.9,2.75,617.224,9.218,3.072
69,2020-12-14 17:15:00,-6.233,16.58,2.742,617.243,1.381,0.46
70,2020-12-14 17:30:00,-6.4910000000000005,18.71,2.544,617.261,-2.276,-0.758
71,2020-12-14 17:45:00,-6.68,20.69,1.41,617.279,-3.2710000000000004,-1.09
72,2020-12-14 18:00:00,-7.103,21.09,0.8009999999999999,617.298,-3.295,-1.0979999999999999
73,2020-12-14 18:15:00,-7.2989999999999995,22.85,0.505,617.349,-2.903,-0.968
74,2020-12-14 18:30:00,-7.221,18.78,0.502,617.4,-2.8539999999999996,-0.951
75,2020-12-14 18:45:00,-7.223,17.75,1.192,617.452,-2.763,-0.9209999999999999
76,2020-12-14 19:00:00,-7.021,17.04,1.4409999999999998,617.504,-2.72,-0.907
77,2020-12-14 19:15:00,-7.075,16.93,0.544,617.549,-2.56,-0.853
78,2020-12-14 19:30:00,-7.215,18.88,0.79,617.594,-2.423,-0.8079999999999999
79,2020-12-14 19:45:00,-7.268,22.91,0.445,617.639,-2.9,-0.966
80,2020-12-14 20:00:00,-7.5,19.22,1.5590000000000002,617.684,-2.6260000000000003,-0.875
81,2020-12-14 20:15:00,-7.5889999999999995,19.52,1.1640000000000001,617.691,-2.714,-0.905
82,2020-12-14 20:30:00,-7.558,18.88,0.9890000000000001,617.698,-2.653,-0.884
83,2020-12-14 20:45:00,-7.376,15.47,1.112,617.705,-2.395,-0.7979999999999999
84,2020-12-14 21:00:00,-7.41,16.84,0.8009999999999999,617.7130000000001,-2.568,-0.856
85,2020-12-14 21:15:00,-7.566,17.93,1.34,617.757,-2.215,-0.738
86,2020-12-14 21:30:00,-7.646,17.83,2.355,617.8009999999999,-1.944,-0.648
87,2020-12-14 21:45:00,-7.7379999999999995,17.81,2.7710000000000004,617.845,-2.03,-0.677
88,2020-12-14 22:00:00,-7.693,17.54,2.545,617.889,-1.619,-0.54
89,2020-12-14 22:15:00,-7.75,16.4,2.472,617.886,-1.4480000000000002,-0.48200000000000004
90,2020-12-14 22:30:00,-7.831,17.19,2.63,617.883,-1.619,-0.54
91,2020-12-14 22:45:00,-7.893,16.8,1.9269999999999998,617.881,-1.584,-0.528
92,2020-12-14 23:00:00,-7.898,16.56,1.855,617.878,-1.712,-0.5710000000000001
93,2020-12-14 23:15:00,-8.14,17.1,1.2409999999999999,617.813,-1.641,-0.547
94,2020-12-14 23:30:00,-8.35,18.32,0.784,617.749,-1.6119999999999999,-0.537
95,2020-12-14 23:45:00,-8.32,17.84,1.874,617.685,-1.521,-0.507
96,2020-12-15 00:00:00,-8.42,17.22,1.625,617.621,-1.476,-0.49200000000000005
97,2020-12-15 00:15:00,-8.33,17.63,1.858,617.606,-1.4240000000000002,-0.475
98,2020-12-15 00:30:00,-8.36,17.96,2.16,617.591,-1.3519999999999999,-0.451
99,2020-12-15 00:45:00,-8.34,18.54,1.551,617.576,-1.167,-0.389
100,2020-12-15 01:00:00,-8.47,18.02,1.026,617.562,-1.1,-0.36700000000000005
101,2020-12-15 01:15:00,-8.42,18.4,2.3569999999999998,617.521,-1.199,-0.4
102,2020-12-15 01:30:00,-8.38,18.85,1.218,617.48,-1.183,-0.39399999999999996
103,2020-12-15 01:45:00,-8.25,18.2,2.345,617.439,-1.103,-0.368
104,2020-12-15 02:00:00,-8.44,18.73,2.3,617.398,-1.1320000000000001,-0.37799999999999995
105,2020-12-15 02:15:00,-8.4,18.93,1.5930000000000002,617.372,-1.1320000000000001,-0.37799999999999995
106,2020-12-15 02:30:00,-8.64,19.52,2.086,617.345,-1.162,-0.387
107,2020-12-15 02:45:00,-8.61,19.41,1.4509999999999998,617.319,-1.1,-0.36700000000000005
108,2020-12-15 03:00:00,-8.54,20.1,1.099,617.2919999999999,-1.306,-0.436
109,2020-12-15 03:15:00,-8.72,20.56,1.29,617.281,-1.19,-0.397
110,2020-12-15 03:30:00,-8.72,20.27,1.662,617.269,-1.358,-0.452
111,2020-12-15 03:45:00,-8.61,20.16,2.076,617.258,-1.338,-0.446
112,2020-12-15 04:00:00,-8.76,20.37,1.432,617.246,-1.182,-0.39399999999999996
113,2020-12-15 04:15:00,-8.92,21.59,1.8030000000000002,617.261,-1.2670000000000001,-0.42200000000000004
114,2020-12-15 04:30:00,-9.09,22.25,1.065,617.276,-1.385,-0.462
115,2020-12-15 04:45:00,-9.22,22.44,1.261,617.2919999999999,-1.492,-0.49700000000000005
116,2020-12-15 05:00:00,-9.22,23.15,1.6340000000000001,617.307,-1.287,-0.429
117,2020-12-15 05:15:00,-9.32,23.71,1.015,617.3340000000001,-1.5590000000000002,-0.52
118,2020-12-15 05:30:00,-9.22,22.84,1.215,617.362,-1.732,-0.578
119,2020-12-15 05:45:00,-9.24,22.99,1.006,617.39,-1.6869999999999998,-0.562
120,2020-12-15 06:00:00,-9.27,23.5,1.662,617.418,-1.611,-0.537
121,2020-12-15 06:15:00,-9.36,23.84,1.084,617.474,-1.784,-0.594
122,2020-12-15 06:30:00,-9.34,24.1,0.9890000000000001,617.53,-2.085,-0.695
123,2020-12-15 06:45:00,-9.29,24.06,1.2830000000000001,617.586,-1.751,-0.584
124,2020-12-15 07:00:00,-9.36,25.91,1.874,617.6419999999999,-1.5390000000000001,-0.513
125,2020-12-15 07:15:00,-9.51,25.63,0.608,617.695,-0.922,-0.308
126,2020-12-15 07:30:00,-9.34,25.33,1.564,617.749,2.217,0.7390000000000001
127,2020-12-15 07:45:00,-9.37,25.45,1.4769999999999999,617.802,14.13,4.71
128,2020-12-15 08:00:00,-9.32,25.61,1.95,617.855,29.197,9.732000000000001
129,2020-12-15 08:15:00,-9.09,25.15,0.904,617.935,47.91,15.97
130,2020-12-15 08:30:00,-8.87,24.17,1.071,618.015,70.425,23.475
131,2020-12-15 08:45:00,-8.51,23.99,1.445,618.095,81.75,27.25
132,2020-12-15 09:00:00,-8.38,24.17,1.777,618.175,96.0,32.0
133,2020-12-15 09:15:00,-8.25,23.74,2.099,618.201,124.2,41.4
134,2020-12-15 09:30:00,-8.02,23.33,1.725,618.2280000000001,151.725,50.575
135,2020-12-15 09:45:00,-7.709,22.8,3.5810000000000004,618.254,192.825,64.275
136,2020-12-15 10:00:00,-7.587000000000001,22.93,3.7960000000000003,618.28,197.475,65.825
137,2020-12-15 10:15:00,-7.48,22.49,4.706,618.275,232.425,77.475
138,2020-12-15 10:30:00,-7.483,22.78,5.3020000000000005,618.27,217.2,72.4
139,2020-12-15 10:45:00,-7.3,22.65,4.771,618.265,222.75,74.25
140,2020-12-15 11:00:00,-7.308,22.38,3.8310000000000004,618.26,243.075,81.025
141,2020-12-15 11:15:00,-7.391,22.77,4.362,618.154,261.075,87.025
142,2020-12-15 11:30:00,-7.044,22.39,4.707,618.049,242.025,80.675
143,2020-12-15 11:45:00,-6.928999999999999,22.13,4.103,617.943,248.1,82.7
144,2020-12-15 12:00:00,-6.827999999999999,21.94,4.1160000000000005,617.8380000000001,246.075,82.025
145,2020-12-15 12:15:00,-6.65,22.11,2.821,617.78,232.2,77.4
146,2020-12-15 12:30:00,-6.6129999999999995,22.3,4.723,617.722,232.2,77.4
147,2020-12-15 12:45:00,-6.49,21.8,5.228,617.664,234.075,78.025
148,2020-12-15 13:00:00,-6.544,22.58,4.046,617.606,210.225,70.075
149,2020-12-15 13:15:00,-6.419,22.51,3.471,617.561,244.125,81.375
150,2020-12-15 13:30:00,-6.136,21.87,3.764,617.516,197.775,65.925
151,2020-12-15 13:45:00,-6.269,23.41,3.568,617.47,217.425,72.475
152,2020-12-15 14:00:00,-6.38,23.04,3.4560000000000004,617.425,172.875,57.625
153,2020-12-15 14:15:00,-6.417999999999999,23.7,4.395,617.437,166.8,55.6
154,2020-12-15 14:30:00,-6.601,24.54,4.195,617.448,154.8,51.6
155,2020-12-15 14:45:00,-6.667999999999999,24.76,2.9730000000000003,617.46,158.25,52.75
156,2020-12-15 15:00:00,-6.492000000000001,24.19,3.252,617.471,162.6,54.2
157,2020-12-15 15:15:00,-6.617999999999999,24.39,3.38,617.451,124.65,41.55
158,2020-12-15 15:30:00,-6.645,23.93,2.795,617.43,105.75,35.25
159,2020-12-15 15:45:00,-6.646,23.9,4.648,617.409,83.625,27.875
160,2020-12-15 16:00:00,-6.78,23.18,3.81,617.389,61.95,20.65
161,2020-12-15 16:15:00,-6.685,23.92,3.2089999999999996,617.318,46.552,15.517999999999999
162,2020-12-15 16:30:00,-6.767,24.05,1.8719999999999999,617.247,30.975,10.325
163,2020-12-15 16:45:00,-6.787999999999999,23.45,2.654,617.1759999999999,22.155,7.385
164,2020-12-15 17:00:00,-6.882000000000001,23.99,3.944,617.106,9.435,3.145
165,2020-12-15 17:15:00,-6.956,24.93,2.222,617.1519999999999,1.574,0.525
166,2020-12-15 17:30:00,-7.091,26.9,2.197,617.198,-1.248,-0.41600000000000004
167,2020-12-15 17:45:00,-7.289,29.35,4.3839999999999995,617.244,-1.672,-0.557
168,2020-12-15 18:00:00,-7.392,30.68,2.374,617.29,-1.8030000000000002,-0.601
169,2020-12-15 18:15:00,-7.619,28.81,4.331,617.371,-2.298,-0.7659999999999999
170,2020-12-15 18:30:00,-7.527,28.57,6.034,617.452,-2.906,-0.968
171,2020-12-15 18:45:00,-7.645,30.64,2.265,617.533,-2.582,-0.861
172,2020-12-15 19:00:00,-7.768,28.03,2.917,617.614,-2.72,-0.907
173,2020-12-15 19:15:00,-7.797999999999999,29.37,2.046,617.641,-2.946,-0.982
174,2020-12-15 19:30:00,-7.8839999999999995,27.65,3.0469999999999997,617.668,-2.728,-0.91
175,2020-12-15 19:45:00,-7.968,26.76,3.23,617.696,-2.7439999999999998,-0.914
176,2020-12-15 20:00:00,-7.907,23.81,3.745,617.7230000000001,-2.5269999999999997,-0.8420000000000001
177,2020-12-15 20:15:00,-7.939,23.09,3.513,617.71,-2.594,-0.865
178,2020-12-15 20:30:00,-7.893,22.81,3.407,617.697,-2.781,-0.927
179,2020-12-15 20:45:00,-7.959,22.59,4.783,617.685,-2.781,-0.927
180,2020-12-15 21:00:00,-7.995,22.92,4.476,617.672,-2.471,-0.8240000000000001
181,2020-12-15 21:15:00,-8.05,22.32,5.456,617.724,-2.593,-0.8640000000000001
182,2020-12-15 21:30:00,-8.13,22.26,3.958,617.776,-2.6439999999999997,-0.8809999999999999
183,2020-12-15 21:45:00,-8.16,21.89,3.859,617.828,-2.531,-0.8440000000000001
184,2020-12-15 22:00:00,-8.22,21.34,3.12,617.88,-2.3409999999999997,-0.78
185,2020-12-15 22:15:00,-8.23,21.02,5.91,617.856,-2.398,-0.8
186,2020-12-15 22:30:00,-8.33,21.18,4.809,617.8330000000001,-2.211,-0.737
187,2020-12-15 22:45:00,-8.45,20.94,4.873,617.809,-2.333,-0.778
188,2020-12-15 23:00:00,-8.49,20.54,4.897,617.786,-2.278,-0.759
189,2020-12-15 23:15:00,-8.52,20.49,3.885,617.686,-2.4619999999999997,-0.821
190,2020-12-15 23:30:00,-8.71,21.19,2.7060000000000004,617.587,-2.528,-0.8420000000000001
191,2020-12-15 23:45:00,-8.88,21.3,2.77,617.487,-2.6,-0.866
192,2020-12-16 00:00:00,-8.83,21.33,4.063,617.388,-2.41,-0.804
193,2020-12-16 00:15:00,-8.81,21.49,3.2880000000000003,617.336,-2.428,-0.809
194,2020-12-16 00:30:00,-8.93,22.02,3.117,617.284,-2.444,-0.815
195,2020-12-16 00:45:00,-8.97,22.56,3.84,617.232,-2.5540000000000003,-0.852
196,2020-12-16 01:00:00,-9.09,23.22,2.737,617.181,-2.448,-0.816
197,2020-12-16 01:15:00,-9.29,23.94,2.1069999999999998,617.195,-2.479,-0.826
198,2020-12-16 01:30:00,-9.54,24.99,0.983,617.21,-2.476,-0.825
199,2020-12-16 01:45:00,-9.85,25.63,1.464,617.225,-2.416,-0.805
200,2020-12-16 02:00:00,-9.84,26.02,1.393,617.24,-2.464,-0.8220000000000001
201,2020-12-16 02:15:00,-9.91,25.79,1.401,617.188,-2.299,-0.7659999999999999
202,2020-12-16 02:30:00,-9.88,25.24,0.988,617.136,-2.539,-0.846
203,2020-12-16 02:45:00,-9.9,25.63,1.245,617.0840000000001,-2.185,-0.728
204,2020-12-16 03:00:00,-10.06,26.17,0.787,617.0319999999999,-2.378,-0.792
205,2020-12-16 03:15:00,-10.16,26.2,0.8490000000000001,616.974,-2.485,-0.828
206,2020-12-16 03:30:00,-10.34,26.62,1.01,616.9159999999999,-2.302,-0.768
207,2020-12-16 03:45:00,-10.39,26.67,0.20199999999999999,616.859,-2.12,-0.7070000000000001
208,2020-12-16 04:00:00,-10.51,26.72,0.373,616.8009999999999,-2.269,-0.7559999999999999
209,2020-12-16 04:15:00,-10.31,26.62,1.317,616.74,-2.151,-0.7170000000000001
210,2020-12-16 04:30:00,-10.42,26.82,0.74,616.68,-2.176,-0.725
211,2020-12-16 04:45:00,-10.64,27.1,0.67,616.619,-1.9380000000000002,-0.6459999999999999
212,2020-12-16 05:00:00,-10.54,26.27,0.871,616.558,-2.133,-0.711
213,2020-12-16 05:15:00,-10.61,26.77,0.698,616.57,-2.242,-0.748
214,2020-12-16 05:30:00,-10.72,27.07,1.4880000000000002,616.581,-2.249,-0.75
215,2020-12-16 05:45:00,-10.73,26.9,1.511,616.5930000000001,-2.215,-0.738
216,2020-12-16 06:00:00,-10.7,26.22,1.107,616.605,-2.408,-0.8029999999999999
217,2020-12-16 06:15:00,-10.85,26.62,0.9359999999999999,616.661,-2.571,-0.857
218,2020-12-16 06:30:00,-10.7,26.16,1.4880000000000002,616.717,-2.4459999999999997,-0.816
219,2020-12-16 06:45:00,-10.98,27.35,1.406,616.773,-2.218,-0.74
220,2020-12-16 07:00:00,-10.99,27.35,1.525,616.83,-2.342,-0.78
221,2020-12-16 07:15:00,-10.98,26.03,1.617,616.872,-1.472,-0.491
222,2020-12-16 07:30:00,-11.03,26.55,0.7559999999999999,616.915,1.821,0.607
223,2020-12-16 07:45:00,-10.87,25.18,1.265,616.9580000000001,7.0120000000000005,2.338
224,2020-12-16 08:00:00,-10.96,25.35,1.3219999999999998,617.0,35.361999999999995,11.788
225,2020-12-16 08:15:00,-11.04,26.0,1.301,617.091,94.95,31.65
226,2020-12-16 08:30:00,-10.71,23.9,0.8420000000000001,617.183,126.45,42.15
227,2020-12-16 08:45:00,-10.16,23.5,1.229,617.274,157.65,52.55
228,2020-12-16 09:00:00,-9.6,23.02,0.958,617.365,189.45,63.15
229,2020-12-16 09:15:00,-9.44,21.98,1.026,617.415,224.1,74.7
230,2020-12-16 09:30:00,-8.64,20.34,1.217,617.466,254.625,84.875
231,2020-12-16 09:45:00,-9.04,21.84,2.253,617.516,287.025,95.675
232,2020-12-16 10:00:00,-8.66,20.21,2.2840000000000003,617.566,317.55,105.85
233,2020-12-16 10:15:00,-8.37,19.46,2.256,617.533,345.9,115.3
234,2020-12-16 10:30:00,-8.32,17.73,3.345,617.499,371.85,123.95
235,2020-12-16 10:45:00,-8.18,15.92,4.258,617.465,396.3,132.1
236,2020-12-16 11:00:00,-7.829,13.96,4.277,617.432,417.75,139.25
237,2020-12-16 11:15:00,-7.792000000000001,14.73,4.9830000000000005,617.315,435.3,145.1
238,2020-12-16 11:30:00,-7.7379999999999995,14.43,4.953,617.198,455.175,151.725
239,2020-12-16 11:45:00,-7.577000000000001,12.9,5.997999999999999,617.081,467.175,155.725
240,2020-12-16 12:00:00,-7.553999999999999,11.7,4.067,616.964,476.55,158.85
241,2020-12-16 12:15:00,-7.33,11.17,3.557,616.779,466.8,155.6
242,2020-12-16 12:30:00,-7.1,11.77,4.873,616.5930000000001,489.675,163.225
243,2020-12-16 12:45:00,-7.087999999999999,10.63,4.611000000000001,616.4069999999999,483.6,161.2
244,2020-12-16 13:00:00,-7.252999999999999,10.97,6.51,616.222,478.275,159.425
245,2020-12-16 13:15:00,-7.2829999999999995,10.47,6.682,616.188,469.275,156.425
246,2020-12-16 13:30:00,-7.081,10.39,5.992000000000001,616.155,455.325,151.775
247,2020-12-16 13:45:00,-7.202000000000001,10.83,6.027,616.121,440.55,146.85
248,2020-12-16 14:00:00,-6.667999999999999,9.99,4.7860000000000005,616.0880000000001,422.1,140.7
249,2020-12-16 14:15:00,-6.14,8.51,3.25,616.1469999999999,399.975,133.325
250,2020-12-16 14:30:00,-6.321000000000001,7.558,4.362,616.206,377.55,125.85
251,2020-12-16 14:45:00,-6.994,7.252000000000001,4.428,616.265,349.5,116.5
252,2020-12-16 15:00:00,-6.865,7.74,3.011,616.3240000000001,319.275,106.425
253,2020-12-16 15:15:00,-6.943,7.447,4.041,616.368,287.7,95.9
254,2020-12-16 15:30:00,-6.9510000000000005,7.605,3.688,616.411,254.4,84.8
255,2020-12-16 15:45:00,-7.05,8.27,3.7960000000000003,616.4540000000001,219.0,73.0
256,2020-12-16 16:00:00,-7.165,7.89,3.6239999999999997,616.497,184.275,61.425
257,2020-12-16 16:15:00,-7.507000000000001,8.26,3.738,616.501,99.3,33.1
258,2020-12-16 16:30:00,-7.766,8.04,4.754,616.505,14.962,4.988
259,2020-12-16 16:45:00,-7.962999999999999,8.34,3.887,616.508,10.372,3.458
260,2020-12-16 17:00:00,-8.08,8.75,4.123,616.512,6.0520000000000005,2.0180000000000002
261,2020-12-16 17:15:00,-8.23,9.34,3.463,616.654,1.472,0.49
262,2020-12-16 17:30:00,-8.42,9.68,3.0180000000000002,616.7959999999999,-2.266,-0.7559999999999999
263,2020-12-16 17:45:00,-8.62,10.18,2.003,616.937,-3.2319999999999998,-1.078
264,2020-12-16 18:00:00,-8.74,10.29,2.555,617.0790000000001,-3.46,-1.1540000000000001
265,2020-12-16 18:15:00,-8.86,11.2,2.249,617.146,-3.5980000000000003,-1.199
266,2020-12-16 18:30:00,-8.98,10.82,1.7209999999999999,617.2130000000001,-3.116,-1.0390000000000001
267,2020-12-16 18:45:00,-9.13,10.46,1.129,617.28,-3.281,-1.094
268,2020-12-16 19:00:00,-9.17,11.7,1.847,617.346,-3.332,-1.111
269,2020-12-16 19:15:00,-9.24,11.61,2.537,617.413,-2.995,-0.998
270,2020-12-16 19:30:00,-9.3,12.24,2.611,617.479,-2.918,-0.973
271,2020-12-16 19:45:00,-9.53,12.6,0.8740000000000001,617.5459999999999,-3.0469999999999997,-1.016
272,2020-12-16 20:00:00,-9.7,13.69,1.296,617.612,-2.7910000000000004,-0.93
273,2020-12-16 20:15:00,-9.73,13.29,1.6780000000000002,617.686,-3.0660000000000003,-1.022
274,2020-12-16 20:30:00,-9.79,12.82,1.479,617.76,-2.957,-0.986
275,2020-12-16 20:45:00,-9.79,13.58,2.412,617.8340000000001,-3.185,-1.062
276,2020-12-16 21:00:00,-9.82,13.23,2.992,617.908,-3.102,-1.034
277,2020-12-16 21:15:00,-9.89,13.02,3.05,617.969,-3.0069999999999997,-1.002
278,2020-12-16 21:30:00,-10.0,13.17,3.287,618.03,-2.7760000000000002,-0.925
279,2020-12-16 21:45:00,-10.14,13.51,2.13,618.092,-3.012,-1.004
280,2020-12-16 22:00:00,-10.22,13.33,2.476,618.153,-2.9,-0.9670000000000001
281,2020-12-16 22:15:00,-10.27,13.71,2.714,618.198,-2.707,-0.902
282,2020-12-16 22:30:00,-10.37,13.76,2.227,618.242,-2.716,-0.905
283,2020-12-16 22:45:00,-10.41,13.42,2.167,618.2869999999999,-2.5180000000000002,-0.8390000000000001
284,2020-12-16 23:00:00,-10.5,14.03,2.134,618.332,-2.6689999999999996,-0.89
285,2020-12-16 23:15:00,-10.87,15.99,1.179,618.328,-2.55,-0.85
286,2020-12-16 23:30:00,-11.2,18.28,1.589,618.325,-2.636,-0.878
287,2020-12-16 23:45:00,-12.14,19.57,0.943,618.321,-2.6910000000000003,-0.897
288,2020-12-17 00:00:00,-12.42,19.96,1.4269999999999998,618.318,-2.574,-0.858
289,2020-12-17 00:15:00,-12.3,19.06,2.541,618.308,-2.694,-0.898
290,2020-12-17 00:30:00,-12.38,18.79,2.228,618.298,-2.6860000000000004,-0.8959999999999999
291,2020-12-17 00:45:00,-12.43,18.6,2.065,618.289,-2.68,-0.894
292,2020-12-17 01:00:00,-12.58,21.87,1.5830000000000002,618.279,-2.843,-0.948
293,2020-12-17 01:15:00,-12.87,21.35,1.85,618.32,-2.8819999999999997,-0.961
294,2020-12-17 01:30:00,-13.24,22.49,2.509,618.361,-2.8819999999999997,-0.961
295,2020-12-17 01:45:00,-13.38,22.73,2.94,618.401,-3.194,-1.064
296,2020-12-17 02:00:00,-13.71,22.34,4.042,618.442,-2.935,-0.978
297,2020-12-17 02:15:00,-13.8,22.43,3.2910000000000004,618.476,-2.8960000000000004,-0.966
298,2020-12-17 02:30:00,-13.51,23.29,1.499,618.51,-2.832,-0.9440000000000001
299,2020-12-17 02:45:00,-13.7,22.46,2.186,618.545,-2.737,-0.912
300,2020-12-17 03:00:00,-13.93,23.91,3.0669999999999997,618.5790000000001,-2.497,-0.8320000000000001
301,2020-12-17 03:15:00,-14.12,24.83,3.193,618.606,-2.6719999999999997,-0.8909999999999999
302,2020-12-17 03:30:00,-14.21,24.89,2.891,618.633,-2.7560000000000002,-0.9179999999999999
303,2020-12-17 03:45:00,-14.18,24.25,2.456,618.661,-2.596,-0.865
304,2020-12-17 04:00:00,-14.19,23.84,1.641,618.688,-2.47,-0.823
305,2020-12-17 04:15:00,-14.18,23.75,2.42,618.76,-2.573,-0.858
306,2020-12-17 04:30:00,-14.17,24.08,2.476,618.832,-2.6180000000000003,-0.872
307,2020-12-17 04:45:00,-14.38,24.68,2.917,618.904,-2.5540000000000003,-0.852
308,2020-12-17 05:00:00,-14.38,23.83,3.1210000000000004,618.976,-2.543,-0.848
