,time,temp,wind,RH,ppt
50,2020-01-03 02:00:00,-3.676,2.201,91.987,0.292
51,2020-01-03 03:00:00,-4.251,2.227,91.691,0.222
52,2020-01-03 04:00:00,-5.263,2.424,90.926,0.478
53,2020-01-03 05:00:00,-5.914,2.876,85.679,0.575
54,2020-01-03 06:00:00,-6.869,2.771,84.749,0.514
55,2020-01-03 07:00:00,-6.952,2.654,74.72,0.061
56,2020-01-03 08:00:00,-7.714,2.782,77.962,0.092
57,2020-01-03 09:00:00,-8.252,3.308,80.963,0.353
58,2020-01-03 10:00:00,-8.454,3.605,78.392,0.295
59,2020-01-03 11:00:00,-8.82,3.421,75.122,0.158
60,2020-01-03 12:00:00,-9.896,3.176,72.326,0.123
61,2020-01-03 13:00:00,-11.044,2.939,73.948,0.053
62,2020-01-03 14:00:00,-11.718,2.884,75.604,0.112
63,2020-01-03 15:00:00,-11.979,2.703,75.822,0.064
64,2020-01-03 16:00:00,-12.097,2.56,75.226,0.034
65,2020-01-03 17:00:00,-12.367,2.571,74.122,0.013
66,2020-01-03 18:00:00,-12.44,2.441,71.83,0.008
67,2020-01-03 19:00:00,-11.068,2.027,70.009,0.006
68,2020-01-03 20:00:00,-11.163,1.896,72.307,0.03
69,2020-01-03 21:00:00,-11.671,1.835,76.57,0.387
70,2020-01-03 22:00:00,-11.49,1.493,80.221,0.244
71,2020-01-03 23:00:00,-11.087,0.874,81.468,0.194
72,2020-01-04 00:00:00,-11.191,0.663,82.978,0.281
73,2020-01-04 01:00:00,-12.098,1.484,84.752,0.0
74,2020-01-04 02:00:00,-12.308,2.125,83.312,0.041
75,2020-01-04 03:00:00,-12.117,2.572,82.244,0.036
76,2020-01-04 04:00:00,-11.647,2.83,83.172,0.073
77,2020-01-04 05:00:00,-11.566,2.753,85.916,0.088
78,2020-01-04 06:00:00,-11.551,3.418,87.613,0.162
79,2020-01-04 07:00:00,-10.99,4.713,83.787,0.156
80,2020-01-04 08:00:00,-11.168,4.893,81.114,0.156
81,2020-01-04 09:00:00,-11.457,4.774,81.839,0.139
82,2020-01-04 10:00:00,-11.789,4.827,81.623,0.097
83,2020-01-04 11:00:00,-12.366,4.965,81.182,0.08
84,2020-01-04 12:00:00,-12.653,4.985,79.706,0.057
85,2020-01-04 13:00:00,-13.152,4.797,79.466,0.032
86,2020-01-04 14:00:00,-13.759,4.575,81.156,0.022
87,2020-01-04 15:00:00,-14.345,4.38,83.103,0.022
88,2020-01-04 16:00:00,-14.786,4.212,84.084,0.022
89,2020-01-04 17:00:00,-15.13,3.997,84.404,0.018
90,2020-01-04 18:00:00,-15.781,3.626,84.657,0.01
91,2020-01-04 19:00:00,-15.361,3.318,86.327,0.015
92,2020-01-04 20:00:00,-14.78,2.906,86.486,0.02
93,2020-01-04 21:00:00,-14.262,2.53,87.349,0.02
94,2020-01-04 22:00:00,-13.913,2.243,86.984,0.024
95,2020-01-04 23:00:00,-13.422,1.92,87.181,0.021
96,2020-01-05 00:00:00,-13.117,1.68,87.796,0.039
97,2020-01-05 01:00:00,-12.171,1.597,86.771,0.0
98,2020-01-05 02:00:00,-12.212,1.56,87.127,0.049
