,rmse_V,corr_V,rmse_T,corr_T,Max_IceV,Duration,DX,TIME_STEP,IE
129,0.12,1.0,0.0,0.0,1.2,40.29,6.0,30.0,0.95
130,,,0.0,0.0,0.11,2.97,6.0,45.0,0.95
131,,,0.0,0.0,0.1,1.0,6.0,60.0,0.95
132,0.8,1.0,0.0,0.0,2.23,45.12,6.0,15.0,0.96
133,0.16,1.0,0.0,0.0,1.29,45.04,6.0,30.0,0.96
134,,,0.0,0.0,0.12,2.81,6.0,45.0,0.96
135,,,0.0,0.0,0.11,1.0,6.0,60.0,0.96
136,0.82,1.0,0.0,0.0,2.21,45.12,6.0,15.0,0.97
137,0.21,1.0,0.0,0.0,1.38,45.12,6.0,30.0,0.97
138,,,0.0,0.0,0.12,2.75,6.0,45.0,0.97
139,,,0.0,0.0,0.12,1.0,6.0,60.0,0.97
140,0.93,1.0,0.0,0.0,2.33,45.12,6.0,15.0,0.98
141,0.25,1.0,0.0,0.0,1.45,45.12,6.0,30.0,0.98
142,,,0.0,0.0,0.13,2.69,6.0,45.0,0.98
143,,,0.0,0.0,0.12,1.0,6.0,60.0,0.98
144,0.34,1.0,0.0,0.0,1.56,45.12,7.0,15.0,0.9
145,0.31,,0.0,0.0,0.66,36.17,7.0,30.0,0.9
146,0.6,,0.0,0.0,0.32,28.34,7.0,45.0,0.9
147,,,0.0,0.0,0.08,1.17,7.0,60.0,0.9
148,0.45,1.0,0.0,0.0,1.74,45.12,7.0,15.0,0.91
149,0.19,,0.0,0.0,0.8,38.67,7.0,30.0,0.91
150,0.52,,0.0,0.0,0.41,31.38,7.0,45.0,0.91
151,,,0.0,0.0,0.09,1.17,7.0,60.0,0.91
152,0.55,1.0,0.0,0.0,1.9,45.12,7.0,15.0,0.92
153,0.1,1.0,0.0,0.0,0.94,39.33,7.0,30.0,0.92
154,0.42,,0.0,0.0,0.53,32.38,7.0,45.0,0.92
155,,,0.0,0.0,0.09,1.17,7.0,60.0,0.92
156,0.66,1.0,0.0,0.0,2.05,45.12,7.0,15.0,0.93
157,0.08,1.0,0.0,0.0,1.06,39.96,7.0,30.0,0.93
158,0.32,,0.0,0.0,0.65,33.69,7.0,45.0,0.93
159,,,0.0,0.0,0.1,1.17,7.0,60.0,0.93
160,0.75,1.0,0.0,0.0,2.17,45.12,7.0,15.0,0.94
161,0.1,1.0,0.0,0.0,1.17,44.98,7.0,30.0,0.94
162,0.26,,0.0,0.0,0.72,34.44,7.0,45.0,0.94
163,,,0.0,0.0,0.1,1.17,7.0,60.0,0.94
164,0.85,1.0,0.0,0.0,2.28,45.12,7.0,15.0,0.95
165,0.15,1.0,0.0,0.0,1.27,45.12,7.0,30.0,0.95
166,0.21,,0.0,0.0,0.78,36.19,7.0,45.0,0.95
167,,,0.0,0.0,0.11,1.17,7.0,60.0,0.95
168,0.93,1.0,0.0,0.0,2.37,45.12,7.0,15.0,0.96
169,0.2,1.0,0.0,0.0,1.36,45.12,7.0,30.0,0.96
170,0.18,,0.0,0.0,0.82,37.16,7.0,45.0,0.96
171,,,0.0,0.0,0.12,1.25,7.0,60.0,0.96
172,0.96,1.0,0.0,0.0,2.36,45.12,7.0,15.0,0.97
173,0.25,1.0,0.0,0.0,1.45,45.12,7.0,30.0,0.97
174,0.12,,0.0,0.0,0.87,39.03,7.0,45.0,0.97
175,,,0.0,0.0,0.12,1.25,7.0,60.0,0.97
176,1.01,1.0,0.0,0.0,2.38,45.12,7.0,15.0,0.98
177,0.31,1.0,0.0,0.0,1.52,45.12,7.0,30.0,0.98
178,0.1,,0.0,0.0,0.91,39.25,7.0,45.0,0.98
179,,,0.0,0.0,0.13,1.25,7.0,60.0,0.98
180,0.42,1.0,0.0,0.0,1.7,45.12,8.0,15.0,0.9
181,0.25,,0.0,0.0,0.73,38.67,8.0,30.0,0.9
182,0.51,,0.0,0.0,0.42,32.09,8.0,45.0,0.9
183,,,0.0,0.0,0.09,1.83,8.0,60.0,0.9
184,0.54,1.0,0.0,0.0,1.88,45.12,8.0,15.0,0.91
185,0.12,1.0,0.0,0.0,0.88,39.31,8.0,30.0,0.91
186,0.41,,0.0,0.0,0.54,33.25,8.0,45.0,0.91
187,,,0.0,0.0,0.09,1.75,8.0,60.0,0.91
188,0.66,1.0,0.0,0.0,2.05,45.12,8.0,15.0,0.92
189,0.08,1.0,0.0,0.0,1.01,40.17,8.0,30.0,0.92
190,0.31,,0.0,0.0,0.66,34.38,8.0,45.0,0.92
191,,,0.0,0.0,0.1,1.83,8.0,60.0,0.92
192,0.77,1.0,0.0,0.0,2.2,45.12,8.0,15.0,0.93
193,0.09,1.0,0.0,0.0,1.14,45.12,8.0,30.0,0.93
194,0.21,,0.0,0.0,0.77,36.41,8.0,45.0,0.93
195,,,0.0,0.0,0.11,1.92,8.0,60.0,0.93
196,0.88,1.0,0.0,0.0,2.33,45.12,8.0,15.0,0.94
197,0.14,1.0,0.0,0.0,1.25,45.12,8.0,30.0,0.94
198,0.13,,0.0,0.0,0.89,39.0,8.0,45.0,0.94
199,,,0.0,0.0,0.11,2.0,8.0,60.0,0.94
200,0.97,1.0,0.0,0.0,2.43,45.12,8.0,15.0,0.95
201,0.19,1.0,0.0,0.0,1.35,45.12,8.0,30.0,0.95
202,0.11,,0.0,0.0,0.97,39.31,8.0,45.0,0.95
203,,,0.0,0.0,0.12,2.08,8.0,60.0,0.95
204,1.07,1.0,0.0,0.0,2.53,45.12,8.0,15.0,0.96
205,0.25,1.0,0.0,0.0,1.43,45.12,8.0,30.0,0.96
206,0.09,,0.0,0.0,1.05,39.53,8.0,45.0,0.96
207,,,0.0,0.0,0.12,2.08,8.0,60.0,0.96
208,1.16,1.0,0.0,0.0,2.61,45.12,8.0,15.0,0.97
209,0.31,1.0,0.0,0.0,1.52,45.12,8.0,30.0,0.97
210,0.06,,0.0,0.0,1.13,40.09,8.0,45.0,0.97
211,,,0.0,0.0,0.13,2.17,8.0,60.0,0.97
212,1.16,1.0,0.0,0.0,2.55,45.12,8.0,15.0,0.98
213,0.37,1.0,0.0,0.0,1.59,45.12,8.0,30.0,0.98
214,0.02,,0.0,0.0,1.2,41.44,8.0,45.0,0.98
215,,,0.0,0.0,0.13,2.17,8.0,60.0,0.98
216,0.52,1.0,0.0,0.0,1.85,45.12,9.0,15.0,0.9
217,0.16,1.0,0.0,0.0,0.8,39.31,9.0,30.0,0.9
218,0.46,,0.0,0.0,0.48,33.19,9.0,45.0,0.9
219,,,0.0,0.0,0.21,13.71,9.0,60.0,0.9
220,0.65,1.0,0.0,0.0,2.03,45.12,9.0,15.0,0.91
221,0.09,1.0,0.0,0.0,0.95,40.15,9.0,30.0,0.91
222,0.36,,0.0,0.0,0.6,34.66,9.0,45.0,0.91
223,0.64,,0.0,0.0,0.29,24.71,9.0,60.0,0.91
224,0.77,1.0,0.0,0.0,2.2,45.12,9.0,15.0,0.92
225,0.07,1.0,0.0,0.0,1.08,45.12,9.0,30.0,0.92
226,0.26,,0.0,0.0,0.72,36.41,9.0,45.0,0.92
227,0.56,,0.0,0.0,0.37,28.25,9.0,60.0,0.92
228,0.89,1.0,0.0,0.0,2.34,45.12,9.0,15.0,0.93
229,0.11,1.0,0.0,0.0,1.21,45.12,9.0,30.0,0.93
230,0.13,,0.0,0.0,0.83,39.16,9.0,45.0,0.93
231,0.47,,0.0,0.0,0.47,32.04,9.0,60.0,0.93
232,1.01,1.0,0.0,0.0,2.48,45.12,9.0,15.0,0.94
233,0.18,1.0,0.0,0.0,1.32,45.12,9.0,30.0,0.94
234,0.11,,0.0,0.0,0.94,39.34,9.0,45.0,0.94
235,0.49,,0.0,0.0,0.45,32.0,9.0,60.0,0.94
236,1.12,1.0,0.0,0.0,2.59,45.12,9.0,15.0,0.95
237,0.24,1.0,0.0,0.0,1.42,45.12,9.0,30.0,0.95
238,0.09,,0.0,0.0,1.03,39.72,9.0,45.0,0.95
239,0.46,,0.0,0.0,0.48,32.17,9.0,60.0,0.95
240,1.22,1.0,0.0,0.0,2.69,45.12,9.0,15.0,0.96
241,0.3,1.0,0.0,0.0,1.5,45.12,9.0,30.0,0.96
242,0.05,,0.0,0.0,1.11,40.78,9.0,45.0,0.96
243,0.48,,0.0,0.0,0.46,31.96,9.0,60.0,0.96
244,1.32,1.0,0.0,0.0,2.78,45.12,9.0,15.0,0.97
245,0.36,1.0,0.0,0.0,1.58,45.12,9.0,30.0,0.97
246,0.01,,0.0,0.0,1.19,45.12,9.0,45.0,0.97
247,0.47,,0.0,0.0,0.48,32.08,9.0,60.0,0.97
248,1.32,1.0,0.0,0.0,2.72,45.12,9.0,15.0,0.98
249,0.43,1.0,0.0,0.0,1.66,45.12,9.0,30.0,0.98
250,0.04,,0.0,0.0,1.24,45.12,9.0,45.0,0.98
251,0.46,,0.0,0.0,0.49,32.29,9.0,60.0,0.98
