,When,sea,T_a,RH,v_a,Discharge,SW_direct,SW_diffuse,Prec,p_a,a,vp_a,LW_in,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,s_cone,input,vp_ice,thickness,$q_{T}$,$q_{melt}$
51,2021-01-21 05:45:00,0.0,-13.48,46.4,0.765,4.04,-2.503,-0.834,0,697.743,0.35,1.00148,165.9,0.0,0.0,0.0008381538049215959,24.446520884397412,0.02665923760566784,1.1950834769226448,0.024032742035188404,0.5999664123167922,0.0,0.0,680.6512380008515,-151.1151809738914,-0.5434636343329171,-133.97453883563892,-26.494769109933234,-25.401527272251677,9.897590606013656,0.0,0.0,8.981776119551853,0.008904566403441878,1.6908425381939933,0,0.0,0.0,0.004991852530641984,705.697725297566,6.134564490683341,0.00015470800587288577,0.0,-151.1151809738914
52,2021-01-21 06:00:00,0.0,-13.95,58.14,0.744,4.04,-2.295,-0.765,0,697.724,0.35,1.20745,165.6,0.0,0.0,0.0008791262573263782,25.641604361320056,0.027962491124667456,1.2050743653431368,0.022435184005785036,0.6239991543519805,0.0,0.0,699.6321217818937,-152.1553623646015,-0.4985614365943667,-134.27453883563894,-26.66515599443108,-23.712947362456863,9.282893902062888,0.0,0.0,8.981788594478578,0.009339871706320613,1.6908425381939933,0,0.0,0.0,0.00526634870030709,725.897725297566,6.134564107228321,0.00014509975551078852,0.0,-152.1553623646015
53,2021-01-21 06:15:00,0.0,-14.3,49.16,0.522,4.04,-2.187,-0.729,0,697.894,0.35,0.99197,165.4,0.0,0.0,0.000920441062093969,26.846678726663193,0.02927663983278429,1.151516069980627,0.01642925074850053,0.6464343383577655,0.0,0.0,718.6046122325448,-144.77189426367292,-0.4751584529918197,-134.47453883563892,-19.182682058983602,-17.36492940439446,9.36048508394142,0.0,0.0,8.98180177645649,0.009778816158090524,1.6908425381939933,0,0.0,0.0,0.0055237974532487384,746.0977252975661,6.134567538107495,0.00014631258510411696,0.0,-144.77189426367292
54,2021-01-21 06:30:00,0.0,-14.38,45.0,0.438,4.02,-2.244,-0.748,0,698.065,0.35,0.90206,165.2,0.0,0.0,0.0009599194989542776,27.99819479664382,0.03053238254813939,1.1348458583402978,0.014026509604379771,0.6628635891062661,0.0,0.0,737.6366669118157,-142.4075102632328,-0.48760013858117474,-134.67453883563894,-16.189826097913325,-14.825325626883336,8.944454808900653,0.0,0.0,8.981814938089284,0.010198252173475322,1.6908425381939933,0,0.0,0.0,0.005783398475729964,766.2977252975661,6.134570989090722,0.00013980966699206286,0.0,-142.4075102632328
55,2021-01-21 06:45:00,0.0,-14.93,48.27,0.487,4.02667,-2.002,-0.667,0,698.236,0.35,0.9246,165.0,0.0,0.0,0.0009988262429760655,29.133040654984118,0.03176994618864135,1.1557814139349394,0.015528537709609887,0.6768900987106459,0.0,0.0,756.587794543871,-145.1885237070352,-0.43484977258998475,-134.87453883563893,-18.694090000082515,-16.41287021666428,8.81495490127626,0.0,0.0,8.981828449900705,0.01061161611802384,1.6908425381939933,0,0.0,0.0,0.006031461796772739,786.3977252975661,6.134574439996191,0.00013778547532234387,0.0,-145.1885237070352
56,2021-01-21 07:00:00,0.0,-14.88,46.82,0.201,4.02,-2.031,-0.677,0,698.407,0.35,0.90055,164.6,0.0,0.0,0.0010384505517361832,30.288822068919057,0.03303034031506986,1.0780790799505817,0.00643870887795874,0.6924186364202558,0.0,0.0,775.5498345922265,-134.43007596513687,-0.44142091049587456,-135.27453883563894,-7.69167447469216,-6.805375158496547,8.977558255690102,0.0,0.0,8.981842762693299,0.01103260577119024,1.6908425381939933,0,0.0,0.0,0.006275933966836568,806.5310752975661,6.13457789082396,0.00014032712085949926,0.0,-134.43007596513687
57,2021-01-21 07:15:00,0.00753,-14.8,45.7,0.848,4.03,-1.576,-0.525,0,698.509,0.35,0.88485,164.4,0.0,0.0,0.004840258755807004,31.366901148869637,0.034205999071831666,1.2613611199031847,0.027245838923250967,0.6988573452982145,0.0,0.0,794.565316803398,-159.72745305377964,-0.34620836106944874,-135.47453883563892,-32.2806965623599,-28.797368064128325,8.37399070528863,0.0,0.0,8.981856615116277,0.01142529259975685,1.6908425381939933,0,0.0,0.0,0.0065249161420875305,826.6310752975661,6.134579949175477,0.00013089282320160307,0.0,-159.72745305377964
58,2021-01-21 07:30:00,0.0458,-14.95,45.87,0.569,4.05667,0.807,0.269,0,698.611,0.35,0.87717,164.1,0.0,0.0,0.02400891062003367,32.62826226877282,0.03558152919168247,1.1730448608627337,0.018308487232080946,0.7261031842214655,0.0,0.0,813.4267098445715,-147.6722427054317,0.18744387406573867,-135.77453883563894,-21.88276529112332,-19.351037768749247,9.797617547264823,0.0,0.0,8.981873437501738,0.011884739320376564,1.6908425381939933,0,0.0,0.0,0.006757159428908339,846.7810752975661,6.134582007499382,0.00015314541066440684,0.0,-147.6722427054317
59,2021-01-21 07:45:00,0.08289,-15.01,46.62,0.425,4.12667,6.24,2.08,0,698.712,0.35,0.88709,164.2,0.0,0.0,0.04255135012010471,33.80130712963555,0.03686074932348479,1.1275166441939761,0.013649283432486036,0.7444116714535464,0.0,0.0,832.5187064964767,-141.45108788464844,1.5245882760871448,-135.67453883563894,-16.412742202763276,-14.426496209987988,9.111604877666622,0.0,0.0,8.981889677136095,0.012312017128419797,1.6908425381939933,0,0.0,0.0,0.007028885926344613,867.0644252975661,6.134584045616445,0.00014242241785118444,0.0,-141.45108788464844
60,2021-01-21 08:00:00,0.11868,-14.87,50.52,0.554,4.13,23.265,7.755,0,698.814,0.35,0.97252,164.2,0.0,0.0,0.060388222853105473,34.92882377382953,0.038090320364045284,1.1293899768637974,0.017502620444651718,0.7580609548860324,0.0,0.0,852.0108905688503,-142.16067090069632,5.953955803040374,-135.67453883563894,-21.19803739367803,-18.499215343357683,8.757949525580266,0.0,0.0,8.981905827024946,0.012722711430348832,1.6908425381939933,0,0.0,0.0,0.007281587049241375,887.6977752975661,6.134586103885429,0.00013689447151532484,0.0,-142.16067090069632
