,When,h_ice,h_f,r_ice,ice,T_a,Discharge
119,2021-01-31 22:45:00,0.02456335186973487,1.35,1.6771320992284184,66.34682205802856,-2.294,3.58
120,2021-01-31 23:00:00,0.02484986551420029,1.35,1.6771320992284184,67.12070950984518,-2.456,3.58
121,2021-01-31 23:15:00,0.025174232060377548,1.35,1.6771320992284184,67.99683951176549,-2.567,3.58
122,2021-01-31 23:30:00,0.025499756881683332,1.35,1.6771320992284184,68.87609807180172,-3.413,3.58
123,2021-01-31 23:45:00,0.025828521230710326,1.35,1.6771320992284184,69.7641067556163,-4.229,3.58
124,2021-02-01 00:00:00,0.026157606787398646,1.35,1.6771320992284184,70.65298303712939,-5.244,3.58
125,2021-02-01 00:15:00,0.026512717727487027,1.35,1.6771320992284184,71.61215515980423,-6.133,3.58
126,2021-02-01 00:30:00,0.026891012645018215,1.35,1.6771320992284184,72.63394834633685,-6.424,3.58
127,2021-02-01 00:45:00,0.027227929925592514,1.35,1.6771320992284184,73.54397849943172,-7.025,3.58
128,2021-02-01 01:00:00,0.02757278598074564,1.35,1.6771320992284184,74.47545167329727,-7.408,3.58
129,2021-02-01 01:15:00,0.027894164794253447,1.35,1.6771320992284184,75.3435116622638,-7.659,3.58
130,2021-02-01 01:30:00,0.028199087093364203,1.35,1.6771320992284184,76.16712179608894,-7.944,3.58
131,2021-02-01 01:45:00,0.028469714147784805,1.35,1.6771320992284184,76.8980987864831,-8.26,3.58
132,2021-02-01 02:00:00,0.02869617996890627,1.35,1.6771320992284184,77.5097941127502,-8.31,3.58
133,2021-02-01 02:15:00,0.028911016228034984,1.35,1.6771320992284184,78.0900774198337,-8.34,3.58
134,2021-02-01 02:30:00,0.029088575660962842,1.35,1.6771320992284184,78.5696741851149,-8.25,3.58
135,2021-02-01 02:45:00,0.029242086734095035,1.35,1.6771320992284184,78.98431514727072,-8.12,3.58
136,2021-02-01 03:00:00,0.02938488182172316,1.35,1.6771320992284184,79.37001170529207,-8.0,3.58
