,time,SW_diffuse,cld,sea,Discharge,temp,RH,wind,SW_global,ppt,press,alb,vp_a,LW_in,SW_direct,e_a,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
2551,2021-05-04 07:00:00,84.768,0.34,0.31,0.0,5.558,28.338,0.92,297.6,0,624.728,0.25,2.571,221.507,212.832,0.647,-7.151428378737322,-2.9967055116278165,0.20637068967921926,435766.5340814633,475.2088703178444,3.074046230204393,78660.41202027258,0.0,2.3317952143747487,2480361.1826173603,80.95972581101003,96.5177149693557,-53.83471381990199,45.20782788168118,-7.667579856470562,0.0,0.7364766363457098,89467.14650933462,317.1681513993837,5.114810533620809,9.419181920855735,0.0,0.0,0.0,-7.6117602873841804e-06,0.0,0.0,80.95972581101003,0.0,,3084255.2752284347,0.0,0.5430206759565513,3.3375756121052813
2552,2021-05-04 08:00:00,100.308,0.271,0.526,0.0,6.869,26.99,1.451,471.225,0,624.942,0.25,2.68,226.905,370.917,0.651,-4.819633164362573,-2.997625746614788,0.2862939484300209,435763.4600352331,475.2055180318791,8.85513602290327,78663.48606650278,0.0,4.046299277028218,2480361.1826173603,140.487156847233,154.87446935236352,-58.21920717447054,65.59635060811502,-22.087430320624758,0.0,0.32297438184974864,89467.14650933462,317.1666597891899,5.114798506384677,9.419159772092963,0.0,0.0,0.0,-1.056942807948922e-05,0.0,0.0,140.487156847233,0.0,,3084255.2752284347,0.0,0.5430206759565513,4.0801104531490235
2553,2021-05-04 09:00:00,119.255,0.233,0.742,0.0,8.105,25.315,1.907,755.075,0,624.753,0.25,2.736,231.467,635.82,0.652,-0.7733338873343554,-2.998029307312152,0.3529117293242778,435754.6048992102,475.1958613949948,24.923940069767212,78672.34120252568,555.6267119072196,0.7733338873343554,2480361.1826173603,189.38453922359855,257.7325018042217,-71.24831433838895,65.46351805970112,-62.16880759178769,0.0,-0.3943587101476155,89467.14650933462,317.16236301860357,5.11476386026168,9.419095969507664,0.0,0.0,0.0,-3.0446569922323645e-05,0.0,0.0,26.850084901533677,162.53445432206487,,3084255.2752284347,0.0,0.5430206759565513,5.734515944943686
2554,2021-05-04 10:00:00,142.005,0.21,0.95,0.0,9.68,22.165,2.157,950.0,0,624.228,0.25,2.664,235.616,807.995,0.649,0.0,-2.9975365476288807,0.4015903556450401,435174.05424723326,474.5627636283896,32.39708081236587,78697.26514259545,951.4327397425739,-0.0,2480361.1826173603,278.5649089288825,349.8659995570606,-70.55186980679892,80.66359464785276,-80.88122356202368,0.0,-0.5315919072082056,90022.77322124183,316.8805993466843,5.112491404520998,9.41491112749096,0.0,0.0,0.0,-0.001996131446933596,0.0,0.0,0.0,278.56490892888246,,3084255.2752284347,0.0,0.5430206759565513,6.112911778902558
2555,2021-05-04 11:00:00,161.084,0.198,1.135,0.0,11.635,18.607,2.872,1078.5,0,623.56,0.25,2.548,240.422,917.416,0.645,0.0,-2.996872016870061,0.4303886371537556,434190.2244266783,473.48988487096875,44.51963233665876,78729.66222340782,1256.0603277911048,-0.0,2480361.1826173603,368.31051337780343,416.9470664572874,-65.74586980679894,128.95491386223188,-111.31372195873364,0.0,-0.5318751761832424,90974.20596098441,316.4028224406067,5.108635769709778,9.4078107812575,0.0,0.0,0.0,-0.003385750846321259,0.0,0.0,0.0,368.31051337780343,,3084255.2752284347,0.0,0.5430206759565513,6.112911778902558
2556,2021-05-04 12:00:00,169.583,0.193,1.247,0.0,13.05,16.122,3.458,1086.0,0,622.708,0.25,2.423,243.308,916.417,0.64,0.0,-2.9962066301954495,0.44072766416373893,432889.64446655056,472.0715861140137,55.372069519927756,78774.18185574448,1367.869655874689,-0.0,2480361.1826173603,401.89897226460715,430.10499285745584,-62.85986980679894,173.91168780923505,-138.725549502636,0.0,-0.5322890926488145,92230.26628877551,315.7706680527466,5.103529839921055,9.398407953676895,0.0,0.0,0.0,-0.004482573025154584,0.0,0.0,0.0,401.8989722646071,,3084255.2752284347,0.0,0.5430206759565513,6.112911778902558
2557,2021-05-04 13:00:00,167.078,0.194,1.211,0.0,13.545,16.17,3.6,706.675,0,621.669,0.25,2.51,246.173,539.597,0.643,0.0,-2.995540059485276,0.43800185088832916,431466.40274115594,470.51952316374695,56.16327665378598,78829.55392526441,980.2005223350623,-0.0,2480361.1826173603,288.62941225554505,302.5668635503423,-59.99486980679893,187.6072190099493,-141.01704532455582,0.0,-0.532755173391845,93598.1359446502,315.0781672879112,5.097930621135064,9.388096709494288,0.0,0.0,0.0,-0.004915158712611967,0.0,0.0,0.0,288.62941225554505,,3084255.2752284347,0.0,0.5430206759565513,6.112911778902558
2558,2021-05-04 14:00:00,153.674,0.203,1.056,0.0,11.975,21.348,6.576,362.525,0,621.221,0.25,2.99,247.111,208.851,0.659,0.0,-2.9948721723584617,0.419841881166895,430430.03894216707,469.3893554440208,88.78131111020785,78885.71720191819,681.2116208429622,-0.0,2480361.1826173603,200.91112143085712,181.01879754269038,-59.05686980679894,302.7556656560825,-223.27340843033244,0.0,-0.5330635307843642,94578.33646698526,314.5734289276698,5.093845678513822,9.380574081347493,0.0,0.0,0.0,-0.003586943930308692,0.0,0.0,2.842170943040401e-14,200.9111214308571,,3084255.2752284347,0.0,0.5430206759565513,6.112911778902558
2559,2021-05-04 15:00:00,131.644,0.219,0.858,0.0,10.165,32.335,4.651,207.875,0,621.65,0.25,4.015,251.491,76.231,0.688,0.0,-2.9942033627468976,0.38208652555797884,429660.0460102139,468.54966849532593,42.13230251059493,78974.4985130284,478.09541099293153,-0.0,2480361.1826173603,141.1740604404056,120.57812844735771,-54.67686980679892,181.88985829162974,-106.08379383087687,0.0,-0.5332626609060579,95259.54808782823,314.1981583536161,5.090806418584872,9.374977130690697,0.0,0.0,0.0,-0.002669287585913468,0.0,0.0,2.842170943040401e-14,141.1740604404056,,3084255.2752284347,0.0,0.5430206759565513,6.112911778902558
2560,2021-05-04 16:00:00,109.995,0.248,0.645,0.0,10.085,32.303,3.888,104.885,0,622.047,0.25,3.99,250.989,-5.11,0.688,0.0,-2.993533903861318,0.32485552315353033,429139.8182967104,467.98235364962966,35.61140135957688,79016.630815539,293.55406481103904,-0.0,2480361.1826173603,86.75194110337848,81.2512412075141,-55.17886980679893,150.95037033799613,-89.7374418553373,0.0,-0.5333587799955399,95737.64349882115,313.9444886696754,5.088750957759347,9.371191895769568,0.0,0.0,0.0,-0.0018055957064451848,0.0,0.0,1.4210854715202004e-14,86.75194110337848,,3084255.2752284347,0.0,0.5430206759565513,6.112911778902558
