,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,vp_a,p_a,missing,a,cld,e_a,LW_in,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice,thickness
105,2020-12-27 05:45:00,0.0,-9.7,93.1,0.5,0.0,0.0,0,2.7,787.381,0,0.35,0,0.645,176.05,3.58,0.0,-1.4465119308310628e-05,0.017643828238130564,45.819771198242464,0.0499670351125872,0.6325678167105389,0.007676553312707825,0.5881103698998241,0.0,0.0,4250.183062414702,-130.81109581683006,0.0,-123.82453883563892,-15.117271268230096,-11.948752577029857,8.130795801813225,-8.151477428153097e-05,-0.5930906690614044,1.794595052099354,0.08404726845432595,0.7534695044478923,0,0.0,0.0,0.0,-130.81109581683006,0.11001951948099944,1432.005529867098,6.136364068147186,0.00038133757456765917
106,2020-12-27 06:00:00,0.0,-9.55,93.5,0.0,0.0,0.0,0,2.75,787.2,0,0.35,0,0.646,176.9,3.58,0.0,-1.309488777083186e-05,0.01788435616565705,46.452339014953004,0.050656858249676126,0.5551345900666577,0.0,0.5957869232125319,0.0,0.0,4303.250494597992,-114.77877843971322,0.0,-122.97453883563892,-0.0,-0.0,8.195834189082756,-7.379315705111894e-05,-0.5930906690614044,1.7949016127929722,0.08520758845847029,0.7534695044478923,0,0.0,0.0,0.0,-114.77877843971322,0.1115470074875982,1449.905529867098,6.136360451314473,0.00038438930068482573
107,2020-12-27 06:15:00,0.0,-9.4,92.4,0.5,0.0,0.0,0,2.8,787.096,0,0.35,0,0.648,177.745,3.58,0.0,-1.1871136288782188e-05,0.018095338696708558,47.00747360501966,0.05126223948202799,0.6268290578346413,0.0074555535636791,0.5957869232125319,0.0,0.0,4356.395360007925,-129.5825471878769,0.0,-122.12953883563893,-14.644424188845854,-11.601017796129613,7.19148273360153,-6.689699368669675e-05,-0.6005462226250835,1.7951740660914226,0.08622587258995902,0.7534695044478923,0,0.0,0.0,0.0,-129.5825471878769,0.11308697691873605,1467.8055298670981,6.13635837310687,0.0003372782263033646
108,2020-12-27 06:30:00,0.0,-9.3,93.9,0.75,0.0,0.0,0,2.8,786.993,0,0.35,0,0.648,178.005,3.58,0.0,-1.0774682493987033e-05,0.018333453000684376,47.6343026628543,0.051945804430593566,0.6554746762041033,0.011185263861114672,0.603242476776211,0.0,0.0,4409.46853095009,-135.48086528076132,0.0,-121.86953883563893,-21.730104672523456,-17.401515958957212,8.118838945587541,-6.071818646859759e-05,-0.6117314864861981,1.7954855461485106,0.0873756659809138,0.7534695044478923,0,0.0,0.0,0.0,-135.48086528076132,0.11443843723063665,1485.7055298670982,6.136356314862259,0.0003807792021271173
109,2020-12-27 06:45:00,0.0,-9.3,93.1,0.0,0.0,0.0,0,2.8,786.89,0,0.35,0,0.648,178.005,3.58,0.0,-9.79242585668262e-06,0.018582315545729537,48.2897773390584,0.05266060778523272,0.548654799217511,0.0,0.6144277406373256,0.0,0.0,4462.513056273886,-113.38129064123149,0.0,-121.86953883563893,-0.0,-0.0,8.488303377317889,-5.5182910445647456e-05,-0.6117314864861981,1.7958156147501985,0.0885780040684958,0.7534695044478923,0,0.0,0.0,0.0,-113.38129064123149,0.11596443580677981,1503.6055298670983,6.136354256597958,0.0003981114502271962
110,2020-12-27 07:00:00,0.0,-9.1,93.9,0.5,0.0,0.0,0,2.9,786.786,0,0.35,0,0.651,179.423,3.58,0.0,-8.911670644908139e-06,0.018790515927752653,48.83843213827591,0.05325892272440121,0.6171643964255719,0.007235787268891957,0.6144277406373256,0.0,0.0,4515.664401474668,-127.51915953197805,0.0,-120.45153883563893,-14.171465277694097,-11.253281277572341,7.103894800976783,-5.021962180938777e-05,-0.6189672737550901,1.7960953141184766,0.08958440231084137,0.7534695044478923,0,0.0,0.0,0.0,-127.51915953197805,0.11756017137468844,1521.5055298670984,6.136352178330525,0.0003331716988393171
111,2020-12-27 07:15:00,0.0,-8.8,93.9,0.5,0.112,4.784,0,3.0,786.611,0,0.35,0,0.654,181.086,3.58,0.0,-8.11901385654006e-06,0.019024597025285712,49.455596534701485,0.05393194823849671,0.5876013474797172,0.007013443837388445,0.6216635279062176,0.0,0.0,4568.7472370782425,-121.38929552159061,3.110984990663441,-118.78853883563892,-13.701225956782311,-10.905554139135592,7.989530032958271,-4.575279109687335e-05,-0.6259807175924785,1.7964136624781568,0.09071646780026534,0.7534695044478923,0,0.0,0.0,0.0,-121.38929552159061,0.11889585680907509,1539.4055298670985,6.136348681200558,0.0003747159233728189
112,2020-12-27 07:30:00,0.032,-8.6,93.9,0.5,0.224,9.568,0,3.0,786.436,0,0.35,0,0.654,181.615,3.58,0.0,-7.405746125536744e-06,0.03511735222155324,50.043197882181204,0.05457273487696969,0.5704046251744046,0.007014633651126444,0.628676971743606,0.0,0.0,4621.859635730762,-117.81660157357706,6.224313086483458,-118.25953883563892,-13.386855576169808,-10.905541978892977,7.605521485086942,-4.173333872625717e-05,-0.632995351243605,1.7967204231331755,0.09179430574891154,0.7534695044478923,0,0.0,0.0,0.0,-117.81660157357706,0.12039832702550872,1557.3055298670986,6.136345184013675,0.0003567032760088271
113,2020-12-27 07:45:00,0.067,-8.2,93.9,1.5,0.336,14.353,0,3.1,786.261,0,0.35,0,0.657,183.534,3.58,0.0,-6.7626695961193324e-06,0.05264348491260441,50.61360250735561,0.055194768274106444,0.6677594437161632,0.02037632384639522,0.6356916053947325,0.0,0.0,4674.989231105588,-137.9020409277264,9.340947337104913,-116.34053883563894,-38.28411240541243,-31.673444520180812,7.381701085652397,-3.8109432346785154e-05,-0.6533716750900002,1.7970216208933414,0.09284059972650917,0.7534695044478923,0,0.0,0.0,0.0,-137.9020409277264,0.12182882678997628,1575.2055298670987,6.136341686769835,0.00034620489038135086
114,2020-12-27 08:00:00,0.101,-7.8,94.35,1.25,0.448,19.137,0,3.2,786.086,0,0.35,0,0.66,185.444,3.58,0.0,-6.181955175043862e-06,0.06964171215919411,51.28136195107177,0.05592296832177947,0.5989715601768226,0.01642427693701074,0.6560679292411277,0.0,0.0,4728.021471661872,-123.67178168385263,12.459329666580759,-114.43053883563894,-30.340407831757776,-25.52521925257351,8.639870153916288,-3.483695294671546e-05,-0.6697959520270109,1.7973784981072958,0.09406547177980036,0.7534695044478923,0,0.0,0.0,0.0,-123.67178168385263,0.12321746159393468,1593.1055298670988,6.136338189469004,0.00040522609144291705
115,2020-12-27 08:15:00,0.132,-7.2,94.7,1.5,5.206,37.542,0,3.4,785.868,0,0.35,0,0.665,188.694,3.58,0.0,-5.657915423527705e-06,0.08505935690990911,51.880333511248594,0.056576154319791266,0.5441895834904703,0.018369984920737128,0.6724922061781384,0.0,0.0,4781.122500101696,-112.34049991831414,24.690132357847443,-111.18053883563894,-33.59851612984219,-28.543927785859232,7.748454573169848,-3.188385030380487e-05,-0.6881659369477481,1.7977025305307355,0.09516416612501825,0.7534695044478923,0,0.0,0.0,0.0,-112.34049991831414,0.1248431040997833,1611.0055298670989,6.13633383275162,0.0003634103772241799
116,2020-12-27 08:30:00,0.163,-6.8,95.1,0.75,9.965,55.946,0,3.5,785.649,0,0.35,0,0.668,190.579,3.58,0.0,-5.183749968175574e-06,0.10036854518597216,52.424523094739065,0.05716959988521163,0.3929391312998217,0.008850774927879886,0.6908621910988756,0.0,0.0,4834.278310518205,-81.10348523010828,37.01501215930583,-109.29553883563892,-15.861544537773822,-13.750368597202066,7.038615195801152,-2.9211802514823145e-05,-0.697016711875628,1.7980001377496528,0.09616237381609956,0.7534695044478923,0,0.0,0.0,0.0,-81.10348523010828,0.12630128434295448,1628.905529867099,6.136329455960109,0.0003301133281740207
