time,cam_temp
2020-01-25 06:00:00,-2.367
2020-01-25 07:00:00,-3.069
2020-01-25 08:00:00,-3.086
2020-01-25 09:00:00,-2.612
2020-01-25 10:00:00,-2.833
2020-01-25 11:00:00,-1.829
2020-01-25 12:00:00,-0.036
2020-01-25 13:00:00,-2.317
2020-01-25 14:00:00,-2.705
2020-01-25 15:00:00,-2.99
2020-01-25 16:00:00,-2.915
2020-01-25 17:00:00,-3.771
2020-01-25 18:00:00,-3.836
2020-01-25 19:00:00,-4.076
2020-01-25 20:00:00,-4.323
2020-01-25 21:00:00,-3.968
2020-01-25 22:00:00,-4.121
2020-01-25 23:00:00,-3.93
2020-01-26 00:00:00,-4.106
2020-01-26 02:00:00,-2.477
2020-01-26 03:00:00,-2.863
2020-01-26 04:00:00,-2.895
2020-01-26 05:00:00,-1.986
2020-01-26 06:00:00,-1.972
2020-01-26 07:00:00,-2.716
2020-01-26 08:00:00,-1.728
2020-01-26 09:00:00,-2.497
2020-01-26 10:00:00,-2.67
2020-01-26 11:00:00,-1.256
2020-01-26 12:00:00,-0.591
2020-01-26 13:00:00,-2.641
2020-01-26 14:00:00,-2.397
2020-01-26 15:00:00,-3.134
2020-01-26 16:00:00,-2.787
2020-01-26 17:00:00,-3.46
2020-01-26 18:00:00,-2.988
2020-01-26 19:00:00,-3.086
2020-01-26 20:00:00,-3.826
2020-01-26 21:00:00,-3.821
2020-01-26 22:00:00,-4.082
2020-01-26 23:00:00,-3.084
2020-01-27 00:00:00,-4.261
2020-01-27 01:00:00,-4.953
2020-01-27 02:00:00,-5.66
2020-01-27 03:00:00,-5.127
2020-01-27 04:00:00,-3.163
2020-01-27 05:00:00,-3.161
2020-01-27 06:00:00,-3.118
2020-01-27 07:00:00,-3.834
2020-01-27 08:00:00,-3.98
2020-01-27 09:00:00,-3.712
2020-01-27 10:00:00,-2.697
2020-01-27 11:00:00,-0.143
2020-01-27 12:00:00,-0.621
2020-01-27 13:00:00,-2.576
2020-01-27 14:00:00,-3.242
2020-01-27 15:00:00,-3.031
2020-01-27 16:00:00,-3.302
2020-01-27 17:00:00,-3.294
2020-01-27 18:00:00,-3.647
2020-01-27 19:00:00,-3.42
2020-01-27 20:00:00,-1.415
2020-01-27 21:00:00,-2.043
2020-01-27 22:00:00,-2.154
2020-01-27 23:00:00,-2.062
2020-01-28 00:00:00,-2.451
2020-01-28 01:00:00,-1.952
2020-01-28 02:00:00,-1.879
2020-01-28 03:00:00,-1.511
2020-01-28 05:00:00,-2.293
2020-01-28 06:00:00,-2.198
2020-01-28 07:00:00,-2.57
2020-01-28 08:00:00,-1.913
2020-01-28 09:00:00,-1.886
2020-01-28 10:00:00,-2.08
2020-01-29 23:00:00,-2.159
2020-01-30 00:00:00,-2.678
2020-01-30 07:00:00,-3.59
2020-01-30 10:00:00,-3.212
2020-01-30 11:00:00,-0.503
2020-01-30 12:00:00,-0.309
2020-01-30 13:00:00,-2.889
2020-01-30 14:00:00,-3.724
2020-01-30 15:00:00,-3.908
2020-01-30 16:00:00,-4.101
2020-01-30 17:00:00,-3.778
2020-01-30 18:00:00,-3.778
2020-01-30 19:00:00,-3.754
2020-01-30 20:00:00,-4.091
2020-01-30 21:00:00,-3.488
2020-01-30 22:00:00,-3.617
2020-01-30 23:00:00,-3.578
2020-01-31 00:00:00,-3.538
2020-01-31 01:00:00,-3.621
2020-01-31 02:00:00,-4.278
2020-01-31 03:00:00,-3.444
2020-01-31 04:00:00,-1.604
2020-01-31 05:00:00,-1.476
2020-01-31 06:00:00,-1.208
2020-01-31 07:00:00,-1.262
2020-01-31 08:00:00,-0.918
2020-01-31 09:00:00,-0.941
2020-01-31 10:00:00,-0.887
2020-01-31 11:00:00,-0.935
2020-01-31 12:00:00,-0.105
2020-01-31 13:00:00,-1.835
2020-01-31 14:00:00,-2.295
2020-01-31 15:00:00,-3.039
2020-01-31 16:00:00,-3.68
2020-01-31 17:00:00,-4.44
2020-01-31 18:00:00,-4.173
2020-01-31 19:00:00,-4.537
2020-01-31 20:00:00,-4.043
2020-01-31 21:00:00,-5.438
2020-01-31 22:00:00,-6.07
2020-01-31 23:00:00,-6.707
2020-02-01 00:00:00,-7.288
2020-02-01 01:00:00,-6.524
2020-02-01 02:00:00,-6.77
2020-02-01 03:00:00,-7.107
2020-02-01 04:00:00,-5.511
2020-02-01 05:00:00,-2.183
2020-02-01 06:00:00,-2.215
2020-02-01 07:00:00,-2.848
2020-02-01 08:00:00,-3.931
2020-02-01 09:00:00,-2.63
2020-02-01 10:00:00,-1.947
2020-02-01 11:00:00,-1.2
2020-02-01 12:00:00,-0.7
2020-02-01 13:00:00,-0.652
2020-02-01 14:00:00,-2.417
2020-02-01 15:00:00,-2.072
2020-02-01 16:00:00,-2.361
2020-02-01 17:00:00,-2.065
2020-02-01 18:00:00,-2.859
2020-02-01 19:00:00,-2.46
2020-02-01 20:00:00,-2.926
2020-02-01 21:00:00,-2.905
2020-02-01 22:00:00,-3.321
2020-02-01 23:00:00,-3.436
2020-02-02 00:00:00,-2.657
2020-02-02 01:00:00,-2.895
2020-02-02 02:00:00,-3.056
2020-02-02 03:00:00,-3.204
2020-02-02 04:00:00,-1.437
2020-02-02 05:00:00,-1.238
2020-02-02 06:00:00,-1.684
2020-02-02 07:00:00,-0.924
2020-02-02 08:00:00,-1.467
2020-02-02 09:00:00,-1.056
2020-02-02 10:00:00,-1.006
2020-02-02 11:00:00,-1.295
2020-02-02 12:00:00,-1.066
2020-02-02 13:00:00,-1.057
2020-02-02 14:00:00,-0.469
2020-02-02 15:00:00,-0.701
2020-02-02 16:00:00,-0.96
2020-02-02 17:00:00,-0.78
2020-02-02 18:00:00,-0.886
2020-02-02 19:00:00,-0.953
2020-02-02 20:00:00,-0.76
2020-02-02 21:00:00,-0.932
2020-02-02 22:00:00,-1.117
2020-02-02 23:00:00,-1.082
2020-02-03 00:00:00,-0.728
2020-02-03 01:00:00,-1.004
2020-02-03 02:00:00,-0.803
2020-02-03 03:00:00,-0.567
2020-02-03 04:00:00,-1.154
2020-02-03 05:00:00,-0.896
2020-02-03 06:00:00,-0.883
2020-02-03 07:00:00,-0.549
2020-02-03 08:00:00,-0.726
2020-02-03 09:00:00,-1.363
2020-02-03 10:00:00,-0.463
2020-02-03 11:00:00,-1.38
2020-02-03 12:00:00,-0.463
2020-02-03 13:00:00,-0.841
2020-02-03 14:00:00,-1.178
2020-02-03 15:00:00,-0.383
2020-02-03 16:00:00,-0.329
2020-02-03 17:00:00,-0.297
2020-02-03 18:00:00,-0.941
2020-02-03 19:00:00,-0.212
2020-02-03 20:00:00,-0.916
2020-02-03 21:00:00,-0.981
2020-02-03 22:00:00,-1.019
2020-02-03 23:00:00,-1.528
2020-02-04 00:00:00,-0.846
2020-02-04 01:00:00,-1.213
2020-02-04 02:00:00,-0.711
2020-02-04 03:00:00,-0.375
2020-02-04 04:00:00,-0.183
2020-02-04 05:00:00,-0.57
2020-02-04 19:00:00,-2.847
2020-02-05 13:00:00,-1.903
2020-02-05 14:00:00,-1.898
2020-02-05 15:00:00,-2.21
2020-02-05 16:00:00,-2.379
2020-02-06 11:00:00,-0.946
2020-02-06 12:00:00,-1.87
2020-02-06 13:00:00,-2.595
2020-02-07 11:00:00,-1.53
2020-02-07 13:00:00,-1.544
2020-02-07 14:00:00,-3.658
2020-02-07 17:00:00,-3.367
2020-02-08 10:00:00,-2.536
2020-02-08 11:00:00,-0.641
2020-02-08 13:00:00,-0.459
2020-02-08 14:00:00,-1.668
2020-02-08 15:00:00,-1.822
2020-02-08 16:00:00,-3.091
2020-02-08 17:00:00,-4.37
2020-02-08 20:00:00,-2.953
2020-02-09 08:00:00,-2.385
2020-02-09 10:00:00,-2.743
2020-02-09 11:00:00,-0.468
2020-02-09 13:00:00,-0.607
2020-02-09 14:00:00,-2.989
2020-02-09 15:00:00,-3.955
2020-02-09 16:00:00,-3.378
2020-02-09 17:00:00,-3.641
2020-02-09 18:00:00,-4.069
2020-02-09 19:00:00,-3.763
2020-02-09 20:00:00,-3.534
2020-02-09 21:00:00,-3.632
2020-02-09 22:00:00,-4.703
2020-02-09 23:00:00,-2.654
2020-02-10 00:00:00,-3.515
2020-02-10 01:00:00,-3.09
2020-02-10 02:00:00,-3.337
2020-02-10 03:00:00,-3.336
2020-02-10 04:00:00,-1.399
2020-02-10 05:00:00,-0.927
2020-02-10 06:00:00,-1.103
2020-02-10 07:00:00,-1.306
2020-02-10 08:00:00,-0.876
2020-02-10 09:00:00,-1.119
2020-02-10 10:00:00,-0.384
2020-02-10 11:00:00,-0.642
2020-02-10 12:00:00,-0.584
2020-02-10 13:00:00,-0.49
2020-02-10 15:00:00,-1.035
2020-02-10 16:00:00,-1.133
2020-02-10 17:00:00,-0.503
2020-02-10 18:00:00,-1.253
2020-02-10 19:00:00,-0.921
2020-02-10 20:00:00,-1.088
2020-02-10 21:00:00,-1.022
2020-02-10 22:00:00,-1.228
2020-02-10 23:00:00,-0.688
2020-02-11 00:00:00,-0.504
2020-02-11 01:00:00,-0.692
2020-02-11 02:00:00,-0.752
2020-02-11 03:00:00,-1.756
2020-02-11 04:00:00,-0.529
2020-02-11 05:00:00,-0.563
2020-02-11 06:00:00,-1.204
2020-02-11 07:00:00,-1.52
2020-02-11 08:00:00,-2.6
2020-02-11 09:00:00,-2.6
2020-02-11 10:00:00,-2.183
2020-02-11 11:00:00,-2.483
2020-02-11 12:00:00,-1.057
2020-02-11 13:00:00,-1.057
2020-02-11 14:00:00,-1.16
2020-02-11 15:00:00,-0.977
2020-02-11 16:00:00,-1.348
2020-02-11 22:00:00,-2.324
2020-02-11 23:00:00,-1.932
2020-02-12 12:00:00,-1.774
2020-02-12 13:00:00,-1.555
2020-02-12 14:00:00,-1.871
2020-02-12 15:00:00,-2.037
2020-02-12 16:00:00,-2.498
2020-02-12 17:00:00,-1.768
2020-02-12 18:00:00,-2.108
2020-02-12 19:00:00,-2.384
2020-02-12 20:00:00,-2.465
2020-02-12 21:00:00,-2.899
2020-02-12 22:00:00,-2.775
2020-02-12 23:00:00,-3.004
2020-02-13 00:00:00,-3.53
2020-02-13 01:00:00,-3.38
2020-02-13 02:00:00,-3.519
2020-02-13 03:00:00,-3.3
2020-02-13 04:00:00,-4.809
2020-02-13 05:00:00,-2.545
2020-02-13 06:00:00,-3.261
2020-02-13 07:00:00,-2.854
2020-02-13 08:00:00,-3.619
2020-02-13 09:00:00,-2.811
2020-02-13 10:00:00,-1.31
2020-02-13 11:00:00,-1.942
2020-02-13 12:00:00,-1.236
2020-02-13 13:00:00,-0.746
2020-02-13 14:00:00,-1.214
2020-02-13 15:00:00,-1.322
2020-02-13 16:00:00,-2.06
2020-02-13 17:00:00,-2.815
2020-02-13 18:00:00,-2.339
2020-02-13 19:00:00,-2.475
2020-02-13 20:00:00,-1.633
2020-02-14 12:00:00,-0.126
2020-02-14 13:00:00,-2.187
2020-02-14 14:00:00,-2.352
2020-02-14 15:00:00,-2.813
2020-02-14 16:00:00,-4.093
2020-02-14 17:00:00,-4.333
2020-02-14 18:00:00,-4.949
2020-02-14 21:00:00,-3.559
2020-02-14 22:00:00,-3.664
2020-02-15 00:00:00,-3.784
2020-02-15 01:00:00,-3.868
2020-02-15 03:00:00,-3.404
2020-02-15 07:00:00,-3.153
2020-02-15 09:00:00,-3.123
2020-02-15 10:00:00,-1.557
2020-02-15 11:00:00,-1.154
2020-02-15 14:00:00,-3.288
2020-02-15 15:00:00,-2.947
2020-02-15 16:00:00,-3.78
2020-02-15 17:00:00,-4.432
2020-02-15 18:00:00,-4.837
2020-02-15 19:00:00,-5.116
2020-02-15 20:00:00,-5.114
2020-02-15 21:00:00,-5.232
2020-02-15 22:00:00,-4.006
2020-02-15 23:00:00,-4.513
2020-02-16 00:00:00,-4.158
