,time,sea,temp,RH,ppt,wind,SW_global,LW_in,press,missing_type,alb,vp_a,cld,SW_diffuse,SW_direct,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,snow2ice,dep,t_cone,fountain_runoff,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
1435,2020-01-29 19:00:00,0.0,-5.98,71.32,0.0,0.642,-1.517,216.816,641.758,-,0.25,2.787,0,-0.0,-1.517,60,-0.3409632077680534,-1.6351048193576918,0.044451209990383656,402063.92311003915,438.4557503926272,8.4206127403914,14860.013535035348,0.0,-1.0569983316253027,4772415.798251661,-84.64545336057249,-0.050574364166559,-87.84573537824329,-9.74705703366564,-14.934493023416193,28.153330847331315,-0.22092440841211436,9157.804185707051,446.0573446211032,3.7558773603157114,10.55827269708237,0.0,0.0,0.0003636730388881967,3247.330831126077,352.6691688739229,-11.29196602666969,,-73.35348733390279,5198497.539082444,1.0,0.35559678494406316,5.943360054921309
1436,2020-01-29 20:00:00,0.0,-6.078,79.41,0.0,0.623,-2.0,184.884,641.325,-,0.25,3.08,0,-0.0,-2.0,60,-1.397961539393356,-1.6346840507220326,0.04448498926274017,402408.1716661727,438.8311577602756,6.122567393953429,14868.43414777574,0.0,0.3816114721719337,4775663.129082787,-105.74285531862107,-0.06672748389411026,-115.08345926969102,-7.845166436483489,-10.857718585629819,28.150622406097813,-0.040405949020431625,9157.804185707051,446.1002609050578,3.759093155824799,10.55827269708237,0.0,0.0,0.0008416123446353672,3071.957976788656,528.0420232113436,4.076774437786376,,-109.81962975640744,5202097.539082444,1.0,0.35572839119353256,5.444598194934534
1437,2020-01-29 21:00:00,0.0,-6.57,82.3,0.0,0.794,-0.183,272.656,641.11,-,0.25,3.074,0,-0.0,-0.183,60,-1.0163500672214223,-1.6346071527179287,0.0445361838312152,402930.0911219901,439.40031747218114,8.40430922082459,14874.556715169694,0.0,-0.37856693932196134,4778735.087059575,-27.729467108161312,-0.006112591230834286,-28.999945161746666,-11.862445348093786,-14.901968126753294,28.146513177032666,-0.10550905736940111,9157.804185707051,446.1653889778159,3.7639686628159508,10.55827269708237,0.0,0.0,0.0012758560390680933,3486.0985403839586,113.90145961604154,-4.044249541123479,,-23.68521756703783,5205697.539082444,1.0,0.35603296710299703,5.620090285447143
1438,2020-01-29 22:00:00,0.0,-6.414,75.49,0.0,0.85,-0.083,265.007,640.445,-,0.25,2.853,0,-0.0,-0.083,60,-1.3949170065433836,-1.6344065854824732,0.044546529219045956,403035.5882723853,439.5153634377157,9.16480994755042,14882.961024390519,0.0,-0.1261802619670614,4782221.185599959,-34.58890188539236,-0.002773021443885611,-34.973902055788585,-11.467082143590613,-16.249958174360508,28.145682137898227,-0.04086862810699181,9157.804185707051,446.1785626112299,3.764954163717604,10.55827269708237,0.0,0.0,0.00025785497570331406,3440.1407899724236,159.85921002757647,-1.3479900476072153,,-33.24091183778515,5209297.539082444,1.0,0.3564947383728847,5.445978301778669
1439,2020-01-29 23:00:00,0.0,-6.44,70.74,0.0,0.788,-0.317,256.214,640.111,-,0.25,2.669,0,-0.0,-0.317,60,-1.521097268510445,-1.6343289143864668,0.04456130520419679,403186.2826724653,439.67969757084546,8.913406091309424,14892.125834338069,0.0,0.04178828270564473,4785661.326389932,-41.31255152091448,-0.010594450312297787,-43.21014611451784,-10.413452149143316,-15.80353186080197,28.144494814103833,-0.01932176024289108,9157.804185707051,446.1973854192937,3.766361874414969,10.55827269708237,0.0,0.0,0.0003683147217294133,3399.1679993440516,200.8320006559484,0.446426313558538,,-41.75897783447302,5212897.539082444,1.0,0.3565880775894334,5.38904630822701
1440,2020-01-30 00:00:00,0.0,-7.137,69.94,0.0,0.832,-1.033,202.034,640.186,-,0.25,2.5,0,-0.0,-1.033,60,-1.4793089858048,-1.6342922054305635,0.04458012062324003,403378.2012670299,439.888987205049,10.061970038071912,14901.039240429378,0.0,-0.19053109504946006,4789060.494389276,-99.97991002164612,-0.03453844845285521,-97.57444621608926,-12.648478229462254,-17.838985075770104,28.142982259233264,-0.026444311104928845,9157.804185707051,446.2213664609024,3.7681546806403405,10.55827269708237,0.0,0.0,0.0004690516821537272,3128.9291207402152,471.0708792597846,-2.0354532149681344,,-97.94445680667798,5216497.539082444,1.0,0.3567214053351502,5.40784065825423
1441,2020-01-30 01:00:00,0.0,-7.73,59.65,0.0,0.836,-0.717,213.425,640.672,-,0.25,2.037,0,-0.0,-0.717,60,-1.6698400808542602,-1.6342419857131216,0.04462530486590233,403839.21017625165,440.39172320201925,11.426192364577007,14911.10121046745,0.0,-0.2261553688625801,4792189.423510016,-91.10212269184169,-0.023997257691638973,-85.34383116203998,-13.624700023431904,-20.25501418909749,28.1393469976747,0.006072942744616991,9157.804185707051,446.27901283699765,3.772461192181233,10.55827269708237,0.0,0.0,0.00112665155628383,3173.4027776631133,426.5972223368869,-2.4160291133273866,,-88.68609357851429,5220097.539082444,1.0,0.35689120642637095,5.322630894233307
1442,2020-01-30 02:00:00,0.0,-7.421,60.4,0.0,0.628,19.75,249.518,640.948,-,0.25,2.112,0,0.0,19.75,60,-1.8959954497168403,-1.634253507006532,0.0446659814734567,404254.3812062239,440.84447241682,8.129666798738757,14922.527402832027,0.0,0.5471632057137764,4795362.826287679,-43.16048316730383,0.6616148505755773,-48.256522170123134,-9.336649925488343,-14.40964230429693,28.136070842026328,0.044645540002670084,9157.804185707051,446.3309774313742,3.77633950948976,10.55827269708237,0.0,0.0,0.0010144981094284897,3364.244933332462,235.75506666753776,5.84537188480056,,-49.005855052104394,5223697.539082444,1.0,0.35729908673638444,5.223078029172478
1443,2020-01-30 03:00:00,0.0,-5.489,56.69,0.0,0.786,240.917,210.881,641.26,-,0.25,2.3,0,0.0,240.917,60,-1.3488322440030638,-1.6343381292324928,0.0446882771644412,404482.0066060927,441.0927007700029,10.359900224407241,14930.657069630766,0.0,-0.3699189983173811,4798727.071221012,-80.26704521310084,8.074624252219262,-89.30343923307984,-8.762303641958516,-18.36150545927143,28.13427368482213,-0.04869481583245581,9157.804185707051,446.3594880992,3.7784658705902205,10.55827269708237,0.0,0.0,0.00055615309206516,3232.843053438368,367.1569465616321,-3.9518631549744985,,-76.31518205812635,5227297.539082444,1.0,0.35766641171650154,5.466907794052058
1444,2020-01-30 04:00:00,0.0,-4.956,93.8,0.0,1.282,395.3,225.721,641.841,-,0.25,3.963,0,0.0,395.3,60,-1.718751242320445,-1.6342458779607265,0.044723216496484496,404838.8036524299,441.48179242358765,7.14015663157125,14941.016969855173,0.0,0.5342877381650498,4801959.91427445,-55.267015325175194,13.259315610795241,-72.8325788671591,-11.185935564617926,-12.653682838067295,28.131455344411734,0.014410989462147635,9157.804185707051,446.4042064746794,3.7817988877338617,10.55827269708237,0.0,0.0,0.0008717001967218304,3306.616985227089,293.383014772911,5.707822621204135,,-60.974837946379324,5230897.539082444,1.0,0.35786780461110335,5.300954986030956
