,When,T_a,RH,p_a,v_a,SnowHeight,SW_global,LW_in,SW_diffuse,SW_direct
35,2020-12-14 08:45:00,-9.365,40.861,67.574,0.585,103.75,220.647,172.637,55.16175,165.48525
36,2020-12-14 09:00:00,-9.306,40.099,67.587,0.607,103.8,269.182,173.844,67.2955,201.8865
37,2020-12-14 09:15:00,-8.896,39.145,67.599,0.658,103.95,317.465,175.287,79.36625,238.09875
38,2020-12-14 09:30:00,-8.485,38.191,67.611,0.71,104.1,365.747,176.729,91.43675,274.31025
39,2020-12-14 09:45:00,-7.78,37.334,67.619,0.715,104.1,408.769,178.491,102.19225,306.57675
40,2020-12-14 10:00:00,-7.074,36.477,67.627,0.719,104.1,451.791,180.252,112.94775,338.84325
41,2020-12-14 10:15:00,-6.705,35.322,67.623,0.787,104.3,488.146,181.928,122.0365,366.1095
42,2020-12-14 10:30:00,-6.335,34.168,67.619,0.854,104.5,524.501,183.604,131.12525,393.37575
43,2020-12-14 10:45:00,-5.787,33.075,67.611,0.941,104.45,514.376,184.242,128.594,385.782
44,2020-12-14 11:00:00,-5.24,31.983,67.602,1.029,104.4,504.251,184.88,126.06275,378.18825
45,2020-12-14 11:15:00,-4.652,30.704,67.586,0.99,104.5,526.592,191.643,131.648,394.94399999999996
46,2020-12-14 11:30:00,-4.064,29.425,67.569,0.951,104.6,548.933,198.406,137.23325,411.69975
47,2020-12-14 11:45:00,-3.664,28.033,67.551,0.983,104.5,559.661,199.601,139.91525,419.74574999999993
48,2020-12-14 12:00:00,-3.263,26.641,67.533,1.014,104.4,570.389,200.795,142.59725,427.79175
49,2020-12-14 12:15:00,-2.654,25.109,67.515,1.056,104.55,623.75,202.012,155.9375,467.8125
50,2020-12-14 12:30:00,-2.045,23.576,67.497,1.098,104.7,677.112,203.228,169.278,507.83399999999995
51,2020-12-14 12:45:00,-1.36,21.955,67.478,1.25,104.75,697.899,206.484,174.47475,523.42425
52,2020-12-14 13:00:00,-0.675,20.333,67.459,1.402,104.8,718.687,209.741,179.67175,539.01525
53,2020-12-14 13:15:00,-0.291,18.673,67.441,1.499,104.7,664.426,208.267,166.1065,498.31950000000006
54,2020-12-14 13:30:00,0.093,17.012,67.423,1.596,104.6,610.166,206.792,152.5415,457.6245
55,2020-12-14 13:45:00,0.491,15.911,67.404,1.563,104.7,581.246,206.311,145.3115,435.93449999999996
56,2020-12-14 14:00:00,0.89,14.81,67.386,1.529,104.8,552.327,205.829,138.08175,414.24525
57,2020-12-14 14:15:00,0.866,14.201,67.378,1.487,104.7,499.204,207.453,124.801,374.403
58,2020-12-14 14:30:00,0.842,13.592,67.369,1.444,104.6,446.081,209.076,111.52025,334.56075
59,2020-12-14 14:45:00,0.94,13.142,67.365,1.493,104.4,402.392,210.314,100.598,301.794
60,2020-12-14 15:00:00,1.037,12.692,67.361,1.542,104.2,358.703,211.553,89.67575,269.02725
61,2020-12-14 15:15:00,1.014,12.368,67.358,1.484,104.35,305.608,209.688,76.402,229.20600000000002
62,2020-12-14 15:30:00,0.991,12.044,67.355,1.425,104.5,252.513,207.822,63.12825,189.38475
63,2020-12-14 15:45:00,1.125,11.801,67.354,1.339,104.35,236.669,204.856,59.16725,177.50175000000002
64,2020-12-14 16:00:00,1.259,11.558,67.353,1.252,104.2,220.825,201.89,55.20625,165.61874999999998
65,2020-12-14 16:15:00,1.132,11.319,67.351,1.616,104.15,175.341,200.852,43.83525,131.50575
66,2020-12-14 16:30:00,1.005,11.08,67.35,1.979,104.1,129.858,199.815,32.4645,97.3935
67,2020-12-14 16:45:00,0.344,11.667,67.35,1.865,104.05,74.7,196.767,18.675,56.025000000000006
68,2020-12-14 17:00:00,-0.316,12.254,67.349,1.751,104.0,19.542,193.718,4.8855,14.656500000000001
69,2020-12-14 17:15:00,-0.834,13.061,67.349,1.214,104.0,8.436,191.223,2.109,6.327
70,2020-12-14 17:30:00,-1.351,13.869,67.349,0.678,104.0,-2.67,188.727,-0.6675,-2.0025
71,2020-12-14 17:45:00,-1.516,14.037,67.35,0.705,104.05,-3.256,188.223,-0.814,-2.4419999999999997
72,2020-12-14 18:00:00,-1.68,14.205,67.351,0.733,104.1,-3.841,187.719,-0.96025,-2.88075
73,2020-12-14 18:15:00,-1.902,14.522,67.359,0.701,104.1,-3.475,190.596,-0.86875,-2.60625
74,2020-12-14 18:30:00,-2.124,14.839,67.367,0.67,104.1,-3.109,193.472,-0.77725,-2.33175
75,2020-12-14 18:45:00,-2.345,15.157,67.374,0.639,104.1,-2.743,196.348,-0.68575,-2.05725
76,2020-12-14 19:00:00,-2.567,15.474,67.382,0.607,104.1,-2.376,199.224,-0.594,-1.782
77,2020-12-14 19:15:00,-2.884,16.126,67.391,0.599,104.05,-2.494,202.943,-0.6235,-1.8705000000000003
78,2020-12-14 19:30:00,-3.202,16.778,67.401,0.59,104.0,-2.612,206.662,-0.653,-1.959
79,2020-12-14 19:45:00,-3.314,17.485,67.407,0.807,104.05,-2.345,202.961,-0.58625,-1.75875
80,2020-12-14 20:00:00,-3.427,18.192,67.414,1.024,104.1,-2.077,199.259,-0.51925,-1.55775
81,2020-12-14 20:15:00,-3.413,18.272,67.418,1.102,104.1,-2.573,198.95,-0.64325,-1.9297499999999999
82,2020-12-14 20:30:00,-3.399,18.352,67.423,1.18,104.1,-3.068,198.641,-0.767,-2.301
83,2020-12-14 20:45:00,-3.784,19.09,67.424,1.083,104.05,-3.383,199.598,-0.84575,-2.5372500000000002
84,2020-12-14 21:00:00,-4.17,19.829,67.425,0.987,104.0,-3.698,200.556,-0.9245,-2.7735
85,2020-12-14 21:15:00,-4.38,20.534,67.425,0.935,104.05,-2.708,204.827,-0.677,-2.031
86,2020-12-14 21:30:00,-4.589,21.239,67.426,0.883,104.1,-1.719,209.098,-0.42975,-1.28925
87,2020-12-14 21:45:00,-4.639,21.633,67.431,0.941,104.05,-1.572,214.237,-0.393,-1.179
88,2020-12-14 22:00:00,-4.689,22.028,67.436,0.999,104.0,-1.425,219.376,-0.35625,-1.06875
89,2020-12-14 22:15:00,-4.656,22.178,67.44,1.008,104.05,-1.298,225.036,-0.3245,-0.9735
90,2020-12-14 22:30:00,-4.624,22.327,67.444,1.018,104.1,-1.171,230.695,-0.29275,-0.87825
91,2020-12-14 22:45:00,-5.01,23.975,67.448,0.948,104.1,-1.931,226.254,-0.48275,-1.44825
92,2020-12-14 23:00:00,-5.396,25.623,67.453,0.877,104.1,-2.69,221.812,-0.6725,-2.0175
93,2020-12-14 23:15:00,-5.407,26.225,67.452,0.955,104.05,-2.381,219.685,-0.59525,-1.7857499999999997
94,2020-12-14 23:30:00,-5.417,26.828,67.451,1.032,104.0,-2.073,217.559,-0.51825,-1.5547499999999999
95,2020-12-14 23:45:00,-5.668,27.316,67.446,0.803,104.0,-1.93,222.2,-0.4825,-1.4475
96,2020-12-15 00:00:00,-5.918,27.805,67.441,0.574,104.0,-1.786,226.841,-0.4465,-1.3395000000000001
97,2020-12-15 00:15:00,-5.83,27.715,67.436,0.787,104.0,-1.312,231.208,-0.328,-0.984
98,2020-12-15 00:30:00,-5.741,27.625,67.432,1.001,104.0,-0.837,235.575,-0.20925,-0.62775
99,2020-12-15 00:45:00,-5.94,28.305,67.432,1.008,104.05,-0.899,239.609,-0.22475,-0.67425
100,2020-12-15 01:00:00,-6.139,28.985,67.432,1.015,104.1,-0.96,243.642,-0.24,-0.72
101,2020-12-15 01:15:00,-6.14,29.877,67.429,0.99,104.05,-1.047,244.789,-0.26175,-0.78525
102,2020-12-15 01:30:00,-6.14,30.769,67.426,0.966,104.0,-1.135,245.936,-0.28375,-0.8512500000000001
103,2020-12-15 01:45:00,-6.167,31.187,67.422,0.908,104.1,-1.179,245.594,-0.29475,-0.88425
104,2020-12-15 02:00:00,-6.193,31.605,67.418,0.85,104.2,-1.224,245.251,-0.306,-0.9179999999999999
105,2020-12-15 02:15:00,-6.166,31.371,67.416,0.903,104.15,-1.179,245.066,-0.29475,-0.88425
106,2020-12-15 02:30:00,-6.139,31.138,67.414,0.955,104.1,-1.134,244.881,-0.2835,-0.8504999999999999
107,2020-12-15 02:45:00,-6.244,31.308,67.411,1.044,104.05,-1.308,240.671,-0.327,-0.9810000000000001
108,2020-12-15 03:00:00,-6.348,31.478,67.409,1.132,104.0,-1.481,236.461,-0.37025,-1.1107500000000001
109,2020-12-15 03:15:00,-6.499,31.875,67.405,0.9,104.0,-1.668,234.053,-0.417,-1.251
110,2020-12-15 03:30:00,-6.65,32.272,67.401,0.668,104.0,-1.855,231.646,-0.46375,-1.3912499999999999
111,2020-12-15 03:45:00,-6.676,32.415,67.402,0.662,104.0,-1.476,232.167,-0.369,-1.107
112,2020-12-15 04:00:00,-6.702,32.558,67.403,0.656,104.0,-1.098,232.688,-0.2745,-0.8235000000000001
113,2020-12-15 04:15:00,-6.682,32.638,67.403,0.767,104.0,-1.232,229.225,-0.308,-0.9239999999999999
114,2020-12-15 04:30:00,-6.662,32.717,67.403,0.878,104.0,-1.366,225.762,-0.3415,-1.0245000000000002
115,2020-12-15 04:45:00,-6.428,31.852,67.401,0.965,104.05,-1.299,222.408,-0.32475,-0.97425
116,2020-12-15 05:00:00,-6.195,30.987,67.399,1.052,104.1,-1.232,219.053,-0.308,-0.9239999999999999
117,2020-12-15 05:15:00,-6.401,31.759,67.4,0.909,104.05,-1.654,217.179,-0.4135,-1.2405
118,2020-12-15 05:30:00,-6.607,32.531,67.4,0.765,104.0,-2.076,215.305,-0.519,-1.557
119,2020-12-15 05:45:00,-6.448,31.847,67.405,0.757,104.05,-1.683,213.72,-0.42075,-1.26225
120,2020-12-15 06:00:00,-6.288,31.164,67.409,0.748,104.1,-1.291,212.135,-0.32275,-0.9682499999999999
121,2020-12-15 06:15:00,-6.481,31.531,67.412,0.825,104.05,-1.542,212.028,-0.3855,-1.1565
122,2020-12-15 06:30:00,-6.674,31.899,67.415,0.901,104.0,-1.793,211.921,-0.44825,-1.34475
123,2020-12-15 06:45:00,-6.397,30.672,67.418,0.954,104.1,-1.588,210.544,-0.397,-1.191
124,2020-12-15 07:00:00,-6.12,29.445,67.421,1.007,104.2,-1.382,209.166,-0.3455,-1.0365
125,2020-12-15 07:15:00,-6.349,29.799,67.431,1.079,104.05,0.001,206.197,0.00025,0.00075
126,2020-12-15 07:30:00,-6.577,30.153,67.441,1.151,103.9,1.383,203.229,0.34575,1.03725
127,2020-12-15 07:45:00,-6.284,29.553,67.445,1.155,103.9,21.287,201.434,5.32175,15.96525
128,2020-12-15 08:00:00,-5.99,28.953,67.45,1.159,103.9,41.191,199.638,10.29775,30.893250000000002
129,2020-12-15 08:15:00,-5.41,27.541,67.456,0.99,103.95,85.08,208.15,21.27,63.81
130,2020-12-15 08:30:00,-4.829,26.129,67.461,0.82,104.0,128.97,216.661,32.2425,96.72749999999999
131,2020-12-15 08:45:00,-4.634,26.251,67.472,0.84,103.95,147.172,217.407,36.793,110.37899999999999
132,2020-12-15 09:00:00,-4.438,26.373,67.482,0.861,103.9,165.375,218.154,41.34375,124.03125
133,2020-12-15 09:15:00,-4.298,25.911,67.494,0.781,103.95,164.462,221.308,41.1155,123.34649999999999
134,2020-12-15 09:30:00,-4.158,25.449,67.506,0.701,104.0,163.548,224.462,40.887,122.661
135,2020-12-15 09:45:00,-4.019,25.868,67.514,0.794,104.05,192.157,230.095,48.03925,144.11775
136,2020-12-15 10:00:00,-3.88,26.287,67.523,0.887,104.1,220.766,235.729,55.1915,165.5745
137,2020-12-15 10:15:00,-3.189,24.918,67.52,1.018,104.25,242.717,237.844,60.67925,182.03775000000002
138,2020-12-15 10:30:00,-2.497,23.549,67.516,1.149,104.4,264.667,239.96,66.16675,198.50025
139,2020-12-15 10:45:00,-1.852,22.54,67.511,1.106,104.3,276.202,247.872,69.0505,207.1515
140,2020-12-15 11:00:00,-1.206,21.531,67.506,1.062,104.2,287.736,255.784,71.934,215.802
141,2020-12-15 11:15:00,-0.815,21.016,67.497,1.046,104.35,335.346,254.469,83.8365,251.5095
142,2020-12-15 11:30:00,-0.425,20.502,67.488,1.031,104.5,382.956,253.155,95.739,287.217
143,2020-12-15 11:45:00,-0.353,20.271,67.475,1.166,104.6,386.22,252.153,96.555,289.665
144,2020-12-15 12:00:00,-0.281,20.04,67.462,1.301,104.7,389.485,251.152,97.37125,292.11375
145,2020-12-15 12:15:00,-0.192,20.271,67.455,1.156,104.5,361.634,250.586,90.4085,271.2255
146,2020-12-15 12:30:00,-0.102,20.503,67.447,1.011,104.3,333.782,250.02,83.4455,250.3365
147,2020-12-15 12:45:00,-0.06,20.706,67.439,1.403,104.4,327.164,251.092,81.791,245.373
148,2020-12-15 13:00:00,-0.018,20.908,67.43,1.794,104.5,320.545,252.165,80.13625,240.40875
149,2020-12-15 13:15:00,0.014,21.172,67.424,1.579,104.45,319.122,255.58,79.7805,239.3415
150,2020-12-15 13:30:00,0.046,21.435,67.417,1.364,104.4,317.699,258.996,79.42475,238.27425
151,2020-12-15 13:45:00,-0.057,22.07,67.41,1.53,104.4,290.573,260.533,72.64325,217.92974999999998
152,2020-12-15 14:00:00,-0.159,22.704,67.403,1.697,104.4,263.447,262.071,65.86175,197.58525
153,2020-12-15 14:15:00,-0.027,22.768,67.395,1.619,104.3,229.655,261.444,57.41375,172.24125
154,2020-12-15 14:30:00,0.106,22.832,67.386,1.541,104.2,195.862,260.817,48.9655,146.8965
155,2020-12-15 14:45:00,-0.002,22.904,67.384,1.476,104.25,185.752,260.171,46.438,139.31400000000002
156,2020-12-15 15:00:00,-0.11,22.977,67.382,1.411,104.3,175.643,259.526,43.91075,131.73225
157,2020-12-15 15:15:00,-0.054,22.947,67.379,1.292,104.15,152.363,256.866,38.09075,114.27225
158,2020-12-15 15:30:00,0.003,22.916,67.375,1.172,104.0,129.083,254.205,32.27075,96.81225
159,2020-12-15 15:45:00,-0.132,23.271,67.373,1.228,104.05,111.392,252.065,27.848,83.544
160,2020-12-15 16:00:00,-0.267,23.626,67.37,1.285,104.1,93.7,249.924,23.425,70.275
161,2020-12-15 16:15:00,-0.435,24.995,67.369,1.359,104.1,72.677,250.341,18.16925,54.50775
162,2020-12-15 16:30:00,-0.602,26.364,67.369,1.433,104.1,51.655,250.757,12.91375,38.74125
163,2020-12-15 16:45:00,-0.744,26.776,67.366,1.593,104.05,35.451,248.183,8.86275,26.588250000000002
164,2020-12-15 17:00:00,-0.887,27.187,67.363,1.754,104.0,19.247,245.608,4.81175,14.43525
165,2020-12-15 17:15:00,-1.075,27.778,67.358,2.066,104.0,9.382,243.737,2.3455,7.0365
166,2020-12-15 17:30:00,-1.263,28.368,67.354,2.379,104.0,-0.483,241.866,-0.12075,-0.36224999999999996
167,2020-12-15 17:45:00,-1.385,28.648,67.36,2.241,104.05,-1.81,239.784,-0.4525,-1.3575
168,2020-12-15 18:00:00,-1.508,28.928,67.367,2.102,104.1,-3.137,237.702,-0.78425,-2.35275
169,2020-12-15 18:15:00,-1.733,29.568,67.374,1.901,104.1,-3.63,231.157,-0.9075,-2.7225
170,2020-12-15 18:30:00,-1.959,30.208,67.381,1.7,104.1,-4.123,224.612,-1.03075,-3.09225
171,2020-12-15 18:45:00,-2.127,30.789,67.392,1.448,104.05,-3.481,224.972,-0.87025,-2.61075
172,2020-12-15 19:00:00,-2.294,31.37,67.403,1.196,104.0,-2.839,225.332,-0.70975,-2.12925
173,2020-12-15 19:15:00,-2.23,30.632,67.408,1.224,104.05,-2.9,223.133,-0.725,-2.175
174,2020-12-15 19:30:00,-2.167,29.895,67.413,1.252,104.1,-2.96,220.934,-0.74,-2.2199999999999998
175,2020-12-15 19:45:00,-2.423,30.548,67.417,1.44,104.0,-3.107,218.264,-0.77675,-2.3302500000000004
176,2020-12-15 20:00:00,-2.679,31.2,67.422,1.628,103.9,-3.254,215.594,-0.8135,-2.4405
177,2020-12-15 20:15:00,-2.733,31.208,67.427,1.202,103.95,-2.977,214.201,-0.74425,-2.23275
178,2020-12-15 20:30:00,-2.786,31.216,67.432,0.776,104.0,-2.7,212.809,-0.675,-2.0250000000000004
179,2020-12-15 20:45:00,-2.832,30.858,67.44,0.891,104.0,-2.422,206.869,-0.6055,-1.8165
180,2020-12-15 21:00:00,-2.878,30.499,67.448,1.005,104.0,-2.144,200.93,-0.536,-1.608
181,2020-12-15 21:15:00,-2.611,27.684,67.454,1.214,104.0,-2.394,199.354,-0.5985,-1.7955
182,2020-12-15 21:30:00,-2.344,24.869,67.46,1.423,104.0,-2.643,197.779,-0.66075,-1.9822499999999998
183,2020-12-15 21:45:00,-2.445,24.306,67.46,1.584,103.9,-3.014,196.626,-0.7535,-2.2605
184,2020-12-15 22:00:00,-2.545,23.743,67.46,1.745,103.8,-3.385,195.473,-0.84625,-2.53875
185,2020-12-15 22:15:00,-2.637,23.171,67.458,1.691,103.9,-3.609,195.38,-0.90225,-2.70675
186,2020-12-15 22:30:00,-2.728,22.599,67.455,1.637,104.0,-3.832,195.286,-0.958,-2.8739999999999997
187,2020-12-15 22:45:00,-2.674,21.967,67.454,1.59,104.05,-3.627,193.982,-0.90675,-2.72025
188,2020-12-15 23:00:00,-2.62,21.336,67.453,1.543,104.1,-3.421,192.678,-0.85525,-2.56575
189,2020-12-15 23:15:00,-2.716,20.702,67.448,1.573,103.95,-3.658,190.967,-0.9145,-2.7435
190,2020-12-15 23:30:00,-2.812,20.068,67.443,1.603,103.8,-3.894,189.256,-0.9735,-2.9205
191,2020-12-15 23:45:00,-2.99,19.937,67.436,1.22,103.75,-3.731,188.327,-0.93275,-2.79825
192,2020-12-16 00:00:00,-3.168,19.806,67.43,0.837,103.7,-3.567,187.398,-0.89175,-2.67525
193,2020-12-16 00:15:00,-3.404,19.923,67.423,0.839,103.9,-3.24,186.558,-0.81,-2.43
194,2020-12-16 00:30:00,-3.64,20.04,67.416,0.84,104.1,-2.913,185.719,-0.72825,-2.1847499999999997
195,2020-12-16 00:45:00,-4.182,21.04,67.409,0.735,104.15,-3.046,184.662,-0.7615,-2.2845
196,2020-12-16 01:00:00,-4.724,22.04,67.402,0.63,104.2,-3.179,183.606,-0.79475,-2.3842499999999998
197,2020-12-16 01:15:00,-4.747,22.039,67.397,0.651,104.05,-2.309,183.17,-0.57725,-1.7317500000000001
198,2020-12-16 01:30:00,-4.77,22.039,67.393,0.671,103.9,-1.44,182.735,-0.36,-1.08
199,2020-12-16 01:45:00,-4.853,22.247,67.392,0.628,104.0,-1.556,182.344,-0.389,-1.167
200,2020-12-16 02:00:00,-4.935,22.454,67.392,0.585,104.1,-1.673,181.954,-0.41825,-1.25475
201,2020-12-16 02:15:00,-5.295,22.947,67.392,0.666,104.05,-1.901,181.522,-0.47525,-1.42575
202,2020-12-16 02:30:00,-5.655,23.44,67.393,0.747,104.0,-2.128,181.09,-0.532,-1.596
203,2020-12-16 02:45:00,-5.668,23.561,67.389,0.705,104.0,-1.709,180.938,-0.42725,-1.2817500000000002
204,2020-12-16 03:00:00,-5.681,23.682,67.385,0.663,104.0,-1.289,180.786,-0.32225,-0.96675
205,2020-12-16 03:15:00,-5.661,23.583,67.381,0.723,104.15,-1.033,180.501,-0.25825,-0.7747499999999999
206,2020-12-16 03:30:00,-5.641,23.484,67.378,0.784,104.3,-0.777,180.216,-0.19425,-0.58275
207,2020-12-16 03:45:00,-5.725,23.487,67.373,0.724,104.05,-1.334,180.142,-0.3335,-1.0005000000000002
208,2020-12-16 04:00:00,-5.809,23.49,67.367,0.664,103.8,-1.89,180.068,-0.4725,-1.4175
209,2020-12-16 04:15:00,-6.157,23.962,67.361,0.614,104.0,-1.988,179.619,-0.497,-1.491
210,2020-12-16 04:30:00,-6.505,24.433,67.355,0.564,104.2,-2.086,179.17,-0.5215,-1.5644999999999998
211,2020-12-16 04:45:00,-6.553,24.501,67.351,0.606,104.1,-1.728,178.847,-0.432,-1.296
212,2020-12-16 05:00:00,-6.6,24.568,67.347,0.648,104.0,-1.37,178.524,-0.3425,-1.0275
213,2020-12-16 05:15:00,-6.683,24.788,67.346,0.597,104.1,-1.265,178.194,-0.31625,-0.94875
214,2020-12-16 05:30:00,-6.766,25.008,67.344,0.546,104.2,-1.16,177.863,-0.29,-0.8699999999999999
215,2020-12-16 05:45:00,-6.64,24.921,67.347,0.705,104.1,-0.934,177.666,-0.2335,-0.7005
216,2020-12-16 06:00:00,-6.514,24.835,67.35,0.864,104.0,-0.708,177.47,-0.177,-0.5309999999999999
217,2020-12-16 06:15:00,-7.012,25.61,67.356,0.794,104.0,-1.413,176.926,-0.35325,-1.05975
218,2020-12-16 06:30:00,-7.51,26.385,67.361,0.724,104.0,-2.119,176.383,-0.52975,-1.5892500000000003
219,2020-12-16 06:45:00,-7.663,26.604,67.369,1.0,104.0,-2.256,176.114,-0.564,-1.6919999999999997
220,2020-12-16 07:00:00,-7.816,26.823,67.377,1.276,104.0,-2.393,175.845,-0.59825,-1.7947499999999998
221,2020-12-16 07:15:00,-8.126,27.447,67.381,0.954,103.95,-0.964,175.281,-0.241,-0.723
222,2020-12-16 07:30:00,-8.435,28.072,67.385,0.632,103.9,0.466,174.717,0.1165,0.34950000000000003
223,2020-12-16 07:45:00,-8.53,28.839,67.394,0.82,103.95,27.597,174.304,6.89925,20.69775
224,2020-12-16 08:00:00,-8.625,29.605,67.402,1.008,104.0,54.729,173.891,13.68225,41.04675
225,2020-12-16 08:15:00,-8.212,29.322,67.413,0.917,104.0,107.71,175.242,26.9275,80.7825
226,2020-12-16 08:30:00,-7.799,29.038,67.423,0.826,104.0,160.69,176.594,40.1725,120.5175
227,2020-12-16 08:45:00,-7.273,29.04,67.433,0.803,104.05,212.443,177.766,53.11075,159.33225000000002
228,2020-12-16 09:00:00,-6.746,29.043,67.442,0.78,104.1,264.196,178.938,66.049,198.14700000000002
229,2020-12-16 09:15:00,-6.566,29.519,67.451,1.12,104.15,312.625,180.326,78.15625,234.46875
230,2020-12-16 09:30:00,-6.386,29.996,67.459,1.461,104.2,361.055,181.713,90.26375,270.79125
231,2020-12-16 09:45:00,-5.887,30.042,67.468,1.235,104.15,405.106,182.963,101.2765,303.8295
232,2020-12-16 10:00:00,-5.388,30.088,67.477,1.01,104.1,449.157,184.214,112.28925,336.86775
233,2020-12-16 10:15:00,-4.801,29.554,67.479,1.024,104.25,485.571,185.81,121.39275,364.17825000000005
234,2020-12-16 10:30:00,-4.214,29.02,67.48,1.038,104.4,521.984,187.407,130.496,391.48800000000006
235,2020-12-16 10:45:00,-3.666,27.815,67.473,1.151,104.5,517.658,188.012,129.4145,388.24350000000004
236,2020-12-16 11:00:00,-3.118,26.61,67.466,1.264,104.6,513.331,188.618,128.33275,384.99825
237,2020-12-16 11:15:00,-2.462,24.508,67.452,1.368,104.6,557.565,190.714,139.39125,418.17375000000004
238,2020-12-16 11:30:00,-1.806,22.406,67.438,1.472,104.6,601.798,192.811,150.4495,451.3485
239,2020-12-16 11:45:00,-1.312,19.684,67.422,1.727,104.6,622.878,194.01,155.7195,467.1585
240,2020-12-16 12:00:00,-0.818,16.961,67.406,1.983,104.6,643.957,195.21,160.98925,482.96775
241,2020-12-16 12:15:00,-0.51,14.934,67.39,1.938,104.6,657.791,195.667,164.44775,493.34325
242,2020-12-16 12:30:00,-0.201,12.908,67.374,1.892,104.6,671.625,196.124,167.90625,503.71875
243,2020-12-16 12:45:00,-0.02,11.125,67.354,2.383,104.55,668.716,195.003,167.179,501.53700000000003
244,2020-12-16 13:00:00,0.162,9.343,67.335,2.875,104.5,665.807,193.882,166.45175,499.35525
245,2020-12-16 13:15:00,0.132,8.692,67.32,3.472,104.45,652.291,192.761,163.07275,489.21825
