,When,T_a,RH,p_a,v_a,SnowHeight,SW_global,LW_in
102,2020-12-05 19:30:00,-1.021182,45.44364,67.64774,0.5144449,104.6,-3.370471,214.1405
103,2020-12-05 20:00:00,-1.13712,46.0818,67.66824,1.062577,104.4,-2.347487,213.8828
104,2020-12-05 20:30:00,-1.184254,46.05673,67.68259,1.054343,104.5,-3.076354,214.5665
105,2020-12-05 21:00:00,-1.636895,47.71018,67.70216,0.7113429,104.5,-2.74428,213.99
106,2020-12-05 21:30:00,-1.66523,47.7946,67.71912,1.210247,104.4,-2.166314,217.1236
107,2020-12-05 22:00:00,-1.284903,47.40105,67.72343,1.189794,104.4,-1.270494,224.6016
108,2020-12-05 22:30:00,-1.302195,46.94615,67.72109,0.6125897,104.4,-2.663232,223.1818
109,2020-12-05 23:00:00,-1.923558,49.11151,67.72858,0.3701167,104.5,-1.56435,224.0098
110,2020-12-05 23:30:00,-2.531753,50.50891,67.71252,0.8557605,104.4,-1.337819,227.6936
111,2020-12-06 00:00:00,-2.403214,50.27305,67.69976,0.4605694,104.4,-0.5322804,229.9277
112,2020-12-06 00:30:00,-3.579975,52.91579,67.68307,0.9396371,104.4,-1.334574,233.3133
113,2020-12-06 01:00:00,-3.300568,53.29718,67.68082,0.5263541,104.5,-0.3643791,243.3532
114,2020-12-06 01:30:00,-3.515357,52.8686,67.66546,0.8116776,104.5,-0.6073229,250.9549
115,2020-12-06 02:00:00,-3.182,52.20427,67.64914,0.7888082,104.4,-1.509235,232.2365
116,2020-12-06 02:30:00,-4.10736,54.6788,67.65723,0.7385975,104.5,-1.687222,234.093
117,2020-12-06 03:00:00,-3.473006,53.20842,67.66969,0.6375635,104.4,-0.319813,246.3188
118,2020-12-06 03:30:00,-3.519372,53.17159,67.67384,0.832432,104.5,-1.439141,233.1825
119,2020-12-06 04:00:00,-3.505191,52.80352,67.67487,0.8890367,104.4,-1.00926,234.5636
120,2020-12-06 04:30:00,-3.72112,54.57733,67.68045,1.220459,104.4,-0.4748276,252.09
121,2020-12-06 05:00:00,-3.311758,53.64349,67.6899,0.9107834,104.5,-0.4940364,260.2025
122,2020-12-06 05:30:00,-3.701014,55.07372,67.71049,0.6937969,104.4,-1.013861,259.6778
123,2020-12-06 06:00:00,-3.637032,55.98318,67.72819,1.186313,104.5,-0.8293914,255.7406
124,2020-12-06 06:30:00,-4.284827,57.96302,67.76134,0.6399675,104.4,-1.616782,252.0468
125,2020-12-06 07:00:00,-5.318915,60.55536,67.79935,0.5483183,104.6,-1.125659,260.1054
126,2020-12-06 07:30:00,-4.743855,60.03245,67.83923,0.6118529,104.5,4.679695,242.9666
127,2020-12-06 08:00:00,-4.06964,58.60158,67.87634,0.3915437,104.5,28.31631,237.1537
128,2020-12-06 08:30:00,-3.396416,57.57339,67.91824,0.5479409,104.6,72.12233,236.051
129,2020-12-06 09:30:00,-1.270161,55.35986,67.99481,1.472152,104.6,221.6243,250.1613
130,2020-12-06 10:00:00,-0.02245665,52.8095,68.01771,1.814416,104.5,401.9876,243.9174
131,2020-12-06 10:30:00,0.178241,53.31759,68.04346,3.516389,104.7,439.2935,231.3963
132,2020-12-06 11:00:00,0.3689373,52.43839,68.06524,4.552599,104.6,405.4658,234.2875
133,2020-12-06 11:30:00,0.9432604,49.32432,68.06956,4.894278,105,533.4958,251.9525
134,2020-12-06 12:00:00,1.722115,46.7197,68.05338,4.880989,104.8,651.5688,256.2298
135,2020-12-06 12:30:00,2.140153,44.00563,68.00973,5.778865,104.6,603.9456,257.9622
136,2020-12-06 13:00:00,2.810209,41.16969,67.97277,5.661394,105.1,639.7386,264.2459
137,2020-12-06 13:30:00,2.219023,42.05188,67.9666,4.983346,104.9,417.4577,275.8943
138,2020-12-06 14:00:00,2.243109,40.0433,67.9631,4.046248,105.1,317.5403,280.3447
139,2020-12-06 14:30:00,2.29351,38.38596,67.95954,3.508879,104.7,206.4749,272.7082
140,2020-12-06 15:00:00,2.373026,37.19715,67.96534,3.650773,104.7,178.2721,278.2268
141,2020-12-06 15:30:00,2.637758,35.06261,67.94694,3.545301,104.7,160.8813,262.8441
142,2020-12-06 16:00:00,2.698975,33.75645,67.94849,3.561358,104.7,156.1109,264.3228
143,2020-12-06 16:30:00,2.864421,32.7968,67.94579,2.919444,104.6,110.7741,250.7616
144,2020-12-06 17:00:00,2.519135,32.58949,67.95333,2.603844,104.6,21.47295,262.583
145,2020-12-06 17:30:00,2.23277,32.35997,67.93822,2.006665,104.6,-0.2177045,244.6906
146,2020-12-06 18:00:00,1.606783,33.15363,67.94785,1.000315,104.5,-4.337438,237.5928
