,time,sea,temp,RH,wind,SW_global,ppt,press,SW_direct,SW_diffuse,alb,vp_a,LW_in,e_a,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
433,2021-02-05 01:00:00,0.0,-8.2,33.018,1.545,0.0,0,617.452,0.0,0,0.25,1.09,158.057,0.566,6.75,-2.4991200606639232,-0.6793712278163917,0.04023981759207572,264238.5698155169,288.15547417177413,24.589389008106846,15200.076677622736,0.0,0.8319999123694182,2727.5999999999995,-222.42743766185322,0.0,-137.05887153480373,-29.924016319704762,-57.88226567577223,2.1018576802115576,0.33585818821591545,0.0,336.07770242983355,2.6586008587739176,10.173550796773014,0.0,0.0,0.0,0.0012910524413615725,0.0,404.99999999999983,-1801.7258380082294,,-111.80450154334446,282166.2464931395,1.0,0.26093131820160853,4.965824271577095
434,2021-02-05 02:00:00,0.0,-8.323,33.98,1.543,0.0,0,617.126,0.0,0,0.25,1.111,158.207,0.567,6.745,-1.667120148294505,-0.6801045646526396,0.040294038029614634,264618.98042650876,288.57031671375,26.700014185582514,15224.666066630842,0.0,-0.14293022635424385,2727.5999999999995,-235.99626229691535,0.0,-140.55446685874745,-34.879248348356136,-62.84479062839679,2.100107346064318,0.18213619252070726,0.0,336.10865240903837,2.6624283090124496,10.173550796773014,0.0,0.0,0.0,0.0012343649667221923,0.0,404.6999999999998,-1570.9678003685653,,-111.71139569764007,282571.2464931395,1.0,0.26132477360974193,5.323838651075475
435,2021-02-05 03:00:00,0.0,-8.485,35.275,1.983,0.0,0,616.628,0.0,0,0.25,1.138,158.393,0.569,7.038,-1.8100503746487488,-0.6805017187292342,0.04034790003328146,264996.9804123232,288.9825304387385,33.58831249689416,15251.366080816424,0.0,-0.46676368896280607,2727.5999999999995,-261.31604141793935,0.0,-139.73979615505257,-44.92499826805475,-79.05078506736263,2.191134380093625,0.2084036924370048,0.0,336.13944753517535,2.6662315050697263,10.173550796773014,0.0,0.0,0.0,0.0012264299714808261,0.0,422.28,-1703.7127613737662,,-116.55341343387016,282975.9464931395,1.0,0.26170098937894476,5.260709123479768
436,2021-02-05 04:00:00,0.0,-9.402,38.223,1.333,0.0,0,616.458,0.0,0,0.25,1.148,156.477,0.57,6.988,-2.276814063611555,-0.6809555433322084,0.040403270073857515,265385.67209982633,289.406403598502,21.426117350312644,15284.954393313319,0.0,0.8245623652083509,2727.5999999999995,-219.79460110752677,0.0,-139.60967056752625,-32.23263000561447,-50.422051896535635,2.1753627152713553,0.2943886468782464,0.0,336.1711565920528,2.670142274246669,10.173550796773014,0.0,0.0,0.0,0.0012610039162962155,0.0,419.2800000000001,-1713.7112479851166,,-115.71446837086046,283398.2264931395,1.0,0.262074821105276,5.059270110829213
437,2021-02-05 05:00:00,0.0,-9.77,38.958,0.912,0.0,0,616.54,0.0,0,0.25,1.137,155.416,0.57,6.879,-1.4522516984032041,-0.6815957321793995,0.040459929055081854,265783.5259824761,289.840268246975,16.056778939978734,15306.380510663632,0.0,0.3640363275336137,2727.5999999999995,-205.5432466616755,0.0,-144.29242402537562,-25.751442692143016,-37.78274245774723,2.1412240248280177,0.14213848876238727,0.0,336.2036581192485,2.6741452276187587,10.173550796773014,0.0,0.0,0.0,0.0012906064067819177,0.0,412.73999999999984,-1356.7746696923116,,-113.89852274128963,283817.50649313955,1.0,0.26245922663438426,5.420041551207951
438,2021-02-05 06:00:00,0.0,-9.76,40.285,0.483,0.0,0,616.9,0.0,0,0.25,1.177,156.202,0.572,6.356,-1.0882153708695905,-0.6819043991359685,0.040516404951945285,266180.2092035361,290.27285627430325,8.757502508556383,15322.437289603611,0.0,0.49475082233910933,2727.5999999999995,-177.89716123081797,0.0,-145.11592175438653,-14.229367646579455,-20.60503719683031,1.9782390454230345,0.0749263215552636,0.0,336.23610935136526,2.6781364025365906,10.173550796773014,0.0,0.0,0.0,0.0012866844749644098,0.0,381.35999999999996,-1162.8703160912205,,-105.22883280320012,284230.24649313954,1.0,0.2628526933258131,5.58665282061028
439,2021-02-05 07:00:00,0.0,-10.4,42.91,0.627,3.796,0,617.264,3.796,0,0.25,1.191,155.021,0.574,6.477,-0.5934645485304813,-0.6820668818152322,0.04056943756863047,266552.8117010275,290.67918397058617,11.93855368972125,15331.194792112168,0.0,-0.2154949992804386,2727.5999999999995,-195.37157823097547,0.11550118875789094,-148.4947230206882,-20.904731569537255,-28.087004716034706,2.015716059237695,-0.01633617271088737,0.0,336.26663184711526,2.6818852924904824,10.173550796773014,0.0,0.0,0.0,0.0012084594277121626,0.0,388.61999999999995,-1067.167246024951,,-107.22235448087118,284611.6064931395,1.0,0.2632450022647037,5.820570751107536
440,2021-02-05 08:00:00,0.139,-10.248,41.06,0.982,70.175,0,617.774,70.175,0,0.25,1.154,154.658,0.571,6.38,-0.8089595478109198,-0.6820315020544244,0.1072130132653812,266929.49314733775,291.08995981170966,18.43631164368,15343.133345801889,0.0,-0.44017501897618677,2727.5999999999995,-215.16228691851043,5.642754904423594,-147.8989701231666,-31.544973652624975,-43.36984285957375,1.9853461364231038,0.02339867600821424,0.0,336.29752905601714,2.685675222239738,10.173550796773014,0.0,0.0,0.0,0.0012215777666285247,0.0,382.8,-1253.9218499721328,,-105.60688159982745,285000.2264931395,1.0,0.2636134960215817,5.717609709219204
441,2021-02-05 09:00:00,0.326,-9.312,38.082,1.868,219.275,0,618.234,219.275,0,0.25,1.152,156.758,0.571,5.885,-1.2491345667871065,-0.6820821104383006,0.1933430285031085,267293.85683569405,291.48730298330867,33.51745423638751,15361.569657445569,0.0,-1.021606250756979,2727.5999999999995,-240.25952047449275,31.79646943126434,-143.84765949664407,-51.30407283818408,-78.83992249530912,1.8311477144403046,0.10451720993987995,0.0,336.3274547123256,2.6893412185227423,10.173550796773014,0.0,0.0,0.0,0.0011815227210094043,0.0,353.1,-1446.6415295343822,,-97.40457662415379,285383.0264931395,1.0,0.263986023748131,5.512436682432983
442,2021-02-05 10:00:00,0.489,-8.572,40.02,2.311,340.775,0,618.517,340.775,0,0.25,1.283,160.915,0.579,4.508,-2.2707408175440857,-0.6823078799123106,0.26300212270446555,267613.43938145763,291.83581175731473,35.94398973613962,15395.087111681956,0.0,-0.16420269511965463,2727.5999999999995,-200.45969406883376,67.21841127346067,-135.19822569041483,-49.63416529197424,-84.5410257021277,1.402577562045469,0.2927337801768573,0.0,336.3537338441368,2.692556655357756,10.173550796773014,0.0,0.0,0.0,0.0010362186289672873,0.0,270.4799999999999,-1584.8826279793225,,-74.60756581034983,285736.1264931395,1.0,0.26434636954639124,5.06184532849033
443,2021-02-05 11:00:00,0.614,-8.104,39.762,1.784,355.05,0,618.457,355.05,0,0.25,1.322,162.71,0.581,2.886,-2.4349435126637404,-0.6829395135418967,0.3117765009508896,267847.97539172147,292.0915762177988,26.95809209534166,15431.031101418095,0.0,0.608833924422862,2727.5999999999995,-146.31822337374427,83.02218499696002,-132.6858817878987,-34.472878743245744,-63.402365119134345,0.8978719029324641,0.32284537664204455,0.0,336.37303830713284,2.694916407905373,10.173550796773014,0.0,0.0,0.0,0.0007604032146780439,0.0,173.15999999999994,-1552.2457970597725,,-47.76066500707802,286006.60649313946,1.0,0.2646624280100727,4.992637887990616
444,2021-02-05 12:00:00,0.686,-7.169,34.93,2.878,423.925,0,618.035,423.925,0,0.25,1.248,163.594,0.576,2.804,-1.8261095882408784,-0.6836355491399593,0.3377037768055949,267994.1772996261,292.2510112318714,47.46544277565848,15457.989193513436,0.0,-1.3890288210645032,2727.5999999999995,-190.02649514098712,107.37080518673386,-134.46822264415238,-52.38259545132095,-111.62932424647204,0.8723294146938327,0.21051259953054674,0.0,336.3850800594522,2.696387398753458,10.173550796773014,0.0,0.0,0.0,0.000473982739148868,0.0,168.23999999999995,-1302.2998280086526,,-46.40197873988534,286179.76649313944,1.0,0.26489437775846986,5.2536588747598705
445,2021-02-05 13:00:00,0.691,-5.555,28.87,2.533,424.025,0,617.481,424.025,0,0.25,1.168,165.863,0.57,0.0,-3.2151384093053816,-0.6840891705364407,0.3394444269010225,268114.9518568505,292.38271740114556,36.58294744910235,15505.454636289094,0.0,-3.56951213148436,2727.5999999999995,-123.93314887282548,107.94969233752954,-126.14227652607514,-20.17360754887026,-86.03330441408148,0.0,0.466347278671859,0.0,336.39503214805967,2.697602555729894,10.173550796773014,0.0,0.0,0.0,0.0003915339207400681,0.0,0.0,-123.93314887282548,0.0,,286348.00649313943,0.0,0.26503896747718947,4.675439150486827
446,2021-02-05 14:00:00,0.627,-4.989,26.855,3.414,515.35,0,617.074,515.35,0,0.25,1.134,166.519,0.568,2.838,-6.784650540789741,-0.6850936523008879,0.3165871098790402,268078.36890940135,292.3428232381694,32.500747754324905,15542.037583738196,0.0,-1.1964310160690979,2727.5999999999995,-41.53998019020518,122.36487530712253,-110.34450104933092,20.85245518054441,-76.41932010137864,0.8827220110443553,1.123788461793082,0.0,336.4555276565732,2.696669730045999,10.174616041235852,0.0,0.0,0.0,-0.00011859319895844692,170.28000000000003,0.0,-41.53998019020518,0.0,,286348.00649313943,0.0,0.26503896747718947,3.44552387754931
447,2021-02-05 15:00:00,0.507,-5.038,26.467,2.531,326.975,0,616.89,326.975,0,0.25,1.113,165.968,0.566,3.213,-7.981081556858839,-0.6875149853756372,0.27032104437131316,268045.86816164706,292.3073807651549,20.75924869947195,15574.53833149252,0.0,6.575105484069087,2897.8799999999997,-60.80540953282213,66.2911676124826,-105.95457371457113,25.33009294955781,-48.81536622435379,0.9994415350670951,1.343828308995283,0.0,336.42833342665443,2.6965607478291838,10.17420484805225,0.0,0.0,0.0,-0.00010534073629683698,0.0,192.77999999999997,-2873.9755275078587,,-53.16347710024044,286518.28649313946,1.0,0.26503896747718947,3.104696398041621
