,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing,LW_in,vp_a,DroneV,a,cld,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice,thickness
2969,2019-03-02 15:15:00,0.324,4.2,79.6,0.6,28.644,154.163,0,906.3,0,297.325,0.0,,0.35,0,0.0,0.0,-1.7663825453086421,0.19952083220048394,1369.1702775902045,1.4930973583317388,0.0,0.07323718654023448,130.1059827722944,1.880790924669581,-0.0,81471.00250346833,105.1164127224286,103.92074856640794,-2.5495388356389412,8.409803423432429,-23.825920633166714,0.0,-4.664600431772813,815.1354829095466,8.586273645082567,0.5515169910427353,1.6078676827910094,0,0,0.0,0.0,81.29049208926189,0.3430114287049959,27937.487483927638,6.138728963759939,-0.00028576120513059804
2970,2019-03-02 15:30:00,0.286,4.4,80.8,0.5,20.1,137.859,0,906.3,0,298.432,0.0,,0.35,0,0.0,0.0,-1.7538278612023857,0.1829684295963159,1367.289486665535,1.4910463322415866,0.0,0.06097508493791499,130.17921995883464,1.6968995017142925,-0.0,81471.00250346833,93.2646164674221,91.99883253267586,-1.4425388356389135,7.341891877599741,-19.854933860972263,0.0,-4.63356910721459,816.9552987492782,8.578408694410465,0.5512643408316505,1.6071311177965466,0,0,0.0,0.0,73.40968260644983,0.3430114287049959,27937.487483927638,6.138728963759939,-0.00023887266757761154
2971,2019-03-02 15:45:00,0.247,4.5,77.8,0.5,11.556,121.555,0,906.4,0,299.538,0.0,,0.35,0,0.0,0.0,-1.7413509816562522,0.1657059640755113,1365.5925871638206,1.4891958420543299,0.0,0.060924644658479306,130.24019504377256,1.4544004342320727,-0.0,81471.00250346833,82.82596620276752,80.2554337785568,-0.33653883563891895,7.509581562986824,-19.854940266123425,0.0,-4.602510303137188,818.591273606334,8.571309632010601,0.5510361942094164,1.606465989456376,0,0,0.0,0.0,62.9710259366441,0.3430114287049959,27937.487483927638,6.138730944098288,-0.00021571485495466486
2972,2019-03-02 16:00:00,0.207,4.5,75.5,0.7,3.012,105.251,0,906.4,0,300.645,0.0,,0.35,0,0.0,0.0,-1.7289526034067695,0.14773932470799764,1364.1381867295884,1.4876098001413178,0.0,0.08523393082424728,130.30111968843104,1.0990204013995541,-0.0,81471.00250346833,75.41490540483301,68.70239404991332,0.7704611643610519,10.513414188181555,-27.796916372572788,0.0,-4.571363997622923,819.9604401097417,8.565222735904532,0.5508405009083321,1.605895474060364,0,0,0.0,0.0,47.61798903226022,0.3430114287049959,27937.487483927638,6.138730944098288,-0.00018504079085987138
2973,2019-03-02 16:15:00,0.165,4.9,71.5,1.0,3.567,88.741,0,906.4,0,297.361,0.0,,0.35,0,0.0,0.0,-1.7166337531167464,0.12862050104005893,1363.039166328189,1.486411304610893,0.0,0.121697350611197,130.3863536192553,0.63598673496061,-0.0,81471.00250346833,67.28051166209322,57.97986306268643,-2.51353883563894,16.35419984828242,-39.70988053224685,0.0,-4.540012413236677,820.9377631605302,8.56062172648838,0.5506925326150889,1.6054640939929363,0,0,0.0,0.0,27.57063112984637,0.3430114287049959,27937.487483927638,6.138730944098288,-0.0001399257867983799
2974,2019-03-02 16:30:00,0.123,4.6,76.7,0.5,4.122,72.232,0,906.6,0,294.078,0.0,,0.35,0,0.0,0.0,-1.7043961013434152,0.10927482415864942,1362.4031795932283,1.485717753100576,0.0,0.06082978530387988,130.50805096986647,0.5710183894486961,-0.0,81471.00250346833,44.616847616040296,47.24358003636827,-5.796538835638955,7.678154988481349,-19.85495307630789,0.0,-4.508348573170376,821.5129201101869,8.5579586260314,0.5506068692336143,1.605214354846349,0,0,0.0,3.552713678800501e-15,24.761894539732403,0.3430114287049959,27937.487483927638,6.138734904738548,-8.10164883434714e-05
2975,2019-03-02 16:45:00,0.08,4.6,76.9,0.5,4.678,55.722,0,906.5,0,290.794,0.0,,0.35,0,0.0,0.0,-1.6922419091336416,0.08926914827015578,1361.8321612037796,1.4850950503858011,0.0,0.06081276760828486,130.56888075517034,0.2479619755821762,-0.0,81471.00250346833,30.610685236373854,36.490740699145064,-9.080538835638947,7.677308070878386,-19.854946671235293,0.0,-4.476824698010646,822.0231257320273,8.555567217844713,0.5505299339602319,1.6049900612311974,0,0,0.0,-1.7763568394002505e-15,10.755738565138563,0.3430114287049959,27937.487483927638,6.13873292442449,-7.276299664278586e-05
2976,2019-03-02 17:00:00,0.036,4.3,76.8,0.5,5.233,39.212,0,906.5,0,287.51,0.0,,0.35,0,0.0,0.0,-1.6801710164415367,0.06862768799520755,1361.5841992281973,1.4848246447417637,0.0,0.060805385537734256,130.62969352277864,0.0,-0.35259581854518374,81471.00250346833,16.088147911926168,25.7212336493313,-12.364538835638939,7.176614066255882,-19.854946671235293,0.0,-4.445160968022075,822.2102823220717,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-3.7667987593091254,0.0,0.3430114287049959,27937.487483927638,6.13873292442449,-3.160581141520026e-05
2977,2019-03-02 17:15:00,0.0,4.3,76.8,0.4,3.927,29.66,0,906.6,0,286.899,0.0,,0.35,0,0.0,-0.35259581854518374,-1.6681847713505333,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.047249810723884435,130.69049890831639,0.0,-0.44142858592720224,81471.00250346833,10.712804581900548,19.410810115254097,-11.430161519990577,6.2127568336609,-15.428608236790145,0.0,-3.4806008470238745,822.1630325113479,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-4.715803654889598,0.0,0.3430114287049959,27937.487483927638,5.96275243957492,0.0
2978,2019-03-02 17:30:00,0.0,4.2,79.2,0.4,2.621,20.109,0,906.7,0,286.288,0.0,,0.35,0,0.0,-0.794024404472386,-1.6587994341003178,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.04555535063143437,130.73774871904027,0.0,-0.6973520689159853,81471.00250346833,7.42546458912392,13.158824105444614,-10.114871639175817,6.669412681908704,-14.875311608956839,0.0,-2.2879005590535817,822.1174771607165,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-7.4498470198329185,0.0,0.3430114287049959,27937.487483927638,5.748917804150409,0.0
2979,2019-03-02 17:45:00,0.0,3.9,80.6,0.6,1.315,10.557,0,906.7,0,285.678,0.0,,0.35,0,0.0,-1.4913764733883714,-1.6526301779042116,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.0644865426875829,130.78330406967171,0.0,-1.0744232301892067,81471.00250346833,9.57884776262716,6.906188095635127,-7.700819679677124,10.80010179536542,-21.056964851899966,0.0,-0.4266224486962632,822.0529906180288,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-11.478117089272807,0.0,0.3430114287049959,27937.487483927638,5.425309771463506,0.0
2980,2019-03-02 18:00:00,0.0,3.5,81.3,0.6,0.009,1.005,0,906.8,0,285.067,0.0,,0.35,0,0.0,-2.565799703577578,-1.65147980308805,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.05894514119388015,130.8477906123593,0.0,-0.7226866194624573,81471.00250346833,11.527018774242224,0.6535520858256395,-3.6979713674759864,12.152458622150327,-19.24751606429063,0.0,2.4189794337422437,821.9940454768349,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-7.720497290048405,0.0,0.3430114287049959,27937.487483927638,4.959106771295893,0.0
2981,2019-03-02 18:15:00,0.0,3.5,83.1,0.3,0.007,0.754,0,906.9,0,285.476,0.0,,0.35,0,0.0,-3.2884863230400354,-1.6580025095932842,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.027732963419042446,130.90673575355316,0.0,0.21837387201427347,81471.00250346833,11.388618398057652,0.4903349556421642,-0.2163305221426981,6.800908433632263,-9.055719404635568,0.0,4.313705530925922,821.9663125134159,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,2.3328989934220843,0.0,0.3430114287049959,27937.487483927638,4.666397395745098,0.0
2982,2019-03-02 18:30:00,0.0,3.1,85.4,0.3,0.004,0.502,0,907.1,0,285.886,0.0,,0.35,0,0.0,-3.070112451025762,-1.669634288985764,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.028248499416634966,130.93446871697222,0.0,0.02416349311463494,81471.00250346833,9.482198570630864,0.32643426036695095,-0.7321907137791754,6.1827662060308155,-9.224058765512563,0.0,3.705188818012272,821.9380640139992,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,0.2581398051183008,0.0,0.3430114287049959,27937.487483927638,4.753142393033296,0.0
2983,2019-03-02 18:45:00,0.0,2.6,87.9,0.3,0.002,0.251,0,907.3,0,286.296,0.0,,0.35,0,0.0,-3.045948957911127,-1.6796252210578824,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.028306094481273605,130.96271721638885,0.0,-0.02160641257403404,81471.00250346833,9.012043051585984,0.16321713018347547,-0.42477704463004784,5.658775138800218,-9.242865437435018,0.0,3.6148278272323373,821.9097579195179,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-0.23082238584903436,0.0,0.3430114287049959,27937.487483927638,4.762833440310739,0.0
2984,2019-03-02 19:00:00,0.0,2.5,89.1,0.4,0.0,0.0,0,907.5,0,286.705,0.0,,0.35,0,0.0,-3.067555370485161,-1.6893724973906594,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.03767283177527792,130.99102331087013,0.0,-0.10646234270384827,81471.00250346833,11.164068919399611,0.0,0.07595448006162542,7.441911371717477,-12.301411449621957,0.0,3.6462030676205086,821.8720850877427,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-1.1373425302223463,0.0,0.3430114287049959,27937.487483927638,4.754172897885985,0.0
2985,2019-03-02 19:15:00,0.0,2.4,88.3,0.4,0.0,0.0,0,907.8,0,290.423,0.0,,0.35,0,0.0,-3.1740177131890093,-1.6992043761312654,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.0373362561639561,131.0286961426454,0.0,0.3191021812776382,81471.00250346833,15.60049306443866,0.0,4.245626361554571,7.453012298269926,-12.191508506740588,0.0,3.9018544046141646,821.8347488315787,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,3.408984557698073,0.0,0.3430114287049959,27937.487483927638,4.7116982928714055,0.0
2986,2019-03-02 19:30:00,0.0,2.5,89.4,0.7,0.0,0.0,0,907.9,0,294.14,0.0,,0.35,0,0.0,-2.854915531911371,-1.7097256111415526,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.0671186287078527,131.06603239880937,0.0,0.023592941704444096,81471.00250346833,22.168471580747752,0.0,6.607219021027561,12.531469587056097,-21.91642700487209,0.0,3.0297829726640932,821.7676302028709,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,0.25204457587566154,0.0,0.3430114287049959,27937.487483927638,4.840070993328934,0.0
2987,2019-03-02 19:45:00,0.0,3.0,86.8,0.4,0.0,0.0,0,908.2,0,297.858,0.0,,0.35,0,0.0,-2.831322590206927,-1.7178953313258498,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.03842974303446741,131.13315102751721,0.0,0.7883972878880964,81471.00250346833,20.971055372583884,0.0,10.224815680103916,7.8004899185121275,-12.548567726210955,0.0,2.945749773967841,821.7292004598364,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,8.422487646372929,0.0,0.3430114287049959,27937.487483927638,4.849692316654628,0.0
2988,2019-03-02 20:00:00,0.0,2.5,89.6,0.4,0.0,0.0,0,908.3,0,301.576,0.0,,0.35,0,0.0,-2.0429253023188307,-1.7258384584750242,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.04105702447579539,131.17158077055169,0.0,0.38216164668335467,81471.00250346833,17.489113006652843,0.0,10.572523552106418,6.077685528734747,-13.40646102705223,0.0,0.8389039258116765,821.6881434353606,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,4.082651979600612,0.0,0.3430114287049959,27937.487483927638,5.1812455775824935,0.0
2989,2019-03-02 20:15:00,0.0,2.4,90.7,0.4,0.0,0.0,0,908.5,0,303.507,0.0,,0.35,0,0.0,-1.6607636556354761,-1.7281005381015935,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.042388597785125944,131.2126377950275,0.0,0.21282619354905816,81471.00250346833,16.114896121049753,0.0,10.859217696286862,5.433828909872804,-13.841263254055487,0.0,-0.17815048510991272,821.6457548375755,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,2.273632866994266,0.0,0.3430114287049959,27937.487483927638,5.349285234822222,0.0
2990,2019-03-02 20:30:00,0.0,2.1,90.8,0.2,0.0,0.0,0,908.7,0,305.438,0.0,,0.35,0,0.0,-1.447937462086418,-1.72762016058704,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.021573557581400213,131.25502639281262,0.0,0.6048265729061445,81471.00250346833,13.505864510109376,0.0,11.87148676950818,2.3743230215518927,-7.044471990424388,0.0,-0.739945280950697,821.6241812799941,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,6.4613925196849875,0.0,0.3430114287049959,27937.487483927638,5.445007339840143,0.0
2991,2019-03-02 20:45:00,0.0,1.9,91.6,0.2,0.0,0.0,0,908.8,0,307.37,0.0,,0.35,0,0.0,-0.8431108891802735,-1.7256249200197782,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.02268534805831221,131.27659995039403,0.0,0.30649840323627753,81471.00250346833,10.681845702592897,0.0,11.18075234516624,1.8359252794342207,-7.407507935899582,0.0,-2.3348319220075644,821.6014959319358,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,3.274337766693315,0.0,0.3430114287049959,27937.487483927638,5.72561508310681,0.0
2992,2019-03-02 21:00:00,0.0,1.8,91.3,0.2,0.0,0.0,0,908.9,0,309.301,0.0,,0.35,0,0.0,-0.536612485943996,-1.7193291147913945,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.023268463965062693,131.29928529845233,0.0,0.24459632535602666,81471.00250346833,10.210949120526656,0.0,11.77598126389853,1.5640337334564123,-7.597914346931955,0.0,-3.129065876828285,821.5782274679707,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,2.613034773594701,0.0,0.3430114287049959,27937.487483927638,5.872789251310357,0.0
2993,2019-03-02 21:15:00,0.0,1.8,91.9,0.5,0.0,0.0,0,908.9,0,306.747,0.0,,0.35,0,0.0,-0.29201616058796936,-1.7108916811921682,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.05935891618583365,131.32255376241739,0.0,-1.0748765152209636,81471.00250346833,7.899667573382153,0.0,8.152752387085684,3.500777156865255,-19.38262712931347,0.0,-3.753861970568785,821.5188685517849,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-11.482959555931316,0.0,0.3430114287049959,27937.487483927638,5.992701632028971,0.0
2994,2019-03-02 21:30:00,0.0,1.9,93.7,0.8,0.0,0.0,0,908.9,0,304.193,0.0,,0.35,0,0.0,-1.366892675808933,-1.70076950340362,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.08687843105376103,131.38191267860321,0.0,-0.9574987686310817,81471.00250346833,18.139641382168808,0.0,10.27606347943049,8.746902414128963,-28.368648602393087,0.0,-0.8833245113906419,821.4319901207311,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-10.229007220224279,0.0,0.3430114287049959,27937.487483927638,5.481869332128269,0.0
2995,2019-03-02 21:45:00,0.0,2.0,92.7,0.3,0.0,0.0,0,908.9,0,301.639,0.0,,0.35,0,0.0,-2.324391444440015,-1.6983876449817124,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.030075684175375362,131.46879110965696,0.0,0.7506743333874797,81471.00250346833,17.840185774187635,0.0,11.842134013456189,4.341858654223115,-9.820694336892519,0.0,1.656193106508329,821.4019144365558,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,8.019491437295116,0.0,0.3430114287049959,27937.487483927638,5.060587726981159,0.0
2996,2019-03-02 22:00:00,0.0,1.9,93.3,0.3,0.0,0.0,0,909.1,0,299.085,0.0,,0.35,0,0.0,-1.5737171110525352,-1.7028535207138733,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.03202306775405625,131.49886679383235,0.0,-0.11682047790853185,81471.00250346833,9.20857974687883,0.0,6.061715040987167,3.4885157176992823,-10.45657875339957,0.0,-0.3416510118076203,821.3698913688017,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-1.2479990065207414,0.0,0.3430114287049959,27937.487483927638,5.388257926619241,0.0
2997,2019-03-02 22:15:00,0.0,1.7,92.4,0.3,0.0,0.0,0,909.1,0,292.16,0.0,,0.35,0,0.0,-1.690537588961067,-1.7019322688643734,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.03171265736038631,131.53088986158642,0.0,-0.6870519342945756,81471.00250346833,3.015409443000014,0.0,-0.359425947241391,3.404981837152838,-10.35521960966568,0.0,-0.0301464469114331,821.3381787114414,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-7.339810166665666,0.0,0.3430114287049959,27937.487483927638,5.336027725657773,0.0
2998,2019-03-02 22:30:00,0.0,1.7,93.3,0.4,0.0,0.0,0,909.1,0,285.235,0.0,,0.35,0,0.0,-2.3775895232556428,-1.7018509798618147,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.039922512374820446,131.5626025189468,0.0,-0.9475307598512837,81471.00250346833,2.9134872443101685,0.0,-4.334234710814599,5.459947634363024,-13.036005728339426,0.0,1.7877743207617434,821.2982561990666,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-10.122518484029257,0.0,0.3430114287049959,27937.487483927638,5.03807432050916,0.0
2999,2019-03-02 22:45:00,0.0,1.6,93.0,0.6,0.0,0.0,0,909.1,0,278.31,0.0,,0.35,0,0.0,-3.3251202831069264,-1.7066716604468841,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.05529504542759459,131.60252503132162,0.0,-1.0398530187698847,81471.00250346833,6.946838648874991,0.0,-7.227230073542046,9.892204212318317,-18.05564044104461,0.0,4.281864510098719,821.242961153639,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-11.108801792169618,0.0,0.3430114287049959,27937.487483927638,4.652020991809382,0.0
3000,2019-03-02 23:00:00,0.0,1.6,93.2,0.4,0.0,0.0,0,909.1,0,271.385,0.0,,0.35,0,0.0,-4.364973301876811,-1.7182175814683558,0.05163860267344329,1361.5841992281973,1.4848246447417637,0.0,0.03375336607635485,131.6578200767492,0.0,-0.5436621632599525,81471.00250346833,5.213607661948994,0.0,-9.775987724226638,7.987180093257028,-11.02157773516323,0.0,7.002415292918604,821.2092077875627,8.55452865631748,0.5504965184924447,1.6048926432882638,0,0,0.0,-5.8079700732142365,0.0,0.3430114287049959,27937.487483927638,4.259550733267028,0.0
