,When,h_ice,h_f,r_ice,ice,T_a,Discharge
12534,2019-03-15 09:25:00,0.24082296545107879,1.35,0.9549212557248375,210.87785456511517,4.0,0.0
12535,2019-03-15 09:30:00,0.24079244443235495,1.35,0.9548002325098331,210.79768707026534,3.7,0.0
12536,2019-03-15 09:35:00,0.2407593196695366,1.35,0.9546688848202686,210.7107034913774,3.8,0.0
12537,2019-03-15 09:40:00,0.24072606155430748,1.35,0.9545370083561692,210.6233938139108,3.7,0.0
12538,2019-03-15 09:45:00,0.24069275321712716,1.35,0.9544049327498965,210.53597646937078,3.8,0.0
12539,2019-03-15 09:50:00,0.24065498498478938,1.35,0.9542551725815381,210.43688344830676,4.0,0.0
12540,2019-03-15 09:55:00,0.24060982843861925,1.35,0.9540761159633614,210.31844642670984,4.0,0.0
12541,2019-03-15 10:00:00,0.24056655326137688,1.35,0.9539045194276381,210.20498558560564,4.0,0.0
12542,2019-03-15 10:05:00,0.24052591343032786,1.35,0.953743372676434,210.09847137677156,3.9,0.0
12543,2019-03-15 10:10:00,0.24048383851355248,1.35,0.9535765354635196,209.98823382299437,4.2,0.0
12544,2019-03-15 10:15:00,0.24044497315113433,1.35,0.9534224249092582,209.8864396654684,4.0,0.0
12545,2019-03-15 10:20:00,0.24040100103000098,1.35,0.9532480648225825,209.77130981948292,4.3,0.0
12546,2019-03-15 10:25:00,0.24034582254025924,1.35,0.9530292687762233,209.62689851322799,4.3,0.0
12547,2019-03-15 10:30:00,0.24028751453915104,1.35,0.9527980634610128,209.4743687926642,4.7,0.0
12548,2019-03-15 10:35:00,0.2402384403094256,1.35,0.9526034722807847,209.34605133926402,4.6,0.0
12549,2019-03-15 10:40:00,0.2401913553715199,1.35,0.9524167691233578,209.22298468056002,4.5,0.0
12550,2019-03-15 10:45:00,0.2401312257394439,1.35,0.9521783406011414,209.06589303263598,4.8,0.0
12551,2019-03-15 10:50:00,0.24008543975936944,1.35,0.9519967881254238,208.94632763569655,4.6,0.0
12552,2019-03-15 10:55:00,0.24004164664253175,1.35,0.9518231378340388,208.83200905865687,4.5,0.0
12553,2019-03-15 11:00:00,0.24000066981076013,1.35,0.9516606547935295,208.72507994633307,4.3,0.0
12554,2019-03-15 11:05:00,0.2399630277926496,1.35,0.9515113950950834,208.6268852075338,4.2,0.0
12555,2019-03-15 11:10:00,0.23992837752912793,1.35,0.9513739984265749,208.53652212767122,4.2,0.0
12556,2019-03-15 11:15:00,0.23989261737382314,1.35,0.9512322007689279,208.44329196778733,4.2,0.0
12557,2019-03-15 11:20:00,0.23984754620912355,1.35,0.9510534827089152,208.32582669862973,4.3,0.0
12558,2019-03-15 11:25:00,0.23979141326076367,1.35,0.950830902003479,208.1795937293871,4.3,0.0
12559,2019-03-15 11:30:00,0.23975241801168978,1.35,0.950676276417239,208.078046786067,4.4,0.0
12560,2019-03-15 11:35:00,0.23970493248830876,1.35,0.9504879848415961,207.9544350428798,4.4,0.0
12561,2019-03-15 11:40:00,0.2396623719949313,1.35,0.950319222200109,207.84368548225598,4.5,0.0
