,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing,LW_in,vp_a,h_s,DroneV,a,cld,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice,thickness
3410,2019-03-07 09:30:00,0.53,3.0,90.6,0.8,30.472,147.754,0.0,895.2,0,295.562,0.0,,,0.35,0,0.0,0.0,-3.335845423795833,0.2630588851031703,228.54422962947905,0.24923034855995535,0.0,0.07337344813448379,190.67712485556615,1.0984533845580893,-0.0,17125.757921432807,94.9492504333223,101.25045472546147,-4.312538835638918,7.911241441819131,-31.766756227020245,0.0,-9.899906898319365,933.9921303726404,6.451917752978684,0.11626867191750702,1.4307204921130752,0.0,0,0.0,-7.105427357601002e-15,63.18249420630207,0.08126581855676522,6383.544779738637,6.138509069741413,-0.00014189918109045312
3411,2019-03-07 09:45:00,0.557,3.3,89.1,1.1,39.686,169.597,0.0,895.4,0,294.15,0.0,,,0.35,0,0.0,0.0,-3.215897219320875,0.27439528030078136,227.44577624492095,0.24803247136850703,0.0,0.10056502933538165,190.75049830370062,1.2186494931908876,-0.0,17125.757921432807,114.00093848796786,117.31632321111094,-5.724538835638953,11.968425994576446,-43.679318014278785,0.0,-9.559271882080573,934.9900187278631,6.43122789871252,0.11608209843588745,1.4284246500858488,0.0,0,0.0,0.0,70.32162047368908,0.08126581855676522,6383.544779738637,6.138513033153058,-0.00018566219181812558
3412,2019-03-07 10:00:00,0.581,3.7,87.7,1.0,48.9,191.44,0.0,895.6,0,292.738,0.0,,,0.35,0,0.0,0.0,-3.0998900268959573,0.2843044100201081,226.22712675173005,0.24670351881322797,0.0,0.0910959596999253,190.851063333036,1.5471611910511076,-0.0,17125.757921432807,129.3070679629284,133.47261567248913,-7.13653883563893,12.201946953467052,-39.7084965600419,0.0,-9.230955827388875,936.1175722613541,6.408235083315953,0.11587440527328369,1.4258689241202183,0.0,0,0.0,0.0,89.59857140288648,0.08126581855676522,6383.544779738637,6.138516996514302,-0.0002066405632344477
3413,2019-03-07 10:15:00,0.603,3.8,88.1,0.8,81.234,192.208,0.0,895.9,0,288.394,0.0,,,0.35,0,0.0,0.0,-2.9876663465138105,0.293244065409067,224.67996556067894,0.2450163201316019,0.0,0.07254418997162955,190.9421592927359,1.6893804127726793,-0.0,17125.757921432807,130.05015831367348,140.4191024661361,-11.480538835638924,10.028741655256882,-31.76682801310917,0.0,-8.917146972080578,937.5921892624336,6.378984515035475,0.11560964682141328,1.4226109928451462,0.0,0,0.0,0.0,98.2833303005643,0.08126581855676522,6383.544779738637,6.138522941461735,-0.00026328601552379807
3414,2019-03-07 10:30:00,0.622,4.0,88.2,0.7,113.568,192.976,0.0,895.9,0,284.049,0.0,,,0.35,0,0.0,0.0,-2.879009473386826,0.3008506194043049,222.99058514790624,0.2431740296051322,0.0,0.06315757906661905,191.01470348270755,1.7896845715813332,-0.0,17125.757921432807,132.43992290550676,147.64295204393028,-15.825538835638952,9.23699889299976,-27.79597451147052,0.0,-8.61448919578434,939.2184120961398,6.346968363588747,0.11531915920933654,1.4190364566227143,0.0,0,0.0,0.0,104.64394839403624,0.08126581855676522,6383.544779738637,6.138522941461735,-0.00028880623900674507
3415,2019-03-07 10:45:00,0.637,4.3,82.9,0.9,145.902,193.745,0.0,895.9,0,279.705,0.0,,,0.35,0,0.0,0.0,-2.77377611851722,0.30677921377715456,221.2009005763249,0.24122235613557785,0.0,0.08076753953710299,191.07786106177417,1.7617547206084803,-0.0,17125.757921432807,139.3034324634408,155.02805555153438,-20.169538835638946,12.766852041396096,-35.73768151474782,0.0,-8.321936293850747,940.927329128184,6.312962981306027,0.11500981949469251,1.4152299396868397,0.0,0,0.0,0.0,103.56575094869298,0.08126581855676522,6383.544779738637,6.138522941461735,-0.0003074969588237895
3416,2019-03-07 11:00:00,0.649,4.9,80.9,0.8,178.236,194.513,0.0,896.1,0,275.361,0.0,,,0.35,0,0.0,0.0,-2.67184311580575,0.31147245548284647,219.43914585571642,0.2393011405187747,0.0,0.0714117078863418,191.15862860131128,1.8804701170370377,-0.0,17125.757921432807,142.9022293752278,162.5185929740364,-24.51353883563894,12.934685334550641,-31.76684852283407,0.0,-8.037510097720322,942.6176721409062,6.279398596489582,0.11470367335528388,1.4114627206414205,0.0,0,0.0,0.0,111.13538085239372,0.08126581855676522,6383.544779738637,6.13852690469712,-0.0003043286682485313
3417,2019-03-07 11:15:00,0.658,5.3,79.8,0.9,170.211,195.829,0.0,896.2,0,280.655,0.0,,,0.35,0,0.0,0.0,-2.5731312051932216,0.3149629896851987,217.55867573867937,0.237250464273369,0.0,0.07987857048851725,191.23004030919762,1.9373628843918058,-0.0,17125.757921432807,150.89427519573493,162.13545753424978,-19.219538835638957,15.741156700250928,-35.7377161247988,0.0,-7.7628002031268375,944.4182636874547,6.243473219872628,0.1143750842865593,1.407419334694412,0.0,0,0.0,0.0,115.15655907093614,0.08126581855676522,6383.544779738637,6.138528886295953,-0.0003265720775476996
3418,2019-03-07 11:30:00,0.662,5.5,73.3,1.7,162.186,197.144,0.0,896.6,0,285.949,0.0,,,0.35,0,0.0,0.0,-2.477519220313347,0.3165061659684765,215.62131285428757,0.23513774575167673,0.0,0.1499848672568527,191.30991887968614,1.7301035482493166,-0.0,17125.757921432807,170.95683442633472,161.50996487194618,-13.925538835638918,30.86907877544708,-67.50466206651747,0.0,-7.496670385419604,946.2056417045897,6.206352515198298,0.11403456762961142,1.4032291762367077,0.0,0,0.0,0.0,103.45217235981725,0.08126581855676522,6383.544779738637,6.138536812565657,-0.0003383883372747717
3419,2019-03-07 11:45:00,0.664,4.8,80.8,2.0,154.161,198.46,0.0,897.1,0,291.243,0.0,,,0.35,0,0.0,0.0,-2.384909355849893,0.3172758566156654,213.89120930603826,0.2332510461352653,0.0,0.17550791957539563,191.45990374694298,1.6171510884971385,-0.0,17125.757921432807,176.63625808200288,160.79151616562294,-8.631538835638935,31.712130015442096,-79.41737766889676,0.0,-7.235849263423196,947.7602373332636,6.173108913994553,0.113728751151563,1.3994660137721002,0.0,0,0.0,0.0,97.21888041310612,0.08126581855676522,6383.544779738637,6.138546720120441,-0.00030399491678747913
