,time,ghi,SW_diffuse,cld,sea,f_cone,SW_direct,dis,Discharge,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,snow_h,alb,T_s,T_bulk,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
294,2021-12-15 14:00:00,251.995,97.719,0.376,0.29,0.15586759565666045,-50.829,-0.005,0.0,0.63,85.135,0.375,46.89,0.0,5.917,90.735,257.78,54.34,0.82,-5.038096446908033,-1.059401479916938,37666.51600809627,41.07580807862188,0.0,361.38275399384617,0.0,-0.0752526231466276,266.15999999999997,-1.8088369553398056,16.163353076466173,-26.416796051858228,0.9802603964874481,6.40333761142392,0.0,1.0610080121408807,2306.780855759807,183.3028105962207,0.6748905819142921,7.623634473066853,0.0,0.0,1.4836724764514682,8.817454953717703e-06,0.0,0.0,-1.808836955339805,0.0,,40600.83961784996,0.0,0.08852261063829463,4.004636876793407
295,2021-12-15 15:00:00,159.198,81.805,0.433,0.2,0.11270293360962019,-48.7,-0.004,0.0,0.16,86.85,0.3,33.105,0.0,5.85,90.75,255.885,54.31,0.818,-5.11334907005466,-1.068265615824637,37667.99968057272,41.07742604206403,0.0,361.38275399384617,0.0,-0.302984873879007,266.15999999999997,-7.282805753009534,13.889578818244496,-27.99286128246092,0.7297149560180136,5.012051568906539,0.0,1.0787101862823394,2306.780855759807,183.30286674141152,0.6749171656466656,7.623634473066853,0.0,0.0,1.1613076948774188,8.826724679713349e-06,0.0,0.0,-7.282805753009534,0.0,,40602.323290326414,0.0,0.08852609399080955,3.9789354108172366
296,2021-12-15 16:00:00,46.91,37.805,0.578,0.079,0.05329687300387547,-21.955,-0.001,0.0,-0.265,87.305,0.305,15.85,2.535,5.567,90.775,255.485,55.155,0.85,-5.416333943933667,-1.0772772914129591,37669.1609882676,41.07869246266914,0.0,361.38275399384617,0.0,-0.6295187678963786,266.15999999999997,-15.131656065094667,5.495230072979988,-27.11146980649079,0.7249121273784158,4.602568468598759,0.0,1.1571030724389606,2306.780855759807,183.30291068919283,0.6749379734013784,7.623634473066853,0.0,462.8624680935174,1.0664294624247301,6.908896885350864e-06,0.0,0.0,-15.131656065094667,0.0,,40603.48459802129,0.0,0.08852958100641443,3.8769708442845974
297,2021-12-15 17:00:00,0.0,0.0,0.43,0.0,0.01420694738969649,1.295,-0.0,0.0,-0.615,87.435,0.32,1.295,0.0,5.317,90.805,253.995,54.535,0.848,-6.045852711830046,-1.0869435749752463,38133.08988582354,41.58461274353712,0.0,361.38275399384617,0.0,-0.7957815582899463,266.15999999999997,-19.128091896651174,0.0027964955241878576,-25.952967258396257,0.8020988560669926,4.698269920281405,0.0,1.3217100898724956,2306.780855759807,183.320574847673,0.6832504290468935,7.623634473066853,0.0,0.0,1.0887086914578175,0.00276002317129496,0.0,0.0,-19.128091896651174,0.0,,41067.41349557723,0.0,0.08853231038106983,3.672699471522715
298,2021-12-15 18:00:00,0.0,0.0,0.43,0.0,0.014207349769248045,-0.065,-0.0,0.0,-1.82,89.745,0.395,-0.065,0.0,5.35,90.87,251.73,54.33,0.847,-6.841634270119992,-1.097851684476574,38134.178594515,41.58579999401854,0.0,361.38275399384617,0.0,-0.6518652861700791,266.15999999999997,-15.668796252193346,-0.00014129209345517183,-24.896658639108267,0.9166203735812346,6.780480864582403,0.0,1.530902440844741,2306.780855759807,183.32061655269308,0.6832699360074563,7.623634473066853,0.0,0.0,1.5712103080857938,6.476362418138373e-06,0.0,0.0,-15.668796252193344,0.0,,41068.50220426869,0.0,0.08962266376499474,3.4285462365558512
299,2021-12-15 19:00:00,0.0,0.0,0.43,0.0,0.01420793047773051,0.24,-0.0,0.0,-1.965,90.95,0.375,0.24,0.0,5.317,90.905,256.385,53.99,0.845,-7.493499556290072,-1.1104859063331847,38135.749804823085,41.58751341856389,0.0,361.38275399384617,0.0,-0.3296423396128344,266.15999999999997,-7.923567591452004,0.000528535013771575,-17.543098170594646,0.9584151112551836,6.959311899831572,0.0,1.7012750330421134,2306.780855759807,183.32067674292128,0.6832980882007441,7.623634473066853,0.0,0.0,1.6126505483538907,9.346600385549133e-06,0.0,0.0,-7.923567591452004,0.0,,41070.07341457678,0.0,0.08962522251313931,3.2396912962228375
300,2021-12-15 20:00:00,0.0,0.0,0.43,0.0,0.014208526501644845,-0.15,-0.0,0.0,-1.82,88.73,0.24,-0.15,0.0,5.4,90.89,255.94,53.82,0.844,-7.823141895902906,-1.1245256041713394,38137.36245537144,41.58927203421095,0.0,361.38275399384617,0.0,-0.38903425389640905,266.15999999999997,-9.351162868698074,-0.0003324795201384894,-16.631001818252855,0.6659383966014798,4.828843151178729,0.0,1.7853898812947129,2306.780855759807,183.32073852320855,0.6833269829003965,7.623634473066853,0.0,0.0,1.1189668306434548,9.593111253505768e-06,0.0,0.0,-9.351162868698074,0.0,,41071.68606512513,0.0,0.08962891526538068,3.1478511155020117
301,2021-12-15 21:00:00,0.0,0.0,0.43,0.0,0.014208940063293403,0.9,-0.0,0.0,-1.38,86.96,0.32,0.9,0.0,5.383,90.93,253.425,53.785,0.842,-8.212176149799316,-1.1392588380571413,38138.48142220209,41.590492281572615,0.0,361.38275399384617,0.0,-0.33123128475608327,266.15999999999997,-7.961760847380321,0.0020205112770003224,-17.550890562778534,1.0109859362879445,6.690972878993547,0.0,1.8851503888397216,2306.780855759807,183.32078139210435,0.683347032011796,7.623634473066853,0.0,0.0,1.550470419670544,6.656351984480401e-06,0.0,0.0,-7.9617608473803205,0.0,,41072.80503195578,0.0,0.08963270541294803,3.0425264173341002
302,2021-12-15 22:00:00,0.0,0.0,0.43,0.0,0.014209513104914175,0.855,-0.0,0.0,-0.23,83.63,0.44,0.855,0.0,5.0,90.945,253.55,53.695,0.841,-8.543407434555398,-1.1548148538531584,38140.03189262176,41.59218308900955,0.0,361.38275399384617,0.0,-0.1819399761307744,266.15999999999997,-4.373266189508707,0.0019317122590475579,-16.07330889801284,1.6917648825532878,8.037061973465695,0.0,1.9692841402261025,2306.780855759807,183.32084079445715,0.6833748125977028,7.623634473066853,0.0,0.0,1.862394470005058,9.223217488476513e-06,0.0,0.0,-4.373266189508707,0.0,,41074.35550237545,0.0,0.08963533527557724,2.9553991056013644
303,2021-12-15 23:00:00,0.0,0.0,0.43,0.0,0.014210201430463778,-0.9,-0.0,0.0,-2.12,88.425,0.41,-0.9,0.0,5.0,90.995,248.465,53.505,0.839,-8.725347410686172,-1.1710644750802561,38141.89428709177,41.59421405353519,0.0,361.38275399384617,0.0,-0.39489756095542755,266.15999999999997,-9.492098374270979,-0.002059058187274202,-20.41751576080881,1.253219789648172,7.660815224658549,0.0,2.0134414304183874,2306.780855759807,183.32091215055812,0.683408182089252,7.623634473066853,0.0,0.0,1.7752090889342123,1.1078743239644607e-05,0.0,0.0,-9.49209837427098,0.0,,41076.21789684546,0.0,0.08963897928369502,2.908517287606228
