,time,ghi,sea,Discharge,temp,RH,wind,SW_global,ppt,press,alb,vp_a,LW_in,SW_direct,SW_diffuse,T_F,e_a,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,rain2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,rho_air,s_cone,vp_ice,Qr
609,2021-07-26 09:00:00,595.935,0.637,30,-0.9,48.0,1.5,0,0.0,548.924,0.388,2.748,200.323,0,0,0.0,0.643,-0.2416854379343944,-1.6665219709536492,0.3161535185404804,196032.17708909855,215.73203309679073,19.34809878665772,11674.086324498185,0.0,-1.4808562977456055,895554.5609729735,-153.5104000384732,0,-104.76270740868094,-2.8904736467442076,-45.58777688338205,0,-0.2694420996660045,58.76545454025393,335.7587707809448,1.9626108624001155,10.245329023287653,0.0,0.0,0.0,0.0,0.0013629514401942676,1386.2847373906638,413.71526260933626,-39.19147217140004,,-114.31892786707316,1103319.5898411106,1.0,908.6836770371806,0.1911552054460199,5.992280702867976,-0.0
610,2021-07-26 10:00:00,758.37,0.822,30,1.0,47.0,1.0,0,0.0,548.924,0.386,3.088,209.236,0,0,0.0,0.653,-1.72254173568,-1.6657297076737376,0.38011193092580486,196426.54425292122,216.162135427648,8.793935266446047,11693.434423284842,0.0,0.9396959508821728,896940.8457103642,-102.01879511263772,0,-89.28158016991733,7.970753268786101,-20.718709713876716,0,0.01074150237023365,58.76545454025393,335.78248818350687,1.966523695809076,10.245329023287653,0.0,0.0,0.0,0.0,0.0012809861373297479,1340.7628956911685,459.2371043088315,24.869888812981355,,-126.88868392561906,1105119.5898411106,1.0,908.700054541548,0.1915615260319212,5.299278520113999,0.0
611,2021-07-26 11:00:00,857.133,0.953,30,3.1,40.0,1.8,0,0.0,548.924,0.385,3.054,215.141,0,0,0.0,0.652,-0.7828457847978271,-1.6657612306319107,0.4176552447761444,196876.9874219636,216.6535196130706,19.160588120726437,11702.228358551287,0.0,-0.9226789369382958,898281.6086060554,-112.37252194796696,0,-87.53203103645407,20.465536919505492,-45.13912741919872,0,-0.16690041181965087,58.76545454025393,335.80964064633497,1.9709940376775428,10.245329023287653,0.0,0.0,0.0,0.0,0.0014634002746268106,1481.6554153003713,318.34458469962885,-24.420004923219423,,-87.95251702474752,1106919.5898411106,1.0,908.7181587152304,0.19194343991678195,5.729997602874039,0.0
612,2021-07-26 12:00:00,883.124,0.991,30,5.2,31.0,4.1,0,0.0,548.924,0.384,2.743,218.145,0,0,0.0,0.641,-1.705524721736123,-1.6652725111144342,0.4272292258044094,197176.1714185425,216.97977145235708,41.82441443671505,11721.388946672014,0.0,-3.6288612609995066,899763.2640213558,-96.0442746035794,0,-80.44744887476307,82.92156295332143,-98.52599668464168,0,0.007608002503927443,58.76545454025393,335.8277012158253,1.9739620966832923,10.245329023287653,0.0,0.0,0.0,0.0,0.0009715380376171798,1800.0,0.0,-96.0442746035794,0.0,,1108719.5898411106,0.0,908.7306623043295,0.1923797696684479,5.30680862036931,0.0
613,2021-07-26 13:00:00,834.007,0.92,30,5.7,27.0,4.6,0,0.0,548.924,0.383,2.474,216.439,0,0,0.0,0.631,-5.334385982735629,-1.665294756339506,0.40885284696831864,197134.3470041058,216.93374635804517,26.199901789547738,11763.213361108728,0.0,0.8002429736981274,901563.2640213558,21.179855163236105,0,-66.5036173710254,148.65959367208262,-61.66940274932264,0,0.6932816115015242,58.76545454025393,336.09914303829964,1.9718434542693037,10.249744334696045,0.0,0.0,0.0,0.0,-0.00013704972563396766,1800.0,0.0,21.179855163236113,0.0,,1110519.5898411106,0.0,908.7306623043295,0.1923797696684479,3.9043111824340953,0.0
614,2021-07-26 14:00:00,714.201,0.769,30,6.7,26.0,7.5,0,0.0,548.924,0.382,2.552,220.433,0,0,0.0,0.634,-4.534143009037502,-1.6673239283255994,0.363053652886086,197108.14710231626,216.90491504104844,48.63781949241338,11789.413262898275,0.0,2.528028045742063,903363.2640213558,66.90876348464342,0,-65.90657695750929,246.76760706760305,-114.49398142256325,0,0.5417147971129047,58.76545454025393,336.0693631454237,1.9717560952431763,10.249290237956673,0.0,0.0,0.0,0.0,-8.57821794369888e-05,1800.0,0.0,66.90876348464343,0.0,,1112319.5898411106,0.0,908.7306623043295,0.1923797696684479,4.180695954853571,0.0
615,2021-07-26 15:00:00,534.918,0.573,30,6.9,27.0,6.9,0,0.0,548.924,0.381,2.687,222.674,0,0,0.0,0.638,-2.0061149632954387,-1.6689095483308323,0.2914609798964096,197059.50928282386,216.85139223004404,68.35013077543866,11838.051082390688,0.0,-2.096127101746238,905163.2640213558,-55.47773598505398,0,-74.5980315098312,179.9800324701143,-160.9234606004573,0,0.06372365512021191,58.76545454025393,336.0140758879092,1.9715939003471388,10.248447140492127,0.0,0.0,0.0,0.0,-0.00015926120281674845,1800.0,0.0,-55.47773598505398,0.0,,1114119.5898411106,0.0,908.7306623043295,0.1923797696684479,5.175220683747471,0.0
616,2021-07-26 16:00:00,314.791,0.354,30,7.0,27.0,8.1,0,0.0,548.924,0.379,2.706,223.199,0,0,0.0,0.639,-4.102242065041677,-1.6690960852598054,0.1984077634701488,196991.1591520484,216.77617728065286,52.58784351631993,11906.401213166127,0.0,2.8341854631913157,906963.2640213558,75.01176466284767,0,-64.98661724179459,263.37991261935787,-123.84138953901461,0,0.4598588242990083,58.76545454025393,335.93637369537646,1.9713659247391964,10.247262111482396,0.0,0.0,0.0,0.0,-0.00022384463862839033,1800.0,0.0,75.01176466284767,0.0,,1115919.5898411106,0.0,908.7306623043295,0.1923797696684479,4.337170733456252,0.0
617,2021-07-26 17:00:00,85.833,0.122,30,6.6,26.0,5.6,0,0.0,548.924,0.378,2.535,219.913,0,0,0.0,0.633,-1.2680566018503616,-1.6704423760941418,0.08959648620418931,196938.5713085321,216.7183077207296,66.158868379713,11958.989056682447,0.0,-4.060478369142818,908763.2640213558,-107.4677898819511,0,-80.60898963286218,129.04537403823483,-155.82811756101518,0,-0.07605672630857392,58.76545454025393,335.8765843605532,1.9711904869011825,10.246350176520023,0.0,0.0,0.0,0.0,-0.0001722634536018931,1800.0,0.0,-107.4677898819511,0.0,,1117719.5898411106,0.0,908.7306623043295,0.1923797696684479,5.503769096887195,0.0
618,2021-07-26 18:00:00,0.0,0.0,30,4.9,34.0,5.8,0,0.0,548.924,0.377,2.946,219.468,0,0,0.0,0.648,-5.32853497099318,-1.6702196912584621,0.03006685927789048,196872.41244015237,216.6455041155206,22.158873712770777,12025.14792506216,0.0,2.21937673148126,910563.2640213558,58.73975688683945,0,-63.49934415681096,173.75142141949163,-52.20387227879626,0,0.6915519029550415,58.76545454025393,335.8013579962176,1.9709697305215146,10.24520267343252,0.0,0.0,0.0,0.0,-0.00021675701313804858,1800.0,0.0,58.73975688683945,0.0,,1119519.5898411106,0.0,908.7306623043295,0.1923797696684479,3.9062699712761892,0.0
619,2021-07-26 19:00:00,0.0,0.0,30,1.8,50.0,3.5,0,0.0,548.924,0.376,3.48,215.239,0,0,0.0,0.664,-3.1091582395119204,-1.6722446978258687,0.03006685927789048,196850.2535664396,216.62111969158516,17.22974922063428,12047.306798774931,0.0,1.5753697796006119,912363.2640213558,-67.22545504358084,0,-77.225127947799,50.32247743058579,-40.59444256266455,0,0.27163803629690103,58.76545454025393,335.77616022342283,1.9708957805835874,10.244818277827646,0.0,0.0,0.0,0.0,-7.261562038026345e-05,1405.801284535771,394.1987154642291,41.694966225428836,,-108.92042126900967,1121319.5898411106,1.0,908.7306623043295,0.1923797696684479,4.717420085377979,0.0
620,2021-07-26 20:00:00,0.0,0.0,30,1.4,52.0,4.8,0,0.0,548.924,0.375,3.517,214.356,0,0,0.0,0.665,-1.5337884599113085,-1.6730401398515906,0.030121883654157227,197227.22253268323,217.03226462819487,35.64163135377447,12064.536547995565,0.0,-1.6387526979919358,913769.0653058916,-127.74387278940372,0,-84.9928147731236,41.243638493828335,-83.96837637809462,0,-0.02632013201384255,58.76545454025393,335.7989257185749,1.9746365230464005,10.244818277827646,0.0,0.0,0.0,0.0,0.0012244613683595922,1494.6298238696402,305.37017613035977,-43.37324450238117,,-84.37062828702256,1123119.5898411106,1.0,908.7460929855738,0.1923797696684479,5.383350217215352,0.0
621,2021-07-26 21:00:00,0.0,0.0,30,-0.2,60.0,2.5,0,0.0,548.924,0.374,3.615,210.401,0,0,0.0,0.669,-3.172541157903244,-1.672963208284836,0.030161218698027858,197496.95107745982,217.3262293776014,10.717212914589835,12100.17817934934,0.0,2.2186369334190155,915263.6951297612,-84.98433861582173,0,-81.7886405128387,21.768432026729535,-25.24753346809196,0,0.28340333837938203,58.76545454025393,335.81522835055233,1.9773111186032444,10.244818277827646,0.0,0.0,0.0,0.0,0.0008754189691866556,1279.8457217884777,520.1542782115223,58.72194376781229,,-143.706282383634,1124919.5898411106,1.0,908.7580069974505,0.19274490474077113,4.692271689016338,-0.0
