,When,sea,Discharge,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,vp_a,p_a,missing_type,LW_in,a,cld,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dep,thickness,fountain_runoff,fountain_froze,Qt,Qmelt,input,s_cone,vp_ice
412,2020-12-09 05:00:00,0.0,5.0,-1.633,96.633,0.917,0.0,0.0,0.0,5.233,783.531,p_aSW_directSW_diffuseLW_in,276.724,0.35,0,-0.6958605563058251,-1.058742786045104,0.02525308261913009,51027.60469748544,55.6462428544007,0.6874888170205702,307.72285680985414,0.0,-0.3346085565099925,183573.36644838317,-31.590889957979574,0.0,-20.10642650532901,-2.66548641722823,-3.5746399396240753,-5.14121349568663,-0.10312360011162816,4284.44738230535,152.14960138525262,1.1112792353786647,6.914997296679015,0.0,0.0,0.0003353242352393217,254.0551479599745,45.9448520400255,-3.5746399396240753,-28.0162500183555,239193.14138498376,0.1605583243306272,5.79354382548719
413,2020-12-09 06:00:00,0.0,5.0,-1.6,97.1,1.0,0.0,0.0,0.0,5.3,783.992,p_aSW_directSW_diffuseLW_in,275.886,0.35,0,-1.0304691128158177,-1.0582149150824,0.025274915451524126,51072.862060708445,55.69559657656319,0.44811148528843436,308.4103456268747,0.0,-0.21809603892328489,183827.42159634313,-32.31021337562586,0.0,-19.488927531292802,-1.7675660441310632,-2.3299308886193986,-8.715904650379112,-0.007884261203482327,4284.44738230535,152.1530002283657,1.112264850288396,6.914997296679015,0.0,0.0,0.00032437628303426527,250.8331624517034,49.1668375482966,-2.3299308886193986,-29.98028248700646,239493.14138498376,0.1607056644711005,5.635034587723807
414,2020-12-09 07:00:00,0.0,5.0,-1.6,97.1,1.167,0.0,0.0,0.2,5.3,784.326,p_aSW_directSW_diffuseLW_in,278.769,0.35,0,-1.2485651517391025,-1.0581745918444379,0.025298416461444758,51121.580786771454,55.74872495831129,0.36503110795764593,308.85845711216314,0.0,-0.17765651018008033,184078.25475879485,-29.823216443358426,0.0,-15.660127036273934,-1.27338294451837,-1.8979133810793072,-11.045890717989495,0.05409763650268381,4284.44738230535,152.15666230366605,1.1133258467621456,6.914997296679015,30.044425064114197,0.0,0.0003491773521939258,254.2021698563202,45.79783014367978,-1.8979133810793072,-27.92530306227912,239793.14138498376,0.16084819741326153,5.533857949294505
415,2020-12-09 08:00:00,0.126,5.0,-1.65,97.1,1.35,0.065,17.448,0.2,5.25,784.334,p_aSW_directSW_diffuseLW_in,276.78,0.35,0,-1.426221661919183,-1.0584510115882426,0.0871662271977249,51197.0580108713,55.83103381774405,0.3659589960486517,309.22348822012077,0.0,-0.1781014540978038,184332.45692865117,-21.21555740556673,11.344882773099103,-16.88037775261364,-0.9379929865294981,-1.9026667391995433,-12.943889680831344,0.10448698050818984,4284.44738230535,152.16234247462324,1.1149695898377503,6.914997296679015,30.044425064114197,0.0,0.0005409481135205874,268.32544652244735,31.674553477552664,-1.9026667391995433,-19.31289066636719,240123.18581004787,0.1610016315258474,5.452663511404503
416,2020-12-09 09:00:00,0.239,5.0,-1.567,96.983,1.633,0.039,74.543,0.2,5.283,784.675,p_aSW_directSW_diffuseLW_in,279.073,0.35,0,-1.6043231160169868,-1.0589841358281789,0.1414961918971877,51258.411030416915,55.89794005498028,0.1951997886282742,309.58944721616945,3.2507860426050925,1.6043231160169868,184600.7823751736,19.12110204260595,48.456536928464594,-13.818215161487387,0.1893218032792497,-1.0148373593296645,-14.846626072662488,0.15492190434164782,4284.44738230535,152.16696572184824,1.1163057359698887,6.914997296679015,30.044425064114197,0.0,0.00043970299187126496,300.0,0.0,17.139064064565275,1.9820379780406758,240453.230235112,0.16123933849883407,5.372362820391118
417,2020-12-09 10:00:00,0.318,5.0,-1.55,97.1,2.1,0.008,113.561,0.2,5.3,784.694,p_aSW_directSW_diffuseLW_in,279.122,0.35,0,0.0,-1.0597736721944098,0.17843849228531664,51285.0094696498,55.92694598653195,2.349247603464422,309.7846470047977,53.68160675765624,-0.0,184900.7823751736,32.72980112976669,73.81557788015989,-20.752538835638916,-10.111091991187372,-12.213500957816388,2.2924077713770976,-0.30105273712762953,4287.698168347955,152.16897171997536,1.1168849968109218,6.914997296679015,30.044425064114197,0.0,0.00019061910983154382,300.0,0.0,0.0,32.72980112976669,240783.2746601761,0.1614325628884922,6.1363103689047955
418,2020-12-09 11:00:00,0.355,5.0,-1.6,97.1,2.1,0.008,135.925,0.6,5.3,784.539,p_aSW_directSW_diffuseLW_in,278.029,0.35,0,0.0,-1.0582401773640537,0.19535676438860014,51259.02304035279,55.8986074594905,2.349226630691784,312.13389460826215,75.20002235515625,-0.0,185200.7823751736,45.84986889736676,88.35226585517483,-21.845538835638934,-10.435194585798795,-12.2134557136592,2.2924197447398176,-0.3006275674509622,4341.379775105612,152.1681769378255,1.1163101787365757,6.915024817562085,90.13399263362477,0.0,-0.00018623065347117958,300.0,0.0,0.0,45.84986889736676,241113.31908524022,0.1614325628884922,6.136307270844877
419,2020-12-09 12:00:00,0.347,5.0,-1.567,97.1,1.9,0.008,163.809,0.4,5.3,784.376,p_aSW_directSW_diffuseLW_in,277.813,0.35,0,0.0,-1.0567080799272472,0.19172309375213697,51271.60778400056,55.912331280262336,2.1254957362128866,314.4831212389539,108.43430645202439,-0.0,185500.7823751736,66.11258313083613,106.47684696008751,-22.06153883563894,-9.244717214509688,-11.050226406600137,2.2924054483374863,-0.3001868208401114,4416.579797460768,152.16912592243077,1.1165842471170784,6.915024817562085,60.089328422416514,0.0,9.01885075316654e-05,300.0,0.0,0.0,66.11258313083613,241503.45307787386,0.1614325628884922,6.136304012836541
420,2020-12-09 13:00:00,0.294,5.0,-1.633,97.1,1.8,0.094,109.421,0.6,5.267,784.583,p_aSW_directSW_diffuseLW_in,278.656,0.35,0,0.0,-1.0551785946481709,0.16731568487610352,51221.13731023474,55.85729259567584,2.0920493885940035,316.6086169751668,52.29100867222909,-0.0,185800.7823751736,31.897835888370036,71.13387298834594,-21.218538835638924,-9.129443820990096,-10.881772729097182,2.293549998087126,-0.29983171233682854,4525.014103912792,152.0931889970868,1.1160350879826169,6.913320757680753,90.08957492005175,0.0,-0.00036169416268156475,300.0,0.0,3.552713678800501e-15,31.897835888370032,241863.54240629627,0.1614325628884922,6.136308150298718
421,2020-12-09 14:00:00,0.202,5.0,-1.867,96.983,2.0,0.0,89.493,0.4,5.167,784.844,p_aSW_directSW_diffuseLW_in,277.057,0.35,0,0.0,-1.0536501765061024,0.12388110054451082,51256.84382709397,55.89623100010248,2.593114157214827,318.7006663637608,20.11247960273561,-0.0,186100.7823751736,12.263037445948108,58.170449999999995,-22.817538835638913,-11.60123950989984,-13.481791058244895,2.292484719947435,-0.29932787021567214,4577.305112585022,152.16386408077426,1.1162943590019998,6.914926821629339,60.087625328583066,0.0,0.00025601675317223315,300.0,0.0,0.0,12.263037445948108,242253.6319812163,0.1614325628884922,6.136313366984472
