When,h_ice,h_f,r_ice,ice,T_a,Discharge
2021-03-04 23:45:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.8,0.0
2021-03-05 00:00:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.45,0.0
2021-03-05 00:15:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.2,0.0
2021-03-05 00:30:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.1,0.0
2021-03-05 00:45:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.1,0.0
2021-03-05 01:00:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.1,0.0
2021-03-05 01:15:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.2,0.0
2021-03-05 01:30:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.2,0.0
2021-03-05 01:45:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.2,0.0
2021-03-05 02:00:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.3,0.0
2021-03-05 02:15:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.3,0.0
2021-03-05 02:30:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.3,0.0
2021-03-05 02:45:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.3,0.0
2021-03-05 03:00:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.4,0.0
2021-03-05 03:15:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.4,0.0
2021-03-05 03:30:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.4,0.0
2021-03-05 03:45:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.4,0.0
2021-03-05 04:00:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.4,0.0
2021-03-05 04:15:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.4,0.0
2021-03-05 04:30:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.4,0.0
2021-03-05 04:45:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.5,0.0
2021-03-05 05:00:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.5,0.0
2021-03-05 05:15:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.3,0.0
2021-03-05 05:30:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,1.1,0.0
2021-03-05 05:45:00,1.1525312336662512,2.5,5.984285633531418,39634.67361906619,0.8,0.0
2021-03-05 06:00:00,1.1535118603540402,2.5,5.989377339533108,39735.92874335948,0.6,0.0
2021-03-05 06:15:00,1.1544924877503364,2.5,5.994469049213578,39837.356246007446,0.4,0.0
2021-03-05 06:30:00,1.1544924877503364,2.5,5.994469049213578,39837.356246007446,0.3,0.0
2021-03-05 06:45:00,1.1554731158539389,2.5,5.999560762566593,39938.95627373988,0.3,0.0
2021-03-05 07:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.3,0.0
2021-03-05 07:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.3,0.0
2021-03-05 07:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.35,0.0
2021-03-05 07:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.4,0.0
2021-03-05 08:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.55,0.0
2021-03-05 08:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.6,0.0
2021-03-05 08:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.6,0.0
2021-03-05 08:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.7,0.0
2021-03-05 09:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.9,0.0
2021-03-05 09:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.1,0.0
2021-03-05 09:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.25,0.0
2021-03-05 09:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.6,0.0
2021-03-05 10:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.8,0.0
2021-03-05 10:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,2.1,0.0
2021-03-05 10:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,2.25,0.0
2021-03-05 10:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,2.5,0.0
2021-03-05 11:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,2.8,0.0
2021-03-05 11:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,3.2,0.0
2021-03-05 11:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,3.15,0.0
2021-03-05 11:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,3.1,0.0
2021-03-05 12:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,2.9,0.0
2021-03-05 12:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,2.8,0.0
2021-03-05 12:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,2.8,0.0
2021-03-05 12:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,2.7,0.0
2021-03-05 13:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,2.7,0.0
2021-03-05 13:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,2.5,0.0
2021-03-05 13:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,2.25,0.0
2021-03-05 13:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.9,0.0
2021-03-05 14:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.7,0.0
2021-03-05 14:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.4,0.0
2021-03-05 14:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.25,0.0
2021-03-05 14:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.1,0.0
2021-03-05 15:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.1,0.0
2021-03-05 15:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,1.0,0.0
2021-03-05 15:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.95,0.0
2021-03-05 15:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.9,0.0
2021-03-05 16:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.85,0.0
2021-03-05 16:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.8,0.0
2021-03-05 16:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.7,0.0
2021-03-05 16:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.6,0.0
2021-03-05 17:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.55,0.0
2021-03-05 17:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.4,0.0
2021-03-05 17:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.35,0.0
