,When,ghics,difcs,zen,sea,Unnamed: 0,T_a,RH,v_a,p_a,SW_direct,SW_diffuse,a,vp_a,LW_in,cld,e_a,Discharge,Prec,T_s,T_bulk,f_cone,TotalE,SW,LW,Qs,Ql,Qf,Qg,ppt,dpt,cdt,vp_ice,ghi,dif
10,2020-12-23 02:45:00,117.423,7.589,81.649,0.146,875,-10.15,26.55,1.009,620.947,-2.026,-0.676,0.35,0.749,145.632,0,0.537,60,0,0,0,1,-179.416,-1.756,-154.243,-23.417,0,0,0,0,0,0,6.133,-2.702,-0.676
11,2020-12-23 03:00:00,165.353,10.686,79.176,0.189,876,-10.47,25.6,0.376,620.852,-2.094,-0.698,0.35,0.705,143.674,0,0.532,60,0,0,0,1,-167.015,-1.815,-156.201,-9.0,0,0,0,0,0,0,6.133,-2.792,-0.698
12,2020-12-23 03:15:00,212.667,13.744,76.785,0.231,877,-10.91,27.98,0.318,620.716,-2.258,-0.753,0.35,0.743,143.849,0,0.536,60,0,0,0,1,-165.913,-1.957,-156.026,-7.93,0,0,0,0,0,0,6.133,-3.011,-0.753
13,2020-12-23 03:30:00,258.47,16.704,74.486,0.271,878,-10.83,26.54,0.259,620.58,-2.157,-0.719,0.35,0.71,143.066,0,0.533,60,0,0,0,1,-165.088,-1.869,-156.809,-6.41,0,0,0,0,0,0,6.133,-2.876,-0.719
14,2020-12-23 03:45:00,302.22,19.531,72.287,0.309,879,-10.79,26.97,0.221,620.443,-2.211,-0.737,0.35,0.724,143.544,0,0.534,60,0,0,0,1,-163.694,-1.916,-156.33,-5.448,0,0,0,0,0,0,6.133,-2.948,-0.737
15,2020-12-23 04:00:00,343.543,22.202,70.198,0.346,880,-11.1,27.59,0.786,620.307,-2.127,-0.709,0.35,0.722,142.849,0,0.534,60,0,0,0,1,-178.797,-1.843,-157.025,-19.928,0,0,0,0,0,0,6.133,-2.836,-0.709
16,2020-12-23 04:15:00,382.149,24.697,68.231,0.38,881,-10.99,29.61,0.556,620.28,-2.03,-0.677,0.35,0.782,144.714,0,0.54,60,0,0,0,1,-170.876,-1.76,-155.16,-13.956,0,0,0,0,0,0,6.133,-2.707,-0.677
17,2020-12-23 04:30:00,417.805,27.001,66.395,0.412,882,-10.89,29.48,1.688,620.254,-1.863,-0.621,0.35,0.785,145.002,0,0.541,60,0,0,0,1,-198.471,-1.615,-154.873,-41.984,0,0,0,0,0,0,6.133,-2.484,-0.621
18,2020-12-23 04:45:00,450.312,29.102,64.702,0.442,883,-10.89,27.56,1.316,620.227,-2.027,-0.676,0.35,0.733,143.613,0,0.535,60,0,0,0,1,-190.748,-1.757,-156.261,-32.73,0,0,0,0,0,0,6.133,-2.703,-0.676
19,2020-12-23 05:00:00,479.5,30.988,63.164,0.468,884,-11.05,27.4,1.257,620.2,-1.984,-0.662,0.35,0.72,142.895,0,0.534,60,0,0,0,1,-190.42,-1.72,-156.98,-31.721,0,0,0,0,0,0,6.133,-2.646,-0.662
20,2020-12-23 05:15:00,505.223,32.651,61.793,0.492,885,-11.06,26.53,1.994,620.23,-2.191,-0.73,0.35,0.696,142.201,0,0.531,60,0,0,0,1,-209.94,-1.899,-157.674,-50.367,0,0,0,0,0,0,6.133,-2.921,-0.73
21,2020-12-23 05:30:00,527.355,34.081,60.601,0.513,886,-10.97,28.42,1.331,620.26,-2.08,-0.694,0.35,0.752,143.944,0,0.537,60,0,0,0,1,-191.082,-1.803,-155.931,-33.348,0,0,0,0,0,0,6.133,-2.774,-0.694
22,2020-12-23 05:45:00,545.791,35.273,59.597,0.531,887,-11.25,27.46,1.099,620.289,-2.003,-0.668,0.35,0.71,142.194,0,0.533,60,0,0,0,1,-187.657,-1.736,-157.681,-28.24,0,0,0,0,0,0,6.133,-2.671,-0.668
23,2020-12-23 06:00:00,560.444,36.22,58.792,0.545,888,-11.33,27.48,0.956,620.319,-2.029,-0.676,0.35,0.706,141.911,0,0.533,60,0,0,0,1,-184.463,-1.758,-157.964,-24.741,0,0,0,0,0,0,6.133,-2.705,-0.676
24,2020-12-23 06:15:00,571.245,36.918,58.195,0.555,889,-11.71,29.65,0.423,620.39,-2.144,-0.715,0.35,0.739,142.037,0,0.536,60,0,0,0,1,-171.011,-1.858,-157.837,-11.316,0,0,0,0,0,0,6.133,-2.859,-0.715
25,2020-12-23 06:30:00,578.144,37.363,57.812,0.562,890,-11.55,28.31,0.77,620.461,-1.868,-0.623,0.35,0.715,141.696,0,0.534,60,0,0,0,1,-180.117,-1.619,-158.179,-20.319,0,0,0,0,0,0,6.133,-2.491,-0.623
26,2020-12-23 06:45:00,581.11,37.555,57.646,0.565,891,-11.78,30.77,0.313,620.532,-1.604,-0.534,0.35,0.762,142.529,0,0.539,60,0,0,0,1,-167.16,-1.39,-157.345,-8.425,0,0,0,0,0,0,6.133,-2.138,-0.534
27,2020-12-23 07:00:00,580.128,37.492,57.701,0.564,892,-12.0,28.21,0.965,620.604,-1.482,-0.494,0.35,0.687,139.96,0,0.531,60,0,0,0,1,-187.662,-1.284,-159.915,-26.463,0,0,0,0,0,0,6.133,-1.976,-0.494
28,2020-12-23 07:15:00,575.205,37.173,57.975,0.559,893,-11.71,29.81,0.683,620.634,-1.22,-0.407,0.35,0.743,142.146,0,0.537,60,0,0,0,1,-177.064,-1.058,-157.728,-18.278,0,0,0,0,0,0,6.133,-1.627,-0.407
29,2020-12-23 07:30:00,566.361,36.602,58.466,0.55,894,-12.14,31.18,0.219,620.664,0.782,0.26,0.35,0.75,141.454,0,0.537,60,0,0,0,1,-163.82,0.677,-158.421,-6.076,0,0,0,0,0,0,6.133,1.042,0.26
30,2020-12-23 07:45:00,553.638,35.78,59.167,0.538,895,-12.44,30.56,0.706,620.695,9.375,3.125,0.35,0.718,139.938,0,0.534,60,0,0,0,1,-171.885,8.125,-159.937,-20.073,0,0,0,0,0,0,6.133,12.5,3.125
31,2020-12-23 08:00:00,537.095,34.711,60.071,0.522,896,-12.02,30.35,1.137,620.725,27.352,9.118,0.35,0.738,141.355,0,0.536,60,0,0,0,1,-166.052,23.706,-158.519,-31.238,0,0,0,0,0,0,6.133,36.47,9.118
32,2020-12-23 08:15:00,516.81,33.4,61.17,0.503,897,-11.87,31.24,0.706,620.821,45.112,15.038,0.35,0.768,142.501,0,0.539,60,0,0,0,1,-137.433,39.098,-157.374,-19.157,0,0,0,0,0,0,6.133,60.15,15.038
33,2020-12-23 08:30:00,492.878,31.853,62.453,0.481,898,-11.73,31.2,1.251,620.916,65.175,21.725,0.35,0.776,143.0,0,0.54,60,0,0,0,1,-133.94,56.485,-156.875,-33.551,0,0,0,0,0,0,6.133,86.9,21.725
34,2020-12-23 08:45:00,465.416,30.078,63.908,0.455,899,-11.73,33.24,0.632,621.012,91.65,30.55,0.35,0.827,144.3,0,0.545,60,0,0,0,1,-93.097,79.43,-155.575,-16.952,0,0,0,0,0,0,6.133,122.2,30.55
35,2020-12-23 09:00:00,434.558,28.084,65.524,0.427,900,-11.45,30.88,0.491,621.107,97.5,32.5,0.35,0.786,143.842,0,0.541,60,0,0,0,1,-84.39,84.5,-156.032,-12.858,0,0,0,0,0,0,6.133,130.0,32.5
36,2020-12-23 09:15:00,400.463,25.881,67.29,0.396,901,-10.51,31.21,0.763,621.207,120.45,40.15,0.35,0.856,147.645,0,0.547,60,0,0,0,1,-66.183,104.39,-152.23,-18.343,0,0,0,0,0,0,6.133,160.6,40.15
37,2020-12-23 09:30:00,363.314,23.48,69.193,0.363,902,-11.5,32.95,1.832,621.307,134.775,44.925,0.35,0.835,144.992,0,0.546,60,0,0,0,1,-86.278,116.805,-154.883,-48.2,0,0,0,0,0,0,6.133,179.7,44.925
38,2020-12-23 09:45:00,323.325,20.895,71.222,0.328,903,-11.48,34.37,1.388,621.407,212.85,70.95,0.35,0.872,145.945,0,0.549,60,0,0,0,1,-5.92,184.47,-153.93,-36.46,0,0,0,0,0,0,6.133,283.8,70.95
39,2020-12-23 10:00:00,280.755,18.144,73.366,0.29,904,-10.84,32.22,0.584,621.507,207.525,69.175,0.35,0.861,147.046,0,0.548,0,0,0,0,1,12.539,179.855,-152.828,-14.488,0,0,0,0,0,0,6.133,276.7,69.175
40,2020-12-23 10:15:00,235.93,15.247,75.616,0.251,905,-10.16,30.35,0.463,621.469,201.15,67.05,0.35,0.856,148.403,0,0.547,0,0,0,0,1,12.094,174.33,-151.471,-10.765,0,0,0,0,0,0,6.133,268.2,67.05
41,2020-12-23 10:30:00,189.292,12.233,77.962,0.21,906,-9.97,30.88,0.968,621.431,252.525,84.175,0.35,0.884,149.507,0,0.55,0,0,0,0,1,46.404,218.855,-150.367,-22.084,0,0,0,0,0,0,6.133,336.7,84.175
42,2020-12-23 10:45:00,141.525,9.146,80.395,0.168,907,-9.29,29.48,0.974,621.393,180.0,60.0,0.35,0.891,151.162,0,0.55,60,0,0,0,1,-13.417,156.0,-148.713,-20.704,0,0,0,0,0,0,6.133,240.0,60.0
43,2020-12-23 11:00:00,93.851,6.065,82.907,0.124,908,-9.32,30.96,1.521,621.355,329.175,109.725,0.35,0.933,152.105,0,0.554,0,0,0,0,1,105.082,285.285,-147.769,-32.434,0,0,0,0,0,0,6.133,438.9,109.725
44,2020-12-23 11:15:00,48.932,3.162,85.491,0.079,909,-9.18,30.94,1.472,621.174,320.25,106.75,0.35,0.943,152.643,0,0.554,0,0,0,0,1,99.41,277.55,-147.232,-30.908,0,0,0,0,0,0,6.133,427.0,106.75
45,2020-12-23 11:30:00,13.46,0.87,88.139,0.032,910,-9.51,31.71,2.18,620.994,362.1,120.7,0.35,0.942,151.877,0,0.554,0,0,0,0,1,118.416,313.82,-147.998,-47.406,0,0,0,0,0,0,6.133,482.8,120.7
46,2020-12-23 11:45:00,0.0,0.0,90.847,0.0,911,-9.31,30.66,1.957,620.813,364.2,121.4,0.35,0.925,151.933,0,0.553,0,0,0,0,1,126.048,315.64,-147.942,-41.65,0,0,0,0,0,0,6.133,485.6,121.4
47,2020-12-23 12:00:00,0.0,0.0,93.608,0.0,912,-8.32,28.19,1.142,620.632,443.475,147.825,0.35,0.919,154.006,0,0.552,0,0,0,0,1,216.762,384.345,-145.869,-21.714,0,0,0,0,0,0,6.133,591.3,147.825
48,2020-12-23 12:15:00,0.0,0.0,96.416,0.0,913,-8.48,30.18,2.684,620.521,453.45,151.15,0.35,0.972,154.874,0,0.557,0,0,0,0,1,195.984,392.99,-145.0,-52.005,0,0,0,0,0,0,6.133,604.6,151.15
49,2020-12-23 12:30:00,0.0,0.0,99.268,0.0,914,-8.34,28.92,1.696,620.411,445.2,148.4,0.35,0.942,154.489,0,0.554,0,0,0,0,1,208.141,385.84,-145.385,-32.314,0,0,0,0,0,0,6.133,593.6,148.4
50,2020-12-23 12:45:00,0.0,0.0,102.159,0.0,915,-8.06,28.39,2.066,620.301,470.775,156.925,0.35,0.945,155.195,0,0.554,0,0,0,0,1,225.291,408.005,-144.679,-38.035,0,0,0,0,0,0,6.133,627.7,156.925
51,2020-12-23 13:00:00,0.0,0.0,105.086,0.0,916,-7.352,27.25,1.307,620.19,466.05,155.35,0.35,0.958,157.115,0,0.555,0,0,0,0,1,239.206,403.91,-142.759,-21.944,0,0,0,0,0,0,6.133,621.4,155.35
52,2020-12-23 13:15:00,0.0,0.0,108.043,0.0,917,-6.463,25.96,1.545,620.071,457.35,152.45,0.35,0.978,159.61,0,0.556,0,0,0,0,1,233.307,396.37,-140.264,-22.799,0,0,0,0,0,0,6.133,609.8,152.45
53,2020-12-23 13:30:00,0.0,0.0,111.029,0.0,918,-6.701,26.69,1.613,619.952,446.475,148.825,0.35,0.987,159.276,0,0.557,0,0,0,0,1,221.672,386.945,-140.599,-24.674,0,0,0,0,0,0,6.133,595.3,148.825
54,2020-12-23 13:45:00,0.0,0.0,114.039,0.0,919,-6.581,23.63,1.66,619.832,433.575,144.525,0.35,0.882,157.008,0,0.548,0,0,0,0,1,207.965,375.765,-142.867,-24.934,0,0,0,0,0,0,6.133,578.1,144.525
55,2020-12-23 14:00:00,0.0,0.0,117.071,0.0,920,-5.758,24.89,1.85,619.713,415.95,138.65,0.35,0.989,161.52,0,0.557,0,0,0,0,1,197.827,360.49,-138.355,-24.308,0,0,0,0,0,0,6.133,554.6,138.65
56,2020-12-23 14:15:00,0.0,0.0,120.122,0.0,921,-6.556,24.9,1.849,619.696,395.925,131.975,0.35,0.931,158.287,0,0.553,0,0,0,0,1,173.887,343.135,-141.587,-27.661,0,0,0,0,0,0,6.133,527.9,131.975
57,2020-12-23 14:30:00,0.0,0.0,123.189,0.0,922,-6.226,24.11,1.917,619.679,372.3,124.1,0.35,0.925,158.888,0,0.552,0,0,0,0,1,154.44,322.66,-140.986,-27.234,0,0,0,0,0,0,6.133,496.4,124.1
58,2020-12-23 14:45:00,0.0,0.0,126.269,0.0,923,-5.623,23.47,1.256,619.662,345.825,115.275,0.35,0.943,160.719,0,0.553,0,0,0,0,1,144.444,299.715,-139.156,-16.115,0,0,0,0,0,0,6.133,461.1,115.275
59,2020-12-23 15:00:00,0.0,0.0,129.358,0.0,924,-5.99,24.4,1.769,619.645,316.95,105.65,0.35,0.953,160.117,0,0.554,0,0,0,0,1,110.755,274.69,-139.758,-24.177,0,0,0,0,0,0,6.133,422.6,105.65
60,2020-12-23 15:15:00,0.0,0.0,132.454,0.0,925,-5.779,24.42,1.42,619.633,287.175,95.725,0.35,0.969,160.995,0,0.556,0,0,0,0,1,91.282,248.885,-138.88,-18.724,0,0,0,0,0,0,6.133,382.9,95.725
61,2020-12-23 15:30:00,0.0,0.0,135.554,0.0,926,-5.729,25.08,1.521,619.621,254.325,84.775,0.35,0.999,161.814,0,0.558,0,0,0,0,1,62.473,220.415,-138.06,-19.881,0,0,0,0,0,0,6.133,339.1,84.775
62,2020-12-23 15:45:00,0.0,0.0,138.652,0.0,927,-5.826,24.26,1.065,619.609,220.8,73.6,0.35,0.959,160.652,0,0.555,0,0,0,0,1,37.981,191.36,-139.222,-14.156,0,0,0,0,0,0,6.133,294.4,73.6
63,2020-12-23 16:00:00,0.0,0.0,141.745,0.0,928,-6.086,24.43,1.457,619.597,186.75,62.25,0.35,0.947,159.755,0,0.554,0,0,0,0,1,1.5,161.85,-140.12,-20.231,0,0,0,0,0,0,6.133,249.0,62.25
64,2020-12-23 16:15:00,0.0,0.0,144.827,0.0,929,-6.43,27.22,1.397,619.583,128.925,42.975,0.35,1.028,160.83,0,0.56,60,0,0,0,1,-47.804,111.735,-139.045,-20.494,0,0,0,0,0,0,6.133,171.9,42.975
65,2020-12-23 16:30:00,0.0,0.0,147.889,0.0,930,-6.727,27.63,0.889,619.57,13.335,4.445,0.35,1.02,159.959,0,0.56,60,0,0,0,1,-142.002,11.557,-139.916,-13.644,0,0,0,0,0,0,6.133,17.78,4.445
66,2020-12-23 16:45:00,0.0,0.0,150.922,0.0,931,-7.008,27.36,1.081,619.556,10.26,3.42,0.35,0.988,158.594,0,0.557,60,0,0,0,1,-149.671,8.892,-141.281,-17.283,0,0,0,0,0,0,6.133,13.68,3.42
67,2020-12-23 17:00:00,0.0,0.0,153.911,0.0,932,-7.289,27.93,0.945,619.543,6.33,2.11,0.35,0.987,157.924,0,0.557,60,0,0,0,1,-152.179,5.486,-141.951,-15.714,0,0,0,0,0,0,6.133,8.44,2.11
68,2020-12-23 17:15:00,0.0,0.0,156.835,0.0,933,-7.596,29.91,0.551,619.556,2.172,0.724,0.35,1.032,158.228,0,0.561,60,0,0,0,1,-149.312,1.882,-141.646,-9.548,0,0,0,0,0,0,6.133,2.896,0.724
69,2020-12-23 17:30:00,0.0,0.0,159.663,0.0,934,-8.06,30.9,0.414,619.57,-1.274,-0.425,0.35,1.028,157.085,0,0.561,60,0,0,0,1,-151.507,-1.104,-142.79,-7.613,0,0,0,0,0,0,6.133,-1.699,-0.425
70,2020-12-23 17:45:00,0.0,0.0,162.345,0.0,935,-8.68,33.89,0.401,619.584,-2.806,-0.936,0.35,1.074,156.651,0,0.565,60,0,0,0,1,-153.596,-2.432,-143.223,-7.941,0,0,0,0,0,0,6.133,-3.742,-0.936
71,2020-12-23 18:00:00,0.0,0.0,164.798,0.0,936,-8.69,33.76,0.589,619.597,-3.236,-1.079,0.35,1.069,156.525,0,0.564,60,0,0,0,1,-157.832,-2.805,-143.349,-11.678,0,0,0,0,0,0,6.133,-4.315,-1.079
72,2020-12-23 18:15:00,0.0,0.0,166.893,0.0,937,-8.95,35.34,0.212,619.692,-3.104,-1.035,0.35,1.097,156.498,0,0.566,60,0,0,0,1,-150.397,-2.69,-143.377,-4.33,0,0,0,0,0,0,6.133,-4.139,-1.035
73,2020-12-23 18:30:00,0.0,0.0,168.428,0.0,938,-9.02,35.27,0.39,619.786,-3.02,-1.006,0.35,1.089,156.171,0,0.566,60,0,0,0,1,-154.349,-2.617,-143.704,-8.028,0,0,0,0,0,0,6.133,-4.026,-1.006
74,2020-12-23 18:45:00,0.0,0.0,169.162,0.0,939,-8.84,33.06,0.793,619.881,-2.881,-0.96,0.35,1.035,155.455,0,0.562,60,0,0,0,1,-162.918,-2.497,-144.42,-16.001,0,0,0,0,0,0,6.133,-3.841,-0.96
75,2020-12-23 19:00:00,0.0,0.0,168.935,0.0,940,-8.62,32.77,0.773,619.976,-3.168,-1.056,0.35,1.044,156.143,0,0.562,60,0,0,0,1,-161.689,-2.746,-143.732,-15.212,0,0,0,0,0,0,6.133,-4.224,-1.056
76,2020-12-23 19:15:00,0.0,0.0,167.798,0.0,941,-8.64,32.11,1.239,620.08,-3.018,-1.006,0.35,1.021,155.609,0,0.561,60,0,0,0,1,-171.324,-2.616,-144.265,-24.443,0,0,0,0,0,0,6.133,-4.024,-1.006
77,2020-12-23 19:30:00,0.0,0.0,165.973,0.0,942,-8.66,32.08,2.21,620.184,-2.843,-0.948,0.35,1.019,155.508,0,0.56,60,0,0,0,1,-190.537,-2.464,-144.366,-43.706,0,0,0,0,0,0,6.133,-3.791,-0.948
78,2020-12-23 19:45:00,0.0,0.0,163.691,0.0,943,-8.94,30.75,3.986,620.288,-2.909,-0.97,0.35,0.955,153.458,0,0.555,60,0,0,0,1,-230.33,-2.521,-146.417,-81.392,0,0,0,0,0,0,6.133,-3.879,-0.97
79,2020-12-23 20:00:00,0.0,0.0,161.119,0.0,944,-9.09,29.13,4.101,620.392,-2.78,-0.926,0.35,0.894,151.687,0,0.55,60,0,0,0,1,-235.756,-2.409,-148.188,-85.16,0,0,0,0,0,0,6.133,-3.706,-0.926
80,2020-12-23 20:15:00,0.0,0.0,158.361,0.0,945,-9.01,27.88,3.755,620.462,-2.781,-0.927,0.35,0.861,151.051,0,0.547,60,0,0,0,1,-228.531,-2.41,-148.823,-77.297,0,0,0,0,0,0,6.133,-3.708,-0.927
81,2020-12-23 20:30:00,0.0,0.0,155.483,0.0,946,-8.99,28.9,2.185,620.532,-2.78,-0.927,0.35,0.894,151.907,0,0.55,60,0,0,0,1,-195.261,-2.41,-147.968,-44.884,0,0,0,0,0,0,6.133,-3.707,-0.927
82,2020-12-23 20:45:00,0.0,0.0,152.525,0.0,947,-9.17,27.64,0.916,620.602,-2.709,-0.903,0.35,0.843,150.242,0,0.546,60,0,0,0,1,-171.175,-2.348,-149.632,-19.195,0,0,0,0,0,0,6.133,-3.612,-0.903
83,2020-12-23 21:00:00,0.0,0.0,149.514,0.0,948,-9.07,27.96,1.565,620.671,-2.667,-0.889,0.35,0.86,150.879,0,0.547,60,0,0,0,1,-183.748,-2.311,-148.996,-32.441,0,0,0,0,0,0,6.133,-3.556,-0.889
84,2020-12-23 21:15:00,0.0,0.0,146.466,0.0,949,-9.82,31.17,0.561,620.673,-2.71,-0.904,0.35,0.903,150.291,0,0.551,60,0,0,0,1,-164.523,-2.349,-149.583,-12.591,0,0,0,0,0,0,6.133,-3.614,-0.904
85,2020-12-23 21:30:00,0.0,0.0,143.393,0.0,950,-9.45,27.14,2.2,620.675,-2.63,-0.877,0.35,0.81,148.769,0,0.543,60,0,0,0,1,-200.901,-2.28,-151.106,-47.515,0,0,0,0,0,0,6.133,-3.507,-0.877
86,2020-12-23 21:45:00,0.0,0.0,140.306,0.0,951,-9.2,26.1,3.007,620.676,-2.476,-0.826,0.35,0.794,148.901,0,0.541,60,0,0,0,1,-216.346,-2.146,-150.973,-63.227,0,0,0,0,0,0,6.133,-3.302,-0.826
87,2020-12-23 22:00:00,0.0,0.0,137.209,0.0,952,-9.27,25.21,3.131,620.678,-2.444,-0.815,0.35,0.763,147.897,0,0.538,60,0,0,0,1,-220.431,-2.118,-151.978,-66.335,0,0,0,0,0,0,6.133,-3.259,-0.815
88,2020-12-23 22:15:00,0.0,0.0,134.11,0.0,953,-9.34,24.73,3.19,620.681,-2.287,-0.762,0.35,0.744,147.224,0,0.536,60,0,0,0,1,-222.728,-1.982,-152.65,-68.096,0,0,0,0,0,0,6.133,-3.049,-0.762
89,2020-12-23 22:30:00,0.0,0.0,131.011,0.0,954,-9.45,23.91,3.072,620.683,-2.38,-0.794,0.35,0.713,146.1,0,0.533,60,0,0,0,1,-222.187,-2.063,-153.775,-66.349,0,0,0,0,0,0,6.133,-3.174,-0.794
90,2020-12-23 22:45:00,0.0,0.0,127.917,0.0,955,-9.35,23.32,3.287,620.686,-2.516,-0.838,0.35,0.701,145.957,0,0.532,60,0,0,0,1,-226.34,-2.18,-153.918,-70.242,0,0,0,0,0,0,6.133,-3.354,-0.838
91,2020-12-23 23:00:00,0.0,0.0,124.832,0.0,956,-9.35,23.84,2.758,620.689,-2.206,-0.735,0.35,0.717,146.417,0,0.533,60,0,0,0,1,-214.306,-1.912,-153.457,-58.938,0,0,0,0,0,0,6.133,-2.941,-0.735
92,2020-12-23 23:15:00,0.0,0.0,121.758,0.0,957,-9.68,25.2,2.523,620.665,-2.248,-0.75,0.35,0.738,146.326,0,0.536,60,0,0,0,1,-211.314,-1.949,-153.549,-55.817,0,0,0,0,0,0,6.133,-2.998,-0.75
93,2020-12-23 23:30:00,0.0,0.0,118.698,0.0,958,-9.86,23.95,2.244,620.641,-2.386,-0.795,0.35,0.692,144.589,0,0.531,60,0,0,0,1,-207.918,-2.068,-155.285,-50.565,0,0,0,0,0,0,6.133,-3.181,-0.795
94,2020-12-23 23:45:00,0.0,0.0,115.655,0.0,959,-9.99,24.96,2.372,620.618,-2.188,-0.729,0.35,0.714,144.955,0,0.533,60,0,0,0,1,-210.968,-1.896,-154.92,-54.152,0,0,0,0,0,0,6.133,-2.917,-0.729
95,2020-12-24 00:00:00,0.0,0.0,112.632,0.0,960,-9.96,26.96,2.215,620.594,-2.056,-0.685,0.35,0.773,146.674,0,0.539,60,0,0,0,1,-205.397,-1.782,-153.201,-50.414,0,0,0,0,0,0,6.133,-2.741,-0.685
96,2020-12-24 00:15:00,0.0,0.0,109.633,0.0,961,-9.92,27.95,1.84,620.514,-2.211,-0.737,0.35,0.804,147.585,0,0.542,60,0,0,0,1,-195.912,-1.916,-152.29,-41.706,0,0,0,0,0,0,6.133,-2.948,-0.737
97,2020-12-24 00:30:00,0.0,0.0,106.659,0.0,962,-10.1,28.8,2.287,620.433,-2.328,-0.776,0.35,0.816,147.526,0,0.543,60,0,0,0,1,-207.137,-2.018,-152.349,-52.771,0,0,0,0,0,0,6.133,-3.104,-0.776
98,2020-12-24 00:45:00,0.0,0.0,103.716,0.0,963,-10.21,29.34,2.403,620.352,-2.386,-0.796,0.35,0.824,147.495,0,0.544,60,0,0,0,1,-210.492,-2.068,-152.379,-56.044,0,0,0,0,0,0,6.133,-3.182,-0.796
99,2020-12-24 01:00:00,0.0,0.0,100.805,0.0,964,-10.57,30.59,3.437,620.272,-2.36,-0.787,0.35,0.835,146.992,0,0.545,60,0,0,0,1,-237.904,-2.046,-152.882,-82.976,0,0,0,0,0,0,6.133,-3.147,-0.787
100,2020-12-24 01:15:00,0.0,0.0,97.931,0.0,965,-10.61,29.82,3.099,620.286,-2.272,-0.758,0.35,0.812,146.305,0,0.543,60,0,0,0,1,-230.639,-1.97,-153.57,-75.1,0,0,0,0,0,0,6.133,-3.03,-0.758
101,2020-12-24 01:30:00,0.0,0.0,95.098,0.0,966,-10.59,30.2,3.071,620.301,-2.37,-0.79,0.35,0.823,146.646,0,0.544,60,0,0,0,1,-229.566,-2.054,-153.228,-74.283,0,0,0,0,0,0,6.133,-3.16,-0.79
102,2020-12-24 01:45:00,0.0,0.0,92.311,0.0,967,-10.64,30.78,2.736,620.316,-2.154,-0.718,0.35,0.836,146.854,0,0.545,60,0,0,0,1,-221.382,-1.867,-153.021,-66.494,0,0,0,0,0,0,6.133,-2.872,-0.718
