,When,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing_type,LW_in
67,2019-01-31 09:45:00,-1.9,83.1,0.2,96.089,84.174,0.0,886.3,SW_directSW_diffuseLW_in,249.336
68,2019-01-31 10:00:00,-2.1,82.3,0.2,119.576,93.102,0.0,886.2,SW_directSW_diffuseLW_in,248.051
69,2019-01-31 10:15:00,-1.6,83.2,0.2,147.142,99.876,0.0,886.1,SW_directSW_diffuseLW_in,239.427
70,2019-01-31 10:30:00,-1.0,80.7,0.2,174.709,106.651,0.0,886.0,SW_directSW_diffuseLW_in,230.803
71,2019-01-31 10:45:00,-1.6,82.0,0.2,202.275,113.426,0.0,885.8,SW_directSW_diffuseLW_in,222.179
72,2019-01-31 11:00:00,-1.7,84.5,0.2,229.841,120.2,0.0,885.5,SW_directSW_diffuseLW_in,213.555
73,2019-01-31 11:15:00,-1.1,82.5,0.7,240.96,121.629,0.0,885.2,SW_directSW_diffuseLW_in,217.948
74,2019-01-31 11:30:00,-0.7,83.8,0.7,252.078,123.059,0.0,885.0,SW_directSW_diffuseLW_in,222.341
75,2019-01-31 11:45:00,-0.7,80.5,0.7,263.197,124.488,0.0,884.6,SW_directSW_diffuseLW_in,226.734
76,2019-01-31 12:00:00,-1.0,82.9,0.8,274.316,125.917,0.0,884.4,SW_directSW_diffuseLW_in,231.127
77,2019-01-31 12:15:00,-1.2,82.3,0.5,251.966,132.114,0.0,884.1,SW_directSW_diffuseLW_in,232.275
78,2019-01-31 12:30:00,-1.0,82.2,0.6,229.616,138.312,0.0,884.1,SW_directSW_diffuseLW_in,233.424
79,2019-01-31 12:45:00,-1.2,82.0,0.9,207.267,144.51,0.0,884.0,SW_directSW_diffuseLW_in,234.572
80,2019-01-31 13:00:00,-1.2,82.0,0.6,184.917,150.707,0.0,884.0,SW_directSW_diffuseLW_in,235.72
81,2019-01-31 13:15:00,-1.2,81.5,0.9,160.132,145.638,0.0,884.2,SW_directSW_diffuseLW_in,239.797
82,2019-01-31 13:30:00,-1.2,80.8,0.5,135.346,140.568,0.0,884.3,SW_directSW_diffuseLW_in,243.873
83,2019-01-31 13:45:00,-1.2,80.1,0.3,110.561,135.498,0.0,884.1,SW_directSW_diffuseLW_in,247.95
84,2019-01-31 14:00:00,-1.2,77.7,0.4,85.776,130.429,0.0,883.9,SW_directSW_diffuseLW_in,252.027
85,2019-01-31 14:15:00,-1.3,81.8,0.3,70.393,123.424,0.0,883.5,SW_directSW_diffuseLW_in,255.126
86,2019-01-31 14:30:00,-1.1,80.8,0.3,55.01,116.418,0.0,883.2,SW_directSW_diffuseLW_in,258.225
87,2019-01-31 14:45:00,-1.2,80.0,0.4,39.628,109.412,0.0,883.1,SW_directSW_diffuseLW_in,261.323
88,2019-01-31 15:00:00,-1.5,83.7,0.4,24.245,102.407,0.0,883.0,SW_directSW_diffuseLW_in,264.422
89,2019-01-31 15:15:00,-1.5,83.8,0.5,18.512,89.927,0.0,883.0,SW_directSW_diffuseLW_in,265.921
90,2019-01-31 15:30:00,-1.5,81.2,0.7,12.778,77.446,0.0,883.0,SW_directSW_diffuseLW_in,267.42
91,2019-01-31 15:45:00,-1.4,82.1,0.4,7.044,64.966,0.0,882.7,SW_directSW_diffuseLW_in,268.919
92,2019-01-31 16:00:00,-1.7,84.0,0.2,1.311,52.486,0.0,882.3,SW_directSW_diffuseLW_in,270.418
93,2019-01-31 16:15:00,-2.0,86.3,0.3,0.983,40.493,0.0,882.1,SW_directSW_diffuseLW_in,268.754
94,2019-01-31 16:30:00,-2.1,85.1,0.2,0.656,28.5,0.0,882.3,SW_directSW_diffuseLW_in,267.09
95,2019-01-31 16:45:00,-2.2,86.7,0.4,0.328,16.507,0.0,882.4,SW_directSW_diffuseLW_in,265.426
96,2019-01-31 17:00:00,-2.2,87.8,0.7,0.0,4.514,0.0,882.4,SW_directSW_diffuseLW_in,263.762
97,2019-01-31 17:15:00,-2.2,88.4,0.4,0.0,3.386,0.0,882.5,SW_directSW_diffuseLW_in,266.064
98,2019-01-31 17:30:00,-2.1,89.0,0.2,0.0,2.257,0.0,882.4,SW_directSW_diffuseLW_in,268.366
99,2019-01-31 17:45:00,-2.2,87.8,0.2,0.0,1.128,0.0,882.3,SW_directSW_diffuseLW_in,270.668
100,2019-01-31 18:00:00,-2.1,88.3,0.3,0.0,0.0,0.0,881.9,SW_directSW_diffuseLW_in,272.97
101,2019-01-31 18:15:00,-2.2,89.4,0.2,0.0,0.0,0.0,881.8,SW_directSW_diffuseLW_in,276.555
102,2019-01-31 18:30:00,-2.2,89.3,0.2,0.0,0.0,0.0,881.7,SW_directSW_diffuseLW_in,280.14
103,2019-01-31 18:45:00,-2.2,88.4,0.2,0.0,0.0,0.0,881.8,SW_directSW_diffuseLW_in,283.725
104,2019-01-31 19:00:00,-2.2,87.6,0.4,0.0,0.0,0.0,882.0,SW_directSW_diffuseLW_in,287.31
105,2019-01-31 19:15:00,-2.3,87.3,0.3,0.0,0.0,0.0,882.0,SW_directSW_diffuseLW_in,284.561
106,2019-01-31 19:30:00,-2.3,88.4,0.5,0.0,0.0,0.0,882.0,SW_directSW_diffuseLW_in,281.812
107,2019-01-31 19:45:00,-2.4,88.9,0.3,0.0,0.0,0.0,882.0,SW_directSW_diffuseLW_in,279.063
108,2019-01-31 20:00:00,-2.5,89.5,0.3,0.0,0.0,0.0,882.0,SW_directSW_diffuseLW_in,276.314
109,2019-01-31 20:15:00,-2.8,89.8,0.4,0.0,0.0,0.0,881.8,SW_directSW_diffuseLW_in,273.29
110,2019-01-31 20:30:00,-3.2,89.1,0.3,0.0,0.0,0.0,881.8,SW_directSW_diffuseLW_in,270.265
