MultiMADD2 N°2023
Measuring site:	MultiMADD2 n° 2023 - UniFR

Timezone:	GMT+01:00
Conductivity:	Compensated at 25°C

Date and time	M1 - Wind direction	M2 - Average wind	M3 - Maximum wind	M4 - Air temperature	M5 - Humidity	M6 - Atmospheric pressure	M7 - Rain
2020.12.20 17:30:00	246	0.4	0.6	0.0	82.0	901.6	0.00
2020.12.20 17:35:00	142	0.3	0.9	0.0	82.4	901.7	0.00
2020.12.20 17:40:00	197	0.1	0.3	-0.2	81.4	901.7	0.00
2020.12.20 17:45:00	134	0.3	0.6	-0.2	82.1	901.8	0.00
2020.12.20 17:50:00	56	0.3	0.7	-0.2	82.1	901.8	0.00
2020.12.20 17:55:00	114	0.3	0.7	0.0	77.2	901.8	0.00
2020.12.20 18:00:00	35	0.1	0.3	-0.3	80.2	901.8	0.00
2020.12.20 18:05:00	177	0.2	0.5	-0.4	78.7	901.8	0.00
2020.12.20 18:10:00	94	0.5	0.9	-0.5	79.6	901.7	0.00
2020.12.20 18:15:00	32	0.4	0.7	-0.3	82.3	901.6	0.00
2020.12.20 18:20:00	258	0.5	1.2	0.0	81.4	901.6	0.00
2020.12.20 18:25:00	270	0.6	1.2	0.2	80.9	901.6	0.00
2020.12.20 18:30:00	155	0.5	1.2	0.6	77.6	901.6	0.00
2020.12.20 18:35:00	90	0.9	1.4	0.7	76.5	901.6	0.00
2020.12.20 18:40:00	95	0.4	1.2	0.5	75.3	901.5	0.00
2020.12.20 18:45:00	93	0.4	1.0	0.1	79.1	901.5	0.00
2020.12.20 18:50:00	110	0.5	0.9	0.0	78.6	901.6	0.00
2020.12.20 18:55:00	111	0.3	0.7	-0.4	76.8	901.8	0.00
2020.12.20 19:00:00	86	0.7	1.4	-0.3	81.6	901.9	0.00
2020.12.20 19:05:00	294	0.4	1.0	-0.2	80.2	902.0	0.00
2020.12.20 19:10:00	341	0.2	0.5	-0.2	81.1	902.1	0.00
2020.12.20 19:15:00	100	0.7	1.3	-0.2	80.8	902.2	0.00
2020.12.20 19:20:00	329	0.4	0.9	0.0	80.0	902.4	0.00
2020.12.20 19:25:00	102	0.4	0.8	-0.3	80.6	902.5	0.00
2020.12.20 19:30:00	49	0.3	0.8	-0.2	82.6	902.6	0.00
2020.12.20 19:35:00	320	0.3	0.7	0.0	83.5	902.8	0.00
2020.12.20 19:40:00	99	0.4	0.9	0.0	81.8	902.9	0.00
2020.12.20 19:45:00	84	0.7	1.2	0.1	81.5	903.0	0.00
2020.12.20 19:50:00	103	0.5	1.0	0.1	82.6	903.2	0.00
2020.12.20 19:55:00	96	0.8	1.5	0.7	79.8	903.2	0.00
2020.12.20 20:00:00	212	0.4	1.3	0.9	78.6	903.3	0.00
2020.12.20 20:05:00	270	0.4	0.6	0.8	81.1	903.4	0.00
2020.12.20 20:10:00	139	0.2	0.7	0.8	80.8	903.4	0.00
2020.12.20 20:15:00	76	0.3	0.8	0.7	80.0	903.4	0.00
2020.12.20 20:20:00	279	0.4	0.8	0.7	80.3	903.4	0.00
2020.12.20 20:25:00	314	0.5	1.2	0.9	79.7	903.4	0.00
2020.12.20 20:30:00	53	0.4	1.0	1.0	79.1	903.3	0.00
2020.12.20 20:35:00	119	0.8	2.0	1.8	74.4	903.2	0.00
2020.12.20 20:40:00	231	0.7	1.5	2.0	73.5	903.2	0.00
2020.12.20 20:45:00	303	0.5	1.1	1.9	73.7	903.3	0.00
2020.12.20 20:50:00	134	0.8	1.6	1.6	75.2	903.4	0.00
2020.12.20 20:55:00	106	0.6	1.2	1.6	74.4	903.5	0.00
2020.12.20 21:00:00	111	0.4	1.1	1.6	74.8	903.5	0.00
2020.12.20 21:05:00	230	0.3	0.8	1.5	76.3	903.7	0.00
2020.12.20 21:10:00	32	0.5	0.9	1.5	77.5	903.7	0.00
2020.12.20 21:15:00	65	0.7	1.2	1.6	75.7	903.5	0.00
2020.12.20 21:20:00	128	0.5	1.2	1.4	78.1	903.5	0.00
2020.12.20 21:25:00	66	0.8	1.3	1.6	76.8	903.4	0.00
2020.12.20 21:30:00	229	0.3	0.8	1.6	78.2	903.4	0.00
2020.12.20 21:35:00	120	0.3	0.6	1.5	77.9	903.5	0.00
2020.12.20 21:40:00	322	0.2	0.5	1.3	78.0	903.5	0.00
2020.12.20 21:45:00	1	0.2	0.5	1.3	77.3	903.5	0.00
2020.12.20 21:50:00	112	0.2	0.6	1.4	78.2	903.4	0.00
2020.12.20 21:55:00	275	0.4	0.9	1.4	78.7	903.4	0.00
2020.12.20 22:00:00	323	0.2	0.6	1.3	78.5	903.4	0.00
2020.12.20 22:05:00	79	0.4	0.8	1.3	78.1	903.5	0.00
2020.12.20 22:10:00	100	0.4	0.8	1.3	77.6	903.5	0.00
2020.12.20 22:15:00	89	0.3	0.8	0.9	79.0	903.4	0.00
2020.12.20 22:20:00	91	0.2	0.5	1.0	80.4	903.4	0.00
2020.12.20 22:25:00	93	0.2	0.5	1.0	79.4	903.3	0.00
2020.12.20 22:30:00	120	0.5	1.0	0.8	80.2	903.4	0.00
2020.12.20 22:35:00	50	0.3	0.6	0.8	80.6	903.4	0.00
2020.12.20 22:40:00	128	0.2	0.5	0.8	80.3	903.5	0.00
2020.12.20 22:45:00	358	0.1	0.3	0.7	81.6	903.5	0.00
2020.12.20 22:50:00	199	0.2	0.5	0.6	82.8	903.5	0.00
2020.12.20 22:55:00	116	0.2	0.6	0.4	82.8	903.7	0.00
2020.12.20 23:00:00	141	0.3	0.7	0.0	81.6	903.8	0.00
2020.12.20 23:05:00	78	0.4	1.0	0.0	84.3	903.8	0.00
2020.12.20 23:10:00	108	0.6	0.9	-0.2	80.3	903.7	0.00
2020.12.20 23:15:00	112	0.4	0.9	-0.5	83.5	903.7	0.00
2020.12.20 23:20:00	203	0.4	0.9	-0.4	85.3	903.7	0.00
2020.12.20 23:25:00	74	0.4	0.7	-0.5	84.2	903.7	0.00
2020.12.20 23:30:00	85	0.6	1.0	-0.4	82.2	903.6	0.00
2020.12.20 23:35:00	350	0.2	0.6	-0.4	84.1	903.6	0.00
2020.12.20 23:40:00	296	0.5	1.1	-0.5	84.7	903.5	0.00
2020.12.20 23:45:00	299	0.6	1.1	-0.3	83.9	903.3	0.00
2020.12.20 23:50:00	357	0.5	0.9	-0.2	83.6	903.2	0.00
2020.12.20 23:55:00	91	0.8	1.4	0.0	80.3	903.2	0.00
2020.12.21 00:00:00	100	0.6	1.3	-0.6	80.8	903.1	0.00
2020.12.21 00:05:00	83	0.4	1.0	-0.7	82.4	903.0	0.00
2020.12.21 00:10:00	73	0.2	0.7	-0.8	84.0	903.0	0.00
2020.12.21 00:15:00	91	0.6	1.2	-0.5	81.2	902.9	0.00
2020.12.21 00:20:00	89	0.6	1.3	-0.5	84.4	902.8	0.00
2020.12.21 00:25:00	111	0.4	1.0	-0.4	83.2	902.7	0.00
2020.12.21 00:30:00	212	0.4	1.2	-0.4	82.7	902.8	0.00
2020.12.21 00:35:00	142	0.3	0.7	-0.8	82.4	902.8	0.00
2020.12.21 00:40:00	81	0.5	1.1	-0.9	83.2	902.9	0.00
2020.12.21 00:45:00	255	0.4	0.8	-1.0	84.2	902.9	0.00
2020.12.21 00:50:00	143	0.6	1.5	-0.9	84.7	902.9	0.00
2020.12.21 00:55:00	57	0.5	1.3	-0.6	81.0	903.0	0.00
2020.12.21 01:00:00	212	0.5	1.0	-0.7	81.4	903.2	0.00
2020.12.21 01:05:00	86	0.9	1.7	-0.7	81.7	903.4	0.00
2020.12.21 01:10:00	65	0.6	1.3	-0.4	81.3	903.6	0.00
2020.12.21 01:15:00	79	0.4	0.9	-1.0	81.9	903.7	0.00
2020.12.21 01:20:00	105	0.7	1.3	-0.8	83.1	903.8	0.00
2020.12.21 01:25:00	107	0.2	0.5	-1.1	82.6	903.8	0.00
2020.12.21 01:30:00	156	0.3	0.7	-1.2	84.0	903.9	0.00
2020.12.21 01:35:00	150	0.3	0.8	-1.3	84.5	903.9	0.00
2020.12.21 01:40:00	112	0.3	0.7	-1.3	85.0	903.8	0.00
2020.12.21 01:45:00	185	0.2	0.5	-1.5	83.1	903.9	0.00
2020.12.21 01:50:00	357	0.2	0.6	-1.6	86.1	903.9	0.00
2020.12.21 01:55:00	157	0.2	0.7	-1.5	86.9	904.0	0.00
2020.12.21 02:00:00	303	0.3	0.8	-1.6	87.0	904.1	0.00
2020.12.21 02:05:00	176	0.3	0.9	-1.4	88.0	904.1	0.00
2020.12.21 02:10:00	122	0.3	0.7	-1.2	86.2	904.2	0.00
2020.12.21 02:15:00	130	0.4	1.1	-1.1	85.8	904.1	0.00
2020.12.21 02:20:00	87	0.6	1.2	-1.2	82.9	904.2	0.00
2020.12.21 02:25:00	129	0.4	0.8	-1.5	80.8	904.2	0.00
2020.12.21 02:30:00	81	0.4	0.8	-1.5	84.9	904.0	0.00
2020.12.21 02:35:00	236	0.3	0.8	-1.5	86.8	904.0	0.00
2020.12.21 02:40:00	253	0.5	1.1	-1.4	86.1	903.9	0.00
2020.12.21 02:45:00	317	0.2	0.5	-1.4	85.6	903.9	0.00
2020.12.21 02:50:00	97	0.3	0.7	-1.5	83.7	903.9	0.00
2020.12.21 02:55:00	99	0.5	1.1	-1.7	84.7	903.9	0.00
2020.12.21 03:00:00	85	0.5	1.1	-1.3	85.3	903.9	0.00
2020.12.21 03:05:00	112	0.4	1.0	-1.4	82.7	903.9	0.00
2020.12.21 03:10:00	107	0.5	1.0	-1.5	86.0	903.8	0.00
2020.12.21 03:15:00	72	0.4	1.2	-1.4	80.2	903.8	0.00
2020.12.21 03:20:00	114	0.2	0.5	-1.7	83.1	903.8	0.00
2020.12.21 03:25:00	91	0.3	0.8	-2.0	83.0	903.9	0.00
2020.12.21 03:30:00	92	0.4	0.6	-1.9	83.3	903.8	0.00
2020.12.21 03:35:00	222	0.3	0.7	-1.9	83.4	903.8	0.00
2020.12.21 03:40:00	229	0.3	0.7	-2.0	86.7	903.9	0.00
2020.12.21 03:45:00	182	0.2	0.6	-2.0	87.5	903.9	0.00
2020.12.21 03:50:00	238	0.2	0.6	-2.2	84.7	904.0	0.00
2020.12.21 03:55:00	95	0.3	0.8	-2.3	86.8	903.9	0.00
2020.12.21 04:00:00	78	0.7	1.3	-1.9	83.9	903.6	0.00
2020.12.21 04:05:00	260	0.3	0.8	-2.0	85.6	903.5	0.00
2020.12.21 04:10:00	288	0.5	0.9	-1.7	86.5	903.4	0.00
2020.12.21 04:15:00	235	0.4	0.8	-1.5	86.6	903.2	0.00
2020.12.21 04:20:00	105	0.9	1.7	-1.9	84.2	903.0	0.00
2020.12.21 04:25:00	124	0.3	0.7	-2.0	82.0	902.9	0.00
2020.12.21 04:30:00	76	0.7	1.3	-1.8	85.2	902.6	0.00
2020.12.21 04:35:00	69	0.4	0.8	-1.6	84.5	902.5	0.00
2020.12.21 04:40:00	152	0.3	0.6	-1.6	85.3	902.5	0.00
2020.12.21 04:45:00	74	0.6	1.1	-1.6	84.3	902.6	0.00
2020.12.21 04:50:00	72	0.3	0.6	-2.0	82.9	902.7	0.00
2020.12.21 04:55:00	83	0.6	1.0	-1.7	84.1	902.6	0.00
2020.12.21 05:00:00	97	0.3	0.6	-2.1	83.1	902.6	0.00
2020.12.21 05:05:00	156	0.4	1.0	-2.0	87.0	902.6	0.00
2020.12.21 05:10:00	309	0.4	1.1	-1.9	83.3	902.6	0.00
2020.12.21 05:15:00	154	0.5	1.4	-2.2	83.2	902.6	0.00
2020.12.21 05:20:00	93	0.5	0.9	-2.0	87.2	902.6	0.00
2020.12.21 05:25:00	295	0.5	1.1	-1.8	85.4	902.6	0.00
2020.12.21 05:30:00	145	0.6	1.8	-1.7	84.5	902.6	0.00
2020.12.21 05:35:00	98	0.7	1.2	-1.7	82.7	902.4	0.00
2020.12.21 05:40:00	232	0.4	1.1	-1.7	85.6	902.3	0.00
2020.12.21 05:45:00	216	0.4	1.1	-1.6	85.2	902.2	0.00
2020.12.21 05:50:00	108	0.5	1.1	-1.7	84.0	902.2	0.00
2020.12.21 05:55:00	125	0.3	1.1	-1.6	82.1	902.1	0.00
2020.12.21 06:00:00	259	0.2	0.4	-1.9	83.3	902.1	0.00
2020.12.21 06:05:00	88	0.4	1.1	-1.7	86.8	902.1	0.00
2020.12.21 06:10:00	95	0.6	1.2	-1.7	77.8	902.1	0.00
2020.12.21 06:15:00	99	0.6	1.0	-1.9	86.0	902.0	0.00
2020.12.21 06:20:00	289	0.5	1.0	-1.7	84.6	901.9	0.00
2020.12.21 06:25:00	139	0.5	1.1	-1.7	85.0	902.0	0.00
2020.12.21 06:30:00	114	0.8	2.0	-1.9	82.9	902.1	0.00
2020.12.21 06:35:00	95	0.3	0.9	-1.9	84.5	902.2	0.00
2020.12.21 06:40:00	322	0.2	0.6	-1.9	85.3	902.3	0.00
2020.12.21 06:45:00	103	0.6	1.0	-2.0	86.2	902.3	0.00
2020.12.21 06:50:00	85	0.7	1.6	-1.8	86.2	902.3	0.00
2020.12.21 06:55:00	39	0.6	1.4	-1.6	84.7	902.2	0.00
2020.12.21 07:00:00	39	0.4	0.9	-1.9	85.6	902.3	0.00
2020.12.21 07:05:00	276	0.3	0.5	-1.8	87.3	902.3	0.00
2020.12.21 07:10:00	120	0.5	0.9	-2.1	87.3	902.3	0.00
2020.12.21 07:15:00	331	0.4	0.9	-1.9	87.0	902.2	0.00
2020.12.21 07:20:00	167	0.5	1.1	-1.8	88.4	902.2	0.00
2020.12.21 07:25:00	194	0.4	1.3	-1.6	86.3	902.4	0.00
2020.12.21 07:30:00	114	0.6	1.1	-1.9	85.5	902.6	0.00
2020.12.21 07:35:00	106	0.7	1.8	-1.6	79.0	902.7	0.00
2020.12.21 07:40:00	95	0.4	0.7	-1.9	84.5	902.7	0.00
2020.12.21 07:45:00	96	0.7	1.5	-1.6	84.1	902.4	0.00
2020.12.21 07:50:00	127	0.5	1.4	-1.7	86.3	902.2	0.00
2020.12.21 07:55:00	307	0.3	0.8	-1.6	87.8	902.1	0.00
2020.12.21 08:00:00	306	0.5	1.2	-1.3	86.8	901.9	0.00
2020.12.21 08:05:00	310	0.7	1.8	-1.1	84.9	901.8	0.00
2020.12.21 08:10:00	133	0.3	1.1	-0.9	85.2	901.7	0.00
2020.12.21 08:15:00	55	0.4	1.1	-0.5	82.5	901.5	0.00
2020.12.21 08:20:00	156	0.8	1.9	-0.4	81.9	901.5	0.00
2020.12.21 08:25:00	87	0.7	1.6	-0.3	80.3	901.6	0.00
2020.12.21 08:30:00	113	0.4	1.0	-0.3	80.3	901.8	0.00
2020.12.21 08:35:00	102	0.4	0.9	-0.2	79.9	902.0	0.00
2020.12.21 08:40:00	105	0.9	1.9	-0.4	80.9	902.0	0.00
2020.12.21 08:45:00	8	0.5	1.2	-0.4	82.4	902.0	0.00
2020.12.21 08:50:00	15	0.3	0.7	0.0	81.3	902.2	0.00
2020.12.21 08:55:00	238	0.4	1.0	0.0	82.0	902.3	0.00
2020.12.21 09:00:00	125	0.5	1.3	0.1	80.4	902.5	0.00
2020.12.21 09:05:00	72	1.1	1.7	0.4	79.1	902.6	0.00
2020.12.21 09:10:00	100	0.5	1.1	0.4	78.0	902.6	0.00
2020.12.21 09:15:00	46	0.4	0.9	0.4	80.8	902.4	0.00
2020.12.21 09:20:00	333	0.4	0.9	0.5	79.0	902.4	0.00
2020.12.21 09:25:00	9	0.2	0.6	0.7	80.1	902.4	0.00
2020.12.21 09:30:00	353	0.2	0.4	0.8	79.2	902.4	0.00
2020.12.21 09:35:00	295	0.3	0.8	0.9	78.5	902.4	0.00
2020.12.21 09:40:00	338	0.3	0.9	1.1	77.8	902.5	0.00
2020.12.21 09:45:00	92	0.8	1.5	0.9	77.4	902.6	0.00
2020.12.21 09:50:00	329	0.4	0.8	1.0	77.5	902.7	0.00
2020.12.21 09:55:00	225	0.2	0.7	1.1	79.5	902.9	0.00
2020.12.21 10:00:00	97	0.4	0.8	1.1	77.4	903.0	0.00
2020.12.21 10:05:00	312	0.3	0.6	1.1	78.3	903.2	0.00
2020.12.21 10:10:00	40	0.4	1.3	1.3	77.1	903.2	0.00
2020.12.21 10:15:00	313	0.4	0.7	1.5	76.9	903.3	0.00
2020.12.21 10:20:00	297	0.3	0.6	1.6	77.1	903.4	0.00
2020.12.21 10:25:00	335	0.2	0.5	1.7	76.2	903.6	0.00
2020.12.21 10:30:00	64	0.3	1.0	1.8	75.8	903.7	0.00
2020.12.21 10:35:00	75	0.7	1.0	1.7	75.7	903.8	0.00
2020.12.21 10:40:00	57	0.3	0.7	1.9	75.8	903.8	0.00
2020.12.21 10:45:00	292	0.2	0.6	1.8	76.8	903.8	0.00
2020.12.21 10:50:00	74	0.4	0.9	1.8	75.3	903.6	0.00
2020.12.21 10:55:00	91	0.4	0.7	1.8	76.0	903.5	0.00
2020.12.21 11:00:00	77	0.3	1.0	1.8	75.7	903.4	0.00
2020.12.21 11:05:00	310	0.2	0.9	2.0	75.8	903.4	0.00
2020.12.21 11:10:00	264	0.4	0.8	2.1	76.2	903.4	0.00
2020.12.21 11:15:00	327	0.2	0.7	2.2	74.4	903.5	0.00
2020.12.21 11:20:00	152	0.4	1.2	2.3	72.6	903.4	0.00
2020.12.21 11:25:00	120	0.7	1.2	2.0	75.9	903.4	0.00
2020.12.21 11:30:00	89	0.7	1.2	2.1	74.3	903.1	0.00
2020.12.21 11:35:00	95	0.8	1.6	2.2	73.9	902.7	0.00
2020.12.21 11:40:00	115	0.5	1.2	2.4	72.6	902.5	0.00
2020.12.21 11:45:00	288	0.4	0.9	2.6	74.1	902.5	0.00
2020.12.21 11:50:00	262	0.4	0.6	2.7	72.8	902.5	0.00
2020.12.21 11:55:00	310	0.6	1.2	2.8	72.7	902.6	0.00
2020.12.21 12:00:00	258	0.3	0.8	3.0	72.1	902.7	0.00
2020.12.21 12:05:00	292	0.5	1.1	3.1	70.8	902.9	0.00
2020.12.21 12:10:00	192	0.3	0.9	3.1	69.9	903.1	0.00
2020.12.21 12:15:00	115	0.7	1.2	2.9	71.0	903.1	0.00
2020.12.21 12:20:00	93	0.5	1.2	2.9	70.2	903.1	0.00
2020.12.21 12:25:00	126	0.3	0.9	3.0	69.5	902.9	0.00
2020.12.21 12:30:00	119	0.7	1.6	2.9	71.8	902.7	0.00
2020.12.21 12:35:00	115	1.0	2.3	3.0	70.2	902.5	0.00
2020.12.21 12:40:00	89	1.8	4.4	3.6	66.2	902.4	0.00
2020.12.21 12:45:00	91	1.7	4.1	4.0	65.0	902.1	0.00
2020.12.21 12:50:00	95	1.8	3.7	4.4	63.4	901.9	0.00
2020.12.21 12:55:00	107	1.7	3.4	4.7	62.4	901.9	0.00
2020.12.21 13:00:00	105	1.4	2.5	4.3	65.5	901.8	0.00
2020.12.21 13:05:00	119	0.9	1.7	4.1	66.0	901.8	0.00
2020.12.21 13:10:00	123	0.4	1.0	4.1	66.9	901.9	0.00
2020.12.21 13:15:00	222	0.4	1.0	4.4	65.2	901.8	0.00
2020.12.21 13:20:00	62	0.4	0.9	4.5	65.9	901.7	0.00
2020.12.21 13:25:00	127	0.3	0.7	4.7	65.8	901.4	0.00
2020.12.21 13:30:00	268	0.3	0.6	4.8	65.5	901.3	0.00
2020.12.21 13:35:00	293	0.5	1.9	4.8	64.1	901.3	0.00
2020.12.21 13:40:00	291	0.8	2.1	4.4	65.0	901.6	0.00
2020.12.21 13:45:00	246	0.7	2.3	3.4	67.6	901.7	0.00
2020.12.21 13:50:00	214	1.0	2.6	3.3	68.0	901.8	0.00
2020.12.21 13:55:00	205	1.1	2.9	3.1	68.8	901.8	0.00
2020.12.21 14:00:00	143	1.2	2.4	2.9	69.5	901.8	0.00
2020.12.21 14:05:00	98	1.3	2.1	2.9	70.2	901.7	0.00
2020.12.21 14:10:00	78	0.8	2.1	3.0	68.7	901.6	0.00
2020.12.21 14:15:00	219	0.2	0.5	3.2	68.9	901.5	0.00
2020.12.21 14:20:00	249	0.2	0.4	3.4	69.4	901.5	0.00
2020.12.21 14:25:00	322	0.3	0.5	3.5	68.6	901.2	0.00
2020.12.21 14:30:00	28	0.3	0.5	3.5	69.2	901.1	0.00
2020.12.21 14:35:00	299	0.3	0.7	3.6	69.8	901.0	0.00
2020.12.21 14:40:00	177	0.8	1.4	3.5	68.7	901.0	0.00
2020.12.21 14:45:00	113	0.2	0.8	3.4	68.7	901.3	0.00
2020.12.21 14:50:00	61	0.5	1.3	3.4	69.1	901.4	0.00
2020.12.21 14:55:00	107	0.7	1.8	3.3	69.2	901.6	0.00
2020.12.21 15:00:00	142	0.9	1.9	3.1	70.4	901.6	0.00
2020.12.21 15:05:00	174	0.4	1.3	3.3	69.5	901.6	0.00
2020.12.21 15:10:00	140	0.5	1.3	3.3	69.1	901.6	0.00
2020.12.21 15:15:00	80	0.3	0.8	3.4	69.8	901.6	0.00
2020.12.21 15:20:00	94	0.3	0.6	3.4	69.8	901.6	0.00
2020.12.21 15:25:00	73	0.3	0.6	3.4	69.4	901.5	0.00
2020.12.21 15:30:00	81	0.4	0.8	3.4	69.9	901.4	0.00
2020.12.21 15:35:00	167	0.5	1.0	3.3	71.9	901.4	0.00
2020.12.21 15:40:00	98	0.5	0.9	3.0	71.4	901.3	0.00
2020.12.21 15:45:00	167	0.4	1.0	2.9	73.3	901.2	0.00
