,time,ghi,sea,temp,RH,wind,SW_global,ppt,vp_a,press,cld,Discharge,alb,LW_in,SW_direct,SW_diffuse,T_F,e_a
47,2020-11-24 14:00:00,284.607,0.323,1.367,84.417,1.467,264.51,0.0,5.717,801.638,0.0,0.832,0.646,229.658,264.51,0.0,1.5,0.713
48,2020-11-24 15:00:00,183.052,0.225,1.683,82.6,2.1,138.009,0.0,5.7,801.304,0.0,1.009,0.642,230.581,138.009,0.0,1.5,0.713
49,2020-11-24 16:00:00,61.148,0.097,1.883,80.367,1.55,20.696,0.0,5.617,801.233,0.0,1.841,0.639,230.745,20.696,0.0,1.5,0.711
50,2020-11-24 17:00:00,0.0,0.0,1.533,79.533,0.583,0.0,0.0,5.433,801.395,0.0,2.755,0.635,228.525,0.0,0.0,1.5,0.708
51,2020-11-24 18:00:00,0.0,0.0,0.317,84.6,0.917,0.0,0.0,5.3,801.41,0.0,3.107,0.632,223.853,0.0,0.0,1.5,0.706
52,2020-11-24 19:00:00,0.0,0.0,-0.5,87.483,0.417,0.0,0.0,5.167,801.471,0.0,3.336,0.629,220.483,0.0,0.0,0.0,0.704
53,2020-11-24 20:00:00,0.0,0.0,-0.7,88.683,1.0,0.0,0.0,5.167,801.392,0.0,3.519,0.625,219.859,0.0,0.0,0.0,0.704
54,2020-11-24 21:00:00,0.0,0.0,-0.483,88.1,0.833,0.0,0.0,5.2,801.235,0.0,3.396,0.622,220.736,0.0,0.0,0.0,0.704
55,2020-11-24 22:00:00,0.0,0.0,-0.35,87.717,1.6,0.0,0.0,5.217,801.015,0.0,3.455,0.619,221.255,0.0,0.0,0.0,0.705
56,2020-11-24 23:00:00,0.0,0.0,-0.017,86.033,1.8,0.0,0.0,5.233,800.829,0.0,3.287,0.615,222.396,0.0,0.0,0.0,0.705
57,2020-11-25 00:00:00,0.0,0.0,0.367,83.9,1.517,0.0,0.0,5.25,800.406,0.0,3.075,0.612,223.708,0.0,0.0,1.5,0.705
58,2020-11-25 01:00:00,0.0,0.0,0.2,84.4,1.333,0.0,0.0,5.217,799.929,0.0,3.167,0.609,222.981,0.0,0.0,1.5,0.704
59,2020-11-25 02:00:00,0.0,0.0,-0.1,85.1,1.517,0.0,0.0,5.2,800.052,0.0,3.34,0.606,221.935,0.0,0.0,0.0,0.704
60,2020-11-25 03:00:00,0.0,0.0,-0.15,85.4,1.533,0.0,0.0,5.167,799.608,0.0,3.367,0.603,221.576,0.0,0.0,0.0,0.704
61,2020-11-25 04:00:00,0.0,0.0,-0.3,86.317,1.817,0.0,0.0,5.167,799.612,0.0,3.481,0.6,221.107,0.0,0.0,0.0,0.704
62,2020-11-25 05:00:00,0.0,0.0,-0.033,85.2,1.7,0.0,0.0,5.2,799.492,0.0,3.309,0.597,222.145,0.0,0.0,0.0,0.704
63,2020-11-25 06:00:00,0.0,0.0,-0.117,84.783,1.417,0.0,0.0,5.117,799.527,0.0,3.348,0.593,221.372,0.0,0.0,0.0,0.703
64,2020-11-25 07:00:00,0.0,0.0,-0.3,85.1,1.0,1.19,0.0,5.1,799.75,0.0,3.391,0.59,220.695,1.19,0.0,0.0,0.702
65,2020-11-25 08:00:00,11.574,0.028,-0.35,85.7,0.5,71.834,0.0,5.1,800.169,0.0,3.262,0.587,220.539,71.834,0.0,0.0,0.702
66,2020-11-25 09:00:00,125.635,0.167,0.8,84.417,0.833,198.801,0.0,5.45,800.134,0.0,2.185,0.584,226.282,198.801,0.0,1.5,0.709
67,2020-11-25 10:00:00,239.483,0.28,2.55,75.55,0.917,309.979,0.0,5.533,800.059,0.0,0.889,0.582,232.41,309.979,0.0,1.5,0.709
68,2020-11-25 11:00:00,320.69,0.357,2.733,73.6,0.667,375.208,0.0,5.467,799.808,0.0,0.541,0.579,232.607,375.208,0.0,1.5,0.708
69,2020-11-25 12:00:00,356.851,0.391,2.317,75.483,0.333,386.0,0.0,5.45,799.568,0.0,0.639,0.576,231.154,386.0,0.0,1.5,0.708
70,2020-11-25 13:00:00,343.308,0.378,1.067,81.733,0.417,345.8,0.0,5.4,799.39,0.0,0.968,0.573,226.835,345.8,0.0,1.5,0.708
71,2020-11-25 14:00:00,281.76,0.32,0.483,84.833,0.417,251.413,0.0,5.383,799.416,0.0,1.456,0.57,224.876,251.413,0.0,1.5,0.707
72,2020-11-25 15:00:00,180.675,0.223,0.3,86.5,0.75,127.179,0.0,5.4,799.372,0.0,2.055,0.567,224.398,127.179,0.0,1.5,0.708
73,2020-11-25 16:00:00,59.449,0.094,0.033,86.35,0.917,18.681,0.0,5.283,799.492,0.0,2.867,0.564,222.855,18.681,0.0,1.5,0.706
74,2020-11-25 17:00:00,0.0,0.0,-0.3,86.883,1.083,0.0,0.0,5.2,799.736,0.0,3.371,0.562,221.308,0.0,0.0,0.0,0.704
75,2020-11-25 18:00:00,0.0,0.0,-0.267,86.9,1.267,0.0,0.0,5.217,800.084,0.0,3.377,0.559,221.515,0.0,0.0,0.0,0.705
76,2020-11-25 19:00:00,0.0,0.0,0.25,84.8,1.45,0.0,0.0,5.267,800.241,0.0,3.13,0.556,223.442,0.0,0.0,1.5,0.705
77,2020-11-25 20:00:00,0.0,0.0,0.367,83.7,1.167,0.0,0.0,5.217,800.458,0.0,3.091,0.553,223.506,0.0,0.0,1.5,0.704
78,2020-11-25 21:00:00,0.0,0.0,-0.1,84.667,0.917,0.0,0.0,5.15,800.434,0.0,3.296,0.551,221.629,0.0,0.0,0.0,0.703
79,2020-11-25 22:00:00,0.0,0.0,-0.7,86.183,0.583,0.0,0.0,5.0,800.194,0.0,3.46,0.548,218.83,0.0,0.0,0.0,0.7
80,2020-11-25 23:00:00,0.0,0.0,-1.083,88.967,1.083,0.0,0.0,5.0,800.586,0.0,3.725,0.545,217.646,0.0,0.0,0.0,0.701
81,2020-11-26 00:00:00,0.0,0.0,-0.983,89.75,1.617,0.0,0.0,5.083,800.442,0.0,3.827,0.543,218.468,0.0,0.0,0.0,0.702
82,2020-11-26 01:00:00,0.0,0.0,-0.617,88.9,1.617,0.0,0.0,5.183,800.528,0.0,3.607,0.54,220.215,0.0,0.0,0.0,0.704
83,2020-11-26 02:00:00,0.0,0.0,-0.283,87.85,2.0,0.0,0.0,5.25,800.591,0.0,3.46,0.538,221.664,0.0,0.0,0.0,0.705
84,2020-11-26 03:00:00,0.0,0.0,-0.033,86.033,2.1,0.0,0.0,5.233,800.683,0.0,3.318,0.535,222.346,0.0,0.0,0.0,0.705
85,2020-11-26 04:00:00,0.0,0.0,0.067,84.25,1.8,0.0,0.0,5.183,800.574,0.0,3.267,0.533,222.355,0.0,0.0,1.5,0.704
86,2020-11-26 05:00:00,0.0,0.0,-0.05,84.033,2.1,0.0,0.0,5.1,800.634,0.0,3.376,0.53,221.476,0.0,0.0,0.0,0.702
87,2020-11-26 06:00:00,0.0,0.0,-0.067,84.267,2.1,0.0,0.0,5.1,800.622,0.0,3.384,0.528,221.423,0.0,0.0,0.0,0.702
88,2020-11-26 07:00:00,0.0,0.0,0.117,83.1,2.1,0.931,0.0,5.133,800.716,0.0,3.267,0.525,222.204,0.931,0.0,1.5,0.703
89,2020-11-26 08:00:00,9.803,0.024,0.367,82.783,1.8,72.25,0.0,5.2,801.043,0.0,3.034,0.523,223.402,72.25,0.0,1.5,0.704
90,2020-11-26 09:00:00,122.33,0.164,1.167,84.067,1.55,202.765,0.0,5.583,801.069,0.0,1.866,0.52,228.239,202.765,0.0,1.5,0.711
91,2020-11-26 10:00:00,235.891,0.276,2.533,77.867,0.0,313.328,0.0,5.717,800.981,0.0,1.42,0.518,233.443,313.328,0.0,1.5,0.713
92,2020-11-26 11:00:00,317.108,0.353,2.4,77.717,0.083,377.719,0.0,5.617,800.688,0.0,0.941,0.516,232.423,377.719,0.0,1.5,0.711
93,2020-11-26 12:00:00,353.447,0.387,2.25,77.8,0.0,389.187,0.0,5.6,800.384,0.0,0.812,0.513,231.835,389.187,0.0,1.5,0.711
94,2020-11-26 13:00:00,340.2,0.375,2.0,79.783,1.1,346.551,0.0,5.633,799.866,0.0,0.398,0.511,231.218,346.551,0.0,1.5,0.711
95,2020-11-26 14:00:00,279.036,0.317,1.867,82.017,1.267,256.64,0.0,5.75,799.587,0.0,0.696,0.509,231.466,256.64,0.0,1.5,0.714
96,2020-11-26 15:00:00,178.421,0.22,1.317,83.0,1.717,131.95,0.0,5.6,799.662,0.0,1.426,0.506,228.82,131.95,0.0,1.5,0.711
97,2020-11-26 16:00:00,57.859,0.093,1.167,82.25,1.7,18.722,0.0,5.467,799.782,0.0,2.236,0.504,227.555,18.722,0.0,1.5,0.709
98,2020-11-26 17:00:00,0.0,0.0,0.867,82.9,2.1,0.0,0.0,5.4,799.699,0.0,2.687,0.502,226.198,0.0,0.0,1.5,0.708
99,2020-11-26 18:00:00,0.0,0.0,0.75,82.7,2.0,0.0,0.0,5.367,799.914,0.0,2.796,0.5,225.628,0.0,0.0,1.5,0.707
100,2020-11-26 19:00:00,0.0,0.0,0.8,81.5,1.9,0.0,0.0,5.25,799.974,0.0,2.801,0.498,225.077,0.0,0.0,1.5,0.705
101,2020-11-26 20:00:00,0.0,0.0,0.733,81.8,1.9,0.0,0.0,5.25,799.892,0.0,2.843,0.495,224.865,0.0,0.0,1.5,0.705
102,2020-11-26 21:00:00,0.0,0.0,0.7,81.1,2.0,0.0,0.0,5.2,800.031,0.0,2.871,0.493,224.453,0.0,0.0,1.5,0.704
103,2020-11-26 22:00:00,0.0,0.0,0.5,81.45,1.9,0.0,0.0,5.183,799.709,0.0,3.02,0.491,223.717,0.0,0.0,1.5,0.704
104,2020-11-26 23:00:00,0.0,0.0,0.717,80.7,2.1,0.0,0.0,5.2,799.678,0.0,2.856,0.489,224.507,0.0,0.0,1.5,0.704
105,2020-11-27 00:00:00,0.0,0.0,0.733,80.0,1.9,0.0,0.0,5.183,799.491,0.0,2.884,0.487,224.453,0.0,0.0,1.5,0.704
106,2020-11-27 01:00:00,0.0,0.0,0.65,79.7,2.1,0.0,0.0,5.083,799.223,0.0,2.932,0.485,223.567,0.0,0.0,1.5,0.702
107,2020-11-27 02:00:00,0.0,0.0,0.567,78.983,1.717,0.0,0.0,5.0,799.146,0.0,3.041,0.483,222.781,0.0,0.0,1.5,0.7
108,2020-11-27 03:00:00,0.0,0.0,0.333,79.8,1.7,0.0,0.0,5.0,798.891,0.0,3.18,0.481,222.048,0.0,0.0,1.5,0.7
109,2020-11-27 04:00:00,0.0,0.0,0.117,80.1,1.7,0.0,0.0,4.933,798.769,0.0,3.318,0.479,220.946,0.0,0.0,1.5,0.699
110,2020-11-27 05:00:00,0.0,0.0,0.083,79.5,1.517,0.0,0.0,4.9,798.559,0.0,3.343,0.477,220.628,0.0,0.0,1.5,0.698
111,2020-11-27 06:00:00,0.0,0.0,-0.05,80.0,1.167,0.0,0.0,4.867,798.524,0.0,3.382,0.475,220.002,0.0,0.0,0.0,0.698
112,2020-11-27 07:00:00,0.0,0.0,-0.083,80.9,1.817,0.668,0.0,4.917,798.646,0.0,3.445,0.473,220.22,0.668,0.0,0.0,0.699
113,2020-11-27 08:00:00,8.161,0.021,0.4,79.25,1.817,65.646,0.0,4.967,798.856,0.0,3.098,0.471,222.047,65.646,0.0,1.5,0.699
114,2020-11-27 09:00:00,119.106,0.16,1.45,77.483,1.367,188.356,0.0,5.25,798.799,0.0,1.906,0.469,227.144,188.356,0.0,1.5,0.705
115,2020-11-27 10:00:00,232.39,0.273,2.7,71.15,0.333,299.162,0.0,5.267,798.614,0.0,1.314,0.467,231.265,299.162,0.0,1.5,0.704
116,2020-11-27 11:00:00,313.628,0.35,2.683,69.917,0.083,369.656,0.0,5.183,798.101,0.0,1.031,0.465,230.679,369.656,0.0,1.5,0.703
117,2020-11-27 12:00:00,350.157,0.384,2.1,74.133,0.0,384.426,0.0,5.267,797.807,0.0,0.923,0.463,229.331,384.426,0.0,1.5,0.705
118,2020-11-27 13:00:00,337.214,0.372,1.417,77.95,0.333,343.661,0.0,5.283,797.419,0.0,0.979,0.461,227.242,343.661,0.0,1.5,0.705
119,2020-11-27 14:00:00,276.438,0.315,0.867,81.4,1.25,253.863,0.0,5.283,797.246,0.0,1.284,0.459,225.491,253.863,0.0,1.5,0.705
120,2020-11-27 15:00:00,176.289,0.218,0.883,81.4,1.8,128.823,0.0,5.3,797.289,0.0,1.755,0.457,225.645,128.823,0.0,1.5,0.706
121,2020-11-27 16:00:00,56.375,0.091,0.733,80.9,1.717,17.636,0.0,5.2,797.302,0.0,2.565,0.456,224.558,17.636,0.0,1.5,0.704
122,2020-11-27 17:00:00,0.0,0.0,0.25,82.117,1.25,0.0,0.0,5.117,797.433,0.0,3.184,0.454,222.522,0.0,0.0,1.5,0.702
123,2020-11-27 18:00:00,0.0,0.0,-0.383,84.3,1.25,0.0,0.0,5.0,797.741,0.0,3.487,0.452,219.814,0.0,0.0,0.0,0.7
124,2020-11-27 19:00:00,0.0,0.0,-0.533,85.0,1.35,0.0,0.0,5.0,797.754,0.0,3.576,0.45,219.348,0.0,0.0,0.0,0.7
125,2020-11-27 20:00:00,0.0,0.0,-0.517,84.5,1.083,0.0,0.0,4.983,797.677,0.0,3.522,0.448,219.291,0.0,0.0,0.0,0.7
126,2020-11-27 21:00:00,0.0,0.0,0.2,81.8,1.0,0.0,0.0,5.083,797.782,0.0,3.213,0.447,222.153,0.0,0.0,1.5,0.702
127,2020-11-27 22:00:00,0.0,0.0,0.483,79.55,0.75,0.0,0.0,5.033,797.471,0.0,3.133,0.445,222.727,0.0,0.0,1.5,0.701
128,2020-11-27 23:00:00,0.0,0.0,0.2,80.217,1.0,0.0,0.0,4.967,797.246,0.0,3.243,0.443,221.422,0.0,0.0,1.5,0.699
129,2020-11-28 00:00:00,0.0,0.0,-0.183,81.0,0.583,0.0,0.0,4.883,796.817,0.0,3.358,0.441,219.692,0.0,0.0,0.0,0.698
130,2020-11-28 01:00:00,0.0,0.0,-0.5,82.2,0.75,0.0,0.0,4.85,796.706,0.0,3.488,0.44,218.497,0.0,0.0,0.0,0.697
131,2020-11-28 02:00:00,0.0,0.0,-0.767,83.517,1.167,0.0,0.0,4.817,796.639,0.0,3.688,0.438,217.461,0.0,0.0,0.0,0.697
132,2020-11-28 03:00:00,0.0,0.0,-1.033,84.783,1.617,0.0,0.0,4.8,796.651,0.0,3.956,0.436,216.534,0.0,0.0,0.0,0.696
133,2020-11-28 04:00:00,0.0,0.0,-0.867,83.917,1.45,0.0,0.0,4.817,796.202,0.0,3.817,0.435,217.153,0.0,0.0,0.0,0.697
134,2020-11-28 05:00:00,0.0,0.0,-1.367,84.917,0.75,0.0,0.0,4.7,796.009,0.0,3.793,0.433,214.863,0.0,0.0,0.0,0.695
135,2020-11-28 06:00:00,0.0,0.0,-1.7,87.033,1.167,0.0,0.0,4.683,795.959,0.0,4.108,0.432,213.739,0.0,0.0,0.0,0.694
136,2020-11-28 07:00:00,0.0,0.0,-1.533,87.4,1.267,0.426,0.0,4.783,796.158,0.0,4.062,0.43,214.894,0.426,0.0,0.0,0.696
137,2020-11-28 08:00:00,6.652,0.018,-0.85,85.633,1.717,58.445,0.0,4.933,796.193,0.0,3.813,0.428,217.945,58.445,0.0,0.0,0.699
138,2020-11-28 09:00:00,115.966,0.157,0.6,82.533,1.8,152.636,0.0,5.25,796.2,0.0,2.271,0.427,224.444,152.636,0.0,1.5,0.705
139,2020-11-28 10:00:00,228.982,0.269,2.333,73.283,0.167,278.364,0.0,5.283,795.42,0.0,1.491,0.425,230.18,278.364,0.0,1.5,0.705
140,2020-11-28 11:00:00,310.253,0.347,2.267,72.533,0.25,336.628,0.0,5.2,795.347,0.0,1.016,0.424,229.448,336.628,0.0,1.5,0.703
141,2020-11-28 12:00:00,346.981,0.381,1.567,75.8,0.167,346.554,0.0,5.183,794.811,0.0,0.971,0.422,227.1,346.554,0.0,1.5,0.703
142,2020-11-28 13:00:00,334.349,0.369,0.75,79.617,0.583,329.668,0.0,5.15,794.554,0.0,1.136,0.421,224.302,329.668,0.0,1.5,0.703
143,2020-11-28 14:00:00,273.967,0.312,0.317,82.867,0.75,241.888,0.0,5.183,794.121,0.0,1.58,0.419,223.14,241.888,0.0,1.5,0.704
144,2020-11-28 15:00:00,174.281,0.216,-0.033,83.817,0.917,124.705,0.0,5.117,794.274,0.0,2.288,0.418,221.635,124.705,0.0,0.0,0.703
145,2020-11-28 16:00:00,54.997,0.089,-0.6,84.5,1.0,16.599,0.0,4.933,793.97,0.0,3.232,0.416,218.718,16.599,0.0,0.0,0.699
146,2020-11-28 17:00:00,0.0,0.0,-0.85,85.3,1.183,0.0,0.0,4.9,794.119,0.0,3.703,0.415,217.736,0.0,0.0,0.0,0.698
147,2020-11-28 18:00:00,0.0,0.0,-1.333,85.367,0.333,0.0,0.0,4.733,794.399,0.0,3.597,0.413,215.182,0.0,0.0,0.0,0.695
148,2020-11-28 19:00:00,0.0,0.0,-1.933,87.017,0.583,0.0,0.0,4.6,794.473,0.0,3.892,0.412,212.488,0.0,0.0,0.0,0.693
149,2020-11-28 20:00:00,0.0,0.0,-2.25,88.2,0.5,0.0,0.0,4.55,794.718,0.0,3.932,0.41,211.202,0.0,0.0,0.0,0.692
150,2020-11-28 21:00:00,0.0,0.0,-2.75,89.167,0.333,0.0,0.0,4.433,794.769,0.0,3.953,0.409,208.924,0.0,0.0,0.0,0.689
151,2020-11-28 22:00:00,0.0,0.0,-3.35,90.467,0.083,0.0,0.0,4.3,794.738,0.0,3.87,0.408,206.242,0.0,0.0,0.0,0.686
152,2020-11-28 23:00:00,0.0,0.0,-3.733,91.45,0.25,0.0,0.0,4.233,794.842,0.0,4.116,0.406,204.655,0.0,0.0,0.0,0.685
153,2020-11-29 00:00:00,0.0,0.0,-4.267,92.933,0.0,0.0,0.0,4.133,794.701,0.0,3.94,0.405,202.402,0.0,0.0,0.0,0.683
154,2020-11-29 01:00:00,0.0,0.0,-4.783,93.983,0.0,0.0,0.0,4.017,794.528,0.0,4.027,0.403,200.093,0.0,0.0,0.0,0.68
155,2020-11-29 02:00:00,0.0,0.0,-4.683,95.1,0.25,0.0,0.0,4.117,794.648,0.0,4.318,0.402,201.086,0.0,0.0,0.0,0.683
156,2020-11-29 03:00:00,0.0,0.0,-4.6,95.2,0.167,0.0,0.0,4.15,794.494,0.0,4.19,0.401,201.555,0.0,0.0,0.0,0.683
157,2020-11-29 04:00:00,0.0,0.0,-4.383,95.817,0.5,0.0,0.0,4.233,794.37,0.0,4.533,0.399,202.757,0.0,0.0,0.0,0.685
158,2020-11-29 05:00:00,0.0,0.0,-4.317,95.95,0.417,0.0,0.0,4.233,794.471,0.0,4.411,0.398,202.949,0.0,0.0,0.0,0.685
159,2020-11-29 06:00:00,0.0,0.0,-4.333,96.067,0.083,0.0,0.0,4.25,794.659,0.0,4.016,0.397,203.019,0.0,0.0,0.0,0.686
160,2020-11-29 07:00:00,0.0,0.0,-4.667,95.95,0.0,0.302,0.0,4.15,795.074,0.0,3.982,0.396,201.361,0.302,0.0,0.0,0.683
161,2020-11-29 08:00:00,5.28,0.015,-4.45,95.833,0.333,53.809,0.0,4.217,795.28,0.0,4.32,0.394,202.453,53.809,0.0,0.0,0.685
162,2020-11-29 09:00:00,112.91,0.154,-3.883,96.067,0.25,157.642,0.0,4.4,795.643,0.0,3.454,0.393,205.348,157.642,0.0,0.0,0.689
163,2020-11-29 10:00:00,225.667,0.266,-3.183,96.45,0.167,273.629,0.0,4.667,795.663,0.0,2.548,0.392,209.167,273.629,0.0,0.0,0.694
164,2020-11-29 11:00:00,306.984,0.343,-2.833,95.833,0.25,348.959,0.0,4.75,795.658,0.0,2.072,0.39,210.745,348.959,0.0,0.0,0.696
165,2020-11-29 12:00:00,343.921,0.378,-2.717,96.067,0.667,365.607,0.0,4.8,795.265,0.0,2.144,0.389,211.411,365.607,0.0,0.0,0.697
