,time,SW_diffuse,cld,sea,index,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,alb,SW_direct,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
1683,2020-03-13 19:00:00,0.0,0.444,0.0,1683,1.05,94.167,1.0,0.0,0.0,6.217,797.377,233.287,0.737,0.0,0.0,-0.7356378755192987,-0.4800309815086288,0.03463102428801459,69670.02101415684,75.9760316403019,0.0,7398.337632298272,0.0,-2.388304763268591,560406.3753966333,-57.407353202782176,0.0,-69.59592824374224,7.702695736219563,4.414899341745826,0.0,0.07097996299467316,109022.29160779408,152.2869144992007,1.5334437589488865,6.878441813064773,0.0,0.0,0.8498571049453957,5.6919379497302474e-06,0.0,0.0,-57.407353202782176,0.0,,746497.0256508822,0.0,0.22293475769996257,5.752454241661628
1684,2020-03-13 20:00:00,0.0,0.444,0.0,1684,0.55,94.017,1.25,0.0,0.0,5.967,797.494,220.131,0.736,0.0,0.0,-3.1239426387878897,-0.480297333829173,0.03463102428801458,69670.87087126178,75.9769584201328,0.0,7398.337632298272,0.0,-1.5312892150032102,560406.3753966333,-36.80738830876509,0.0,-72.26908502253607,19.813238079143254,14.91434274287305,0.0,0.7341158917546755,109022.29160779408,152.28815292620536,1.533449994068649,6.878469781425682,0.0,0.0,2.87099710334051,6.0857482992096025e-06,0.0,0.0,-36.8073883087651,0.0,,746497.8755079871,0.0,0.22293475769996257,4.711543125757138
1685,2020-03-13 21:00:00,0.0,0.444,0.0,1685,0.117,94.883,1.333,0.0,0.0,5.833,797.478,214.528,0.735,0.0,0.0,-4.6552318537911,-0.4830520926091762,0.034631024288014595,69673.74186836512,75.98008927847887,0.0,7398.337632298272,0.0,-0.8826649753551001,560406.3753966333,-21.21649664617643,0.0,-71.29561202428843,27.44454563534523,21.47600985961558,0.0,1.1585598831511899,109022.29160779408,152.29233655740055,1.5334710572473935,6.878564262784093,0.0,0.0,4.1342254905977045,2.0558778118384882e-05,0.0,0.0,-21.21649664617643,0.0,,746500.7465050905,0.0,0.22293475769996257,4.137760207728936
1686,2020-03-13 22:00:00,0.0,0.444,0.0,1686,-0.167,95.0,1.25,0.0,0.0,5.733,797.352,209.262,0.733,0.0,0.0,-5.5378968291462,-0.48739951133168374,0.03463102428801459,69677.87609385572,75.98459770322326,0.0,7398.337632298272,0.0,-0.8292535835495695,560406.3753966333,-19.932654365413264,0.0,-72.82157424160579,28.959600092637192,22.526890312846568,0.0,1.4024294707087663,109022.29160779408,152.29836087030594,1.5335013871324408,6.878700311040364,0.0,0.0,4.336696099910864,2.960375319139882e-05,0.0,0.0,-19.932654365413264,0.0,,746504.8807305811,0.0,0.22293475769996257,3.836735458802384
1687,2020-03-13 23:00:00,0.0,0.444,0.0,1687,-0.35,95.0,0.917,0.0,0.0,5.667,796.921,206.375,0.732,0.0,0.0,-6.367150412695769,-0.4926619303399798,0.03463102428801458,69682.21278995564,75.98932692470626,0.0,7398.337632298272,0.0,-1.187914179654829,560406.3753966333,-28.553729798163417,0.0,-72.22840597030165,23.788174967754532,18.255298504677054,0.0,1.63120269970665,109022.29160779408,152.30468009139992,1.5335332011117215,6.878843016375364,0.0,0.0,3.514509352324529,3.105234656485242e-05,0.0,0.0,-28.55372979816342,0.0,,746509.2174266811,0.0,0.22293475769996257,3.5722736498894943
1688,2020-03-14 00:00:00,0.0,0.444,0.0,1688,-0.317,95.7,0.667,0.0,0.0,5.717,796.576,206.201,0.731,0.0,0.0,-7.555064592350598,-0.49878266167896357,0.03463102428801459,69685.72729930797,75.99315954123006,0.0,7398.337632298272,0.0,-1.2021448458618127,560406.3753966333,-28.89579036506409,0.0,-67.47325861889723,20.804685507681814,15.813457663566288,0.0,1.9593250825850423,109022.29160779408,152.30980116607782,1.5335589825651392,6.87895866210815,0.0,0.0,3.0445086140974347,2.5164141518794698e-05,0.0,0.0,-28.895790365064087,0.0,,746512.7319360333,0.0,0.22293475769996257,3.222355305236904
1689,2020-03-14 01:00:00,0.0,0.444,0.0,1689,0.2,96.05,1.1,0.0,0.0,5.95,796.224,214.093,0.73,0.0,0.0,-8.75720943821241,-0.5061344768925047,0.03463102428801459,69688.77180792206,75.9964796160546,0.0,7398.337632298272,0.0,0.9133104044066419,560406.3753966333,21.953116610541844,0.0,-54.65994245962676,42.4410703072536,31.880937631212177,0.0,2.2910511317028335,109022.29160779408,152.31423732197558,1.5335813155244666,6.8790588392162775,0.0,0.0,6.138102008942132,2.179816925191339e-05,0.0,0.0,21.953116610541844,0.0,,746515.7764446475,0.0,0.22293475769996257,2.900377429201679
1690,2020-03-14 02:00:00,0.0,0.444,0.0,1690,0.467,96.05,0.5,0.0,0.0,6.1,795.873,209.275,0.728,0.0,0.0,-7.843899033805768,-0.5147308754335018,0.034631024288014595,69694.90990993101,76.00317329327264,0.0,7398.337632298272,0.0,-1.2160042284393686,560406.3753966333,-29.22892643841569,0.0,-63.21071637049178,17.89152796209017,14.055253668672863,0.0,2.035008301313062,109022.29160779408,152.32318095883355,1.5336263395264351,6.879260799657229,0.0,0.0,2.7062455803314736,4.394649729223063e-05,0.0,0.0,-29.22892643841569,0.0,,746521.9145466564,0.0,0.22293475769996257,3.142148430242638
1691,2020-03-14 03:00:00,0.0,0.444,0.0,1691,0.517,95.817,0.583,0.0,0.0,6.1,795.464,223.227,0.727,0.0,0.0,-9.059903262245136,-0.5223663352323917,0.03463102428801459,69697.61615551134,76.00612448801672,0.0,7398.337632298272,0.0,0.01043947509299397,560406.3753966333,0.25093222738247034,0.0,-44.2973119739369,24.02701582851856,18.15073648704406,0.0,2.3704918857567487,109022.29160779408,152.32712406140314,1.5336461894494318,6.8793498388147,0.0,0.0,3.4948940165744626,1.9374560887635417e-05,0.0,0.0,0.2509322273824708,0.0,,746524.6207922368,0.0,0.22293475769996257,2.8240792289154197
1692,2020-03-14 04:00:00,0.0,0.444,0.0,1692,0.667,95.283,1.983,0.0,0.0,6.133,795.159,256.273,0.726,0.0,0.0,-9.049463787152142,-0.5312604322346803,0.03463102428801458,69701.11104952791,76.0099357137709,0.0,7398.337632298272,0.0,5.669032642546504,560406.3753966333,136.26575813690195,0.0,-11.293615400385022,82.88397649890078,62.310312750949606,0.0,2.365084287436579,109022.29160779408,152.33221617918056,1.5336718232353024,6.879464822167386,0.0,0.0,11.998147793473322,2.502000728800348e-05,0.0,0.0,136.26575813690195,0.0,,746528.1156862533,0.0,0.22293475769996257,2.82667980629407
