,time,SW_diffuse,cld,sea,Discharge,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,alb,SW_direct,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
3248,2021-04-07 00:00:00,0.0,0.38,0.0,0.0,-5.35,92.667,2.0,0.0,0.0,3.8,786.491,241.363,0.847,0.0,-9.3242868050085,-2.3371025542663997,0.05265862720467165,48121.355906525096,52.47694210089978,0.0,8297.403379520147,0.0,1.4148555411567116,634244.4997060109,34.00868810014697,0.0,-25.091633319703135,35.7620681911779,20.92429399264197,0.0,2.413959236030229,139567.17629504701,91.00575486679335,1.8331452076670571,5.228432640215143,0.0,0.0,2.4070337821202004,3.4186632609065113e-06,0.0,0.0,34.00868810014697,0.0,,830230.4352871005,0.0,0.35061084914189994,2.758943043197217
3249,2021-04-07 01:00:00,0.0,0.38,0.0,0.0,-5.3,92.167,1.817,0.0,0.0,3.8,786.476,233.583,0.845,0.0,-7.909431263851788,-2.3449398277669156,0.05265862720467165,48123.76294030721,52.47956700142553,0.0,8297.403379520147,0.0,-0.126449771422058,634244.4997060109,-3.0394557688284376,0.0,-38.633593547595325,21.33172283447255,12.340005135529015,0.0,1.9224098087653214,139567.17629504701,91.0087895845545,1.8331757718437522,5.2285198142908165,0.0,0.0,1.4195843227057778,2.884323666777672e-05,0.0,0.0,-3.0394557688284376,0.0,,830232.8423208826,0.0,0.35061084914189994,3.1242063820432446
3250,2021-04-07 02:00:00,0.0,0.38,0.0,0.0,-5.383,91.2,2.833,0.0,0.0,3.75,786.431,246.232,0.844,0.0,-8.035881035273846,-2.3511811097349504,0.05265862720467165,48125.18252462992,52.4811150759323,0.0,8297.403379520147,0.0,1.210818575606007,634244.4997060109,29.104279614287442,0.0,-25.46586266272098,33.81151597542596,18.79470640565186,0.0,1.9639198959306017,139567.17629504701,91.0105793312113,1.8331937970482064,5.228571225148462,0.0,0.0,2.1621705147536003,1.701016477461973e-05,0.0,0.0,29.104279614287442,0.0,,830234.2619052053,0.0,0.35061084914189994,3.08984997454314
3251,2021-04-07 03:00:00,0.0,0.38,0.0,0.0,-5.85,92.717,5.3,0.0,0.6,3.667,786.605,240.389,0.85,0.0,-6.825062459667839,-2.3575570953621554,0.05265862720467165,48127.344695144675,52.483472949994194,0.0,8297.403379520147,0.0,0.03866340808102735,634244.4997060109,0.9293470238250434,0.0,-36.30652065110405,23.254375324984395,12.438105470762785,0.0,1.543386879181915,139567.17629504701,91.01330526258964,1.8332212505767562,5.228649527142302,0.0,51.53237847328462,1.4309407037765978,2.5907692042175753e-05,0.0,0.0,0.9293470238250432,0.0,,830236.42407572,0.0,0.35061084914189994,3.4334757217391854
3252,2021-04-07 04:00:00,0.0,0.38,0.0,0.0,-6.367,93.767,4.1,0.0,1.2,3.583,787.094,251.24,0.85,0.0,-6.786399051586812,-2.3625677198843236,0.05265862720467165,48180.30801432174,52.541230113764165,0.0,8297.403379520147,0.0,-0.4434896550949924,634244.4997060109,-10.660099859690757,0.0,-25.616231424280784,7.742435066650824,5.685957876588049,0.0,1.5277386213511546,139567.17629504701,91.0800654114795,1.8338934802486728,5.230566837098802,0.0,103.14035708546321,0.6546203283622204,0.0006346013212390298,0.0,0.0,-10.660099859690757,0.0,,830289.387394897,0.0,0.35061084914189994,3.445001789657582
3253,2021-04-07 05:00:00,0.0,0.38,0.0,0.0,-6.7,93.417,4.283,0.0,1.2,3.467,787.866,247.181,0.85,0.0,-7.229888706681804,-2.3675257240784457,0.052658627204671654,48284.10299173556,52.654419838315775,0.0,8297.403379520147,0.0,-0.39031692474240626,634244.4997060109,-9.381994251456069,0.0,-27.835992607560314,10.228801867177205,6.547218180991901,0.0,1.6779783079351405,139567.17629504701,91.21082785542949,1.8352094563795105,5.234320218188002,0.0,103.28843433048316,0.7548588081384148,0.0012427497064285583,0.0,0.0,-9.381994251456067,0.0,,830393.1823723109,0.0,0.35061084914189994,3.3148883727790213
3254,2021-04-07 06:00:00,1.031,0.988,0.002,0.0,-6.517,93.3,3.35,31.207,0.6,3.5,788.761,238.377,0.85,30.176,-7.62020563142421,-2.3729673996058773,0.053602199737075404,48388.14628487419,52.76788035427938,0.0,8297.403379520147,0.0,-0.2573006702358816,634244.4997060109,-6.18470083161773,0.39727499688989815,-35.0288669349344,16.675788382666436,9.9616045789336,0.0,1.8094981448267358,139567.17629504701,91.34180912971321,1.836526689450073,5.23807718427672,0.0,51.718379691037434,1.150168378746021,0.0012439369166064253,0.0,0.0,-6.184700831617729,0.0,,830497.2256654495,0.0,0.35061084914189994,3.2041046334626566
3255,2021-04-07 07:00:00,74.147,0.45,0.181,0.0,-6.35,92.95,4.767,116.193,0.0,3.5,789.913,243.549,0.848,42.046,-7.877506301660092,-2.378831384415706,0.13673575638813432,48441.01483294397,52.82553416896834,0.0,8297.403379520147,0.0,1.4864502546277407,634244.4997060109,35.729600383576994,12.144221125190517,-28.798675661282545,32.90387851268204,17.584660985262385,0.0,1.895515421724599,139567.17629504701,91.40832996520912,1.837195304712793,5.239984185341736,0.0,0.0,2.0318062419950604,0.0006311875715871627,0.0,0.0,35.729600383576994,0.0,,830550.0942135192,0.0,0.35061084914189994,3.1329353846421353
3256,2021-04-07 08:00:00,101.466,0.345,0.359,0.0,-5.983,92.017,4.017,254.311,0.2,3.6,790.815,238.452,0.85,152.845,-6.391056047032351,-2.3849718872181693,0.21507669797130075,48443.046639185966,52.82774987915591,0.0,8297.403379520147,0.0,-0.4030232647730833,634244.4997060109,-9.687414799651698,20.150909685213524,-40.051560031759095,7.415427912596064,1.41684071871812,0.0,1.38096691557969,139567.17629504701,91.41088596336793,1.83722099074705,5.240057446150179,0.0,17.252497161272395,0.1637123579077226,2.423969662736348e-05,0.0,0.0,-9.687414799651698,0.0,,830552.1260197612,0.0,0.35061084914189994,3.5649027676500986
3257,2021-04-07 09:00:00,112.794,0.291,0.53,0.0,-4.917,87.533,4.783,437.243,0.6,3.717,791.744,217.135,0.85,324.449,-6.794079311805435,-2.3894454528574793,0.28396470306654603,48460.462848705145,52.84674247405141,0.0,8297.403379520147,0.0,1.098972449401502,634244.4997060109,26.415849657552112,30.73890959178567,-59.68930159708674,40.66375257027273,13.184317076535653,0.0,1.5181720160448022,139567.17629504701,91.43279396838464,1.8374411364929606,5.240685338146247,0.0,51.76989595152505,1.523779567676216,0.00020777169694112651,0.0,0.0,26.415849657552112,0.0,,830569.5422292803,0.0,0.35061084914189994,3.442709395806092
