,When,sea,T_a,RH,v_a,p_a,SW_global,SW_diffuse,SW_direct,Prec,missing_type,cld,DroneV,dia,h_s,h_f,a,vp_a,LW_in,e_a,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,thickness,fountain_in,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice
796,2021-01-26 07:00:00,0.648,-15.27,44.86,3.347,620.065,-2.64,0,0.0,0,-,0,,,,5,0.35,0.835,137.106,0.547,36.148,-4.4659824403262816,-2.2179834073153537,0.3165994015265413,115895.08478732502,126.3850433885769,215.18336675428915,6.60669300874295,3857.038126923793,0.0,0.23082087278429528,312709.5645879047,-288.4581861276471,0.0,-143.6325858582519,-82.5641540245444,-73.26869149167104,-63.26796612831684,1.0065198834660491,382.6997698787015,285.3403351695338,1.3420217713968696,9.48317470023071,0,0.0,0.0,0.0008621379351472007,320.4299402369679,8.383961144994103,-288.4581861276471,0.14124064242667636,314106.3520900579,4.219096522717003
797,2021-01-26 07:15:00,0.647,-15.25,45.8,3.277,620.115,-1.841,0,0.0,0,-,0,,,,5,0.35,0.854,137.586,0.548,36.148,-4.2351615675419865,-2.2190469736624663,0.31623948949835534,116110.26815407931,126.6197035486143,209.72506082646223,6.592381945107656,3863.644819932536,0.0,0.0033793754433390595,313029.9945281417,-281.3302840563119,0.0,-144.11853652045903,-82.42142766587949,-73.10731331606979,-55.69301573251022,0.9026958625368551,382.6997698787015,285.35074639743675,1.3445135143690299,9.48317470023071,0,0.0,0.0,0.0008223869222623938,325.90255722843017,0.12274692522187536,-281.3302840563119,0.14151608652366388,314426.7820302949,4.302771342252966
798,2021-01-26 07:30:00,0.641,-15.34,44.69,3.261,620.165,2.015,0,2.015,0,-,0,,,,5,0.35,0.827,136.774,0.546,36.148,-4.231782192098647,-2.219999098546477,0.31396578775416734,116319.99321490577,126.84841135758536,210.4834600720213,6.614141968615043,3870.2372018776437,0.0,-0.007523791522333055,313355.89708537015,-282.33485734893594,0.4112166905110207,-144.944697186991,-82.72099729055655,-73.3460118232236,-55.981136036945095,0.9007564750457147,382.6997698787015,285.3609117533996,1.346942052198336,9.48317470023071,0,0.0,0.0,0.0008014971464364624,325.1223979593637,-0.2732819394770445,-282.33485734893594,0.14177884061719542,314752.68458752334,4.304008271586642
799,2021-01-26 07:45:00,0.631,-15.43,45.5,3.844,620.215,11.97,0,11.97,0,-,0,,,,5,0.35,0.836,136.794,0.547,36.148,-4.23930598362098,-2.2209474986384987,0.3101379145857928,116530.47667497779,127.07794621044471,219.82511207467599,7.770543401133014,3876.8513438462587,0.0,-0.35391442788144395,313681.0194833295,-295.9769476718925,2.413028044434761,-144.89317081720336,-98.24172720563216,-86.16657448202128,-56.15877823662599,0.9037005431342653,382.6997698787015,285.3711319481595,1.349379372007489,9.48317470023071,0,0.0,0.0,0.0008043668330359986,314.62434452419103,-12.855010797848124,-295.9769476718925,0.14203492973355927,315077.8069854827,4.30125714449912
800,2021-01-26 08:00:00,0.618,-15.6,45.67,4.18,620.264,45.33,0,45.33,0,-,0,,,,5,0.35,0.827,136.244,0.546,36.148,-4.593220411502424,-2.2218973138862865,0.3051108326488556,116750.30178705246,127.31766825196561,228.08289863030632,8.160757463467492,3884.621887247392,0.0,-0.11998510142484206,313995.64382785367,-307.2117353131852,8.989938128582205,-143.96317736348462,-105.0815452901322,-90.4902181896001,-68.21868783199449,1.0617370438438896,382.6997698787015,285.3818250677639,1.3519248646558208,9.48317470023071,0,0.0,0.0,0.0008400360607058866,305.97634390622625,-4.358143248440641,-307.2117353131852,0.14229194490898292,315392.43133000686,4.1736120627769
801,2021-01-26 08:15:00,0.6,-15.52,43.66,3.784,620.346,110.6,0,110.6,0,-,0,,,,5,0.35,0.796,135.662,0.543,36.148,-4.713205512927265,-2.2230111706547766,0.2980587298420414,116978.38468568277,127.56639551328547,213.1754659739321,7.362571497483184,3892.7826447108596,0.0,0.2426431308035787,314301.6201717599,-286.77694659091327,21.427442088344357,-144.0447519128525,-93.410421156072,-81.636386696922,-71.86417610737338,1.1149604970402744,382.6997698787015,285.39294075486214,1.3545659793865008,9.48317470023071,0,0.0,0.0,0.0008715595720252821,321.6819625285848,8.813373575005983,-286.77694659091327,0.14256036690149035,315698.4076739131,4.131129216944545
802,2021-01-26 08:30:00,0.579,-15.15,43.1,2.928,620.428,152.2,0,152.2,0,-,0,,,,5,0.35,0.811,136.763,0.544,36.148,-4.470562382123687,-2.224178628387605,0.2897052890557322,117191.56015165671,127.79886603234101,186.40598797442243,5.819095565403973,3900.145216208343,0.0,0.4700698226907101,314623.3021342885,-249.95104139304237,28.66054424628358,-143.95644466004993,-71.43715800277458,-64.51993183958449,-64.22377963425271,1.0057966577512651,382.6997698787015,285.4033491451453,1.3570344716179845,9.48317470023071,0,0.0,0.0,0.000814562961650906,349.9949164601736,17.07405002560637,-249.95104139304237,0.14283887223479563,316020.08963644167,4.217456489179716
803,2021-01-26 08:45:00,0.554,-14.13,48.44,0.76,620.51,198.3,0,198.3,0,-,0,,,,5,0.35,0.991,142.908,0.56,36.148,-4.000492559432977,-2.2252299049841358,0.27958866359048606,117377.96613963113,128.0021440999249,129.10667792504572,1.5068949639800795,3905.964311773747,0.0,1.3152885935396155,314973.29705074866,-169.83192390862052,36.03758079349571,-139.7811442559575,-17.589926655580644,-16.707348030747426,-49.29329052042472,0.7948567298466407,382.6997698787015,285.4124657218115,1.3591929832980916,9.48317470023071,0,0.0,0.0,0.0007122483607594435,411.6064271109742,47.77439895132552,-169.83192390862052,0.14309917453961593,316370.08455290186,4.389395701373773
804,2021-01-26 09:00:00,0.527,-13.99,52.14,1.319,620.592,246.7,0,246.7,0,-,0,,,,5,0.35,1.079,144.958,0.567,36.148,-2.6852039658933613,-2.226059410526461,0.2684597371810468,117507.07281755617,128.14293655131533,104.94023373550479,2.9444074979390837,3907.471206737727,0.0,-0.43960492935711426,315384.9034778596,-140.275240188674,43.04886115566676,-143.2976001321907,-34.07430630091493,-32.644711321455006,-6.157772457121794,0.20557754588665647,382.6997698787015,285.4187882773599,1.3606879903807998,9.48317470023071,0,0.0,0.0,0.0004932946815563489,434.33535876655617,-15.967492897932967,-140.275240188674,0.1433267894205328,316781.6909800128,4.905027219856475
805,2021-01-26 09:15:00,0.496,-13.8,49.9,0.555,620.653,294.2,0,294.2,0,-,0,,,,5,0.35,1.049,144.782,0.564,36.148,-3.1248088952504753,-2.226273718488549,0.2554372632284973,117612.01305129167,128.25737519224828,98.77868629476887,1.190967832535125,3910.415614235666,0.0,0.5350112978780871,315819.2388366262,-129.98156500396885,48.84726784718554,-141.60407814410584,-13.540379110317836,-13.204048832653998,-24.086686055108995,0.4023104583782815,382.6997698787015,285.4239323818301,1.3619031590708865,9.48317470023071,0,0.0,0.0,0.0004009499221254183,442.250345872696,19.432878315708095,-129.98156500396885,0.1434844377956779,317216.02633877937,4.726851223844188
