,When,sea,T_a,RH,v_a,p_a,SW_global,SW_diffuse,SW_direct,Prec,cld,h_f,missing_type,a,vp_a,LW_in,e_a,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,thickness,fountain_runoff,fountain_froze,Qt,Qmelt,s_cone,input,vp_ice
21,2021-01-18 21:00:00,0.0,-6.733,23.02,2.755,620.373,-3.793,0.0,0.0,0,0,5.0,-,0.35,0.849,155.818,0.545,60.0,-14.383256504129237,-0.16939775970921583,0.027080778072379557,73635.87028149748,80.30084000163302,330.90065773184364,3.7891590742010774,35.97587887766367,0.0,-1.5120686322717616,14549.333839624844,-183.4846246651875,0.0,-85.71062848828282,48.146399122117934,-16.15363403002926,-141.6324510588358,11.865689789842428,0.0,185.57098915299207,1.3173796868937169,7.629397695927234,0,0.0,0,0.0022560268151364817,3265.3101831939553,334.6898168060447,-16.15363403002926,-167.33099063515826,0.17177142115132862,86570.51383962482,1.7554182785498422
22,2021-01-18 22:00:00,0.0,-7.543,24.43,2.837,620.431,-3.695,0.0,0.0,0,0,5.0,-,0.35,0.846,153.928,0.545,60.0,-15.895325136400999,-0.22073325058909818,0.02719892571702945,73966.77093922933,80.66169131867976,345.6066538869701,2.930289653475772,39.76503795186475,0.0,-1.1691832766494916,17814.6440228188,-186.72180389660326,0.0,-82.0045577515233,54.134426573264854,-12.490543327157582,-159.44623514914616,13.085105757958924,0.0,185.59518532699008,1.3232996523020057,7.629397695927234,0,0.0,0,0.0019445459589011375,3251.463056459554,348.53694354044586,-12.490543327157582,-174.23126056944568,0.1726715186962881,89835.82402281878,1.5266157783881953
23,2021-01-18 23:00:00,0.0,-8.16,26.39,3.159,620.368,-3.552,0.0,0.0,0,0,5.0,-,0.35,0.871,153.19,0.548,60.0,-17.06450841305049,-0.2770984896489497,0.027322274682742002,74312.3775931163,81.03857970895997,341.111178984271,2.38678735738105,42.69532760534052,0.0,-0.952196053873196,21066.107079278354,-181.86126741845518,0.0,-78.48259926414124,64.25727229815257,-10.172439432194473,-171.47758418429697,14.014083164024926,0.0,185.6205692714885,1.329482714765252,7.629397695927234,0,0.0,0,0.002030701333206437,3256.502033658348,343.49796634165205,-10.172439432194473,-171.68882798626072,0.17344746008042242,93087.28707927834,1.3688007026781626
24,2021-01-19 00:00:00,0.0,-8.5,26.39,3.043,620.195,-3.752,0.0,0.0,0,0,5.0,-,0.35,0.848,151.855,0.546,60.0,-18.016704466923684,-0.33719284826987805,0.02744396946543169,74653.48877210057,81.41056572748153,352.88803673303437,1.863766117016117,45.082114962721576,0.0,-0.7434387315274159,24322.6091129367,-185.23199521189554,0.0,-76.39108078028224,66.13481142086775,-7.9422566783890876,-181.79227635481018,14.758807180718243,0.0,185.64573563781127,1.335585351108767,7.629397695927234,0,0.0,0,0.0020040129172187123,3245.2481971499496,354.75180285005047,-7.9422566783890876,-177.28973853350644,0.17425788610743984,96343.78911293669,1.2514799744653728
25,2021-01-19 01:00:00,0.0,-9.09,27.25,3.478,619.932,-2.848,0.0,0.0,0,0,5.0,-,0.35,0.836,150.248,0.545,60.0,-18.7601431984511,-0.4002000509202917,0.027569813567244215,75006.3768088336,81.79539455707044,343.70150201039,1.7444518124569075,46.945881079737696,0.0,-0.6957473667265459,27567.857310086652,-180.04752044442623,0.0,-75.3493205070854,76.77500637798092,-7.432763367739275,-189.36727247818177,15.326829530599293,0.0,185.67188854988783,1.341898680869965,7.629397695927234,0,0.0,0,0.0020729203839063687,3254.554046177153,345.44595382284695,-7.432763367739275,-172.61475707668694,0.17505777052646454,99589.03731008664,1.1663701096709347
26,2021-01-19 02:00:00,0.005,-9.4,28.89,3.193,619.92,-3.146,0.0,0.0,0,0,5.0,-,0.35,0.865,150.297,0.548,60.0,-19.455890565177647,-0.46533354326130416,0.030153839885016524,75350.07831084398,82.17020535533695,360.7467689580785,1.0984382566594246,48.690332892194604,0.0,-0.4380345824544106,30822.411356263805,-185.46391552930942,0.0,-72.84242376711103,73.29400078463027,-4.679582782452361,-197.08917400529427,15.853264240917971,0.0,185.69747563208875,1.34804765928731,7.629397695927234,0,0.0,0,0.0020186728383807103,3238.154792785262,361.84520721473797,-4.679582782452361,-180.78433274685705,0.17588527094167664,102843.5913562638,1.0915626075360452
27,2021-01-19 03:00:00,0.193,-9.71,28.48,2.98,619.635,-4.086,0.0,0.0,0,0,5.0,-,0.35,0.833,148.79,0.545,60.0,-19.893925147632057,-0.5324061307680594,0.12172977811459888,75710.82507980206,82.5636042309728,376.66073187991526,0.9673234934603342,49.78877114885403,0.0,-0.3856926786159129,34060.56614904907,-192.76272704477418,0.0,-72.8122981616751,69.24377350462089,-4.12040713328109,-201.23673753810496,16.162942283666073,0.0,185.72445366725398,1.354501585393176,7.629397695927234,0,0.0,0,0.0021184933952213257,3222.3719446266246,377.6280553733756,-4.12040713328109,-188.6423199114931,0.1766912295064828,106081.74614904907,1.0467488982111564
28,2021-01-19 04:00:00,0.36,-10.32,30.85,1.475,619.481,-3.299,0.0,0.0,0,0,5.0,-,0.35,0.859,148.132,0.547,60.0,-20.27961782624797,-0.600472972942617,0.19956177662839053,76087.48581168198,82.97435748275025,454.23920430741276,0.33536354222236064,50.756094642314366,0.0,-0.1336962829237164,37282.93809367569,-228.47428583633064,0.0,-72.12343478088371,33.51012196756376,-1.428295501560811,-204.86077297092544,16.428095449475595,0.0,185.75275510128319,1.3612402196366804,7.629397695927234,0,0.0,0,0.0022116271910717815,3145.425432150365,454.5745678496351,-1.428295501560811,-227.04599033476984,0.1775371581581392,109304.11809367569,1.0086945767179505
29,2021-01-19 05:00:00,0.496,-10.63,29.47,2.408,619.589,-3.287,0.0,0.0,0,0,5.0,-,0.35,0.801,145.982,0.542,60.0,-20.413314109171687,-0.6693244589526898,0.25894146095794646,76541.72501598939,83.46971103161329,414.68837654411243,0.7126075830613791,51.09145818453673,0.0,-0.2840362109556661,40428.36352582606,-210.47607175983484,0.0,-73.80799494493533,53.74765273658313,-3.034397318434276,-203.8635599388308,16.482227705782467,0.0,185.78706664319827,1.3693667685381563,7.629397695927234,0,0.0,0,0.002666735944739775,3184.5990158728264,415.4009841271738,-3.034397318434276,-207.44167444140055,0.17842040405933288,112449.54352582605,0.9958031529670981
30,2021-01-19 06:00:00,0.587,-11.37,29.09,1.658,619.784,-3.151,0.0,0.0,0,0,5.0,-,0.35,0.745,142.92,0.537,60.0,-20.697350320127352,-0.7380055541962187,0.29606389238761854,76956.4133925335,83.92193390679772,464.2253940013689,0.5640798478921595,51.804065767598104,0.0,-0.22479685719056658,43612.962541698886,-234.46734036228838,0.0,-75.88362200760128,35.293643847957725,-2.401535277338204,-208.13783248336998,16.662005558063363,0.0,185.81856341330285,1.3767857348865098,7.629397695927234,0,0.0,0,0.0024340923367551777,3135.210526150739,464.78947384926107,-2.401535277338204,-232.06580508495017,0.17948556663511708,115634.14254169888,0.9689156574094803
