,When,sea,T_a,RH,v_a,p_a,SW_global,SW_diffuse,SW_direct,Prec,missing_type,cld,DroneV,dia,h_f,a,vp_a,LW_in,e_a,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,thickness,fountain_in,wind_loss,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice
2583,2021-02-13 21:45:00,0.0,-2.781,29.9,0.691,622.651,-3.37,0,0.0,0,-,0,,,5,0.35,1.488,178.686,0.59,36.148,-14.614597458448422,-14.591879757490458,0.0073707415819024655,42329.23983207029,46.160566883391816,33.68502960390765,0.09901150657287941,1380.8465228684195,0.0,-0.009430773583986835,851147.7372630092,-41.229616570661214,0.0,-61.98006667404553,18.747909689371344,-1.0303312828661562,1.9878260820138163,0.014714331999167263,110.42459599814414,304.09288460993355,0.4558819135503874,9.833204620465255,0,0.0,0.0,0.00012735615970066742,508.4359588895195,0.0,-0.30224827720923164,-41.229616570661214,0.04632258281549166,852526.7304818574,1.7185042075101074
2584,2021-02-13 22:00:00,0.0,-2.985,29.42,1.153,622.688,-3.49,0,0.0,0,-,0,,,5,0.35,1.442,177.369,0.587,36.148,-14.624028232032408,-14.593922745733197,0.007376594521901047,42362.9248616742,46.19730083061526,25.090867246467386,0.19711243001886045,1380.9455343749923,0.0,-0.03389569232910331,851656.1732218987,-30.861077935547467,0.0,-63.26195282926386,30.77016669101817,-2.051183374035652,1.6112087770643262,0.01949942563389932,110.42459599814414,304.0934038368847,0.45624469813652097,9.833204620465255,0,0.0,0.0,0.00012079844377343386,516.9320203235138,0.0,-1.0863281278092813,-30.861077935547467,0.046361479410444474,853035.166440747,1.7170142508121744
2585,2021-02-13 22:15:00,0.0,-3.011,29.73,1.06,622.636,-3.45,0,0.0,0,-,0,,,5,0.35,1.454,177.519,0.588,36.148,-14.657923924361512,-14.596628157651454,0.007380954164321769,42388.01572892066,46.22466273600945,28.252945042492886,0.16978374254724807,1381.1426468050113,0.0,0.006168112892394356,852173.1052422222,-34.68663543048518,0.0,-62.985779837968266,28.305097491332727,-1.7667944463503884,-0.04565455994461276,0.03970147609497126,110.42459599814414,304.09379085973995,0.4565149244060769,9.833204620465255,0,0.0,0.0,8.99786218607412e-05,513.7972712149599,0.0,0.19768277530528056,-34.68663543048518,0.046398373241106614,853552.0984610704,1.711667817375193
2586,2021-02-13 22:30:00,0.0,-3.063,30.12,0.669,622.584,-3.382,0,0.0,0,-,0,,,5,0.35,1.468,177.62,0.589,36.148,-14.651755811469117,-14.602133504553583,0.007385863210965133,42416.26867396315,46.25547292689548,36.38827847730176,0.10173793456991538,1381.3124305475585,0.0,0.016588722484805966,852686.9025134372,-44.53175804008431,0.0,-62.90773626671242,17.773551162751776,-1.0586983024580725,0.5702865273021906,0.03214053657413706,110.42459599814414,304.0942269308786,0.4568192059547298,9.833204620465255,0,0.0,0.0,0.00010131805321945741,505.72998358812833,0.0,0.5316544552239191,-44.53175804008431,0.04642585423839955,854065.8957322855,1.712639239203672
2587,2021-02-13 22:45:00,0.0,-3.333,29.29,0.835,622.533,-3.654,0,0.0,0,-,0,,,5,0.35,1.399,175.723,0.585,36.148,-14.63516708898431,-14.606587690400909,0.007392185768722871,42452.656952440455,46.29515480091653,33.71692247796118,0.16415537958983054,1381.4141684821284,0.0,-0.024720588207230134,853192.6324970253,-41.34778004891522,0.0,-64.86648418269462,21.633356176153008,-1.7082192716509728,1.8668369841845502,0.01851097344184749,110.42459599814414,304.0947889943052,0.4572111042758159,9.833204620465255,0,0.0,0.0,0.0001304920334119615,508.338922142449,0.0,-0.7922738395417497,-41.34778004891522,0.04645679852974681,854571.6257158736,1.715254825037523
2588,2021-02-13 23:00:00,0.0,-3.468,31.66,1.281,622.481,-3.249,0,0.0,0,-,0,,,5,0.35,1.497,177.089,0.59,36.148,-14.659887677191541,-14.60915103031387,0.007398044140142802,42486.37387491842,46.331923527719105,24.052420018216115,0.17069483928222293,1381.5783238617182,0.0,-0.004686557085257626,853700.9714191677,-29.561347272017134,0.0,-63.408471504695285,32.86184147321934,-1.7762665772885255,0.9524204611098701,0.03286229834893882,110.42459599814414,304.09531022450153,0.4575742323451898,9.833204620465255,0,0.0,0.0,0.00012091205812561116,517.9968851425017,0.0,-0.15020017100898442,-29.561347272017134,0.04649665311797235,855079.964638016,1.7113576725144737
2589,2021-02-13 23:15:00,0.0,-3.452,28.99,1.189,622.482,-3.363,0,0.0,0,-,0,,,5,0.35,1.372,174.944,0.583,36.148,-14.664574234276799,-14.61369841481724,0.007402223269753119,42510.42629493664,46.358152993387826,28.213109299587334,0.2502804876449276,1381.7490187010005,0.0,-0.03038808752561506,854218.9683043102,-34.73604139959156,0.0,-65.53603061356287,30.558167514898564,-2.6044391445539015,0.2088692581702618,0.03295244090248598,110.42459599814414,304.09568230341364,0.45783327463621426,9.833204620465255,0,0.0,0.0,8.625409464340534e-05,513.7566102127678,0.0,-0.9739123753215657,-34.73604139959156,0.04653358187959073,855597.9615231585,1.7106198227451281
2590,2021-02-13 23:30:00,0.0,-3.556,30.03,1.037,622.484,-3.299,0,0.0,0,-,0,,,5,0.35,1.41,175.37,0.585,36.148,-14.694962321802414,-14.618255929195216,0.007407125303311803,42538.63940423622,46.38891974289665,31.579301163141174,0.19070971189561242,1381.9992991886454,0.0,0.014784689568459871,854732.724914523,-38.771307158010785,0.0,-64.99696521144108,26.47677031664241,-1.9845379489439752,-0.3007952539940213,0.049682990781913475,110.42459599814414,304.09611901390167,0.45813712715768,9.833204620465255,0,0.0,0.0,0.00010117456872709423,510.4499891249632,0.0,0.4738367336830056,-38.771307158010785,0.04655992550824718,856111.7181333712,1.7058425724468185
2591,2021-02-13 23:45:00,0.0,-3.537,29.51,1.417,622.485,-3.157,0,0.0,0,-,0,,,5,0.35,1.388,175.016,0.584,36.148,-14.680177632233955,-14.625123235607521,0.007412612188342657,42570.21870539936,46.423357366847725,23.09366795937951,0.2820189098323913,1382.190008900541,0.0,-0.036514422401621706,855243.174903648,-28.52704336016841,0.0,-65.40596984111195,36.19271127053289,-2.9347028163529854,0.650556290897885,0.035658919512768415,110.42459599814414,304.09660817255565,0.45847723324746453,9.833204620465255,0,0.0,0.0,0.00011324585155099129,518.8443131307881,0.0,-1.1702562007129342,-28.52704336016841,0.046590826169139905,856622.1681224962,1.7081653268824941
2592,2021-02-14 00:00:00,0.0,-3.54,30.61,0.979,622.487,-2.762,0,0.0,0,-,0,,,5,0.35,1.439,175.92,0.587,36.148,-14.716692054635576,-14.630048778067671,0.007416624682821217,42593.31237335874,46.44854130137267,32.813340695649245,0.16032051265554412,1382.4720278103734,0.0,0.03458881419659624,855762.0192167788,-40.240099086072725,0.0,-64.36613952792499,25.080696147062007,-1.6683012727074318,-1.010774849452157,0.056119144242406466,110.42459599814414,304.0969661193149,0.458725949869402,9.833204620465255,0,0.0,0.0,8.281557192068415e-05,509.2463387916952,0.0,1.1085420945088424,-40.240099086072725,0.04662541368184931,857141.012435627,1.7024339888040494
2593,2021-02-14 00:15:00,0.0,-3.718,30.36,0.424,622.459,-2.747,0,0.0,0,-,0,,,5,0.35,1.408,174.933,0.585,36.148,-14.68210324043898,-14.63779665879063,0.007422325933294986,42626.12571405439,46.48432466090991,43.931010180365305,0.07903570347014019,1382.632348323029,0.0,0.018644524443472192,856271.2655555705,-53.70849272986476,0.0,-65.48180531660378,10.655235362008085,-0.8224471206676988,1.089379701450375,0.02869752328056277,110.42459599814414,304.0974750520108,0.4590793464483545,9.833204620465255,0,0.0,0.0,0.00011767088634222115,498.20995411616457,0.0,0.5975411605675068,-53.70849272986476,0.04665070722871803,857650.2587744187,1.7078624923894097
2594,2021-02-14 00:30:00,0.0,-4.146,31.33,0.257,622.432,-3.223,0,0.0,0,-,0,,,5,0.35,1.407,173.845,0.585,36.148,-14.663458715995509,-14.641755904143363,0.007429958811144937,42670.05672423475,46.53223197844575,47.28643457600676,0.04853446411767848,1382.7113840264992,0.0,0.0059442198901548055,856769.4755096866,-57.76599610593432,0.0,-66.6391818976239,6.195112182831872,-0.505049477578645,2.6640166239762375,0.014056984881473646,110.42459599814414,304.09815703127833,0.4595524792772142,9.833204620465255,0,0.0,0.0,0.00015753934664418468,494.88503095987556,0.0,0.19050719489255485,-57.76599610593432,0.046686646334288665,858148.4687285349,1.710795139645646
2595,2021-02-14 00:45:00,0.0,-4.519,31.86,1.016,622.405,-3.103,0,0.0,0,-,0,,,5,0.35,1.391,172.636,0.585,36.148,-14.657514496105353,-14.643693457460156,0.007438174626242315,42717.34315881076,46.583798428365064,33.45986484215942,0.2025685274623866,1382.7599184906169,0.0,-0.05195051385358703,857264.3605406465,-41.08039648927492,0.0,-67.87030359355958,23.607740945674035,-2.107922351766415,3.173214224980766,0.008951933629862468,110.42459599814414,304.0988918830318,0.4600617497097806,9.833204620465255,0,0.0,0.0,0.0001695717278352513,508.55756663037823,0.0,-1.6649698110706885,-41.08039648927492,0.04673476216703305,858643.3537594947,1.7117309861314256
