time,iceV
2020-01-09 05:00:00,28.04058491844122
2020-01-09 06:00:00,28.04058491844122
2020-01-09 07:00:00,28.04062649840928
2020-01-09 08:00:00,28.040622736091734
2020-01-09 09:00:00,28.040311148381605
2020-01-09 10:00:00,27.93540445933189
2020-01-09 11:00:00,27.93540445933189
2020-01-09 12:00:00,27.935388368849672
2020-01-09 13:00:00,27.935387804277415
2020-01-09 14:00:00,27.935387804277415
2020-01-09 15:00:00,27.935387804277415
2020-01-09 16:00:00,28.267815140252623
2020-01-09 17:00:00,28.26698179689583
2020-01-09 18:00:00,28.263395515993558
2020-01-09 19:00:00,28.54493850730321
2020-01-09 20:00:00,28.548916598176415
2020-01-09 21:00:00,28.533606288611114
2020-01-09 22:00:00,28.527395816722677
2020-01-09 23:00:00,28.816887948111184
