When,T_a,RH,v_a,SW_global,Prec,p_a,missing_type,cld
2021-01-22 21:00:00,-3.948,23.389,3.456,0.0,0,615.787,-,0
2021-01-22 22:00:00,-4.28,23.891,3.995,0.0,0,615.547,-,0
2021-01-22 23:00:00,-4.545,24.078,3.301,0.0,0,615.213,-,0
2021-01-23 00:00:00,-4.829,23.938,2.409,0.0,0,614.748,-,0
2021-01-23 01:00:00,-5.081,25.162,2.817,0.0,0,614.314,-,0
2021-01-23 02:00:00,-5.254,26.063,2.445,0.0,0,613.781,-,0
2021-01-23 03:00:00,-5.405,27.375,2.78,0.0,0,613.188,-,0
2021-01-23 04:00:00,-5.608,28.582,2.794,0.0,0,612.896,-,0
2021-01-23 05:00:00,-5.806,29.983,2.815,0.0,0,612.613,-,0
2021-01-23 06:00:00,-6.019,31.475,2.305,0.0,0,612.429,-,0
2021-01-23 07:00:00,-6.537,33.454,1.938,1.894,0,612.204,-,0
2021-01-23 08:00:00,-6.764,33.386,1.387,45.04,0,612.047,-,0
2021-01-23 09:00:00,-5.948,31.429,2.844,135.15,0,611.976,-,0
2021-01-23 10:00:00,-5.132,30.215,2.054,207.2,0,611.942,-,0
2021-01-23 11:00:00,-4.668,30.888,2.903,246.825,0,611.671,-,0
2021-01-23 12:00:00,-4.637,32.173,2.866,229.775,0,611.197,-,0
2021-01-23 13:00:00,-4.697,33.812,2.906,214.575,0,610.528,-,0
2021-01-23 14:00:00,-4.757,34.989,3.54,154.525,0,610.058,-,0
2021-01-23 15:00:00,-5.313,39.927,3.044,97.12,0,609.843,-,0
2021-01-23 16:00:00,-5.728,43.58,2.326,36.53,0,609.9,-,0
2021-01-23 17:00:00,-7.515,66.579,3.896,4.73,0,610.384,-,0
2021-01-23 18:00:00,-8.551,78.329,0.956,0.0,0,610.858,-,0
2021-01-23 19:00:00,-8.79,83.269,0.863,0.0,0,611.18,-,0
2021-01-23 20:00:00,-8.895,84.413,2.29,0.0,0,611.581,-,0
2021-01-23 21:00:00,-9.237,84.675,2.412,0.0,0,612.11,-,0
2021-01-23 22:00:00,-9.8,84.475,2.165,0.0,0,612.672,-,0
2021-01-23 23:00:00,-9.894,81.98,1.06,0.0,0,613.386,-,0
2021-01-24 00:00:00,-10.263,80.361,0.857,0.0,0,613.95,-,0
2021-01-24 01:00:00,-11.006,77.766,1.051,0.0,0,614.527,-,0
2021-01-24 02:00:00,-11.308,73.845,1.368,0.0,0,614.824,-,0
2021-01-24 03:00:00,-12.156,74.244,1.473,0.0,0,615.036,-,0
2021-01-24 04:00:00,-12.015,70.817,2.072,0.0,0,615.414,-,0
2021-01-24 05:00:00,-12.225,69.142,2.645,0.0,0,615.832,-,0
2021-01-24 06:00:00,-12.538,72.024,0.684,0.0,0,616.492,-,0
2021-01-24 07:00:00,-13.713,71.183,0.564,3.056,0,617.096,-,0
2021-01-24 08:00:00,-13.966,66.179,3.525,91.803,0,617.754,-,0
2021-01-24 09:00:00,-12.35,65.383,1.747,327.775,0,618.476,-,0
2021-01-24 10:00:00,-10.739,63.525,0.396,463.775,0,619.199,-,0
2021-01-24 11:00:00,-8.657,58.07,1.058,609.825,0,619.436,-,0
2021-01-24 12:00:00,-9.074,62.899,1.557,697.075,0,619.219,-,0
2021-01-24 13:00:00,-7.253,54.326,2.178,577.2,0,618.808,-,0
2021-01-24 14:00:00,-6.881,51.349,2.484,144.85,0,618.55,-,0
2021-01-24 15:00:00,-7.327,50.673,2.606,381.05,0,618.536,-,0
2021-01-24 16:00:00,-9.152,59.698,3.805,254.825,0,618.684,-,0
2021-01-24 17:00:00,-9.709,60.496,1.599,15.682,0,618.86,-,0
2021-01-24 18:00:00,-10.104,61.824,1.5,0.0,0,619.161,-,0
2021-01-24 19:00:00,-10.506,62.483,1.556,0.0,0,619.542,-,0
2021-01-24 20:00:00,-11.102,57.104,3.391,0.0,0,619.846,-,0
2021-01-24 21:00:00,-11.405,51.467,3.969,0.0,0,620.094,-,0
2021-01-24 22:00:00,-11.274,61.75,2.356,0.0,0,620.286,-,0
2021-01-24 23:00:00,-12.251,65.628,2.098,0.0,0,620.384,-,0
2021-01-25 00:00:00,-12.417,61.081,2.798,0.0,0,620.368,-,0
2021-01-25 01:00:00,-12.606,58.268,1.945,0.0,0,620.299,-,0
2021-01-25 02:00:00,-13.021,61.037,1.697,0.0,0,620.202,-,0
2021-01-25 03:00:00,-13.891,66.71,0.982,0.0,0,620.0,-,0
2021-01-25 04:00:00,-14.979,64.194,1.689,0.0,0,619.828,-,0
2021-01-25 05:00:00,-14.988,60.533,2.081,0.0,0,619.926,-,0
2021-01-25 06:00:00,-15.197,58.774,2.62,0.0,0,620.276,-,0
2021-01-25 07:00:00,-15.689,61.11,2.448,5.365,0,620.606,-,0
2021-01-25 08:00:00,-15.738,64.867,1.179,112.102,0,620.927,-,0
2021-01-25 09:00:00,-14.745,67.971,0.732,298.125,0,621.31,-,0
2021-01-25 10:00:00,-12.146,65.192,1.851,488.525,0,621.582,-,0
2021-01-25 11:00:00,-10.997,65.038,2.526,629.475,0,621.432,-,0
2021-01-25 12:00:00,-10.43,62.891,2.791,698.825,0,620.892,-,0
2021-01-25 13:00:00,-9.056,57.533,3.023,662.8,0,620.265,-,0
2021-01-25 14:00:00,-8.248,52.953,3.194,499.55,0,619.846,-,0
2021-01-25 15:00:00,-7.755,49.486,2.846,460.875,0,619.566,-,0
2021-01-25 16:00:00,-8.047,47.223,2.558,272.925,0,619.445,-,0
2021-01-25 17:00:00,-9.702,49.1,2.029,30.191,0,619.437,-,0
2021-01-25 18:00:00,-10.695,48.263,4.602,0.0,0,619.683,-,0
2021-01-25 19:00:00,-11.267,46.834,2.691,0.0,0,619.993,-,0
2021-01-25 20:00:00,-11.795,43.758,3.386,0.0,0,620.201,-,0
2021-01-25 21:00:00,-12.168,44.676,3.686,0.0,0,620.354,-,0
2021-01-25 22:00:00,-12.583,43.966,3.576,0.0,0,620.454,-,0
2021-01-25 23:00:00,-12.811,45.217,3.678,0.0,0,620.368,-,0
2021-01-26 00:00:00,-13.153,46.155,3.314,0.0,0,620.19,-,0
2021-01-26 01:00:00,-13.453,46.954,3.174,0.0,0,620.057,-,0
2021-01-26 02:00:00,-13.862,48.578,3.079,0.0,0,620.027,-,0
2021-01-26 03:00:00,-14.477,51.158,2.911,0.0,0,619.842,-,0
2021-01-26 04:00:00,-14.853,51.233,2.866,0.0,0,619.786,-,0
2021-01-26 05:00:00,-15.362,53.458,3.113,0.0,0,619.808,-,0
2021-01-26 06:00:00,-15.795,53.989,3.252,0.0,0,619.935,-,0
2021-01-26 07:00:00,-16.054,53.175,3.432,3.496,0,620.14,-,0
2021-01-26 08:00:00,-15.806,54.249,2.913,126.608,0,620.387,-,0
2021-01-26 09:00:00,-14.646,55.235,1.293,317.375,0,620.684,-,0
2021-01-26 10:00:00,-11.836,53.439,1.72,496.5,0,620.834,-,0
2021-01-26 11:00:00,-10.661,53.232,1.736,630.0,0,620.639,-,0
2021-01-26 12:00:00,-9.835,50.503,2.077,696.5,0,620.047,-,0
2021-01-26 13:00:00,-8.536,46.298,2.233,689.725,0,619.365,-,0
2021-01-26 14:00:00,-7.42,41.624,2.38,613.625,0,618.894,-,0
2021-01-26 15:00:00,-6.879,36.694,2.015,473.575,0,618.635,-,0
2021-01-26 16:00:00,-6.844,33.263,2.46,277.775,0,618.484,-,0
2021-01-26 17:00:00,-8.408,36.802,1.478,34.315,0,618.45,-,0
2021-01-26 18:00:00,-9.564,38.377,0.784,0.0,0,618.594,-,0
2021-01-26 19:00:00,-10.409,37.966,2.652,0.0,0,618.896,-,0
2021-01-26 20:00:00,-10.612,34.662,3.188,0.0,0,619.084,-,0
2021-01-26 21:00:00,-11.216,34.239,3.381,0.0,0,619.202,-,0
2021-01-26 22:00:00,-11.644,35.194,4.101,0.0,0,619.302,-,0
2021-01-26 23:00:00,-12.052,36.755,4.075,0.0,0,619.428,-,0
2021-01-27 00:00:00,-12.115,39.297,3.696,0.0,0,619.449,-,0
2021-01-27 01:00:00,-12.291,40.805,3.334,0.0,0,619.431,-,0
2021-01-27 02:00:00,-12.706,40.914,3.32,0.0,0,619.454,-,0
2021-01-27 03:00:00,-12.777,37.772,3.019,0.0,0,619.345,-,0
2021-01-27 04:00:00,-13.337,38.35,2.641,0.0,0,619.225,-,0
2021-01-27 05:00:00,-14.59,43.742,1.251,0.0,0,619.286,-,0
2021-01-27 06:00:00,-14.654,43.339,2.413,0.0,0,619.626,-,0
2021-01-27 07:00:00,-15.1,47.281,1.694,3.157,0,620.021,-,0
