,When,sea,T_a,RH,v_a,p_a,SW_global,SW_diffuse,SW_direct,Prec,missing_type,cld,DroneV,dia,h_s,a,vp_a,LW_in,e_a,Discharge,T_s,T_bulk,f_cone,TotalE,SW,LW,Qs,Ql,Qf,Qg,ppt,dpt,cdt
35,2021-01-18 09:00:00,0.494,-8.87,40.94,0.425,621.696,198.6,0,198.6,0,-,0,,,,0.35,1.279,160.151,0.579,60,0,0,1,-19.263,129.09,-139.723,-8.63,0,0,0,0,0,0
36,2021-01-18 09:15:00,0.464,-7.936,37.86,0.999,621.81,217.1,0,217.1,0,-,0,,,,0.35,1.272,162.226,0.578,60,0,0,1,-14.686,141.115,-137.649,-18.153,0,0,0,0,0,0
37,2021-01-18 09:30:00,0.431,-7.632,37.46,1.52,621.924,191.6,0,191.6,0,-,0,,,,0.35,1.289,163.248,0.579,60,0,0,1,-38.653,124.54,-136.627,-26.566,0,0,0,0,0,0
38,2021-01-18 09:45:00,0.396,-7.87,38.18,1.436,622.038,215.8,0,215.8,0,-,0,,,,0.35,1.289,162.697,0.579,60,0,0,1,-22.794,140.27,-137.178,-25.886,0,0,0,0,0,0
39,2021-01-18 10:00:00,0.359,-8.01,38.35,2.153,622.152,258.3,0,258.3,0,-,0,,,,0.35,1.281,162.216,0.579,60,0,0,1,-9.272,167.895,-137.659,-39.508,0,0,0,0,0,0
40,2021-01-18 10:15:00,0.32,-7.681,36.61,1.213,622.07,348.1,0,348.1,0,-,0,,,,0.35,1.255,162.509,0.577,0,0,0,1,67.558,226.265,-137.365,-21.342,0,0,0,0,0,0
41,2021-01-18 10:30:00,0.279,-7.14,35.95,1.156,621.988,345.4,0,345.4,0,-,0,,,,0.35,1.285,164.347,0.579,0,0,0,1,70.079,224.51,-135.527,-18.904,0,0,0,0,0,0
42,2021-01-18 10:45:00,0.236,-6.887,35.02,1.307,621.906,408.1,0,408.1,0,-,0,,,,0.35,1.276,164.794,0.578,0,0,0,1,109.571,265.265,-135.08,-20.613,0,0,0,0,0,0
43,2021-01-18 11:00:00,0.192,-6.634,34.85,1.615,621.824,394.3,0,394.3,0,-,0,,,,0.35,1.295,165.745,0.579,0,0,0,1,97.634,256.295,-134.129,-24.532,0,0,0,0,0,0
44,2021-01-18 11:15:00,0.147,-6.391,33.57,1.457,621.613,534.2,0,534.2,0,-,0,,,,0.35,1.271,165.885,0.578,0,0,0,1,191.926,347.23,-133.99,-21.314,0,0,0,0,0,0
45,2021-01-18 11:30:00,0.1,-6.161,33.34,1.839,621.401,576.0,0,576.0,0,-,0,,,,0.35,1.285,166.694,0.579,0,0,0,1,215.294,374.4,-133.181,-25.925,0,0,0,0,0,0
46,2021-01-18 11:45:00,0.053,-5.884,32.29,1.792,621.189,671.4,0,671.4,0,-,0,,,,0.35,1.271,167.104,0.578,0,0,0,1,279.521,436.41,-132.77,-24.118,0,0,0,0,0,0
47,2021-01-18 12:00:00,0.004,-6.094,34.56,2.039,620.977,627.6,0,627.6,0,-,0,,,,0.35,1.339,167.837,0.582,0,0,0,1,247.49,407.94,-132.038,-28.412,0,0,0,0,0,0
48,2021-01-18 12:15:00,0.0,-5.784,31.89,1.629,620.804,574.7,0,574.7,0,-,0,,,,0.35,1.265,167.23,0.577,0,0,0,1,219.372,373.555,-132.644,-21.539,0,0,0,0,0,0
49,2021-01-18 12:30:00,0.0,-5.349,32.4,1.905,620.631,542.1,0,542.1,0,-,0,,,,0.35,1.329,169.466,0.581,0,0,0,1,198.669,352.365,-130.409,-23.287,0,0,0,0,0,0
50,2021-01-18 12:45:00,0.0,-5.005,29.66,2.123,620.458,776.2,0,776.2,0,-,0,,,,0.35,1.249,168.801,0.576,0,0,0,1,349.18,504.53,-131.074,-24.276,0,0,0,0,0,0
51,2021-01-18 13:00:00,0.0,-4.935,31.64,2.156,620.286,742.8,0,742.8,0,-,0,,,,0.35,1.339,170.667,0.582,0,0,0,1,329.311,482.82,-129.207,-24.302,0,0,0,0,0,0
52,2021-01-18 13:15:00,0.0,-4.953,31.3,1.912,620.143,633.5,0,633.5,0,-,0,,,,0.35,1.323,170.327,0.581,0,0,0,1,260.602,411.775,-129.548,-21.625,0,0,0,0,0,0
53,2021-01-18 13:30:00,0.0,-4.272,29.0,1.687,620.001,750.0,0,750.0,0,-,0,,,,0.35,1.29,171.393,0.578,0,0,0,1,342.565,487.5,-128.481,-16.453,0,0,0,0,0,0
54,2021-01-18 13:45:00,0.0,-4.191,29.25,2.211,619.858,661.3,0,661.3,0,-,0,,,,0.35,1.31,171.953,0.58,0,0,0,1,280.773,429.845,-127.922,-21.15,0,0,0,0,0,0
55,2021-01-18 14:00:00,0.0,-3.999,28.67,1.974,619.716,626.5,0,626.5,0,-,0,,,,0.35,1.302,172.29,0.579,0,0,0,1,261.627,407.225,-127.585,-18.014,0,0,0,0,0,0
56,2021-01-18 14:15:00,0.0,-3.505,28.55,2.634,619.644,607.5,0,607.5,0,-,0,,,,0.35,1.346,174.331,0.582,0,0,0,1,248.266,394.875,-125.544,-21.065,0,0,0,0,0,0
57,2021-01-18 14:30:00,0.0,-3.718,29.17,3.028,619.573,534.7,0,534.7,0,-,0,,,,0.35,1.353,173.937,0.582,0,0,0,1,195.933,347.555,-125.938,-25.684,0,0,0,0,0,0
58,2021-01-18 14:45:00,0.0,-3.928,28.16,2.813,619.502,546.9,0,546.9,0,-,0,,,,0.35,1.286,172.155,0.578,0,0,0,1,202.56,355.485,-127.719,-25.206,0,0,0,0,0,0
59,2021-01-18 15:00:00,0.0,-3.287,25.75,2.939,619.431,424.1,0,424.1,0,-,0,,,,0.35,1.234,172.718,0.574,0,0,0,1,126.474,275.665,-127.157,-22.035,0,0,0,0,0,0
60,2021-01-18 15:15:00,0.0,-2.532,23.76,1.596,619.345,462.5,0,462.5,0,-,0,,,,0.35,1.204,173.989,0.572,0,0,0,1,165.523,300.625,-125.886,-9.216,0,0,0,0,0,0
61,2021-01-18 15:30:00,0.0,-2.924,25.01,2.145,619.259,483.4,0,483.4,0,-,0,,,,0.35,1.231,173.565,0.574,0,0,0,1,173.599,314.21,-126.309,-14.302,0,0,0,0,0,0
62,2021-01-18 15:45:00,0.0,-3.19,25.4,1.555,619.173,334.3,0,334.3,0,-,0,,,,0.35,1.226,172.799,0.574,0,0,0,1,78.909,217.295,-127.076,-11.31,0,0,0,0,0,0
63,2021-01-18 16:00:00,0.0,-3.293,24.32,2.705,619.086,284.0,0,284.0,0,-,0,0.0,11.71,,0.35,1.165,171.288,0.57,0,0,0,1,35.708,184.6,-128.586,-20.306,0,0,0,0,0,0
64,2021-01-18 16:15:00,0.0,-2.623,21.94,1.792,619.106,247.0,0,247.0,0,-,0,,,,0.35,1.105,171.63,0.565,0,0,0,1,21.59,160.55,-128.244,-10.716,0,0,0,0,0,0
65,2021-01-18 16:30:00,0.0,-3.002,20.7,3.457,619.126,193.6,0,193.6,0,-,0,,,,0.35,1.013,168.61,0.558,60,0,0,1,-29.084,125.84,-131.265,-23.659,0,0,0,0,0,0
66,2021-01-18 16:45:00,0.0,-3.276,21.42,1.105,619.145,101.0,0,101.0,0,-,0,,,,0.35,1.027,168.28,0.559,60,0,0,1,-74.197,65.65,-131.594,-8.253,0,0,0,0,0,0
67,2021-01-18 17:00:00,0.0,-3.41,19.08,2.14,619.165,46.59,0,46.59,0,-,0,,,,0.35,0.906,164.969,0.55,60,0,0,1,-121.26,30.284,-134.906,-16.637,0,0,0,0,0,0
68,2021-01-18 17:15:00,0.0,-3.498,18.26,1.689,619.241,21.66,0,21.66,0,-,0,,,,0.35,0.861,163.577,0.546,60,0,0,1,-135.691,14.079,-136.298,-13.472,0,0,0,0,0,0
69,2021-01-18 17:30:00,0.0,-3.631,18.63,1.703,619.318,7.678,0,7.678,0,-,0,,,,0.35,0.87,163.501,0.546,60,0,0,1,-145.485,4.991,-136.374,-14.102,0,0,0,0,0,0
70,2021-01-18 17:45:00,0.0,-3.778,19.25,1.892,619.394,0.27,0,0.27,0,-,0,,,,0.35,0.889,163.664,0.548,60,0,0,1,-152.338,0.176,-136.211,-16.303,0,0,0,0,0,0
71,2021-01-18 18:00:00,0.0,-3.919,19.13,2.859,619.47,-3.18,0,0.0,0,-,0,,,,0.35,0.874,162.941,0.547,60,0,0,1,-162.492,0.0,-136.934,-25.558,0,0,0,0,0,0
72,2021-01-18 18:15:00,0.0,-4.044,19.43,2.03,619.597,-4.084,0,0.0,0,-,0,,,,0.35,0.88,162.792,0.547,60,0,0,1,-155.812,0.0,-137.082,-18.73,0,0,0,0,0,0
73,2021-01-18 18:30:00,0.0,-4.285,21.59,1.13,619.725,-4.047,0,0.0,0,-,0,,,,0.35,0.96,164.265,0.554,60,0,0,1,-146.659,0.0,-135.61,-11.049,0,0,0,0,0,0
74,2021-01-18 18:45:00,0.0,-5.062,24.46,1.755,619.852,-3.955,0,0.0,0,-,0,,,,0.35,1.025,163.98,0.56,60,0,0,1,-156.172,0.0,-135.895,-20.277,0,0,0,0,0,0
75,2021-01-18 19:00:00,0.0,-5.772,24.82,0.666,619.979,-3.852,0,0.0,0,-,0,,,,0.35,0.985,161.397,0.557,60,0,0,1,-147.253,0.0,-138.477,-8.776,0,0,0,0,0,0
76,2021-01-18 19:15:00,0.0,-6.0,25.69,0.368,620.018,-4.213,0,0.0,0,-,0,,,,0.35,1.002,161.259,0.558,60,0,0,1,-143.657,0.0,-138.616,-5.041,0,0,0,0,0,0
77,2021-01-18 19:30:00,0.0,-6.322,25.8,0.573,620.056,-3.776,0,0.0,0,-,0,,,,0.35,0.982,160.042,0.557,60,0,0,1,-148.103,0.0,-139.832,-8.271,0,0,0,0,0,0
78,2021-01-18 19:45:00,0.0,-6.192,23.73,0.941,620.094,-3.805,0,0.0,0,-,0,,,,0.35,0.912,158.665,0.551,60,0,0,1,-154.514,0.0,-141.209,-13.304,0,0,0,0,0,0
79,2021-01-18 20:00:00,0.0,-6.195,25.81,0.864,620.133,-3.928,0,0.0,0,-,0,,,,0.35,0.992,160.569,0.558,60,0,0,1,-151.528,0.0,-139.306,-12.222,0,0,0,0,0,0
80,2021-01-18 20:15:00,0.0,-6.375,23.33,1.397,620.193,-3.801,0,0.0,0,-,0,,,,0.35,0.884,157.546,0.549,60,0,0,1,-162.667,0.0,-142.329,-20.338,0,0,0,0,0,0
81,2021-01-18 20:30:00,0.0,-6.376,23.8,1.684,620.253,-3.82,0,0.0,0,-,0,,,,0.35,0.902,157.991,0.55,60,0,0,1,-166.406,0.0,-141.883,-24.523,0,0,0,0,0,0
82,2021-01-18 20:45:00,0.0,-6.686,23.22,2.702,620.313,-3.546,0,0.0,0,-,0,,,,0.35,0.86,156.198,0.546,60,0,0,1,-184.941,0.0,-143.677,-41.264,0,0,0,0,0,0
83,2021-01-18 21:00:00,0.0,-6.733,23.02,2.755,620.373,-3.793,0,0.0,0,-,0,,,,0.35,0.849,155.818,0.545,60,0,0,1,-186.43,0.0,-144.057,-42.374,0,0,0,0,0,0
84,2021-01-18 21:15:00,0.0,-6.825,23.61,2.397,620.387,-3.651,0,0.0,0,-,0,,,,0.35,0.865,156.016,0.547,60,0,0,1,-181.231,0.0,-143.859,-37.372,0,0,0,0,0,0
85,2021-01-18 21:30:00,0.0,-7.121,24.1,2.698,620.402,-3.582,0,0.0,0,-,0,,,,0.35,0.863,155.296,0.547,60,0,0,1,-188.468,0.0,-144.578,-43.89,0,0,0,0,0,0
86,2021-01-18 21:45:00,0.0,-7.247,24.02,2.883,620.416,-3.708,0,0.0,0,-,0,,,,0.35,0.851,154.724,0.546,60,0,0,1,-192.882,0.0,-145.151,-47.731,0,0,0,0,0,0
87,2021-01-18 22:00:00,0.0,-7.543,24.43,2.837,620.431,-3.695,0,0.0,0,-,0,,,,0.35,0.846,153.928,0.545,60,0,0,1,-194.836,0.0,-145.947,-48.889,0,0,0,0,0,0
88,2021-01-18 22:15:00,0.0,-7.518,25.54,3.415,620.415,-3.448,0,0.0,0,-,0,,,,0.35,0.886,155.007,0.549,60,0,0,1,-203.52,0.0,-144.867,-58.653,0,0,0,0,0,0
89,2021-01-18 22:30:00,0.0,-7.83,26.75,3.677,620.4,-3.698,0,0.0,0,-,0,,,,0.35,0.906,154.793,0.551,60,0,0,1,-210.854,0.0,-145.082,-65.772,0,0,0,0,0,0
90,2021-01-18 22:45:00,0.0,-8.09,27.08,3.617,620.384,-3.305,0,0.0,0,-,0,,,,0.35,0.899,154.032,0.55,60,0,0,1,-212.687,0.0,-145.842,-66.845,0,0,0,0,0,0
91,2021-01-18 23:00:00,0.0,-8.16,26.39,3.159,620.368,-3.552,0,0.0,0,-,0,,,,0.35,0.871,153.19,0.548,60,0,0,1,-205.57,0.0,-146.685,-58.885,0,0,0,0,0,0
92,2021-01-18 23:15:00,0.0,-8.42,26.33,3.123,620.325,-3.356,0,0.0,0,-,0,,,,0.35,0.852,152.119,0.546,60,0,0,1,-207.82,0.0,-147.755,-60.064,0,0,0,0,0,0
93,2021-01-18 23:30:00,0.0,-8.31,25.74,3.364,620.282,-3.543,0,0.0,0,-,0,,,,0.35,0.84,152.057,0.545,60,0,0,1,-211.667,0.0,-147.817,-63.85,0,0,0,0,0,0
94,2021-01-18 23:45:00,0.0,-8.46,26.3,3.643,620.238,-3.158,0,0.0,0,-,0,,,,0.35,0.848,151.938,0.546,60,0,0,1,-218.325,0.0,-147.937,-70.388,0,0,0,0,0,0
95,2021-01-19 00:00:00,0.0,-8.5,26.39,3.043,620.195,-3.752,0,0.0,0,-,0,,,,0.35,0.848,151.855,0.546,60,0,0,1,-207.089,0.0,-148.019,-59.069,0,0,0,0,0,0
96,2021-01-19 00:15:00,0.0,-8.53,26.74,3.432,620.129,-3.486,0,0.0,0,-,0,,,,0.35,0.858,152.024,0.547,60,0,0,1,-214.699,0.0,-147.851,-66.849,0,0,0,0,0,0
97,2021-01-19 00:30:00,0.0,-8.9,27.45,3.536,620.063,-3.335,0,0.0,0,-,0,,,,0.35,0.855,151.145,0.547,60,0,0,1,-220.584,0.0,-148.73,-71.854,0,0,0,0,0,0
98,2021-01-19 00:45:00,0.0,-9.03,27.36,3.513,619.997,-3.009,0,0.0,0,-,0,,,,0.35,0.844,150.568,0.546,60,0,0,1,-221.729,0.0,-149.307,-72.422,0,0,0,0,0,0
99,2021-01-19 01:00:00,0.0,-9.09,27.25,3.478,619.932,-2.848,0,0.0,0,-,0,,,,0.35,0.836,150.248,0.545,60,0,0,1,-221.796,0.0,-149.627,-72.169,0,0,0,0,0,0
100,2021-01-19 01:15:00,0.0,-8.94,27.67,3.443,619.929,-3.181,0,0.0,0,-,0,,,,0.35,0.859,151.161,0.547,60,0,0,1,-218.977,0.0,-148.713,-70.264,0,0,0,0,0,0
101,2021-01-19 01:30:00,0.0,-9.05,28.61,3.422,619.926,-3.286,0,0.0,0,-,0,,,,0.35,0.881,151.453,0.549,60,0,0,1,-219.115,0.0,-148.421,-70.694,0,0,0,0,0,0
102,2021-01-19 01:45:00,0.0,-9.37,29.99,3.455,619.923,-2.907,0,0.0,0,-,0,,,,0.35,0.901,151.219,0.551,60,0,0,1,-222.554,0.0,-148.655,-73.899,0,0,0,0,0,0
103,2021-01-19 02:00:00,0.005,-9.4,28.89,3.193,619.92,-3.146,0,0.0,0,-,0,,,,0.35,0.865,150.297,0.548,60,0,0,1,-218.091,0.0,-149.577,-68.513,0,0,0,0,0,0
104,2021-01-19 02:15:00,0.053,-9.43,27.71,2.959,619.849,-3.6,0,0.0,0,-,0,,,,0.35,0.828,149.288,0.544,60,0,0,1,-214.274,0.0,-150.586,-63.688,0,0,0,0,0,0
105,2021-01-19 02:30:00,0.101,-9.58,28.79,3.21,619.778,-4.209,0,0.0,0,-,0,,,,0.35,0.85,149.524,0.546,60,0,0,1,-220.532,0.0,-150.351,-70.181,0,0,0,0,0,0
106,2021-01-19 02:45:00,0.148,-9.69,29.53,3.087,619.706,-4.218,0,0.0,0,-,0,,,,0.35,0.865,149.639,0.548,60,0,0,1,-218.494,0.0,-150.235,-68.259,0,0,0,0,0,0
107,2021-01-19 03:00:00,0.193,-9.71,28.48,2.98,619.635,-4.086,0,0.0,0,-,0,,,,0.35,0.833,148.79,0.545,60,0,0,1,-217.106,0.0,-151.084,-66.021,0,0,0,0,0,0
108,2021-01-19 03:15:00,0.237,-9.7,28.2,2.996,619.596,-3.655,0,0.0,0,-,0,,,,0.35,0.825,148.619,0.544,60,0,0,1,-217.559,0.0,-151.256,-66.303,0,0,0,0,0,0
109,2021-01-19 03:30:00,0.28,-10.08,30.23,2.992,619.558,-3.554,0,0.0,0,-,0,,,,0.35,0.858,148.628,0.547,60,0,0,1,-220.051,0.0,-151.247,-68.805,0,0,0,0,0,0
110,2021-01-19 03:45:00,0.321,-10.13,29.63,1.901,619.519,-3.402,0,0.0,0,-,0,,,,0.35,0.838,148.01,0.545,60,0,0,1,-195.794,0.0,-151.864,-43.93,0,0,0,0,0,0
111,2021-01-19 04:00:00,0.36,-10.32,30.85,1.475,619.481,-3.299,0,0.0,0,-,0,,,,0.35,0.859,148.132,0.547,60,0,0,1,-186.465,0.0,-151.743,-34.723,0,0,0,0,0,0
112,2021-01-19 04:15:00,0.398,-10.35,30.13,1.939,619.508,-3.358,0,0.0,0,-,0,,,,0.35,0.837,147.518,0.545,60,0,0,1,-198.137,0.0,-152.357,-45.78,0,0,0,0,0,0
113,2021-01-19 04:30:00,0.433,-10.41,29.56,2.199,619.535,-3.429,0,0.0,0,-,0,,,,0.35,0.817,146.886,0.544,60,0,0,1,-205.211,0.0,-152.989,-52.222,0,0,0,0,0,0
114,2021-01-19 04:45:00,0.466,-10.46,29.77,2.729,619.562,-3.251,0,0.0,0,-,0,,,,0.35,0.82,146.843,0.544,60,0,0,1,-218.154,0.0,-153.031,-65.123,0,0,0,0,0,0
115,2021-01-19 05:00:00,0.496,-10.63,29.47,2.408,619.589,-3.287,0,0.0,0,-,0,,,,0.35,0.801,145.982,0.542,60,0,0,1,-212.291,0.0,-153.892,-58.399,0,0,0,0,0,0
116,2021-01-19 05:15:00,0.524,-10.7,28.51,2.648,619.638,-3.11,0,0.0,0,-,0,,,,0.35,0.77,145.028,0.539,60,0,0,1,-219.494,0.0,-154.846,-64.648,0,0,0,0,0,0
117,2021-01-19 05:30:00,0.548,-10.8,28.38,2.163,619.687,-2.922,0,0.0,0,-,0,,,,0.35,0.761,144.556,0.538,60,0,0,1,-208.624,0.0,-155.319,-53.305,0,0,0,0,0,0
118,2021-01-19 05:45:00,0.57,-10.93,28.79,2.006,619.735,-2.89,0,0.0,0,-,0,,,,0.35,0.764,144.361,0.538,60,0,0,1,-205.548,0.0,-155.514,-50.035,0,0,0,0,0,0
119,2021-01-19 06:00:00,0.587,-11.37,29.09,1.658,619.784,-3.151,0,0.0,0,-,0,,,,0.35,0.745,142.92,0.537,60,0,0,1,-199.978,0.0,-156.955,-43.023,0,0,0,0,0,0
120,2021-01-19 06:15:00,0.601,-11.18,28.54,2.743,619.929,-3.253,0,0.0,0,-,0,,,,0.35,0.742,143.242,0.536,60,0,0,1,-226.637,0.0,-156.633,-70.004,0,0,0,0,0,0
121,2021-01-19 06:30:00,0.611,-11.28,29.82,2.829,620.075,-3.008,0,0.0,0,-,0,,,,0.35,0.769,143.765,0.539,60,0,0,1,-228.971,0.0,-156.109,-72.862,0,0,0,0,0,0
122,2021-01-19 06:45:00,0.618,-11.25,28.73,2.654,620.22,-2.795,0,0.0,0,-,0,,,,0.35,0.743,143.115,0.536,60,0,0,1,-224.948,0.0,-156.76,-68.189,0,0,0,0,0,0
123,2021-01-19 07:00:00,0.62,-11.27,29.79,2.481,620.365,-2.815,0,0.0,0,-,0,,,,0.35,0.769,143.782,0.539,60,0,0,1,-219.964,0.0,-156.092,-63.872,0,0,0,0,0,0
