,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing_type,LW_in,DroneV,h_s,h_f,a,vp_a,cld,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,thickness,fountain_in,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice
267,2019-02-02 11:45:00,0.462,0.9,89.6,0.33,139.068,193.421,0.0,884.4,v_aSW_directSW_diffuseLW_in,252.573,,,1.35,0.812,5.841,0,3.58,-0.10339554593031797,-0.5024420287516311,0.22968014181172672,366.5648957425636,0.39974361585884793,0.0,0.0022914629308625725,2.806481655815423,0.0022914629308625725,-0.014411092098687388,14072.714809063364,0.0,42.36808569675695,-46.847750203663196,1.0783212563259696,-0.5234450193125999,0.0,-0.8593401303409804,4.482934413939073,12.228256169639026,0.09819201020333267,1.9716888647886006,0.0,0.0,0.0,-2.6856239303411443e-07,53.7,-0.5234450193125999,0.0,0.04980096604332173,14232.277448283192,6.08620942017601
268,2019-02-02 12:00:00,0.461,1.0,88.7,0.366,169.88,196.117,0.0,884.5,v_aSW_directSW_diffuseLW_in,246.876,,,1.35,0.811,5.824,0,3.58,-0.11780663802900536,-0.4901386943455645,0.22923652822988067,366.5626042796327,0.3997411169897848,0.0,0.0026427354577109982,2.8087731187462857,0.0026427354577109982,-0.016620326812898805,14126.414809063364,0.0,44.4262835675658,-52.48154284873695,1.332474573817582,-0.6036896600190312,0.0,-0.8018127167909821,4.485225876869936,12.228205208903757,0.09819180559761533,1.9716847563197575,0.0,0.0,0.0,-2.0435203748055163e-07,53.7,-0.6036896600190312,0.0,0.04980096604332173,14285.977448283193,6.078983847774104
269,2019-02-02 12:15:00,0.456,0.4,93.4,0.381,180.813,190.3,0.0,884.5,v_aSW_directSW_diffuseLW_in,247.112,,,1.35,0.811,5.872,0,3.58,-0.13442696484190417,-0.4786589668274435,0.2270150306532985,366.559961544175,0.39973823505362593,0.0,0.0021433295308433626,2.8114158542039966,0.0021433295308433626,-0.01347959682563932,14180.114809063365,0.0,43.724633791390296,-52.172658170207825,0.663169431174783,-0.48961090335169694,0.0,-0.7413013608062847,4.487868612327647,12.2281464359503,0.09819156962556318,1.9716800180170517,0.0,0.0,0.0,-2.3567940753899342e-07,53.7,-0.48961090335169694,0.0,0.04980096604332173,14339.677448283193,6.07065802959468
270,2019-02-02 12:30:00,0.448,0.6,92.4,0.396,191.746,184.483,0.0,884.8,v_aSW_directSW_diffuseLW_in,247.348,,,1.35,0.811,5.894,0,3.58,-0.14790656166754348,-0.46804556808285636,0.22344885293045585,366.55781821464416,0.3997358977258933,0.0,0.001905431731247033,2.81355918373484,0.001905431731247033,-0.011983482365802843,14233.814809063366,0.0,42.96507208950659,-51.87755622639264,0.9649414603381763,-0.43526848037916627,0.0,-0.6894185964203768,4.490011941858491,12.228098769400662,0.09819137824504964,1.9716761751093987,0.0,0.0,0.0,-1.9114325665760388e-07,53.7,-0.43526848037916627,0.0,0.04980096604332173,14393.377448283194,6.063919042364804
271,2019-02-02 12:45:00,0.437,0.7,92.3,0.411,202.68,178.665,0.0,884.9,v_aSW_directSW_diffuseLW_in,247.584,,,1.35,0.81,5.93,0,3.58,-0.15989004403334633,-0.4581749687368982,0.2185220550218282,366.5559127829129,0.39973381982869455,0.0,0.0014889170683735483,2.815464615466087,0.0014889170683735483,-0.009364005528329295,14287.514809063367,0.0,42.36145952124657,-51.58902141918418,1.1515750880857092,-0.34012287348202214,0.0,-0.6423569959482331,4.491917373589738,12.228056393498077,0.09819120810609498,1.9716727587307987,0.0,0.0,0.0,-1.6992806796281048e-07,53.7,-0.34012287348202214,0.0,0.04980096604332173,14447.077448283195,6.057930481991142
272,2019-02-02 13:00:00,0.423,0.5,92.3,0.425,213.613,172.848,0.0,884.9,v_aSW_directSW_diffuseLW_in,247.82,,,1.35,0.81,5.845,0,3.58,-0.16925404956167564,-0.4489781475845658,0.21221342270765592,366.5544238658445,0.3997321961459591,0.0,0.0025063058087288286,2.8169535325344603,0.0025063058087288286,-0.015762546820207016,14341.214809063367,0.0,41.454113714321586,-51.31197504298541,0.9268030546604054,-0.5725330577458827,0.0,-0.6023870457568922,4.493406290658111,12.22802328063395,0.09819107515797024,1.9716700891415253,0.0,0.0,0.0,-1.3278338626865993e-07,53.7,-0.5725330577458827,0.0,0.04980096604332173,14500.777448283196,6.0532531868937145
273,2019-02-02 13:15:00,0.407,1.2,90.6,0.433,189.397,168.348,0.0,885.0,v_aSW_directSW_diffuseLW_in,249.963,,,1.35,0.809,6.035,0,3.58,-0.18501659638188267,-0.4403535767301518,0.20495269928903895,366.5519175600358,0.3997294629880434,0.0,0.00012738619183746375,2.8194598383431893,0.00012738619183746375,-0.0008011552137516906,14394.914809063368,0.0,39.568596439964,-49.09989070706908,1.9543370626166148,-0.029099856101318,0.0,-0.5498705364117689,4.49591259646684,12.22796754138814,0.09819085136453339,1.9716655953845839,0.0,0.0,0.0,-2.2351592346601425e-07,53.7,-0.029099856101318,0.0,0.04980096604332173,14554.477448283196,6.045389220494517
274,2019-02-02 13:30:00,0.388,1.5,89.3,0.44,165.182,163.848,0.0,885.2,v_aSW_directSW_diffuseLW_in,252.106,,,1.35,0.809,6.078,0,3.58,-0.18581775159563435,-0.43248088384247674,0.19626259666825424,366.551790173844,0.39972932407180367,0.0,0.0,2.819587224535027,0.0,0.0025864073886922817,14448.614809063369,0.0,37.48700621438541,-46.953379711097284,2.417786943675672,0.09394444614281487,0.0,-0.5311913862556921,4.496039982658678,12.227964708366432,0.09819083998991905,1.9716653669831044,0.0,0.0,0.0003630177088424277,-1.1360533896194917e-08,53.7,0.09394444614281487,0.0,0.04980096604332173,14608.177448283197,6.044993577666924
275,2019-02-02 13:45:00,0.366,0.8,90.8,0.448,140.966,159.347,0.0,885.3,v_aSW_directSW_diffuseLW_in,254.248,,,1.35,0.808,5.876,0,3.58,-0.18323134420694207,-0.4248756261389109,0.18611206841969175,366.551790173844,0.39972932407180367,0.0,0.002160265235729157,2.819587224535027,0.002160265235729157,-0.013586308945291418,14502.31480906337,0.0,35.63183497667524,-44.822714537176694,1.4359440444126959,-0.4934869404451847,0.0,-0.5203832446745674,4.49640300036752,12.227964708366432,0.09819083998991905,1.9716653669831044,0.0,0.0,0.0,0.0,53.7,-0.4934869404451847,0.0,0.04980096604332173,14661.877811300907,6.0462854998832904
276,2019-02-02 14:00:00,0.342,1.0,91.6,0.455,116.75,154.847,0.0,885.2,v_aSW_directSW_diffuseLW_in,256.391,,,1.35,0.808,6.014,0,3.58,-0.19681765315223348,-0.4174251124770369,0.17493620611721514,366.54962990860827,0.3997269682754725,0.0,0.00032868106171279107,2.821747489770756,0.00032868106171279107,-0.0020671443118452405,14556.01480906337,0.0,33.65199399632348,-42.620176685089575,1.7749826487916551,-0.07508358053823821,0.0,-0.4750811816879166,4.4985632656032495,12.227916664818029,0.09819064709432605,1.971661493652759,0.0,0.0,0.0,-1.9265645488889965e-07,53.7,-0.07508358053823821,0.0,0.04980096604332173,14715.577811300907,6.039510184326587
277,2019-02-02 14:15:00,0.315,1.0,91.6,0.476,103.122,150.549,0.0,885.3,v_aSW_directSW_diffuseLW_in,256.197,,,1.35,0.807,6.014,0,3.58,-0.19888479746407872,-0.41062319134596176,0.16224324610586371,366.54930122754655,0.39972660984465275,0.046950577818890414,0.00032999432742079085,2.822076170832469,0.00032999432742079085,-0.21381379883858034,14609.714809063371,-1.4249272378250888,32.28501066881127,-42.805118835296355,1.8603223070906825,-0.07538362673699284,7.690840285783493,-0.4559816642141763,4.498891946664962,12.227909355057124,0.09819061774548928,1.971660904330119,0.0,0.0,0.0,-2.9312501023457035e-08,53.65304942218111,-7.766223912520486,-1.4249272378250888,0.04980096604332173,14769.277811300908,6.038482180384909
278,2019-02-02 14:30:00,0.287,0.7,92.2,0.498,89.494,146.25,0.0,885.5,v_aSW_directSW_diffuseLW_in,256.003,,,1.35,0.807,5.924,0,3.58,-0.41269859630265904,-0.40409472344659203,0.1489562970692672,366.595921811038,0.39977745017561395,0.3183630160532543,0.00012428622524871625,2.8224061651598897,0.00012428622524871625,0.007822210429394611,14663.367858485552,-9.662159901130604,30.799074106033974,-42.06333663615567,1.80679455089063,-0.02839183187669272,-0.22322048533893724,0.01852856343939753,4.499221940992383,12.22791320296643,0.09820310638992905,1.971660904330119,0.0,0.0,0.0,4.1577288058835284e-06,53.38163698394675,0.28412122143432994,-9.662159901130604,0.04980096604332173,14822.930860723089,5.932813412362851
279,2019-02-02 14:45:00,0.256,0.6,93.4,0.52,75.867,141.952,0.0,885.6,v_aSW_directSW_diffuseLW_in,255.809,,,1.35,0.806,5.958,0,3.58,-0.4048763858732644,-0.40435997048636335,0.13411532902629827,366.914160540866,0.40012449350148965,0.34554475949772856,0.0,2.8225304513851386,0.0,0.002493469873307838,14716.749495469498,-10.487089817592558,29.512623967444195,-42.291532734762,1.703989505739112,0.07181130456542699,0.5867173360531881,0.0011121079329444214,4.4993462272176314,12.227939482381753,0.09828835565208206,1.971660904330119,0.0,0.0,0.00027749082083540494,2.838123890113128e-05,53.354455240502276,0.09056873532214041,-10.487089817592558,0.04980730011649443,14876.312497707035,5.936651395515751
280,2019-02-02 15:00:00,0.224,0.8,94.1,0.541,62.239,137.654,0.0,885.9,v_aSW_directSW_diffuseLW_in,255.615,,,1.35,0.806,6.09,0,3.58,-0.40238291599995657,-0.404375877176654,0.11866112970983565,367.25970530036375,0.40050131439516223,0.3793017934659556,0.0,2.8225304513851386,0.0,0.012663466494901916,14770.10395071,-11.511569995213264,28.137633910090024,-42.49643397297109,2.121964370174145,0.5323561887660707,0.7295575679353109,-0.004291870441653056,4.499623718038467,12.227968042423406,0.09838091960809064,1.971660904330119,0.0,0.0,0.002057117632400299,3.081638523117332e-05,53.32069820653405,0.45996711551043057,-11.511569995213264,0.04985053740033253,14929.667230438357,5.9378804399800496
281,2019-02-02 15:15:00,0.19,0.7,93.2,0.54,47.765,118.654,0.0,886.0,v_aSW_directSW_diffuseLW_in,259.315,,,1.35,0.805,5.988,0,3.58,-0.38971944950505466,-0.40431454735580125,0.102108724498935,367.6390070938297,0.4009149477577205,0.38298592046234625,0.0,2.8225304513851386,0.0,-0.010373098419312403,14823.424648916534,-11.623351094563645,24.08858852900986,-38.85180218653983,1.9197978796820498,0.153353025488342,1.251495435569399,-0.03143075228512728,4.501680835670867,12.227999423433806,0.0984825263422671,1.971660904330119,0.0,0.0,0.0005925844931629032,3.382682724744167e-05,53.31701407953766,-0.3767755188326803,-11.623351094563645,0.04989748459891283,14982.989985762524,5.944098576012629
282,2019-02-02 15:30:00,0.154,0.5,92.6,0.539,33.292,99.653,0.0,886.2,v_aSW_directSW_diffuseLW_in,263.016,,,1.35,0.805,5.864,0,3.58,-0.40009254792436705,-0.40386587152062925,0.08445423506235036,368.0219930142921,0.40133259870697063,0.41794801132640275,0.0011448852498295349,2.8225304513851386,0.0011448852498295349,-0.01097368026837621,14876.741662996072,-12.684392856744731,19.98060682677067,-35.10544753083974,1.5831461190008025,-0.2615340191764937,0.8654276347380414,-0.008125906414507264,4.5022734201640295,12.228031142030245,0.09858511997426171,1.971660904330119,0.0,0.0,0.0,3.4155296773216754e-05,53.2820519886736,-0.39859007496966004,-12.684392856744731,0.04994901817345057,15036.307592426554,5.939010047640573
