,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing_type,LW_in,DroneV,h_s,a,vp_a,cld,Discharge,T_s,T_bulk,f_cone,TotalE,SW,LW,Qs,Ql,Qf,Qg,ppt,dpt,cdt,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,meltwater,SA,h_ice,r_ice,thickness,fountain_in,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice
369,2019-02-03 13:30:00,0.393,-1.6,89.4,0.78,6.024,138.486,0.0,902.7,v_aSW_directSW_diffuseLW_in,284.786,,,0.84,4.856,0,0.0,-0.4415731924513726,-1.0102717432927177,0.1959401306711469,5.113935517080838,22.346614935546082,-13.154131993219153,-3.0034469674772626,-5.363501386575539,0.0,-1.0751004577688281,0.0,0.0,0.0,336.96778232025184,0.36746759249754835,0.0,0.030444568277626108,1.2156412731340867,0.030444568277626108,-0.002920114919132419,148.89784448095364,3.885806191689339,15.855654964812578,0.0695607565520495,2.2460171320953597,-2.2877181000098922e-06,0.0,-0.24956586949470072,0.0,0.03097071503063501,444.8192774738487,5.919001342621935
370,2019-02-03 13:45:00,0.371,-1.6,88.5,0.791,5.133,138.214,0.0,903.0,v_aSW_directSW_diffuseLW_in,283.827,,,0.839,4.807,0,0.0,-0.444493307370505,-0.9885602881037756,0.18577850202250937,4.237911025668912,22.40598376919193,-14.100371031473912,-3.0391352140199164,-5.682582891106919,0.0,-1.0285664980291902,0.0,0.0,0.0,336.9373377519742,0.3674343923140395,0.0,0.03225381141212901,1.2460858414117129,0.03225381141212901,-0.016903785265420537,148.89784448095364,3.916250759966965,15.854699926250818,0.06955866158323734,2.2459494885549995,-2.0939017393189134e-06,0.0,-1.444671865438007,0.0,0.03097071503063501,444.8192774738487,5.917578635200143
371,2019-02-03 14:00:00,0.346,-1.7,88.4,0.802,4.242,137.942,0.0,903.3,v_aSW_directSW_diffuseLW_in,282.868,,,0.839,4.766,0,0.0,-0.46139709263592554,-0.9677879520349306,0.17412232952335682,3.080612482175938,22.327580934415938,-14.98550919953243,-3.304089457608328,-5.931476122017652,0.0,-0.957369795099242,0.0,0.0,0.0,336.90508394056206,0.3673992191282029,0.0,0.03366435766675821,1.2783396528238418,0.03366435766675821,-0.03335732351530829,148.89784448095364,3.948504571379094,15.853688100800115,0.06955644197809255,2.2458778206860917,-2.218470611249295e-06,0.0,-2.8508636398417138,0.0,0.03097071503063501,444.8192774738487,5.909321674397715
372,2019-02-03 14:15:00,0.32,-1.6,88.3,0.787,6.523,123.069,0.0,903.5,v_aSW_directSW_diffuseLW_in,282.161,,,0.838,4.796,0,0.0,-0.49475441615123383,-0.9484528465566016,0.1618845768080189,0.8098298132822254,20.108245641312035,-15.546793202399726,-2.8938432372590497,-5.584978904274067,0.0,-0.8577793883710333,0.0,0.0,0.0,336.8714195828953,0.36736250772398615,0.0,0.031695685649371495,1.3120040104906,0.031695685649371495,-0.055872961033972525,148.89784448095364,3.9821689290458524,15.852631991051778,0.06955412515252497,2.2458030137090725,-2.3156381015781143e-06,0.0,-4.7751490909918415,0.0,0.03097071503063501,444.8192774738487,5.893051013999217
373,2019-02-03 14:30:00,0.291,-1.6,88.9,0.771,8.804,108.196,0.0,903.8,v_aSW_directSW_diffuseLW_in,281.454,,,0.838,4.829,0,0.0,-0.5506273771852064,-0.9311284986549776,0.14810605802268675,-1.6828526535483759,17.738987969042746,-16.009841120735302,-2.692587146877102,-5.171380494315362,0.0,-0.7194123549787178,0.0,0.0,0.0,336.83972389724596,0.3673279431812933,0.0,0.02934660484669638,1.3436996961399714,0.02934660484669638,-0.08019986272487419,148.89784448095364,4.0138646146952235,15.85163760983153,0.06955194367248715,2.2457325768452265,-2.1803661822460134e-06,0.0,-6.854233147863738,0.0,0.03097071503063501,444.8192774738487,5.865888680665065
374,2019-02-03 14:45:00,0.261,-1.9,89.1,0.755,11.086,93.323,0.0,904.1,v_aSW_directSW_diffuseLW_in,280.748,,,0.837,4.733,0,0.0,-0.6308272399100806,-0.9165982581277141,0.13372149435383343,-4.643021152987489,15.453286147284278,-16.365935205526796,-3.1900499762841954,-5.343461692022071,0.0,-0.5403221184607763,0.0,0.0,0.0,336.81037729239927,0.3672959403406753,0.0,0.03032137179068813,1.3730463009866678,0.03032137179068813,-0.11684962212347551,148.89784448095364,4.04321121954192,15.850716897957378,0.06954992374773605,2.245667356370042,-2.0188980725966543e-06,0.0,-9.986482845009562,0.0,0.03097071503063501,444.8192774738487,5.827096848607214
375,2019-02-03 15:00:00,0.228,-2.1,88.1,0.74,13.367,78.45,0.0,904.3,v_aSW_directSW_diffuseLW_in,280.041,,,0.837,4.611,0,0.0,-0.7476768620335561,-0.9056848531737269,0.11775998293169614,-7.150770432134163,13.043927923771225,-16.563681813114442,-3.3322536550699104,-5.552730634635181,0.0,-0.2987628877210349,0.0,0.0,0.0,336.78005592060856,0.3672628745044804,0.0,0.03150697334080111,1.4033676727773559,0.03150697334080111,-0.14864085007054803,148.89784448095364,4.073532591332608,15.849765575939328,0.06954783660659829,2.245599965574069,-2.086078276946749e-06,0.0,-12.703501066769345,0.0,0.03097071503063501,444.8192774738487,5.7709917619453375
376,2019-02-03 15:15:00,0.194,-2.3,88.7,0.75,11.0,68.744,0.0,904.6,v_aSW_directSW_diffuseLW_in,280.15,,,0.836,4.575,0,0.0,-0.8963177121041042,-0.899650270993522,0.10118085766483045,-7.864288711759193,11.456546267227356,-15.807822432708406,-3.5067111183518476,-5.459625517858122,0.0,-0.006301427926295408,0.0,0.0,0.0,336.74854894726775,0.36722851575492665,0.0,0.03097674969351201,1.434874646118157,0.03097674969351201,-0.15590016696562914,148.89784448095364,4.105039564673409,15.848777025856595,0.06954566772304781,2.245529935432746,-2.167776513106392e-06,0.0,-13.323914229617316,0.0,0.03097071503063501,444.8192774738487,5.700334439370337
377,2019-02-03 15:30:00,0.159,-2.8,90.5,0.76,8.632,59.038,0.0,904.8,v_aSW_directSW_diffuseLW_in,280.258,,,0.836,4.497,0,0.0,-1.0522178790697332,-0.8995229872104672,0.08399214428078125,-9.358184564999329,9.801135311066801,-15.022509168482372,-4.425545398528927,-5.5557117813191415,0.0,0.28873469094516896,0.0,0.0,0.0,336.7175721975742,0.36719473522090973,0.0,0.03151998952303338,1.465851395811669,0.03151998952303338,-0.1745041952709955,148.89784448095364,4.136016314366921,15.847805081800171,0.06954353520725047,2.245461079554048,-2.1314284352543136e-06,0.0,-14.91389634631847,0.0,0.03097071503063501,444.8192774738487,5.627072049792689
378,2019-02-03 15:45:00,0.122,-2.9,91.3,0.77,6.264,49.331,0.0,905.1,v_aSW_directSW_diffuseLW_in,280.367,,,0.835,4.503,0,0.0,-1.2267220743407288,-0.905355374908942,0.06570979071728773,-9.635586042831914,8.207530011293763,-14.156749754703583,-4.294065804144522,-5.195546045335923,0.0,0.6076995047224301,0.0,0.0,0.0,336.6860522080512,0.367160362277046,0.0,0.029474771786227722,1.4973713853347024,0.029474771786227722,-0.17353578903225012,148.89784448095364,4.167536303889954,15.84681606214876,0.06954136515923055,2.2453910118136755,-2.168940347657145e-06,0.0,-14.831132088167838,0.0,0.03097071503063501,444.8192774738487,5.546086900605113
379,2019-02-03 16:00:00,0.084,-3.0,91.4,0.78,3.897,39.625,0.0,905.3,v_aSW_directSW_diffuseLW_in,280.475,,,0.835,4.474,0,0.0,-1.400257863372979,-0.9176311762880806,0.04683992932034574,-9.976312874949919,6.56824330875263,-13.29763339423829,-4.159589093583906,-5.008304093024542,0.0,0.9126663041196462,0.0,0.0,0.0,336.65657743626497,0.3671282196687731,0.0,0.028410874115809844,1.5268461571209302,0.028410874115809844,-0.17533168158876045,148.89784448095364,4.197011075676182,15.845891188468604,0.06953933579520778,2.2453254865579373,-2.0283322622549625e-06,0.0,-14.98461696797446,0.0,0.03097071503063501,444.8192774738487,5.466604194802522
380,2019-02-03 16:15:00,0.044,-3.0,91.6,0.789,3.153,30.931,0.0,905.4,v_aSW_directSW_diffuseLW_in,279.787,,,0.834,4.484,0,0.009,-1.5755895449617394,-0.936067981230699,0.026904373722812423,-65.27335515892858,5.148627695397774,-13.228203825346668,-3.7468470895103394,-4.610567463649899,-54.65632673133514,1.209394791865796,0.0,0.0,0.0,336.62816656214915,0.3670972372542521,0.1349999999999998,0.026153140794510796,1.55525703123674,0.026153140794510796,-0.72675259376013,148.89784448095364,4.225421949791992,15.844999672737503,0.06953737956936129,2.2452623228290873,-1.955233325318061e-06,0.0,-62.11147437415326,-3.1618807847753185,0.03097071503063501,444.8192774738487,5.387352803038994
