,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing,LW_in,DroneV,h_s,a,vp_a,cld,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice,thickness
2259,2019-02-23 05:45:00,0.0,-4.1,92.4,0.6,0.0,0.0,0.0,917.5,0,256.699,,,0.35,4.165,0,3.58,-1.0562407460876895,-1.0113409641447264,0.057563575391886376,1707.2872326550946,1.8618181381189691,1.168749674771332,0.01886596406593441,27.292170359342705,0.01886596406593441,-0.008158687901930336,69795.633955575,-46.65236618192449,0.0,-38.564047094827345,-6.169940073369816,-5.668262862764885,2.7635127165876483,0.11477442454273898,792.7486934066923,9.297191673488797,0.6443924502840991,1.6610362011340796,0.0,0.0,0.0,-0.8715967079071687,-46.65236618192449,0.38794606032315093,70132.60040690127,5.625423290482307,0.00012775775060105835
2260,2019-02-23 06:00:00,0.0,-4.2,91.5,0.5,0.0,0.0,0.0,917.4,0,254.333,,,0.35,4.094,0,3.58,-1.06439943398962,-1.011609210849037,0.05756357539188637,1708.4371163658,1.863072100726063,1.2224341655313935,0.01645231458799222,27.31103632340864,0.01645231458799222,0.006540643854714305,69848.16520590024,-48.77336449596597,0.0,-40.89463502641959,-5.296180743878578,-4.940865679898975,2.9221432377712584,0.1349139697809772,792.7675593707582,9.301365737605847,0.6445370871631992,1.661409028426048,0.0,0.0,0.0,0.6987402533210565,-48.77336449596597,0.38794606032315093,70185.1316572265,5.6216120015117514,0.00013487541734456517
2261,2019-02-23 06:15:00,0.0,-4.1,91.9,0.5,1.165,1.874,0.0,917.3,0,251.686,,,0.35,4.143,0,3.58,-1.0578587901349057,-1.011924456224141,0.05756357539188637,1709.6430982167435,1.864387239058608,1.2332307427304041,0.015964965024925722,27.32748863799663,0.015964965024925722,0.0010758649776470201,69900.64277173471,-49.180990616167755,1.2616900174655061,-43.57002386348907,-5.137763282807341,-4.792252665359433,3.054929347050719,0.117365024466391,792.7840116853463,9.305742431316707,0.6446887105768879,1.6617998647540737,0.0,0.0,0.0,0.11493519349451997,-49.180990616167755,0.38794606032315093,70237.60922306098,5.624663975538277,0.0001413919600244767
2262,2019-02-23 06:30:00,0.009,-4.2,90.9,0.2,2.33,3.747,0.0,917.1,0,249.039,,,0.35,4.067,0,3.58,-1.0567829251572587,-1.01219863153402,0.061756543234985715,1710.860363994449,1.8657146826547972,1.1887385590490591,0.006718884054691239,27.343453603021555,0.006718884054691239,0.02571448263288262,69953.10954099198,-47.38416238879621,2.529080284729386,-46.22169371537291,-2.1229237112607953,-2.0158713430052453,3.0804485669646486,0.1138885660608637,792.7999766503713,9.310159032665025,0.644841680384839,1.6621941716528823,0.0,0.0,0.0,2.747091036912167,-47.38416238879621,0.38794606032315093,70290.07599231825,5.6251628081930525,0.00014264779043549728
2263,2019-02-23 06:45:00,0.052,-4.4,91.7,0.4,3.496,5.62,0.0,917.1,0,246.392,,,0.35,4.041,0,3.58,-1.0310684425243761,-1.012464622409186,0.08171467781400048,1712.0423836694436,1.8670036899339624,1.2214178686234185,0.01377200994510097,27.350172487076247,0.01377200994510097,-0.02005670657993948,70005.62080243292,-48.6643763821656,3.838688433864535,-48.98032534564567,-4.550741813043622,-4.130123397104043,2.967946067837426,0.047511679637554836,792.8066955344259,9.314446748400531,0.6449901515090082,1.662576882393766,0.0,0.0,0.0,-2.1426679922882244,-48.6643763821656,0.38794606032315093,70342.5872537592,5.637184372813598,0.00013845169289187657
2264,2019-02-23 07:00:00,0.094,-4.5,91.5,0.3,4.661,7.494,0.0,917.1,0,243.745,,,0.35,4.002,0,3.58,-1.0511251491043156,-1.012575562116322,0.10106310614615574,1713.2500295281218,1.86832064288781,1.2763410162185949,0.010525636510487536,27.363944497021347,0.010525636510487536,0.009016105247680659,70058.0993845643,-50.82875377325888,5.177285839535701,-51.540252519225646,-3.494046715738111,-3.1550766210585137,3.0481038998292087,0.09842737506082912,792.820467544371,9.318826402837429,0.6451417709274125,1.6629677084232355,0.0,0.0,0.0,0.9631950316623485,-50.82875377325888,0.38794606032315093,70395.06583589056,5.62780582171607,0.00014138821010209978
2265,2019-02-23 07:15:00,0.136,-4.8,91.2,0.5,18.851,19.746,0.0,917.0,0,243.967,,,0.35,3.899,0,3.58,-1.042109043856635,-1.0128053358893245,0.12023328536400026,1714.51584490783,1.8697010304338384,1.086967611271319,0.018708777143847305,27.374470133531833,0.018708777143847305,-0.02316469513161652,70110.52304354808,-43.265876136438855,14.308136480557899,-51.35739204517776,-6.3444917580787745,-5.6052257372599135,3.1835991974200177,0.07480176284152468,792.8309931808815,9.323415910696301,0.6453006170434309,1.6633771625516933,0.0,0.0,0.0,-2.474695963258158,-43.265876136438855,0.38794606032315093,70447.48949487435,5.632018191985312,0.00014812890447322478
2266,2019-02-23 07:30:00,0.177,-4.9,91.2,0.5,33.04,31.999,0.0,917.0,0,244.188,,,0.35,3.87,0,3.58,-1.0652737389882514,-1.0129799138705284,0.1387427416534404,1715.5841037419573,1.8708659800893754,0.9167176750684204,0.018912874494321434,27.39317891067568,0.018912874494321434,-0.0007249444907820137,70163.13607593681,-36.47406467508041,23.778989119749284,-51.03584037132026,-6.474213712269595,-5.664021666661392,2.710116272418235,0.13345950058083553,792.8497019580253,9.327288252637995,0.6454346111320663,1.663722556157505,0.0,0.0,0.0,-0.07744618242248791,-36.47406467508041,0.38794606032315093,70500.10252726308,5.621196659730173,0.0001249488027451995
2267,2019-02-23 07:45:00,0.216,-4.9,91.3,0.2,47.23,44.252,0.0,917.0,0,244.41,,,0.35,3.874,0,3.58,-1.0659986834790334,-1.0132913270289972,0.1561333544767553,1716.4819085425313,1.8718450474836765,0.579635284593137,0.007549040724114873,27.412091785170002,0.007549040724114873,0.03155238738130835,70215.91935826174,-23.054297635844918,33.55701591575915,-50.81069399784732,-2.5891959119638113,-2.259995923096733,2.284838180883502,0.13449142055916022,792.8686148325196,9.330542092512575,0.6455471817790644,1.664012727030498,0.0,0.0,0.0,3.370757320138861,-23.054297635844918,0.38794606032315093,70552.88580958801,5.620858303361522,0.00010496806443439593
2268,2019-02-23 08:00:00,0.255,-5.0,91.2,0.2,61.42,56.504,0.0,916.9,0,244.632,,,0.35,3.841,0,3.58,-1.034446296097725,-1.0136050933357799,0.17328651856682686,1717.0539947864004,1.8724689147070888,0.2637150499261537,0.007757080446236784,27.419640825894117,0.007757080446236784,-0.0008919353838577476,70269.03972297715,-10.486619613091815,43.64571768074343,-50.72565961281009,-2.677744449491633,-2.3217620146851936,1.44436905727292,0.05317382285353743,792.8761638732437,9.33261516157563,0.6456188919515323,1.6641975727598455,0.0,0.0,0.0,-0.09528590302521511,-10.486619613091815,0.38794606032315093,70606.00617430342,5.6356002522981585,6.686291291830395e-05
