,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,LW_in,missing_type,a,vp_a,cld,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dep,thickness,fountain_runoff,fountain_froze,Qt,Qmelt,input,s_cone,vp_ice
943,2019-03-11 00:00:00,0.0,3.7,76.6,0.9,0.0,0.0,0.0,911.5,280.9,SW_directSW_diffuseLW_in,0.381,6.098,0,0.0,-0.769310613859745,-0.11665264110560655,0.03299002144702731,61.85663358034712,0.0674554346568671,0.0,4.234825830400635,0.0,0.16068059254425415,17287.23373531735,1.7165725366503277,0.0,-15.610469581135874,13.50059921947083,1.963183232069603,0.0,1.8632596662457683,568.354454368566,1.451930691008169,0.14247170805961965,0.6724033183614596,0.0,0.0036030412753413235,-1.726480468022494e-07,0.0,0.0,1.7165725366503277,0.0,18400.479649096684,0.21188430242551543,5.760791630638401
944,2019-03-11 01:00:00,0.0,3.0,74.3,1.1,0.0,0.0,0.0,911.6,283.439,SW_directSW_diffuseLW_in,0.381,5.629,0,0.0,-0.6086300213154908,-0.19173485295073667,0.03299002144702731,61.86023662162246,0.06745936381856321,0.0027288899013706088,4.234825830400635,0.0,-0.06962944945668408,17287.23373531735,-0.743860840857349,0.0,-13.771749073266506,13.324554058931316,-1.4868280603029256,0.0,1.1901622337807662,568.354454368566,1.451987072085086,0.14247447424894286,0.6724163735490858,0.0,0.0,2.706163400531398e-06,0.0,0.0,-0.743860840857349,0.0,18400.483252137958,0.21188430242551543,5.837952745627658
945,2019-03-11 02:00:00,0.0,2.2,68.7,0.8,0.0,0.0,0.0,911.7,266.315,SW_directSW_diffuseLW_in,0.38,4.917,0,0.0,-0.6782594707721749,-0.23969289102304772,0.03299002144702731,61.85750773172109,0.06745638792990305,0.008428370026938466,4.237554720302006,0.0,-2.4526784271507434,17287.23373531735,-26.202295887862917,0.0,-30.592137309310317,7.730101701860752,-4.592308985560273,0.0,1.2520487051469191,568.354454368566,1.4519443699961296,0.1424723791881388,0.6724064857906248,0.0,0.0,-2.0495283445521223e-06,0.0,0.0,-26.202295887862917,0.0,18400.483252137958,0.21188430242551543,5.80440349053766
946,2019-03-11 03:00:00,0.0,1.8,71.1,0.9,0.0,0.0,0.0,911.5,249.946,SW_directSW_diffuseLW_in,0.38,4.945,0,0.0,-3.130937897922918,-0.2901454097981048,0.032990021447027305,61.84907936169415,0.06744719668668937,0.0,4.245983090328944,0.0,-1.1373515865708483,17287.23373531735,-12.150481069986638,0.0,-36.414077588069716,14.89505252320473,1.2580944549422932,0.0,8.110449539936052,568.354454368566,1.451812477600444,0.14246590805516882,0.6723759449110226,0.0,0.002308799866455949,-6.330299840414366e-06,0.0,0.0,-12.150481069986638,0.0,18400.483252137958,0.21188430242551543,4.728901995125171
947,2019-03-11 04:00:00,0.0,2.3,66.3,2.6,0.0,0.0,0.0,911.0,240.211,SW_directSW_diffuseLW_in,0.38,4.779,0,0.0,-4.268289484493766,-0.6169786971021534,0.03299002144702731,61.85138816156061,0.06744971446189815,0.0,4.245983090328944,0.0,3.2295032345126398,17287.23373531735,34.50122053701649,0.0,-41.35474819319376,57.287165418860106,8.144457450509485,0.0,10.424345860840662,568.354454368566,1.4518486077378137,0.1424676807637259,0.6723843113097449,0.0,0.014946723720887433,1.7342289363299757e-06,0.0,0.0,34.50122053701649,0.0,18400.485560937825,0.21188430242551543,4.294750892141759
948,2019-03-11 05:00:00,0.0,2.0,65.2,1.8,0.0,0.0,0.0,911.3,244.902,SW_directSW_diffuseLW_in,0.38,4.6,0,0.0,-1.0387862499811265,-1.0370516925296553,0.032990021447027305,61.866334885281496,0.06746601405156107,0.022087345556413316,4.245983090328944,0.0,-4.128993892242049,17287.23373531735,-44.11060108250202,0.0,-50.43681750049768,18.354702582672033,-12.03343785779954,0.0,0.004951693123169054,568.354454368566,1.4520824963834942,0.14247915586892457,0.6724384687204984,0.0,0.0,1.1226783272059055e-05,0.0,0.0,-44.11060108250202,0.0,18400.500507661545,0.21188430242551543,5.633468473944984
949,2019-03-11 06:00:00,0.008,1.8,70.1,1.9,0.0,0.043,0.0,911.1,269.986,SW_directSW_diffuseLW_in,0.38,4.875,0,0.0,-5.167780142223175,-1.03725121632365,0.03690204861315031,61.84424753972508,0.06744192752423674,0.0,4.268070435885358,0.06612768160087003,5.167780142223175,17287.23373531735,59.43419130719511,0.026659999999999996,-7.83092175761476,44.41476922962195,11.030735566387794,0.0,11.792948268800117,568.354454368566,1.4517368635321666,0.14246219801432933,0.672358435162556,0.0,0.020242068691348987,-1.6587575006460478e-05,0.0,0.0,55.20809530960648,4.226095997588632,18400.500507661545,0.21188430242551543,3.977507369504386
950,2019-03-11 07:00:00,0.184,1.3,74.1,0.7,21.566,25.975,0.0,910.4,250.404,SW_directSW_diffuseLW_in,0.38,4.972,0,0.0,0.0,-1.5124934832559636,0.12192801400990375,61.79836192681556,0.06739188868791228,0.009690668605964292,4.268070435885358,0.0,-3.5839606969882287,17287.23373531735,-38.28793762501069,17.734789721085303,-49.47053883563893,3.0506119348819833,-5.2834575084052995,0.0,-4.319342936933747,568.4205820501669,1.4510186929823372,0.14242695581094866,0.672192107581998,0.0,0.0,-3.446825494443171e-05,0.0,0.0,-38.28793762501069,0.0,18400.520749730236,0.21188430242551543,6.138810147714025
951,2019-03-11 08:00:00,0.349,1.3,74.8,1.9,50.07,77.978,0.0,910.0,266.867,SW_directSW_diffuseLW_in,0.38,5.019,0,0.0,-3.5839606969882287,-1.3383858545354164,0.19826688345243298,61.7886712582096,0.06738132089226782,0.0,4.277761104491322,0.6551113822906911,3.5839606969882287,17287.23373531735,80.17997756393514,54.501238169767255,-17.576153156585747,31.09427801436836,5.74742004194765,0.0,6.413194494437617,568.4205820501669,1.4508669984672762,0.14241951071296238,0.6721569700191816,0.0,0.010540544745326022,-7.283018265419912e-06,0.0,0.0,38.2879376250107,41.89203993892444,18400.520749730236,0.21188430242551543,4.551373240119292
952,2019-03-11 09:00:00,0.495,0.2,89.3,1.1,25.54,90.707,0.0,909.8,280.702,SW_directSW_diffuseLW_in,0.38,5.533,0,0.0,0.0,-1.5969076882303748,0.26138744053031493,61.14410042066423,0.06667840831042991,0.00785045114010512,4.277761104491322,0.5133094693043503,-0.0,17287.23373531735,33.05459475608102,60.377357843309426,-19.17253883563893,0.7370245206046832,-4.31062947574777,0.0,-4.576619296446385,569.0756934324576,1.440759211413014,0.14192254507471516,0.6698115124625893,0.0,0.0,-0.0004844776141303659,0.0,0.0,-7.105427357601002e-15,33.05459475608103,18400.531290274983,0.21188430242551543,6.138798268400651
953,2019-03-11 10:00:00,0.608,-1.0,92.0,1.7,86.814,148.22,0.0,910.6,274.482,SW_directSW_diffuseLW_in,0.379,5.222,0,0.0,0.0,-1.4117738936370576,0.3064882607841551,60.62294050021977,0.0661100768813738,0.018256845329303762,4.285611555631427,0.9779482403107271,-0.0,17287.23373531735,63.335441947867736,108.5678600323354,-25.392538835638902,-5.700197338008661,-10.08208118430373,0.0,-4.057600726516363,569.5890029017619,1.432560691569818,0.14151816979915907,0.667903040381708,0.0,0.0,-0.0003944666288121305,0.0,0.0,0.0,63.335441947867736,18400.531290274983,0.21188430242551543,6.138814107389203
954,2019-03-11 11:00:00,0.677,-1.4,92.1,1.283,85.945,197.615,0.0,909.7,270.299,v_aSW_directSW_diffuseLW_in,0.379,5.077,0,0.0,0.0,-1.2471664720014108,0.33214002722162156,59.62673541457974,0.06502370274218074,0.01578214671562635,4.303868400960731,1.4116173437823112,-0.0,17287.23373531735,92.43687009809645,140.44584105116817,-29.57553883563895,-6.016808793766097,-8.81227092748029,0.0,-3.6043523961863886,570.5669511420726,1.416823396223897,0.14073870421503187,0.6642243082849724,0.0,0.0,-0.0007583442332223974,0.0,0.0,0.0,92.43687009809645,18400.531290274983,0.21188430242551543,6.138796288473071
955,2019-03-11 12:00:00,0.688,-1.3,92.3,1.423,37.993,165.34,0.0,910.2,279.304,v_aSW_directSW_diffuseLW_in,0.379,5.125,0,0.0,0.0,-1.100136456475949,0.3360864145799184,58.1993359240818,0.06346710569692672,0.01644533480486787,4.319650547676357,1.0713512135088374,-0.0,17287.23373531735,71.29768806585238,110.60564624361272,-20.570538835638956,-6.200095902889458,-9.332109354982926,0.0,-3.2052140842489893,571.9785684858549,1.3941207282495516,0.13960657754114753,0.6588811721445198,0.0,0.0,-0.0010986528380337605,0.0,0.0,1.4210854715202004e-14,71.29768806585237,18400.531290274983,0.21188430242551543,6.1388061879908955
956,2019-03-11 13:00:00,0.64,-1.6,89.2,1.222,93.302,182.648,0.0,911.8,263.691,v_aSW_directSW_diffuseLW_in,0.379,4.845,0,0.0,0.0,-0.9683279412168798,0.3185736764152718,57.11153937576809,0.06228084991904917,0.01779799863216498,4.336095882481224,1.1287464708234476,-0.0,17287.23373531735,76.06813390685363,131.88273947843345,-36.183538835638956,-6.564536993451843,-10.227536641703031,0.0,-2.8389931007860048,573.0499196993637,1.3766946007344265,0.13873131179097545,0.6547503057228331,0.0,0.0,-0.0008508988883387495,0.0,0.0,0.0,76.06813390685363,18400.531290274983,0.21188430242551543,6.138837864435044
957,2019-03-11 14:00:00,0.541,-0.9,86.4,1.075,145.339,178.131,0.0,912.1,271.047,v_aSW_directSW_diffuseLW_in,0.379,4.941,0,0.0,0.0,-0.8508430144926783,0.2801830399612293,55.96499490631248,0.061030528796414914,0.014300695610676348,4.35389388111339,1.3613036956930922,-0.0,17287.23373531735,92.98930008884153,135.90741668669847,-28.827538835638904,-3.249426762740646,-8.329686114415562,0.0,-2.511464885061829,574.1786661701872,1.3582071447619901,0.13779666082398312,0.6503391673973742,0.0,0.0,-0.0009082051472906523,0.0,0.0,-1.4210854715202004e-14,92.98930008884155,18400.531290274983,0.21188430242551543,6.138843803427748
