time,temp,RH,wind,SW_global,ppt,press,LW_in,LW_out,SW_direct,SW_diffuse
2021-12-04 08:00:00,0.555,99.92,3.005,0.195,0,88.705,315.645,316.27,0.195,0
2021-12-04 09:00:00,0.755,99.67,3.255,6.49,0,88.69,315.685,317.07,6.49,0
2021-12-04 10:00:00,0.98,99.38,5.16,18.4,0,88.635,315.47,318.195,18.4,0
2021-12-04 11:00:00,1.475,99.065,3.885,46.145,0,88.53,315.76,320.265,46.145,0
2021-12-04 12:00:00,1.815,98.595,1.155,91.34,0,88.415,324.215,319.165,91.34,0
2021-12-04 13:00:00,1.74,99.025,3.175,42.835,0,88.39,323.915,318.285,42.835,0
2021-12-04 14:00:00,1.585,99.33,5.24,24.115,0,88.43,322.72,317.755,24.115,0
2021-12-04 15:00:00,1.21,99.23,3.675,15.795,0,88.475,319.82,317.255,15.795,0
2021-12-04 16:00:00,1.21,98.13,3.025,10.0,0,88.45,317.955,317.015,10.0,0
2021-12-04 17:00:00,1.54,96.965,0.86,0.33,0,88.45,319.25,317.18,0.33,0
2021-12-04 18:00:00,1.195,98.935,0.655,0.075,0,88.445,318.385,316.865,0.075,0
2021-12-04 19:00:00,1.365,98.105,0.755,-0.17,0,88.41,314.305,316.975,-0.17,0
2021-12-04 20:00:00,1.285,98.24,0.93,0.0,0,88.395,316.045,316.87,0.0,0
2021-12-04 21:00:00,1.05,98.715,0.795,-0.305,0,88.44,317.81,316.82,-0.305,0
2021-12-04 22:00:00,0.345,97.46,1.255,-0.315,0,88.655,315.45,315.845,-0.315,0
2021-12-04 23:00:00,0.0,99.09,0.655,0.045,0,88.655,315.755,314.62,0.045,0
2021-12-05 00:00:00,-0.295,99.105,1.505,0.245,0,88.69,315.84,313.3,0.245,0
2021-12-05 01:00:00,-1.415,98.05,1.09,2.47,0,88.71,313.8,308.22,2.47,0
2021-12-05 02:00:00,-1.675,98.445,0.575,0.195,0,88.65,309.38,306.28,0.195,0
2021-12-05 03:00:00,-1.94,98.41,1.445,-0.39,0,88.6,306.475,302.44,-0.39,0
2021-12-05 04:00:00,-2.025,98.51,0.855,-0.485,0,88.55,305.16,302.35,-0.485,0
2021-12-05 05:00:00,-2.13,98.26,1.33,-0.63,0,88.51,304.46,301.13,-0.63,0
2021-12-05 06:00:00,-2.57,97.655,0.75,-0.715,0,88.495,302.205,297.38,-0.715,0
2021-12-05 07:00:00,-2.55,98.04,0.585,-0.675,0,88.49,301.965,298.6,-0.675,0
2021-12-05 08:00:00,-2.42,98.025,2.51,0.675,0,88.505,302.815,300.49,0.675,0
2021-12-05 09:00:00,-1.915,97.74,1.185,12.045,0,88.505,308.405,303.99,12.045,0
2021-12-05 10:00:00,-1.96,96.995,2.86,20.55,0,88.49,311.185,299.0,20.55,0
2021-12-05 11:00:00,-1.41,95.905,1.055,29.565,0,88.49,315.355,300.505,29.565,0
2021-12-05 12:00:00,-1.425,94.04,0.855,58.5,0,88.46,315.54,306.58,58.5,0
2021-12-05 13:00:00,-0.655,91.615,1.585,47.395,0,88.425,316.2,308.19,47.395,0
2021-12-05 14:00:00,-0.945,91.705,1.04,34.41,0,88.4,316.04,300.38,34.41,0
2021-12-05 15:00:00,-1.66,93.94,0.95,15.03,0,88.425,315.78,302.51,15.03,0
2021-12-05 16:00:00,-1.765,95.325,0.865,6.515,0,88.46,314.91,298.53,6.515,0
2021-12-05 17:00:00,-2.83,96.455,0.385,0.575,0,88.495,306.265,296.61,0.575,0
2021-12-05 18:00:00,-2.21,97.375,0.32,-0.12,0,88.525,304.265,302.195,-0.12,0
2021-12-05 19:00:00,-1.95,98.015,0.385,-0.26,0,88.55,305.415,304.615,-0.26,0
2021-12-05 20:00:00,-2.04,97.365,0.41,-0.29,0,88.585,305.04,299.23,-0.29,0
2021-12-05 21:00:00,-3.615,95.525,0.435,-0.325,0,88.595,298.035,280.015,-0.325,0
2021-12-05 22:00:00,-5.91,96.45,0.705,-0.82,0,88.635,286.25,267.375,-0.82,0
2021-12-05 23:00:00,-6.705,96.33,1.885,-1.055,0,88.685,280.475,264.53,-1.055,0
2021-12-06 00:00:00,-6.235,97.785,1.83,-1.345,0,88.745,281.105,278.495,-1.345,0
2021-12-06 01:00:00,-4.27,97.465,1.62,-0.775,0,88.78,291.135,291.155,-0.775,0
2021-12-06 02:00:00,-3.965,96.97,0.82,-0.645,0,88.81,294.79,292.715,-0.645,0
2021-12-06 03:00:00,-3.48,97.26,0.43,-0.45,0,88.86,297.845,298.26,-0.45,0
2021-12-06 04:00:00,-3.26,97.79,0.31,-0.18,0,88.905,299.955,299.11,-0.18,0
2021-12-06 05:00:00,-3.165,97.985,0.85,-0.185,0,88.96,300.53,300.34,-0.185,0
2021-12-06 06:00:00,-3.07,97.485,1.91,-0.14,0,89.025,300.875,300.155,-0.14,0
2021-12-06 07:00:00,-3.02,97.575,1.355,-0.135,0,89.095,301.245,301.19,-0.135,0
2021-12-06 08:00:00,-2.905,97.94,2.315,0.74,0,89.17,301.895,301.825,0.74,0
2021-12-06 09:00:00,-2.425,97.32,1.96,4.995,0,89.245,304.295,303.19,4.995,0
2021-12-06 10:00:00,-2.145,96.745,0.78,17.77,0,89.325,307.815,303.61,17.77,0
2021-12-06 11:00:00,-1.675,93.57,0.55,27.36,0,89.36,313.42,305.475,27.36,0
2021-12-06 12:00:00,-1.43,93.74,0.575,34.755,0,89.36,315.455,306.925,34.755,0
2021-12-06 13:00:00,-1.18,92.29,0.53,36.375,0,89.375,315.925,307.67,36.375,0
2021-12-06 14:00:00,-1.305,91.195,0.61,28.215,0,89.39,315.98,305.445,28.215,0
2021-12-06 15:00:00,-1.815,91.24,0.56,15.8,0,89.38,315.7,296.995,15.8,0
2021-12-06 16:00:00,-4.995,93.605,0.43,6.46,0,89.4,302.385,272.015,6.46,0
2021-12-06 17:00:00,-4.645,96.865,0.405,-0.11,0,89.445,292.5,285.745,-0.11,0
2021-12-06 18:00:00,-4.865,94.725,0.4,0.405,0,89.425,290.755,271.56,0.405,0
2021-12-06 19:00:00,-4.995,86.365,1.015,-0.63,0,89.33,286.405,266.745,-0.63,0
2021-12-06 20:00:00,-2.49,71.34,2.31,-1.675,0,89.26,295.78,284.415,-1.675,0
2021-12-06 21:00:00,-5.415,89.815,0.75,0.365,0,89.35,289.9,274.04,0.365,0
2021-12-06 22:00:00,-5.055,91.135,0.73,-0.57,0,89.31,287.735,280.705,-0.57,0
2021-12-06 23:00:00,-4.675,91.185,0.535,-0.39,0,89.185,290.085,284.625,-0.39,0
2021-12-07 00:00:00,-4.21,90.15,0.55,-0.43,0,89.19,291.99,286.84,-0.43,0
2021-12-07 01:00:00,-4.035,90.465,0.535,-0.36,0,89.21,294.09,290.82,-0.36,0
2021-12-07 02:00:00,-3.955,91.53,0.62,-0.385,0,89.245,295.035,293.51,-0.385,0
2021-12-07 03:00:00,-4.03,95.63,0.39,-0.16,0,89.32,296.36,296.61,-0.16,0
2021-12-07 04:00:00,-3.91,96.34,0.375,-0.115,0,89.35,297.15,296.98,-0.115,0
2021-12-07 05:00:00,-3.405,96.705,0.6,-0.315,0,89.36,298.69,299.155,-0.315,0
2021-12-07 06:00:00,-2.86,97.565,0.82,-0.36,0,89.365,301.215,301.73,-0.36,0
2021-12-07 07:00:00,-2.415,98.515,0.87,-0.265,0,89.37,303.7,303.94,-0.265,0
2021-12-07 08:00:00,-1.92,98.55,1.025,0.485,0,89.38,306.085,305.75,0.485,0
2021-12-07 09:00:00,-1.665,98.68,1.245,4.0,0,89.415,308.045,307.42,4.0,0
2021-12-07 10:00:00,-1.135,97.735,1.185,14.885,0,89.475,312.11,309.535,14.885,0
2021-12-07 11:00:00,-0.75,95.02,0.605,27.35,0,89.495,315.62,301.95,27.35,0
2021-12-07 12:00:00,-3.095,93.51,0.48,22.515,0,89.44,312.505,278.62,22.515,0
2021-12-07 13:00:00,-4.61,95.84,0.4,15.335,0,89.355,300.44,268.245,15.335,0
2021-12-07 14:00:00,-4.29,94.15,0.575,10.71,0,89.225,293.935,267.26,10.71,0
2021-12-07 15:00:00,-3.295,86.82,0.73,7.85,0,89.105,294.925,270.555,7.85,0
2021-12-07 16:00:00,-3.13,85.945,0.65,3.67,0,88.99,294.395,271.35,3.67,0
2021-12-07 17:00:00,-4.34,92.555,0.62,0.25,0,88.915,291.215,271.35,0.25,0
2021-12-07 18:00:00,-3.235,90.985,0.62,-1.175,0,88.78,291.395,279.725,-1.175,0
2021-12-07 19:00:00,-1.96,85.9,0.84,-1.14,0,88.74,296.47,282.92,-1.14,0
2021-12-07 20:00:00,1.325,59.995,3.04,-3.13,0,88.68,304.645,294.645,-3.13,0
2021-12-07 21:00:00,4.625,44.15,3.42,-8.74,0,88.59,314.185,310.925,-8.74,0
2021-12-07 22:00:00,5.24,41.765,4.34,-13.415,0,88.505,315.495,317.01,-13.415,0
2021-12-07 23:00:00,4.425,47.48,7.66,-6.105,0,88.515,314.715,318.055,-6.105,0
2021-12-08 00:00:00,3.37,56.025,7.715,-0.025,0,88.595,314.93,316.83,-0.025,0
2021-12-08 01:00:00,2.78,57.905,9.025,-0.005,0,88.55,312.795,315.08,-0.005,0
2021-12-08 02:00:00,2.935,52.74,8.075,-0.355,0,88.49,304.175,313.515,-0.355,0
2021-12-08 03:00:00,3.11,50.095,7.445,-0.645,0,88.465,297.58,312.595,-0.645,0
2021-12-08 04:00:00,3.49,50.69,7.74,-0.675,0,88.385,301.895,314.44,-0.675,0
2021-12-08 05:00:00,3.325,55.295,5.99,-0.58,0,88.32,307.295,315.59,-0.58,0
2021-12-08 06:00:00,3.845,54.435,5.28,-0.755,0,88.21,299.79,316.045,-0.755,0
2021-12-08 07:00:00,3.92,54.425,4.3,-0.735,0,88.155,309.165,317.24,-0.735,0
2021-12-08 08:00:00,3.115,58.845,3.75,0.745,0,88.125,311.625,316.41,0.745,0
2021-12-08 09:00:00,0.575,85.57,1.095,7.085,0,88.17,307.99,313.34,7.085,0
2021-12-08 10:00:00,-0.11,93.705,1.665,9.67,0,88.26,314.53,313.435,9.67,0
2021-12-08 11:00:00,-0.78,95.445,0.625,14.66,0,88.19,314.27,311.3,14.66,0
2021-12-08 12:00:00,-1.09,96.925,0.535,17.51,0,88.13,313.925,310.095,17.51,0
2021-12-08 13:00:00,-0.885,96.8,0.65,35.465,0,88.07,315.555,311.73,35.465,0
2021-12-08 14:00:00,-1.025,96.675,0.58,21.34,0,88.085,315.79,311.275,21.34,0
2021-12-08 15:00:00,-1.28,96.47,0.55,9.285,0,88.1,315.3,309.62,9.285,0
2021-12-08 16:00:00,-1.41,97.275,0.43,2.42,0,88.14,311.975,308.925,2.42,0
2021-12-08 17:00:00,-1.445,97.665,0.36,0.0,0,88.15,309.505,308.27,0.0,0
2021-12-08 18:00:00,-1.485,97.925,0.45,-0.07,0,88.165,308.73,307.99,-0.07,0
2021-12-08 19:00:00,-1.5,98.07,0.48,-0.085,0,88.195,308.565,308.045,-0.085,0
2021-12-08 20:00:00,-1.5,98.15,0.485,-0.065,0,88.205,308.555,307.935,-0.065,0
2021-12-08 21:00:00,-1.5,98.105,0.6,-0.08,0,88.235,308.57,308.135,-0.08,0
2021-12-08 22:00:00,-1.49,98.165,0.71,-0.065,0,88.245,308.68,308.235,-0.065,0
2021-12-08 23:00:00,-1.525,98.16,0.71,-0.055,0,88.275,308.615,308.06,-0.055,0
2021-12-09 00:00:00,-1.595,98.145,0.74,-0.045,0,88.305,308.355,307.81,-0.045,0
2021-12-09 01:00:00,-1.58,98.32,0.77,-0.095,0,88.315,308.27,307.9,-0.095,0
2021-12-09 02:00:00,-1.575,98.36,1.15,-0.08,0,88.33,308.405,308.0,-0.08,0
2021-12-09 03:00:00,-1.715,98.405,1.135,-0.015,0,88.38,307.925,307.46,-0.015,0
2021-12-09 04:00:00,-1.785,98.345,1.305,-0.085,0,88.425,307.58,307.11,-0.085,0
2021-12-09 05:00:00,-1.845,98.47,1.105,-0.03,0,88.47,307.285,306.855,-0.03,0
2021-12-09 06:00:00,-1.86,98.6,1.29,-0.05,0,88.515,307.125,306.815,-0.05,0
2021-12-09 07:00:00,-1.925,98.565,1.27,-0.04,0,88.6,306.955,306.5,-0.04,0
2021-12-09 08:00:00,-2.065,98.415,1.1,0.55,0,88.665,306.505,305.64,0.55,0
2021-12-09 09:00:00,-2.17,98.37,1.095,3.855,0,88.72,306.74,305.295,3.855,0
2021-12-09 10:00:00,-2.08,98.04,0.83,10.915,0,88.78,309.58,305.195,10.915,0
2021-12-09 11:00:00,-1.705,97.205,1.235,23.555,0,88.835,314.45,307.605,23.555,0
2021-12-09 12:00:00,-1.56,96.17,1.055,23.83,0,88.825,315.84,308.085,23.83,0
2021-12-09 13:00:00,-1.295,95.03,0.705,22.03,0,88.825,315.875,307.985,22.03,0
2021-12-09 14:00:00,-1.275,93.65,1.09,22.205,0,88.815,315.88,308.475,22.205,0
2021-12-09 15:00:00,-1.475,92.025,0.72,13.865,0,88.825,315.835,303.025,13.865,0
2021-12-09 16:00:00,-1.73,91.035,0.525,6.83,0,88.865,313.205,298.55,6.83,0
2021-12-09 17:00:00,-4.425,91.67,0.49,1.395,0,88.86,298.625,274.72,1.395,0
2021-12-09 18:00:00,-5.335,95.6,0.4,-0.035,0,88.905,288.275,278.14,-0.035,0
2021-12-09 19:00:00,-4.845,96.695,0.355,-0.32,0,88.93,289.135,285.14,-0.32,0
2021-12-09 20:00:00,-4.705,95.165,0.355,0.435,0,88.92,290.85,278.035,0.435,0
2021-12-09 21:00:00,-7.255,94.895,0.445,0.94,0,88.88,280.595,254.62,0.94,0
2021-12-09 22:00:00,-8.035,94.645,0.53,-0.47,0,88.83,272.02,251.135,-0.47,0
2021-12-09 23:00:00,-6.1,88.055,1.14,-1.715,0,88.775,278.355,260.69,-1.715,0
2021-12-10 00:00:00,-2.945,68.02,3.115,-2.235,0,88.64,291.67,279.94,-2.235,0
2021-12-10 01:00:00,-2.395,63.485,5.035,-5.555,0,88.435,295.62,285.51,-5.555,0
2021-12-10 02:00:00,-1.465,56.475,4.745,-8.065,0,88.28,297.615,288.335,-8.065,0
2021-12-10 03:00:00,-0.45,50.94,4.08,-9.28,0,88.125,297.99,291.585,-9.28,0
2021-12-10 04:00:00,0.705,43.255,4.79,-8.725,0,87.95,294.44,296.04,-8.725,0
2021-12-10 05:00:00,-0.16,50.135,2.99,-6.05,0,87.885,280.57,295.9,-6.05,0
2021-12-10 06:00:00,1.07,40.33,4.455,-2.43,0,87.785,285.235,299.6,-2.43,0
2021-12-10 07:00:00,1.67,39.02,5.76,-1.76,0,87.785,291.635,303.24,-1.76,0
2021-12-10 08:00:00,0.595,47.895,7.61,2.525,0,87.78,294.155,302.815,2.525,0
2021-12-10 09:00:00,-0.705,60.76,8.52,21.605,0,87.825,297.335,302.095,21.605,0
2021-12-10 10:00:00,-0.725,61.635,7.95,42.41,0,87.86,298.54,302.445,42.41,0
2021-12-10 11:00:00,-0.86,65.53,7.435,88.165,0,87.825,298.82,303.355,88.165,0
2021-12-10 12:00:00,-0.01,59.08,5.785,80.67,0,87.76,300.74,304.915,80.67,0
2021-12-10 13:00:00,-0.21,65.31,4.04,80.29,0,87.775,302.67,306.13,80.29,0
2021-12-10 14:00:00,-0.425,70.385,3.585,81.375,0,87.77,302.26,306.525,81.375,0
2021-12-10 15:00:00,-1.81,91.9,0.555,38.43,0,87.84,308.635,306.195,38.43,0
2021-12-10 16:00:00,-1.9,94.565,0.395,3.54,0,87.915,308.2,306.0,3.54,0
2021-12-10 17:00:00,-1.985,95.74,0.45,0.045,0,87.995,306.635,305.915,0.045,0
2021-12-10 18:00:00,-1.5,96.3,0.535,-0.22,0,88.085,307.42,307.56,-0.22,0
2021-12-10 19:00:00,-1.085,96.16,0.82,-0.135,0,88.19,309.895,309.165,-0.135,0
2021-12-10 20:00:00,-1.22,95.855,0.705,-0.115,0,88.275,309.615,308.38,-0.115,0
2021-12-10 21:00:00,-1.195,94.21,1.345,-0.315,0,88.36,309.315,307.55,-0.315,0
2021-12-10 22:00:00,-1.15,90.615,1.505,-0.58,0,88.455,308.545,304.345,-0.58,0
2021-12-10 23:00:00,-1.26,91.35,1.23,-0.46,0,88.555,308.28,305.485,-0.46,0
2021-12-11 00:00:00,-1.645,94.53,1.61,-0.235,0,88.65,307.54,305.695,-0.235,0
2021-12-11 01:00:00,-1.54,89.935,1.27,-0.525,0,88.725,306.755,302.14,-0.525,0
2021-12-11 02:00:00,-1.6,87.945,0.545,-0.54,0,88.815,305.565,301.19,-0.54,0
2021-12-11 03:00:00,-1.555,87.19,0.655,-0.58,0,88.885,305.505,300.955,-0.58,0
2021-12-11 04:00:00,-1.705,88.225,0.59,-0.57,0,88.95,304.725,300.13,-0.57,0
2021-12-11 05:00:00,-1.705,87.625,0.575,-0.6,0,89.02,304.63,299.905,-0.6,0
2021-12-11 06:00:00,-1.66,87.04,0.84,-0.66,0,89.1,305.395,302.135,-0.66,0
2021-12-11 07:00:00,-1.845,89.155,0.9,-0.495,0,89.175,305.34,302.615,-0.495,0
2021-12-11 08:00:00,-2.01,92.07,1.105,0.625,0,89.25,305.42,303.715,0.625,0
2021-12-11 09:00:00,-2.08,94.115,0.895,5.205,0,89.345,306.485,304.555,5.205,0
2021-12-11 10:00:00,-1.905,94.155,0.77,13.305,0,89.465,309.115,305.615,13.305,0
2021-12-11 11:00:00,-1.71,93.69,0.765,19.435,0,89.545,312.465,306.67,19.435,0
2021-12-11 12:00:00,-1.73,94.455,0.845,18.71,0,89.59,313.44,307.115,18.71,0
2021-12-11 13:00:00,-1.63,94.795,0.97,15.355,0,89.665,312.595,307.405,15.355,0
2021-12-11 14:00:00,-1.32,93.785,0.98,21.05,0,89.715,314.235,308.745,21.05,0
2021-12-11 15:00:00,-1.14,92.07,0.775,13.98,0,89.785,315.44,308.02,13.98,0
2021-12-11 16:00:00,-1.3,92.56,0.755,3.775,0,89.86,311.145,305.935,3.775,0
2021-12-11 17:00:00,-1.48,95.07,0.74,-0.005,0,89.93,308.52,306.68,-0.005,0
2021-12-11 18:00:00,-1.5,96.935,0.79,-0.1,0,90.0,308.365,307.615,-0.1,0
2021-12-11 19:00:00,-1.555,97.745,0.71,-0.045,0,90.075,308.27,307.565,-0.045,0
2021-12-11 20:00:00,-1.49,97.67,0.78,-0.085,0,90.12,308.49,307.855,-0.085,0
2021-12-11 21:00:00,-1.51,98.105,0.78,-0.03,0,90.175,308.49,307.97,-0.03,0
2021-12-11 22:00:00,-1.44,98.025,0.565,-0.08,0,90.22,308.65,307.76,-0.08,0
2021-12-11 23:00:00,-1.47,97.89,0.425,-0.03,0,90.26,308.415,306.96,-0.03,0
2021-12-12 00:00:00,-1.56,98.23,0.275,-0.04,0,90.3,307.865,306.12,-0.04,0
2021-12-12 01:00:00,-1.88,97.73,0.315,0.095,0,90.33,306.53,301.96,0.095,0
2021-12-12 02:00:00,-5.23,92.72,0.56,1.1,0,90.36,292.12,263.58,1.1,0
2021-12-12 03:00:00,-7.19,95.245,0.41,0.62,0,90.41,280.385,253.145,0.62,0
2021-12-12 04:00:00,-8.15,95.715,0.32,-0.21,0,90.45,272.295,249.635,-0.21,0
2021-12-12 05:00:00,-8.525,95.0,0.28,-0.44,0,90.46,269.385,249.455,-0.44,0
2021-12-12 06:00:00,-8.495,95.74,0.31,-0.99,0,90.485,268.315,250.125,-0.99,0
2021-12-12 07:00:00,-8.16,94.515,0.32,-0.725,0,90.5,270.4,253.53,-0.725,0
2021-12-12 08:00:00,-8.7,93.84,0.28,-0.04,0,90.57,269.32,253.37,-0.04,0
2021-12-12 09:00:00,-7.96,94.115,0.395,5.145,0,90.61,271.785,258.21,5.145,0
2021-12-12 10:00:00,-6.06,95.755,0.29,63.785,0,90.66,285.77,278.67,63.785,0
2021-12-12 11:00:00,-2.42,89.69,0.41,52.42,0,90.66,313.49,304.71,52.42,0
2021-12-12 12:00:00,-0.555,83.425,0.44,40.92,0,90.62,316.13,311.245,40.92,0
2021-12-12 13:00:00,-0.345,79.885,0.5,36.78,0,90.61,316.23,312.975,36.78,0
2021-12-12 14:00:00,0.5,82.815,0.455,110.235,0,90.58,308.385,314.99,110.235,0
2021-12-12 15:00:00,0.5,84.585,0.315,65.085,0,90.565,298.79,311.18,65.085,0
2021-12-12 16:00:00,-0.375,90.67,0.565,18.885,0,90.625,304.59,309.17,18.885,0
2021-12-12 17:00:00,-0.315,91.575,0.47,0.95,0,90.65,303.26,307.905,0.95,0
2021-12-12 18:00:00,-0.25,90.735,0.545,-0.18,0,90.7,298.15,307.155,-0.18,0
2021-12-12 19:00:00,-0.8,89.49,0.69,0.07,0,90.69,290.51,301.195,0.07,0
2021-12-12 20:00:00,-0.235,87.68,0.705,-0.12,0,90.68,294.67,304.74,-0.12,0
2021-12-12 21:00:00,-0.905,89.685,0.6,-1.21,0,90.625,262.38,291.23,-1.21,0
2021-12-12 22:00:00,-2.96,93.22,0.39,-1.415,0,90.645,247.23,278.265,-1.415,0
2021-12-12 23:00:00,-3.515,96.18,0.3,0.53,0,90.635,257.065,281.48,0.53,0
2021-12-13 00:00:00,-3.26,96.305,0.28,0.435,0,90.645,272.43,287.605,0.435,0
2021-12-13 01:00:00,-3.03,97.3,0.24,0.515,0,90.635,283.39,290.63,0.515,0
2021-12-13 02:00:00,-2.725,97.51,0.34,0.445,0,90.62,288.445,292.925,0.445,0
2021-12-13 03:00:00,-2.26,96.62,0.4,-0.46,0,90.655,292.93,296.245,-0.46,0
2021-12-13 04:00:00,-2.525,97.635,0.38,0.245,0,90.605,292.27,294.7,0.245,0
2021-12-13 05:00:00,-1.775,97.38,0.39,-0.29,0,90.55,296.565,298.585,-0.29,0
2021-12-13 06:00:00,-1.98,97.33,0.34,0.45,0,90.57,297.6,298.65,0.45,0
2021-12-13 07:00:00,-2.735,98.07,0.335,0.225,0,90.625,294.39,295.765,0.225,0
2021-12-13 08:00:00,-2.15,98.395,0.345,2.845,0,90.625,296.415,298.015,2.845,0
2021-12-13 09:00:00,-1.93,98.16,0.32,18.11,0,90.66,297.72,299.37,18.11,0
2021-12-13 10:00:00,-1.315,98.37,0.41,115.555,0,90.67,298.87,304.025,115.555,0
2021-12-13 11:00:00,1.79,88.58,0.47,295.48,0,90.655,269.685,315.925,295.48,0
2021-12-13 12:00:00,-0.13,95.285,0.385,39.82,0,90.625,260.25,294.565,39.82,0
2021-12-13 13:00:00,-0.35,97.725,0.37,38.875,0,90.585,263.485,293.765,38.875,0
2021-12-13 14:00:00,-0.72,97.62,0.27,34.125,0,90.565,262.215,292.74,34.125,0
2021-12-13 15:00:00,-0.97,98.26,0.3,24.835,0,90.575,263.115,292.22,24.835,0
2021-12-13 16:00:00,-0.54,97.7,0.335,11.75,0,90.59,267.26,295.515,11.75,0
2021-12-13 17:00:00,-0.535,96.615,0.36,0.585,0,90.615,270.42,296.565,0.585,0
2021-12-13 18:00:00,-1.13,97.685,0.385,-0.02,0,90.65,272.415,294.99,-0.02,0
2021-12-13 19:00:00,-1.0,97.41,0.51,-0.21,0,90.66,276.27,297.56,-0.21,0
2021-12-13 20:00:00,-1.145,97.52,0.37,-0.085,0,90.68,279.22,297.415,-0.085,0
2021-12-13 21:00:00,-0.725,96.96,0.585,-0.635,0,90.685,282.325,300.955,-0.635,0
2021-12-13 22:00:00,-0.94,96.615,0.47,-0.9,0,90.685,282.72,300.01,-0.9,0
2021-12-13 23:00:00,-1.59,97.07,0.385,-0.445,0,90.68,281.47,297.155,-0.445,0
2021-12-14 00:00:00,-1.85,95.09,0.41,-1.71,0,90.68,282.09,297.2,-1.71,0
2021-12-14 01:00:00,-2.11,95.98,0.34,-0.01,0,90.685,280.035,293.765,-0.01,0
2021-12-14 02:00:00,-1.77,94.26,0.38,0.12,0,90.68,281.64,294.8,0.12,0
2021-12-14 03:00:00,-1.03,92.695,0.4,-0.135,0,90.68,284.11,297.28,-0.135,0
2021-12-14 04:00:00,-1.13,91.51,0.48,0.12,0,90.69,283.9,296.73,0.12,0
2021-12-14 05:00:00,-1.815,91.71,0.425,-1.065,0,90.71,282.26,295.115,-1.065,0
2021-12-14 06:00:00,-2.24,90.39,0.345,-0.475,0,90.715,279.865,292.13,-0.475,0
2021-12-14 07:00:00,-2.06,89.32,0.42,-0.46,0,90.72,281.15,293.53,-0.46,0
2021-12-14 08:00:00,-1.9,88.17,0.395,6.445,0,90.73,281.93,293.415,6.445,0
2021-12-14 09:00:00,-0.725,85.04,0.555,39.835,0,90.73,290.13,301.325,39.835,0
2021-12-14 10:00:00,0.035,84.445,0.4,95.525,0,90.755,294.56,306.935,95.525,0
2021-12-14 11:00:00,3.575,76.945,0.585,321.985,0,90.765,306.33,328.95,321.985,0
2021-12-14 12:00:00,1.72,83.31,0.54,52.49,0,90.705,277.045,308.47,52.49,0
2021-12-14 13:00:00,0.705,85.51,0.52,101.035,0,90.66,279.42,301.38,101.035,0
2021-12-14 14:00:00,2.405,81.105,0.44,107.57,0,90.655,282.77,310.84,107.57,0
2021-12-14 15:00:00,2.135,83.84,0.39,76.39,0,90.675,282.54,308.245,76.39,0
2021-12-14 16:00:00,1.875,85.615,0.37,36.905,0,90.71,275.485,303.58,36.905,0
2021-12-14 17:00:00,0.26,85.995,0.3,2.225,0,90.73,271.935,291.64,2.225,0
2021-12-14 18:00:00,0.915,86.825,0.34,2.03,0,90.77,302.02,305.005,2.03,0
