time,temp,RH,wind,SW_global,ppt,press,LW_in,snow_h
2021-12-05 20:00:00,-2.04,97.365,0.41,-0.29,0.0,88.585,305.04,34.555
2021-12-05 21:00:00,-3.615,95.525,0.435,-0.325,0.0,88.595,298.035,34.625
2021-12-05 22:00:00,-5.91,96.45,0.705,-0.82,0.0,88.635,286.25,34.425
2021-12-05 23:00:00,-6.705,96.33,1.885,-1.055,0.0,88.685,280.475,34.27
2021-12-06 00:00:00,-6.235,97.785,1.83,-1.345,0.0,88.745,281.105,34.425
2021-12-06 01:00:00,-4.27,97.465,1.62,-0.775,0.0,88.78,291.135,33.71
2021-12-06 02:00:00,-3.965,96.97,0.82,-0.645,0.2,88.81,294.79,33.33
2021-12-06 03:00:00,-3.48,97.26,0.43,-0.45,0.0,88.86,297.845,32.615
2021-12-06 04:00:00,-3.26,97.79,0.31,-0.18,0.2,88.905,299.955,34.16
2021-12-06 05:00:00,-3.165,97.985,0.85,-0.185,0.2,88.96,300.53,34.795
2021-12-06 06:00:00,-3.07,97.485,1.91,-0.14,1.0,89.025,300.875,34.09
2021-12-06 07:00:00,-3.02,97.575,1.355,-0.135,0.4,89.095,301.245,35.58
2021-12-06 08:00:00,-2.905,97.94,2.315,0.74,0.4,89.17,301.895,37.585
2021-12-06 09:00:00,-2.425,97.32,1.96,4.995,0.0,89.245,304.295,37.5
2021-12-06 10:00:00,-2.145,96.745,0.78,17.77,0.0,89.325,307.815,39.995
2021-12-06 11:00:00,-1.675,93.57,0.55,27.36,0.0,89.36,313.42,40.23
2021-12-06 12:00:00,-1.43,93.74,0.575,34.755,0.0,89.36,315.455,40.04
2021-12-06 13:00:00,-1.18,92.29,0.53,36.375,0.0,89.375,315.925,39.945
2021-12-06 14:00:00,-1.305,91.195,0.61,28.215,0.0,89.39,315.98,39.85
2021-12-06 15:00:00,-1.815,91.24,0.56,15.8,0.0,89.38,315.7,39.67
2021-12-06 16:00:00,-4.995,93.605,0.43,6.46,0.0,89.4,302.385,39.175
2021-12-06 17:00:00,-4.645,96.865,0.405,-0.11,0.0,89.445,292.5,39.43
2021-12-06 18:00:00,-4.865,94.725,0.4,0.405,0.0,89.425,290.755,39.1
2021-12-06 19:00:00,-4.995,86.365,1.015,-0.63,0.0,89.33,286.405,38.995
2021-12-06 20:00:00,-2.49,71.34,2.31,-1.675,0.0,89.26,295.78,39.02
2021-12-06 21:00:00,-5.415,89.815,0.75,0.365,0.0,89.35,289.9,38.74
2021-12-06 22:00:00,-5.055,91.135,0.73,-0.57,0.0,89.31,287.735,38.615
2021-12-06 23:00:00,-4.675,91.185,0.535,-0.39,0.0,89.185,290.085,38.395
2021-12-07 00:00:00,-4.21,90.15,0.55,-0.43,0.0,89.19,291.99,38.22
2021-12-07 01:00:00,-4.035,90.465,0.535,-0.36,0.4,89.21,294.09,37.71
2021-12-07 02:00:00,-3.955,91.53,0.62,-0.385,1.8,89.245,295.035,37.29
2021-12-07 03:00:00,-4.03,95.63,0.39,-0.16,0.6,89.32,296.36,38.09
2021-12-07 04:00:00,-3.91,96.34,0.375,-0.115,0.4,89.35,297.15,41.405
2021-12-07 05:00:00,-3.405,96.705,0.6,-0.315,0.2,89.36,298.69,40.91
2021-12-07 06:00:00,-2.86,97.565,0.82,-0.36,0.2,89.365,301.215,41.57
2021-12-07 07:00:00,-2.415,98.515,0.87,-0.265,0.0,89.37,303.7,41.91
2021-12-07 08:00:00,-1.92,98.55,1.025,0.485,0.8,89.38,306.085,41.89
2021-12-07 09:00:00,-1.665,98.68,1.245,4.0,0.0,89.415,308.045,42.005
2021-12-07 10:00:00,-1.135,97.735,1.185,14.885,0.0,89.475,312.11,42.185
2021-12-07 11:00:00,-0.75,95.02,0.605,27.35,0.0,89.495,315.62,40.51
2021-12-07 12:00:00,-3.095,93.51,0.48,22.515,0.0,89.44,312.505,40.75
2021-12-07 13:00:00,-4.61,95.84,0.4,15.335,0.0,89.355,300.44,40.465
2021-12-07 14:00:00,-4.29,94.15,0.575,10.71,0.0,89.225,293.935,39.955
2021-12-07 15:00:00,-3.295,86.82,0.73,7.85,0.0,89.105,294.925,39.695
2021-12-07 16:00:00,-3.13,85.945,0.65,3.67,0.0,88.99,294.395,41.32
2021-12-07 17:00:00,-4.34,92.555,0.62,0.25,0.0,88.915,291.215,41.4
2021-12-07 18:00:00,-3.235,90.985,0.62,-1.175,0.0,88.78,291.395,41.34
2021-12-07 19:00:00,-1.96,85.9,0.84,-1.14,0.0,88.74,296.47,41.33
2021-12-07 20:00:00,1.325,59.995,3.04,-3.13,0.0,88.68,304.645,41.01
2021-12-07 21:00:00,4.625,44.15,3.42,-8.74,0.0,88.59,314.185,40.825
2021-12-07 22:00:00,5.24,41.765,4.34,-13.415,0.0,88.505,315.495,40.315
2021-12-07 23:00:00,4.425,47.48,7.66,-6.105,0.0,88.515,314.715,39.815
2021-12-08 00:00:00,3.37,56.025,7.715,-0.025,0.0,88.595,314.93,38.905
2021-12-08 01:00:00,2.78,57.905,9.025,-0.005,0.0,88.55,312.795,35.225
2021-12-08 02:00:00,2.935,52.74,8.075,-0.355,0.0,88.49,304.175,32.41
2021-12-08 03:00:00,3.11,50.095,7.445,-0.645,0.0,88.465,297.58,31.64
2021-12-08 04:00:00,3.49,50.69,7.74,-0.675,0.0,88.385,301.895,30.82
2021-12-08 05:00:00,3.325,55.295,5.99,-0.58,0.0,88.32,307.295,30.48
2021-12-08 06:00:00,3.845,54.435,5.28,-0.755,0.0,88.21,299.79,30.53
2021-12-08 07:00:00,3.92,54.425,4.3,-0.735,0.0,88.155,309.165,30.81
2021-12-08 08:00:00,3.115,58.845,3.75,0.745,0.0,88.125,311.625,30.815
2021-12-08 09:00:00,0.575,85.57,1.095,7.085,0.4,88.17,307.99,30.685
2021-12-08 10:00:00,-0.11,93.705,1.665,9.67,0.4,88.26,314.53,29.965
2021-12-08 11:00:00,-0.78,95.445,0.625,14.66,0.4,88.19,314.27,29.315
2021-12-08 12:00:00,-1.09,96.925,0.535,17.51,0.0,88.13,313.925,29.135
2021-12-08 13:00:00,-0.885,96.8,0.65,35.465,0.4,88.07,315.555,29.975
2021-12-08 14:00:00,-1.025,96.675,0.58,21.34,1.2,88.085,315.79,30.335
2021-12-08 15:00:00,-1.28,96.47,0.55,9.285,1.6,88.1,315.3,31.185
2021-12-08 16:00:00,-1.41,97.275,0.43,2.42,1.0,88.14,311.975,34.255
2021-12-08 17:00:00,-1.445,97.665,0.36,0.0,0.6,88.15,309.505,37.06
2021-12-08 18:00:00,-1.485,97.925,0.45,-0.07,0.8,88.165,308.73,38.47
2021-12-08 19:00:00,-1.5,98.07,0.48,-0.085,0.8,88.195,308.565,39.23
2021-12-08 20:00:00,-1.5,98.15,0.485,-0.065,1.0,88.205,308.555,40.24
2021-12-08 21:00:00,-1.5,98.105,0.6,-0.08,0.8,88.235,308.57,40.525
2021-12-08 22:00:00,-1.49,98.165,0.71,-0.065,0.8,88.245,308.68,42.35
2021-12-08 23:00:00,-1.525,98.16,0.71,-0.055,0.8,88.275,308.615,42.915
2021-12-09 00:00:00,-1.595,98.145,0.74,-0.045,0.6,88.305,308.355,44.94
2021-12-09 01:00:00,-1.58,98.32,0.77,-0.095,0.8,88.315,308.27,46.555
2021-12-09 02:00:00,-1.575,98.36,1.15,-0.08,1.2,88.33,308.405,47.63
2021-12-09 03:00:00,-1.715,98.405,1.135,-0.015,1.4,88.38,307.925,50.845
2021-12-09 04:00:00,-1.785,98.345,1.305,-0.085,1.0,88.425,307.58,54.93
2021-12-09 05:00:00,-1.845,98.47,1.105,-0.03,1.2,88.47,307.285,57.94
2021-12-09 06:00:00,-1.86,98.6,1.29,-0.05,1.2,88.515,307.125,61.32
2021-12-09 07:00:00,-1.925,98.565,1.27,-0.04,0.4,88.6,306.955,67.015
2021-12-09 08:00:00,-2.065,98.415,1.1,0.55,0.4,88.665,306.505,68.575
2021-12-09 09:00:00,-2.17,98.37,1.095,3.855,0.4,88.72,306.74,68.79
2021-12-09 10:00:00,-2.08,98.04,0.83,10.915,0.4,88.78,309.58,68.97
2021-12-09 11:00:00,-1.705,97.205,1.235,23.555,0.2,88.835,314.45,68.085
2021-12-09 12:00:00,-1.56,96.17,1.055,23.83,0.2,88.825,315.84,67.96
2021-12-09 13:00:00,-1.295,95.03,0.705,22.03,0.6,88.825,315.875,67.705
2021-12-09 14:00:00,-1.275,93.65,1.09,22.205,0.0,88.815,315.88,67.265
2021-12-09 15:00:00,-1.475,92.025,0.72,13.865,0.2,88.825,315.835,66.36
2021-12-09 16:00:00,-1.73,91.035,0.525,6.83,0.0,88.865,313.205,65.67
2021-12-09 17:00:00,-4.425,91.67,0.49,1.395,0.0,88.86,298.625,64.82
2021-12-09 18:00:00,-5.335,95.6,0.4,-0.035,0.0,88.905,288.275,64.445
2021-12-09 19:00:00,-4.845,96.695,0.355,-0.32,0.0,88.93,289.135,64.565
2021-12-09 20:00:00,-4.705,95.165,0.355,0.435,0.0,88.92,290.85,64.7
2021-12-09 21:00:00,-7.255,94.895,0.445,0.94,0.0,88.88,280.595,65.02
2021-12-09 22:00:00,-8.035,94.645,0.53,-0.47,0.0,88.83,272.02,65.22
2021-12-09 23:00:00,-6.1,88.055,1.14,-1.715,0.0,88.775,278.355,65.15
2021-12-10 00:00:00,-2.945,68.02,3.115,-2.235,0.0,88.64,291.67,65.365
2021-12-10 01:00:00,-2.395,63.485,5.035,-5.555,0.0,88.435,295.62,63.92
2021-12-10 02:00:00,-1.465,56.475,4.745,-8.065,0.0,88.28,297.615,62.575
2021-12-10 03:00:00,-0.45,50.94,4.08,-9.28,0.2,88.125,297.99,62.425
2021-12-10 04:00:00,0.705,43.255,4.79,-8.725,0.0,87.95,294.44,62.19
2021-12-10 05:00:00,-0.16,50.135,2.99,-6.05,0.0,87.885,280.57,62.065
2021-12-10 06:00:00,1.07,40.33,4.455,-2.43,0.0,87.785,285.235,61.87
2021-12-10 07:00:00,1.67,39.02,5.76,-1.76,0.6,87.785,291.635,61.59
2021-12-10 08:00:00,0.595,47.895,7.61,2.525,0.4,87.78,294.155,60.77
2021-12-10 09:00:00,-0.705,60.76,8.52,21.605,0.2,87.825,297.335,61.475
2021-12-10 10:00:00,-0.725,61.635,7.95,42.41,0.0,87.86,298.54,61.6
2021-12-10 11:00:00,-0.86,65.53,7.435,88.165,0.0,87.825,298.82,60.52
2021-12-10 12:00:00,-0.01,59.08,5.785,80.67,0.0,87.76,300.74,60.34
2021-12-10 13:00:00,-0.21,65.31,4.04,80.29,0.0,87.775,302.67,59.9
2021-12-10 14:00:00,-0.425,70.385,3.585,81.375,0.6,87.77,302.26,59.95
2021-12-10 15:00:00,-1.81,91.9,0.555,38.43,1.2,87.84,308.635,59.705
2021-12-10 16:00:00,-1.9,94.565,0.395,3.54,1.6,87.915,308.2,59.43
2021-12-10 17:00:00,-1.985,95.74,0.45,0.045,0.8,87.995,306.635,60.79
2021-12-10 18:00:00,-1.5,96.3,0.535,-0.22,0.4,88.085,307.42,63.965
2021-12-10 19:00:00,-1.085,96.16,0.82,-0.135,0.4,88.19,309.895,64.315
2021-12-10 20:00:00,-1.22,95.855,0.705,-0.115,0.0,88.275,309.615,65.57
2021-12-10 21:00:00,-1.195,94.21,1.345,-0.315,0.0,88.36,309.315,63.905
2021-12-10 22:00:00,-1.15,90.615,1.505,-0.58,0.0,88.455,308.545,64.625
2021-12-10 23:00:00,-1.26,91.35,1.23,-0.46,0.0,88.555,308.28,64.21
2021-12-11 00:00:00,-1.645,94.53,1.61,-0.235,0.0,88.65,307.54,64.505
2021-12-11 01:00:00,-1.54,89.935,1.27,-0.525,0.0,88.725,306.755,64.285
2021-12-11 02:00:00,-1.6,87.945,0.545,-0.54,0.0,88.815,305.565,64.53
2021-12-11 03:00:00,-1.555,87.19,0.655,-0.58,0.0,88.885,305.505,64.29
2021-12-11 04:00:00,-1.705,88.225,0.59,-0.57,0.0,88.95,304.725,63.59
2021-12-11 05:00:00,-1.705,87.625,0.575,-0.6,0.0,89.02,304.63,62.615
2021-12-11 06:00:00,-1.66,87.04,0.84,-0.66,0.0,89.1,305.395,62.435
2021-12-11 07:00:00,-1.845,89.155,0.9,-0.495,0.0,89.175,305.34,63.97
2021-12-11 08:00:00,-2.01,92.07,1.105,0.625,0.2,89.25,305.42,64.22
2021-12-11 09:00:00,-2.08,94.115,0.895,5.205,0.2,89.345,306.485,63.81
2021-12-11 10:00:00,-1.905,94.155,0.77,13.305,0.4,89.465,309.115,64.685
2021-12-11 11:00:00,-1.71,93.69,0.765,19.435,0.2,89.545,312.465,64.43
2021-12-11 12:00:00,-1.73,94.455,0.845,18.71,0.0,89.59,313.44,65.245
2021-12-11 13:00:00,-1.63,94.795,0.97,15.355,0.0,89.665,312.595,64.535
2021-12-11 14:00:00,-1.32,93.785,0.98,21.05,0.0,89.715,314.235,65.82
2021-12-11 15:00:00,-1.14,92.07,0.775,13.98,0.0,89.785,315.44,64.49
2021-12-11 16:00:00,-1.3,92.56,0.755,3.775,0.2,89.86,311.145,64.265
2021-12-11 17:00:00,-1.48,95.07,0.74,-0.005,0.2,89.93,308.52,63.075
2021-12-11 18:00:00,-1.5,96.935,0.79,-0.1,0.2,90.0,308.365,65.75
2021-12-11 19:00:00,-1.555,97.745,0.71,-0.045,0.2,90.075,308.27,65.93
2021-12-11 20:00:00,-1.49,97.67,0.78,-0.085,0.0,90.12,308.49,66.56
2021-12-11 21:00:00,-1.51,98.105,0.78,-0.03,0.0,90.175,308.49,67.31
2021-12-11 22:00:00,-1.44,98.025,0.565,-0.08,0.0,90.22,308.65,
2021-12-11 23:00:00,-1.47,97.89,0.425,-0.03,0.0,90.26,308.415,66.7
2021-12-12 00:00:00,-1.56,98.23,0.275,-0.04,0.0,90.3,307.865,67.56
2021-12-12 01:00:00,-1.88,97.73,0.315,0.095,0.0,90.33,306.53,66.815
2021-12-12 02:00:00,-5.23,92.72,0.56,1.1,0.0,90.36,292.12,65.4
2021-12-12 03:00:00,-7.19,95.245,0.41,0.62,0.0,90.41,280.385,64.83
2021-12-12 04:00:00,-8.15,95.715,0.32,-0.21,0.0,90.45,272.295,64.33
2021-12-12 05:00:00,-8.525,95.0,0.28,-0.44,0.0,90.46,269.385,64.0
2021-12-12 06:00:00,-8.495,95.74,0.31,-0.99,0.0,90.485,268.315,63.73
2021-12-12 07:00:00,-8.16,94.515,0.32,-0.725,0.0,90.5,270.4,63.285
2021-12-12 08:00:00,-8.7,93.84,0.28,-0.04,0.0,90.57,269.32,63.34
2021-12-12 09:00:00,-7.96,94.115,0.395,5.145,0.0,90.61,271.785,62.875
2021-12-12 10:00:00,-6.06,95.755,0.29,63.785,0.0,90.66,285.77,62.615
2021-12-12 11:00:00,-2.42,89.69,0.41,52.42,0.0,90.66,313.49,61.845
2021-12-12 12:00:00,-0.555,83.425,0.44,40.92,0.0,90.62,316.13,62.15
2021-12-12 13:00:00,-0.345,79.885,0.5,36.78,0.0,90.61,316.23,62.71
2021-12-12 14:00:00,0.5,82.815,0.455,110.235,0.0,90.58,308.385,62.47
2021-12-12 15:00:00,0.5,84.585,0.315,65.085,0.0,90.565,298.79,62.27
2021-12-12 16:00:00,-0.375,90.67,0.565,18.885,0.0,90.625,304.59,62.095
2021-12-12 17:00:00,-0.315,91.575,0.47,0.95,0.0,90.65,303.26,61.37
2021-12-12 18:00:00,-0.25,90.735,0.545,-0.18,0.0,90.7,298.15,60.655
2021-12-12 19:00:00,-0.8,89.49,0.69,0.07,0.0,90.69,290.51,60.97
2021-12-12 20:00:00,-0.235,87.68,0.705,-0.12,0.0,90.68,294.67,60.245
2021-12-12 21:00:00,-0.905,89.685,0.6,-1.21,0.0,90.625,262.38,59.96
2021-12-12 22:00:00,-2.96,93.22,0.39,-1.415,0.0,90.645,247.23,60.145
2021-12-12 23:00:00,-3.515,96.18,0.3,0.53,0.0,90.635,257.065,60.455
2021-12-13 00:00:00,-3.26,96.305,0.28,0.435,0.0,90.645,272.43,60.685
2021-12-13 01:00:00,-3.03,97.3,0.24,0.515,0.0,90.635,283.39,60.695
2021-12-13 02:00:00,-2.725,97.51,0.34,0.445,0.0,90.62,288.445,60.645
2021-12-13 03:00:00,-2.26,96.62,0.4,-0.46,0.0,90.655,292.93,60.675
2021-12-13 04:00:00,-2.525,97.635,0.38,0.245,0.0,90.605,292.27,60.87
2021-12-13 05:00:00,-1.775,97.38,0.39,-0.29,0.0,90.55,296.565,60.735
2021-12-13 06:00:00,-1.98,97.33,0.34,0.45,0.0,90.57,297.6,60.51
2021-12-13 07:00:00,-2.735,98.07,0.335,0.225,0.0,90.625,294.39,60.365
2021-12-13 08:00:00,-2.15,98.395,0.345,2.845,0.0,90.625,296.415,60.2
2021-12-13 09:00:00,-1.93,98.16,0.32,18.11,0.0,90.66,297.72,60.06
2021-12-13 10:00:00,-1.315,98.37,0.41,115.555,0.0,90.67,298.87,59.79
2021-12-13 11:00:00,1.79,88.58,0.47,295.48,0.0,90.655,269.685,59.255
2021-12-13 12:00:00,-0.13,95.285,0.385,39.82,0.0,90.625,260.25,59.045
2021-12-13 13:00:00,-0.35,97.725,0.37,38.875,0.0,90.585,263.485,58.5
2021-12-13 14:00:00,-0.72,97.62,0.27,34.125,0.0,90.565,262.215,58.275
2021-12-13 15:00:00,-0.97,98.26,0.3,24.835,0.0,90.575,263.115,58.36
2021-12-13 16:00:00,-0.54,97.7,0.335,11.75,0.0,90.59,267.26,58.415
2021-12-13 17:00:00,-0.535,96.615,0.36,0.585,0.0,90.615,270.42,58.385
2021-12-13 18:00:00,-1.13,97.685,0.385,-0.02,0.0,90.65,272.415,58.28
2021-12-13 19:00:00,-1.0,97.41,0.51,-0.21,0.0,90.66,276.27,58.55
2021-12-13 20:00:00,-1.145,97.52,0.37,-0.085,0.0,90.68,279.22,58.32
2021-12-13 21:00:00,-0.725,96.96,0.585,-0.635,0.0,90.685,282.325,58.355
2021-12-13 22:00:00,-0.94,96.615,0.47,-0.9,0.0,90.685,282.72,58.205
2021-12-13 23:00:00,-1.59,97.07,0.385,-0.445,0.0,90.68,281.47,58.265
2021-12-14 00:00:00,-1.85,95.09,0.41,-1.71,0.0,90.68,282.09,57.53
2021-12-14 01:00:00,-2.11,95.98,0.34,-0.01,0.0,90.685,280.035,57.52
2021-12-14 02:00:00,-1.77,94.26,0.38,0.12,0.0,90.68,281.64,57.01
2021-12-14 03:00:00,-1.03,92.695,0.4,-0.135,0.0,90.68,284.11,56.905
2021-12-14 04:00:00,-1.13,91.51,0.48,0.12,0.0,90.69,283.9,56.71
2021-12-14 05:00:00,-1.815,91.71,0.425,-1.065,0.0,90.71,282.26,56.585
2021-12-14 06:00:00,-2.24,90.39,0.345,-0.475,0.0,90.715,279.865,56.475
2021-12-14 07:00:00,-2.06,89.32,0.42,-0.46,0.0,90.72,281.15,56.65
2021-12-14 08:00:00,-1.9,88.17,0.395,6.445,0.0,90.73,281.93,56.47
2021-12-14 09:00:00,-0.725,85.04,0.555,39.835,0.0,90.73,290.13,56.23
2021-12-14 10:00:00,0.035,84.445,0.4,95.525,0.0,90.755,294.56,56.175
2021-12-14 11:00:00,3.575,76.945,0.585,321.985,0.0,90.765,306.33,55.765
2021-12-14 12:00:00,1.72,83.31,0.54,52.49,0.0,90.705,277.045,56.09
2021-12-14 13:00:00,0.705,85.51,0.52,101.035,0.0,90.66,279.42,55.73
2021-12-14 14:00:00,2.405,81.105,0.44,107.57,0.0,90.655,282.77,55.535
2021-12-14 15:00:00,2.135,83.84,0.39,76.39,0.0,90.675,282.54,55.475
2021-12-14 16:00:00,1.875,85.615,0.37,36.905,0.0,90.71,275.485,55.015
2021-12-14 17:00:00,0.26,85.995,0.3,2.225,0.0,90.73,271.935,55.27
2021-12-14 18:00:00,0.915,86.825,0.34,2.03,0.0,90.77,302.02,56.01
2021-12-14 19:00:00,1.68,83.845,0.385,1.365,0.0,90.785,303.315,55.445
2021-12-14 20:00:00,1.45,83.325,0.495,0.6,0.0,90.775,289.165,55.17
2021-12-14 21:00:00,1.765,82.775,0.365,1.545,0.0,90.785,304.055,55.055
2021-12-14 22:00:00,1.92,82.25,0.46,0.85,0.0,90.78,297.975,54.865
2021-12-14 23:00:00,1.2,82.54,0.41,0.095,0.0,90.77,276.33,54.75
2021-12-15 00:00:00,0.81,82.525,0.325,1.515,0.0,90.765,288.43,54.825
2021-12-15 01:00:00,1.285,83.195,0.33,0.86,0.0,90.775,288.265,54.785
2021-12-15 02:00:00,0.135,85.495,0.29,0.035,0.0,90.775,267.19,54.63
2021-12-15 03:00:00,-0.475,84.445,0.335,0.565,0.0,90.8,259.25,54.735
2021-12-15 04:00:00,-0.68,83.87,0.31,1.03,0.0,90.79,261.805,54.795
2021-12-15 05:00:00,-0.385,83.43,0.33,0.785,0.0,90.8,258.315,54.89
2021-12-15 06:00:00,-0.325,82.615,0.305,1.245,0.0,90.8,258.905,54.73
2021-12-15 07:00:00,0.2,80.03,0.34,1.23,0.0,90.8,255.76,54.87
2021-12-15 08:00:00,-0.275,80.985,0.4,5.6,0.0,90.825,258.735,54.64
2021-12-15 09:00:00,0.15,82.12,0.23,33.9,0.0,90.83,272.52,54.66
2021-12-15 10:00:00,2.06,79.785,0.39,158.145,0.0,90.85,272.615,54.11
2021-12-15 11:00:00,3.04,73.905,0.51,247.59,0.0,90.85,261.73,53.82
2021-12-15 12:00:00,1.085,82.72,0.47,66.835,0.0,90.795,259.035,54.105
2021-12-15 13:00:00,0.81,84.32,0.355,57.835,0.0,90.77,258.155,54.12
2021-12-15 14:00:00,0.63,85.135,0.375,46.89,0.0,90.735,257.78,54.34
2021-12-15 15:00:00,0.16,86.85,0.3,33.105,0.0,90.75,255.885,54.31
2021-12-15 16:00:00,-0.265,87.305,0.305,15.85,0.0,90.775,255.485,55.155
2021-12-15 17:00:00,-0.615,87.435,0.32,1.295,0.0,90.805,253.995,54.535
2021-12-15 18:00:00,-1.82,89.745,0.395,-0.065,0.0,90.87,251.73,54.33
2021-12-15 19:00:00,-1.965,90.95,0.375,0.24,0.0,90.905,256.385,53.99
2021-12-15 20:00:00,-1.82,88.73,0.24,-0.15,0.0,90.89,255.94,53.82
2021-12-15 21:00:00,-1.38,86.96,0.32,0.9,0.0,90.93,253.425,53.785
2021-12-15 22:00:00,-0.23,83.63,0.44,0.855,0.0,90.945,253.55,53.695
2021-12-15 23:00:00,-2.12,88.425,0.41,-0.9,0.0,90.995,248.465,53.505
2021-12-16 00:00:00,-2.99,91.505,0.295,0.38,0.0,91.01,249.245,53.37
