,time,ghi,sea,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,tcc,Discharge,alb,SW_direct,SW_diffuse,T_F,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,rain2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,rho_air,s_cone,vp_ice,Qr
645,2020-12-19 13:00:00,304.434,0.34,7.667,53.183,6.367,252.907,0.0,5.6,799.593,258.182,0.5,18.0,0.41,126.454,126.454,1.5,0.0,-0.19326289787545617,0.19502850352750617,69785.10019357079,76.10152692864862,6.030401730802225,1455.115313773896,386.9684790871111,-0.0,641974.3751840768,233.19645257485223,89.15851928718969,-47.98586980679892,210.82942686209998,-30.987469472046044,12.23528586764315,-0.05344016323562445,11231.75876750246,153.9563538095618,1.5182012613019369,6.918591714346959,0.0,0.0,0.0,0.0,-0.002994331337093994,1080.0,0.0,0.0,233.19645257485223,,724446.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
646,2020-12-19 14:00:00,252.489,0.291,7.817,51.55,4.683,176.122,0.0,5.45,799.428,250.483,0.5,18.0,0.409,88.061,88.061,1.5,0.0,-0.19306049962365274,0.17279996499792746,69392.10131275287,75.6729567205593,5.711017673822297,1461.1457155046983,241.68068073662633,-0.0,643054.3751840768,146.19192885345453,61.03726119115036,-55.68486980679893,158.06858175585404,-29.4569978468988,12.281438347121417,-0.05348478697355137,11618.727246589571,153.37780044643637,1.5153459481666651,6.905579772977198,0.0,0.0,0.0,0.0,-0.002783712380064879,1080.0,0.0,0.0,146.19192885345456,,725526.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
647,2020-12-19 15:00:00,161.015,0.202,7.967,50.767,5.583,82.791,0.0,5.433,799.596,263.272,0.5,18.0,0.407,41.396,41.396,1.5,0.0,-0.1928575506743884,0.13140252972627103,69144.70961434243,75.40317297092959,6.966581929112729,1466.8567331785205,252.69599059175803,-0.0,644134.3751840768,153.219438495961,27.773474698485387,-42.89586980679894,192.10337259226768,-36.01876205529981,12.310715274575282,-0.05349220726858646,11860.407927326198,153.0130425394789,1.5135430033151787,6.897363576858232,0.0,0.0,0.0,0.0,-0.001758949136344705,1080.0,0.0,0.0,153.219438495961,,726606.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
648,2020-12-19 16:00:00,49.215,0.082,7.85,50.217,6.533,11.095,0.0,5.35,799.764,262.826,0.5,18.0,0.406,5.548,5.548,1.5,0.0,-0.19265433178069147,0.07400061565200836,68885.04704182156,75.12000767919471,9.124250553903632,1473.823315107633,241.38660576043335,-0.0,645214.3751840768,146.72969507616529,3.5393819168885816,-43.34186980679891,221.53691196066868,-47.29285883999591,12.341632744622189,-0.053502899219327035,12113.103917917955,152.62972403880792,1.511645998878386,6.888718742004637,0.0,0.0,0.0,0.0,-0.0018505957860540897,1080.0,0.0,0.0,146.72969507616529,,727686.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
649,2020-12-19 17:00:00,0.0,0.0,7.767,50.967,6.783,0.0,0.0,5.367,799.912,262.86,0.5,18.0,0.404,0.0,0.0,1.5,0.0,-0.19245081719215024,0.03411296256128378,68634.53618550723,74.84682244875378,9.239844642467093,1482.9475656615368,243.91379427839013,-0.0,646294.3751840768,148.6264301200169,0.0,-43.30786980679892,227.62463675480717,-48.008470690391796,12.371645188797087,-0.05351132639664736,12354.490523678389,152.25945872629367,1.5098113302218101,6.880357977401483,0.0,0.0,0.0,0.0,-0.001789856020256379,1080.0,0.0,0.0,148.6264301200169,,728766.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
650,2020-12-19 18:00:00,0.0,0.0,7.467,52.1,6.783,0.0,0.0,5.367,799.996,267.8,0.5,18.0,0.403,0.0,0.0,1.5,0.0,-0.192247023205679,0.03411296256128377,68381.38254658638,74.5707552307376,9.217110309568561,1492.1874103040038,237.0951886905955,-0.0,647374.3751840768,144.8279253592201,0.0,-38.36786980679892,218.85562610578188,-48.008470690391796,12.402160295026494,-0.053520544397583095,12598.40431795678,151.88482935149614,1.5079527658007237,6.871888317461086,0.0,0.0,0.0,0.0,-0.0018131367359741342,1080.0,0.0,2.842170943040401e-14,144.82792535922007,,729846.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
651,2020-12-19 19:00:00,0.0,0.0,7.2,53.233,6.367,0.0,0.0,5.4,800.209,274.764,0.5,18.0,0.402,0.0,0.0,1.5,0.0,-0.19204294289205828,0.03411296256128378,68135.0702475862,74.30214857970142,8.249191079888597,1501.4045206135725,222.1807823419177,-0.0,648454.3751840768,136.044453248081,0.0,-31.403869806798923,198.14025129761717,-43.07043217504642,12.432032009205406,-0.053528076896232644,12835.499506647375,151.51988014551426,1.5061400200976813,6.863627457902498,0.0,0.0,0.0,0.0,-0.0017684890069867524,1080.0,0.0,0.0,136.044453248081,,730926.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
652,2020-12-19 20:00:00,0.0,0.0,7.25,52.833,6.2,0.0,0.0,5.4,800.249,270.632,0.5,18.0,0.4,0.0,0.0,1.5,0.0,-0.19183858819649327,0.03411296256128378,67904.6402741644,74.05086180388702,8.014701763151587,1509.653711693461,210.5639693420241,-0.0,649534.3751840768,129.2228287059107,0.0,-35.53586980679893,194.2928271585511,-41.940738100406435,12.460140987030165,-0.053531532465195375,13057.680288989293,151.17806467525162,1.5044402014503229,6.8558812179873625,0.0,0.0,0.0,0.0,-0.001658440962156781,1080.0,0.0,2.842170943040401e-14,129.22282870591067,,732006.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
653,2020-12-19 21:00:00,0.0,0.0,7.333,52.933,5.917,0.0,0.0,5.417,800.251,263.426,0.5,18.0,0.399,0.0,0.0,1.5,0.0,-0.1916339893998563,0.034112962561283766,67686.06160305922,73.81249902187483,7.450444282172076,1517.6684134566126,192.13583603927643,-0.0,650614.3751840768,118.16722345261127,0.0,-42.741869806798945,187.54755698196394,-39.07188338355415,12.486951601103824,-0.05353194010340389,13268.244258331317,150.85347170189112,1.5028242490182986,6.8485171646223995,0.0,0.0,0.0,0.0,-0.0015767021659142165,1080.0,0.0,2.842170943040401e-14,118.16722345261125,,733086.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
654,2020-12-19 22:00:00,0.0,0.0,7.633,52.317,5.583,0.0,0.0,5.483,800.033,259.761,0.5,18.0,0.398,0.0,0.0,1.5,0.0,-0.19142916904314963,0.03411296256128378,67486.47532273777,73.59484768019385,6.35065869382084,1525.1188577387848,189.5905515499421,-0.0,651694.3751840768,116.83160572333115,0.0,-46.40686980679891,184.15042396771898,-33.369980024090005,12.511558975093182,-0.05352738859208957,13460.380094370594,150.5567774367599,1.501345665918188,6.841779116745515,0.0,0.0,0.0,0.0,-0.001442799686513601,1080.0,0.0,0.0,116.83160572333114,,734166.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
