,time,sea,temp,RH,wind,SW_direct,SW_diffuse,ppt,vp_a,press,LW_in,SW_global,alb,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
1643,2020-03-12 04:00:00,0.0,2.7,81.967,1.783,0.0,0.0,0.0,6.083,799.449,226.927,0.0,0.789,0.0,-3.3263735343732996,-1.2835220232940303,0.009841915630553035,25829.126003861442,28.16698582754792,0.0,196.47455151715445,0.0,0.07800610263218226,0.0,1.8750219631306524,0.0,-64.59725423193814,43.10590067817793,22.810816256724156,0.0,0.5555592601667024,2581.45714435253,180.46598729568856,0.46913543020868625,7.5719329932448005,0.0,0.0,5.203537681336012,3.6292476589610554e-05,0.0,0.0,1.8750219631306528,0.0,,28607.05769973114,0.0,0.061957155541024884,4.631743241468055
1644,2020-03-12 05:00:00,0.0,3.067,79.95,2.0,0.0,0.0,0.0,6.117,799.222,229.462,0.0,0.788,0.0,-3.2483674317411175,-1.2901857950291133,0.009841915630553033,25834.32954154278,28.17266035064643,0.0,196.47455151715445,0.0,0.6005901093215669,0.0,14.436301876622473,0.0,-62.399519498108646,50.65643456387834,25.64688951964996,0.0,0.5324972912028163,2581.45714435253,180.49022427625093,0.46916693211309146,7.572441439833901,0.0,0.0,5.851280277037732,3.144372623089002e-05,0.0,0.0,14.436301876622473,0.0,,28612.261237412476,0.0,0.061957155541024884,4.662346763688023
1645,2020-03-12 06:00:00,0.0,3.45,80.1,1.617,0.16,0.897,0.0,6.25,799.24,231.471,1.057,0.786,0.0,-2.6477773224195507,-1.2965725162933208,0.009841915630553033,25840.180821819817,28.17904124516883,0.0,196.47455151715445,0.0,-0.15427088573655248,0.0,-3.708188068202723,0.19229498719119012,-62.99702607812577,39.545526483063334,19.18360497149494,0.0,0.3674115681735839,2581.45714435253,180.51747636151512,0.46920235035996893,7.57301309691803,0.0,0.0,4.377357248979542,3.53531308855332e-05,0.0,0.0,-3.7081880682027233,0.0,,28618.112517689515,0.0,0.061957155541024884,4.904217194648185
1646,2020-03-12 07:00:00,0.03,4.083,80.0,1.517,49.776,32.535,0.0,6.55,799.433,232.054,82.311,0.785,0.0,-2.802048208156103,-1.3009788826385977,0.024806533962557543,25844.558179068797,28.183814808144817,0.0,196.47455151715445,0.0,0.4443173105518864,0.0,10.679994100105493,7.260500557421856,-61.74284496314087,41.89992136045859,22.854278354207512,0.0,0.4081387911584007,2581.45714435253,180.53786236889923,0.46922884334207904,7.573440698570797,0.0,0.0,5.215528516920204,2.6443771939443252e-05,0.0,0.0,10.679994100105493,0.0,,28622.489874938496,0.0,0.061957155541024884,4.841021087102332
1647,2020-03-12 08:00:00,0.206,5.317,79.633,1.433,177.182,71.344,0.0,7.117,799.578,235.774,248.526,0.784,0.0,-2.357730897604217,-1.305873414139321,0.11171115287048702,25849.77370758572,28.18950240739991,0.0,196.47455151715445,0.0,1.2716476798958016,0.0,30.5664204300994,19.6856363853861,-59.959034048872866,44.12744203371926,26.42639661842096,0.0,0.2859794414459373,2581.45714435253,180.56215036268472,0.46926040526434437,7.5739501138593095,0.0,0.0,6.031525701942894,3.1503636857469145e-05,0.0,0.0,30.5664204300994,0.0,,28627.705403455417,0.0,0.061957155541024884,5.025072974544612
1648,2020-03-12 09:00:00,0.371,7.983,71.9,1.0,321.166,99.868,0.0,7.683,799.631,240.054,421.034,0.782,0.0,-1.0860832177084152,-1.3093027408056994,0.1900991843056748,25855.80523328766,28.196079861818607,0.0,196.47455151715445,4.872296765168322,1.0860832177084152,0.0,28.609163124558606,35.080864028624156,-61.27336760158951,36.39079801922707,18.471552973789397,0.0,-0.06068429549250525,2581.45714435253,180.59023630560256,0.46929689992409407,7.574539144447157,0.0,0.0,4.216578518007408,3.642764779597913e-05,0.0,0.0,26.106032967614745,2.5031301569438624,,28633.73692915736,0.0,0.061957155541024884,5.58764225360007
1649,2020-03-12 10:00:00,0.515,9.35,68.167,0.417,406.764,121.293,0.0,8.017,799.322,251.172,528.057,0.781,0.0,0.0,-1.308575100775279,0.25436145651507436,25855.149515040503,28.195364792846785,0.0,196.47455151715445,32.133698313312344,-0.0,0.0,16.50888546485357,49.22202028603959,-54.995869806798936,15.638964800847136,6.9995214572947155,0.0,-0.35575127252893485,2586.3294411176985,180.58718304380025,0.46929293267651656,7.574475112334274,0.0,0.0,1.5977829724223869,-3.9596214416129235e-06,0.0,0.0,0.0,16.50888546485357,,28637.953507675367,0.0,0.061957155541024884,6.112911778902558
1650,2020-03-12 11:00:00,0.627,9.917,64.8,1.0,392.085,175.314,0.0,7.9,799.099,269.717,567.399,0.779,0.0,0.0,-1.3043093998559299,0.30076747049698305,25824.613599699613,28.16206499421986,0.0,196.47455151715445,162.44177454271215,-0.0,0.0,83.52123650074228,64.80613142102791,-36.45086980679895,39.76669243580975,15.754013748512403,0.0,-0.3547312978088435,2618.463139431011,180.44496815151544,0.46910810895958255,7.571492023208893,0.0,0.0,3.5933416547724315,-0.00018439735348686106,0.0,0.0,1.4210854715202004e-14,83.52123650074226,,28639.55129064779,0.0,0.061957155541024884,6.112911778902558
1651,2020-03-12 12:00:00,0.692,13.45,55.133,0.75,420.699,186.567,0.0,8.5,799.038,270.524,607.266,0.778,0.0,0.0,-1.3000542533074075,0.32600660480235405,25665.765166811674,27.98883878605417,0.0,196.47455151715445,178.3854780951102,-0.0,0.0,92.09691809706369,71.8653188846915,-35.64386980679893,40.44730140535668,15.78246958241406,0.0,-0.35430196859963076,2780.904913973723,179.70425707457466,0.46814429462549745,7.5559358808122825,0.0,0.0,3.5850551601106915,-0.0009599946728369646,0.0,0.0,0.0,92.09691809706369,,28643.144632302563,0.0,0.061957155541024884,6.112911778902558
1652,2020-03-12 13:00:00,0.699,13.867,55.233,0.667,409.612,180.014,0.0,8.733,798.225,272.384,589.626,0.777,0.0,0.0,-1.2957955068552052,0.3286443789685905,25490.964743876673,27.798216732689937,0.0,196.47455151715445,170.59949511728811,-0.0,0.0,88.47935979004617,70.16264194285235,-33.78386980679892,37.048637838321085,15.405896520338032,0.0,-0.3539467046663663,2959.290392068833,178.88739345030228,0.46707908444995555,7.538743190698603,0.0,0.0,3.4836075913757263,-0.0010607542440417977,0.0,0.0,1.4210854715202004e-14,88.47935979004616,,28646.729687462674,0.0,0.061957155541024884,6.112911778902558
