,When,sea,Discharge,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,LW_in,h_f,missing_type,a,vp_a,cld,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,thickness,fountain_runoff,wind_loss,Qt,Qmelt,freezing_discharge_fraction,s_cone,input,vp_ice
545,2021-02-11 09:00:00,0.356,0.0,-9.478,69.621,3.437,132.62,123.206,0.0,783.718,203.575,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.697,2.073,0,-11.82163036222394,-7.583546424208585,0.18860815975015582,121212.5389563141,132.18379384548976,-1.574936238545311,1.574936238545311,1917.1547924167119,0.0,1.995708864941173,140055.16312096585,21.3202575896098,44.91042188625791,-47.660502197554564,24.99051501016766,-3.441067615986913,0.0,2.5208905067257104,6619.210979850235,362.0822653458355,1.1009711896594687,10.707468860390591,0.0,0.0,0,2.5779872050646394e-06,0.0,0.0,21.3202575896098,0.0,0.0,0.10282273093804795,171423.2119907826,2.216966113171353
546,2021-02-11 10:00:00,0.455,0.0,-8.799,63.361,3.156,262.821,141.077,0.0,783.522,188.826,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.695,1.99,0,-9.825921497282767,-7.596474019825446,0.2332014488208692,121210.96402007557,132.1820763577705,-6.626509533185482,6.626509533185482,1918.729728655257,0.0,-1.0811656691784137,140055.16312096585,-11.550146902116452,61.72200758406766,-70.17239089829397,10.052455794753143,-14.478341612633846,0.0,1.3261222299905573,6619.210979850235,362.079128939207,1.1009664212668333,10.707422485502551,0.0,0.0,0,-4.743363272989937e-06,0.0,0.0,-11.550146902116452,0.0,-0.0,0.10282273093804795,171423.2119907826,2.649672576513217
547,2021-02-11 11:00:00,0.51,0.0,-8.842,61.618,3.234,376.71,133.133,0.0,784.104,165.039,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.694,1.929,0,-10.907087166461181,-7.603274650845551,0.25701578626946564,121204.33751054238,132.17485006602223,-4.915186331082686,4.915186331082686,1925.3562381884426,0.0,-0.6936785780111274,140055.16312096585,-7.410602932821775,70.36574555474456,-89.73189586227736,20.72997648953086,-10.739642069108411,0.0,1.9652129542885683,6619.210979850235,362.06593242858264,1.1009463579073377,10.707227359781685,0.0,0.0,0,-1.9957769367886337e-05,0.0,0.0,-7.410602932821775,0.0,-0.0,0.10282273093804795,171423.2119907826,2.406525312173399
548,2021-02-11 12:00:00,0.514,6.665,-8.335,59.618,3.165,458.377,116.178,0.0,784.213,162.738,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.692,1.942,0,-11.600765744472309,-7.613352855878532,0.2587182720500626,121199.4223242113,132.16948999368734,238.47166278296118,3.2178997170388075,1930.2714245195252,0.0,-4.838299460110214,140055.16312096585,-113.62134017247999,72.3086996593474,-89.34791761402812,32.087768658611765,-7.03127474585309,-124.01048843090798,2.3718723003500455,6619.210979850235,362.05614381547457,1.1009314755201471,10.70708262148253,0.0,0.0,0,-1.4804133321587202e-05,0.0,158.21043749999998,-51.687795047330425,-61.93354512514956,0.5450872611705945,0.10282273093804795,171423.2119907826,2.261452991342359
549,2021-02-11 13:00:00,0.466,0.0,-8.344,58.708,3.237,441.591,104.556,0.0,784.463,163.335,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.691,1.911,0,-16.439065204582523,-7.625516697176188,0.23804678372143967,121437.89398699426,132.42954633260007,0.0,0.0,1933.489324236564,0.0,8.530162426752028,140055.16312096585,91.12815171311327,64.7896730365333,-70.60918051258469,81.37336058387021,10.331648256165215,0.0,5.242650349129236,6619.210979850235,362.0636039303061,1.1030976653793294,10.70708262148253,0.0,4.728430367908281,0,0.000718276276635308,0.0,0.0,91.12815171311327,0.0,0.0,0.10282273093804795,171423.2119907826,1.4520413938002588
550,2021-02-11 14:00:00,0.374,0.0,-8.485,57.744,3.226,364.333,98.125,0.0,784.863,156.154,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.689,1.859,0,-7.908902777830495,-7.652350709037364,0.19686647580381733,121442.62241736216,132.434702745215,-13.13621626189651,13.13621626189651,1933.489324236564,0.0,-8.605473814573191,140055.16312096585,-91.93270703477614,52.823335609729014,-110.46926160310079,-5.774318527725651,-28.66496798345124,0.0,0.1525054697725214,6619.210979850235,362.54031920581207,1.101667363925839,10.714239486496503,0.0,0.0,0,1.4241731449874243e-05,0.0,0.0,-91.93270703477614,0.0,-0.0,0.10282273093804795,171427.94042115053,3.136714146733599
551,2021-02-11 15:00:00,0.247,0.0,-8.085,56.029,3.209,243.225,82.686,0.0,785.312,159.424,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.688,1.861,0,-16.514376592403686,-7.653132291249385,0.137391758274586,121429.48620110027,132.42037753664152,0.0,0.0,1946.6255404984606,0.0,5.68108480115509,140055.16312096585,60.69131298497989,36.224170446776895,-74.24577211237892,84.09189601529579,9.353327906922518,0.0,5.267690728363601,6619.210979850235,362.51417520571925,1.1016276407427752,10.713853159633743,0.0,4.286014826469083,0,-3.9513421858506176e-05,0.0,0.0,60.69131298497989,0.0,0.0,0.10282273093804795,171427.94042115053,1.4418755001142338
552,2021-02-11 16:00:00,0.095,5.786,-9.568,58.206,3.614,95.633,59.722,0.0,785.643,160.26,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.687,1.721,0,-10.833291791248595,-7.68012989229311,0.06338534955170487,121433.77221592674,132.42505148956025,182.25174229519422,8.078727704805786,1946.6255404984606,0.0,-13.363581827127396,140055.16312096585,-191.47369441336366,20.59030784484127,-94.79778790490144,14.221677331385843,-17.629712994800663,-115.73259787049831,1.8744191806096295,6619.210979850235,362.52270543473395,1.1016406017266862,10.713979211371456,0.0,0.0,0,1.2893159049768825e-05,0.0,156.82952999999998,-142.76381283829335,-48.70988157507034,0.25439464007997276,0.10282273093804795,171432.226435977,2.4224612733804434
553,2021-02-11 17:00:00,0.0,0.0,-10.69,60.763,3.522,8.576,10.404,0.0,786.203,156.626,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.685,1.643,0,-24.19687361837599,-7.68973642169322,0.016303093360713075,121616.02395822194,132.623799300133,0.0,0.0,1954.7042682032663,0.0,12.569096857548315,140055.16312096585,134.27629018403152,3.321301828528364,-50.29525888926668,148.05586686123348,23.381597034648856,0.0,9.812783348887494,6619.210979850235,362.52840183593383,1.1032939796575871,10.713979211371456,0.0,10.714668124731395,0,0.0005482354831662042,0.0,0.0,134.27629018403152,0.0,0.0,0.10282273093804793,171432.226435977,0.688378029987943
554,2021-02-11 18:00:00,0.0,0.0,-11.477,62.689,3.551,0.0,0.0,0.0,786.606,156.108,5.0,T_aRHv_ap_aSW_directSW_diffuseLW_in,0.684,1.592,0,-11.627776760827674,-7.7399530461749215,0.01627891760758607,121626.73862634666,132.63548378009452,-7.521787273848553,7.521787273848553,1954.7042682032663,0.0,-10.13695924646424,140055.16312096585,-108.2936424779398,0.0,-95.87379890551517,1.667205264331514,-16.396969988084262,0.0,2.309921151328123,6619.210979850235,362.90665239248744,1.1022238198513004,10.719651285233855,0.0,0.0,0,3.223052291176646e-05,0.0,0.0,-108.2936424779398,0.0,-0.0,0.10282273093804793,171442.94110410174,2.255986936147793
