,time,man,auto,man_field,auto_field
197,2020-11-30 20:00:00,7.5,0.0,0,0
198,2020-11-30 21:00:00,7.5,0.0,0,0
199,2020-11-30 22:00:00,7.5,0.0,0,0
200,2020-11-30 23:00:00,7.5,0.0,0,0
201,2020-12-01 00:00:00,7.5,0.0,0,0
202,2020-12-01 01:00:00,7.5,0.0,0,0
203,2020-12-01 02:00:00,7.5,0.0,0,0
204,2020-12-01 03:00:00,7.5,0.0,0,0
205,2020-12-01 04:00:00,7.5,0.0,0,0
206,2020-12-01 05:00:00,7.5,0.0,0,0
207,2020-12-01 06:00:00,7.5,0.0,0,0
208,2020-12-01 07:00:00,7.5,0.0,0,0
209,2020-12-01 08:00:00,7.5,0.0,0,0
210,2020-12-01 09:00:00,7.5,0.0,0,0
211,2020-12-01 10:00:00,7.5,0.0,0,0
212,2020-12-01 11:00:00,7.5,0.0,0,0
213,2020-12-01 12:00:00,7.5,0.0,0,0
214,2020-12-01 13:00:00,7.5,0.0,0,0
215,2020-12-01 14:00:00,7.5,0.0,0,0
216,2020-12-01 15:00:00,7.5,0.0,0,0
217,2020-12-01 16:00:00,7.5,0.0,0,0
218,2020-12-01 17:00:00,7.5,0.0,0,0
219,2020-12-01 18:00:00,7.5,0.0,0,0
220,2020-12-01 19:00:00,7.5,0.0,0,0
221,2020-12-01 20:00:00,7.5,0.0,0,0
222,2020-12-01 21:00:00,7.5,0.0,0,0
223,2020-12-01 22:00:00,7.5,0.0,0,0
224,2020-12-01 23:00:00,7.5,0.0,0,0
225,2020-12-02 00:00:00,7.5,0.0,0,0
226,2020-12-02 01:00:00,7.5,0.0,0,0
227,2020-12-02 02:00:00,7.5,0.0,0,0
228,2020-12-02 03:00:00,7.5,0.0,0,0
229,2020-12-02 04:00:00,7.5,0.0,0,0
230,2020-12-02 05:00:00,7.5,0.0,0,0
231,2020-12-02 06:00:00,7.5,0.0,0,0
232,2020-12-02 07:00:00,7.5,0.0,0,0
233,2020-12-02 08:00:00,7.5,0.0,0,0
